"t0_hhid","hhid","pid_unps","PID","availablevisit1","ws2aq1a","ws2aq1b_1","ws2aq1b","ws2aq1c","ws2aq2","ws2aq3","ws2aq4","ws2aq5"
"H2970601","01c6b5639280472aa1dbfea2b7c10c24","P29706-003",2,2,,,,,,,,
"H2090701","01fc2a6821064f528ca01e20dbea8db2",,7,1,3,,,,3,,,
"H2090701","01fc2a6821064f528ca01e20dbea8db2",,13,1,2,1,"3",1,,,,
"H2090701","01fc2a6821064f528ca01e20dbea8db2",,4,1,3,,,,3,,,
"H3770703","021babeee5f646108cbe9bb3b2a4c485",,2,1,1,1,"1",2,,,18,
"H3770703","021babeee5f646108cbe9bb3b2a4c485",,5,1,3,,,,3,,,
"H4250801","02257a7aa9a94ca9b464e910e2bd642d",,1,1,1,1,"7",1,,,,
"H1190301","023400859c2e49d9a0701040d93fa0f2","P11903-008",5,2,,,,,,,,
"H1190301","023400859c2e49d9a0701040d93fa0f2","P11903-001",1,1,3,,,,1,1,17,"23"
"H1190301","023400859c2e49d9a0701040d93fa0f2","P11903-015",9,2,,,,,,,,
"H1190301","023400859c2e49d9a0701040d93fa0f2",,11,2,,,,,,,,
"H1190301","023400859c2e49d9a0701040d93fa0f2","P11903-006",3,2,,,,,,,,
"H0620801","02617e359bfc48cbaa6ff204cb915790","P06208-002",2,1,1,1,"1",1,,,,
"H0620801","02617e359bfc48cbaa6ff204cb915790",,11,2,,,,,,,,
"H0620801","02617e359bfc48cbaa6ff204cb915790","P06208-008",8,1,3,,,,3,,,
"H3470201","02931fcf3f8c4454919998cd30c933d3","P34702-003",3,1,3,,,,3,,,
"H3470201","02931fcf3f8c4454919998cd30c933d3",,9,1,3,,,,3,,,
"H3470201","02931fcf3f8c4454919998cd30c933d3","P34702-002",2,2,,,,,,,,
"H3850702","02a50a54fb3a4c9f989e246cb0c9200e",,2,1,2,1,"1",2,,,15,
"H3040303","02ad65979b5d4f9e8654d5912304304d",,1,1,3,,,,3,,,
"H2620907","02dd448165ce46279ca601a02865d543",,1,1,3,,,,1,3,,"##N/A##"
"H2620906","031fbb84e2af4d5e889ccc7492ecbf55",,2,2,,,,,,,,
"H0491306","03292ce0d7f24e42801500e576140648",,1,1,1,1,"9",1,,,,
"H1910601","0349cc41571b406e889303445fe7e34c","P19106-011",5,1,3,,,,3,,,
"H0640501","034e9ec479764a228fa3ebdd8d359cf0","P06405-006",6,2,,,,,,,,
"H0640501","034e9ec479764a228fa3ebdd8d359cf0","P06405-002",2,2,,,,,,,,
"H1070601","034f0004fa7a4a25b4aacdb196177f2b","P10706-002",2,1,1,1,"1",2,,,15,
"H1070601","034f0004fa7a4a25b4aacdb196177f2b","P10706-015",6,1,3,,,,3,,,
"H0660901","035c9f46cc9a41f9bacdbe9a5de03d8c","P06609-002",2,1,1,1,"1",1,,,,
"H1440801","0367b97ab6cb487095e018a1ffdf17a9","P14408-002",2,1,1,1,"1",1,,,,
"H1000201","036b190944154e22bbd0d574a8d08be0","P10002-002",2,1,1,1,"1",1,,,,
"H1000201","036b190944154e22bbd0d574a8d08be0","P10002-006",3,2,,,,,,,,
"H3171001","038bf67186f048d1966a17475bedd578","P31710-003",3,1,3,,,,3,,,
"H3171001","038bf67186f048d1966a17475bedd578","P31710-005",4,1,3,,,,3,,,
"H3860601","03c42091117d479097bf8be7a9dfebb1",,5,1,2,1,"4",1,,,,
"H3220901","03d4f5f6631747878b76ad399fb2b80c","P32209-008",6,1,3,,,,3,,,
"H3430601","03dcda394fdc4008868fe663e6f762c8","P34306-002",2,1,1,1,"1",1,,,,
"H3880301","03f862af923942ad9f37fa65f52a8f3d","P38803-001",1,1,1,2,,1,,,,
"H2540901","04077875a3894775bb24f2f42e7adc67",,4,2,,,,,,,,
"H2590703","04079e5069be47278c3ec71eb77a8997","P25907-013",2,1,1,1,"1",1,,,,
"H1640904","040ecbcfb343431bb6645772dd87c2bb","P16409-019",2,1,1,1,"1",1,,,,
"H0590101","0418981cf19046bd930dbbfe8af3c1c4","P05901-002",2,1,1,1,"1",2,,,18,
"H3510201","0436a29148344151a89c6a941e52e1d0",,5,1,3,,,,3,,,
"H3510201","0436a29148344151a89c6a941e52e1d0","P35102-001",1,1,3,,,,2,3,18,"30"
"H1880501","044525d42e7547cb844fa01062ed908c","P18805-003",3,2,,,,,,,,
"H1880501","044525d42e7547cb844fa01062ed908c","P18805-011",9,1,3,,,,3,,,
"H1880501","044525d42e7547cb844fa01062ed908c","P18805-001",1,1,1,1,"2",1,,,,
"H2231002","044c92119a6e44b6bd74f41b5131f7fb","P22310-015",3,1,1,1,"1",1,,,,
"H2920501","0475d96d540e42f48e10f7e052c18533","P29205-005",5,2,,,,,,,,
"H2600905","048117d75d7e486587c27ca4bb7d294f",,4,1,2,1,"1",1,,,,
"H3530701","04a6909c35374a8088daf007b717dba1","P35307-001",1,1,3,,,,1,3,15,"17"
"H3440201","04beb1f67d72438a95bbd2da5ae9bc56",,3,1,3,,,,3,,,
"H3440201","04beb1f67d72438a95bbd2da5ae9bc56",,2,1,2,1,"1",1,,,,
"H3350301","04e3098df42742428550ed1754b3cce9","P33503-004",4,2,,,,,,,,
"H3350301","04e3098df42742428550ed1754b3cce9","P33503-005",5,2,,,,,,,,
"H3350301","04e3098df42742428550ed1754b3cce9","P33503-003",3,1,3,,,,3,,,
"H3350301","04e3098df42742428550ed1754b3cce9","P33503-002",2,1,1,1,"1",2,,,15,
"H1510902","04e34e77abfc4a14a6ddb3f8604a51ee","P15109-005",1,1,3,,,,3,,,
"H1510902","04e34e77abfc4a14a6ddb3f8604a51ee","P15109-011",3,2,,,,,,,,
"H2970602","04fbfbe14e064de88046b1bd162fb008",,4,1,1,1,"2",2,,,24,
"H4280401","05052c1f4a06454ca9f2ef68f4ed9918","P42804-002",2,1,1,1,"1",1,,,,
"H1821002","053050b9f02d468dabfb5515b9f97be6","P18210-012",3,1,3,,,,3,,,
"H3881001","0566d903b26649e59275f92f6118361d","P38810-001",1,1,2,2,,1,,,,
"H4110601","056cb993abee42a89f67363f1b38f878","P41106-008",7,2,,,,,,,,
"H4110601","056cb993abee42a89f67363f1b38f878","P41106-003",3,2,,,,,,,,
"H4110601","056cb993abee42a89f67363f1b38f878","P41106-002",2,1,1,1,"1",1,,,,
"H4110601","056cb993abee42a89f67363f1b38f878","P41106-006",6,2,,,,,,,,
"H3680701","0583ffbf78c441f7828b4e53acdd71f1",,1,1,2,1,"14",1,,,,
"H3680701","0583ffbf78c441f7828b4e53acdd71f1",,3,2,,,,,,,,
"H3680701","0583ffbf78c441f7828b4e53acdd71f1",,2,1,3,,,,3,,,
"H1510901","058bd214d86846f5949c782fb2f1bfbb","P15109-004",3,2,,,,,,,,
"H1510901","058bd214d86846f5949c782fb2f1bfbb","P15109-002",2,1,1,1,"1",2,,,18,
"H0700901","0592013fe59d4dce8b33b8661323c86d",,8,1,3,,,,3,,,
"H0700901","0592013fe59d4dce8b33b8661323c86d",,7,1,3,,,,2,3,22,"28"
"H1900601","05d8c19cfc8f47d4b66bd70bbad5407f","P19006-004",2,1,1,1,"1",1,,,,
"H2080702","05dca1a459fe4754bd19d0d175b4da74","P20807-003",1,1,2,1,"2",1,,,,
"H1150101","05e99dfa6f5a44a79677019330c423f7","P11501-022",6,1,3,,,,3,,,
"H1150101","05e99dfa6f5a44a79677019330c423f7","P11501-023",7,1,3,,,,3,,,
"H1150101","05e99dfa6f5a44a79677019330c423f7","P11501-002",1,2,,,,,,,,
"H1150101","05e99dfa6f5a44a79677019330c423f7","P11501-008",2,1,3,,,,1,1,18,"20"
"H1150101","05e99dfa6f5a44a79677019330c423f7","P11501-014",3,1,3,,,,3,,,
"H3280101","06270b496e1b4aa09b4906b0871c21b9","P32801-002",2,1,2,1,"1",1,,,,
"H1810404","0634372d290947fc92bad833679f4f23","P18104-016",4,1,1,1,"3",1,,,,
"H4130201","0667b6f1adac439db81e063ceead3b03","P41302-002",2,1,1,1,"1",1,,,,
"104","068501d062324eb097b62ccfea8a5fa6",,1,1,3,,,,2,3,14,"25"
"H3780201","069465eb8c264016bc63f2ba390ad118","P37802-002",2,2,,,,,,,,
"H1270901","069ce1000ec94312a038a19b8efdd983","P12709-006",5,1,3,,,,3,,,
"H1270901","069ce1000ec94312a038a19b8efdd983","P12709-005",4,1,3,,,,3,,,
"H1270901","069ce1000ec94312a038a19b8efdd983","P12709-002",2,1,1,1,"1",1,,,,
"H2230902","06a3c5174fea45419046bfa97ea3c29b","P22309-009",2,1,1,1,"1",1,,,,
"H3600901","06b881a31ba7466e919d01bb09f5e672","P36009-002",2,1,1,1,"1",1,,,,
"H3740301","06ba04343a6e4f678e01eec018cac7db","P37403-001",1,1,2,1,"2",1,,,,
"H3740301","06ba04343a6e4f678e01eec018cac7db",,13,1,3,,,,3,,,
"H3740301","06ba04343a6e4f678e01eec018cac7db",,12,1,3,,,,3,,,
"H1441001","06c85056727c434f90b8215d4b1df0a2","P14410-003",3,1,3,,,,3,,,
"H1441001","06c85056727c434f90b8215d4b1df0a2","P14410-004",4,1,3,,,,3,,,
"H1441001","06c85056727c434f90b8215d4b1df0a2","P14410-002",2,1,1,1,"1",2,,,20,
"H3910601","06e12afed6db4f9a99423fc4169cc802","P39106-007",6,1,3,,,,3,,,
"H1890201","0700ac37276743c3a73536d56c21b04e","P18902-003",3,2,,,,,,,,
"H3720801","070b86808a434b1fb9f7f75af25bc594","P37208-001",1,1,1,1,"6",2,,,15,
"H2590601","0731c33c39714e7a8fe032a4c6840fc5",,6,1,3,,,,1,3,20,"42"
"H2480901","0774323f6795452793f0f563fcf08d08","P24809-002",2,2,,,,,,,,
"H2480901","0774323f6795452793f0f563fcf08d08","P24809-006",6,1,3,,,,3,,,
"74","07919f0a80fb43dc9dbbc762b869adbf",,4,2,,,,,,,,
"H1970205","0795321942c34174a89d745e644df105","P19702-009",7,2,,,,,,,,
"H1970205","0795321942c34174a89d745e644df105","P19702-008",6,1,3,,,,3,,,
"H1970205","0795321942c34174a89d745e644df105","P19702-003",2,2,,,,,,,,
"H3590301","07c445ca0f284db081b29aa91ee7988e","P35903-001",1,1,3,,,,2,1,15,"18"
"H3050501","08004f29b4234c35bfbea5f38ced207a","P30505-002",2,2,,,,,,,,
"H3000901","08211a3e91eb4227bb201b44001ea21b","P30009-003",3,2,,,,,,,,
"H3000901","08211a3e91eb4227bb201b44001ea21b","P30009-002",2,1,1,1,"1",1,,,,
"H2871001","087401704b5c4990995dc6b7af8a6b0a","P28710-006",5,1,3,,,,3,,,
"H2871001","087401704b5c4990995dc6b7af8a6b0a","P28710-007",6,1,3,,,,3,,,
"H4100701","08a228d06e764dc49fbbf00d813880b8","P41007-005",4,2,,,,,,,,
"H4100701","08a228d06e764dc49fbbf00d813880b8","P41007-002",2,1,1,1,"1",1,,,,
"H4100701","08a228d06e764dc49fbbf00d813880b8","P41007-004",3,2,,,,,,,,
"H1710801","08a88de2ed7b46648366085ed5bef13b",,7,1,2,1,"6",2,,,31,
"H3580601","08f99cd6418241cda1841d6a644074f9","P35806-002",1,1,3,,,,2,1,14,"18"
"H3580601","08f99cd6418241cda1841d6a644074f9",,5,2,,,,,,,,
"H0850701","09296489a3b04339968d856b0b9e44d9","P08507-001",1,1,3,,,,2,1,16,"20"
"205","097ea672d9004012a57a7084a54061ab",,2,1,1,1,"1",1,,,,
"H4260701","098efabf1d9245b6bb031ca40ce7e36c","P42607-001",1,1,1,2,,2,,,22,
"H3720201","0995195942ce4c61bd7c381d8e79e6a6","P37202-002",2,2,,,,,,,,
"H2570501","09c865966539496a8242c1018e90ef5f","P25705-007",5,2,,,,,,,,
"H1070602","09eb11716b004f3db526ff17444387ae","P10706-010",2,1,1,1,"1",2,,,17,
"H2701002","09f80c42c3cd41999116b6c09d0fe5fb",,2,2,,,,,,,,
"H2701002","09f80c42c3cd41999116b6c09d0fe5fb",,1,1,3,,,,2,3,24,"34"
"H2380401","0a049c02fa2046ebbd60a6af568aabae","P23804-002",1,1,3,,,,1,3,16,"22"
"H3100401","0a27264e6c624c93b389332b558be807","P31004-005",4,1,3,,,,3,,,
"H4200601","0a396d4827b24ea099971029d14bd817","P42006-004",4,1,3,,,,3,,,
"H4200601","0a396d4827b24ea099971029d14bd817",,16,1,2,1,"1",1,,,,
"H4200601","0a396d4827b24ea099971029d14bd817","P42006-002",2,2,,,,,,,,
"H4200601","0a396d4827b24ea099971029d14bd817","P42006-007",7,1,3,,,,3,,,
"H3040301","0a3fa4ae17e5425780754137a4e60987","P30403-002",2,2,,,,,,,,
"H2451003","0a48cd3173ac4599b9b722ced71b423c",,4,1,3,,,,3,,,
"H2451003","0a48cd3173ac4599b9b722ced71b423c","P24510-005",1,1,1,1,"2",1,,,,
"H2940601","0a72dc2637f34612b2fa35e4d4b6cc60","P29406-003",3,1,3,,,,3,,,
"H2940601","0a72dc2637f34612b2fa35e4d4b6cc60","P29406-002",2,2,,,,,,,,
"H0610503","0a762151047143afb734fafb9be8275c",,2,1,2,1,"1",1,,,,
"H0610503","0a762151047143afb734fafb9be8275c",,7,1,3,,,,3,,,
"H1080302","0ab5e0705d5b40beb0a2e79f49183356","P10803-005",1,1,2,1,"3",1,,,,
"H2310501","0ac58cb4e81e452daa6d87169534e762","P23105-001",1,1,3,,,,2,1,16,"22"
"H2310501","0ac58cb4e81e452daa6d87169534e762","P23105-003",2,2,,,,,,,,
"H2310501","0ac58cb4e81e452daa6d87169534e762","P23105-008",6,1,3,,,,3,,,
"H3971001","0ad4b37a214a455aa6080a4f197e50ca",,1,1,2,1,"9",1,,,,
"H3660401","0b1dda6c9bc74ad6b7b18d9de2497355","P36604-001",1,1,1,2,,1,,,,
"##N/A##","0b7f6c75dec34a6bb3c0990283c92be6",,1,1,1,1,"2",1,,,,
"H3581001","0b9218083309477ab20ef5b6e13a2ab0","P35810-002",2,1,2,1,"1",1,,,,
"H3240201","0b922762b1a14c53a9f6bbd6ef3ff337","P32402-002",2,1,1,1,"1",1,,,,
"58","0be0f54fc2f44d4d8328e2b8878a06d0",,1,1,1,2,,1,,,,
"H3410501","0c3e9a0e660a4ec8a84320ec2aee7f95","P34105-002",2,2,,,,,,,,
"H4181001","0c62b06017184c17bad1db399f2a4e56",,3,2,,,,,,,,
"H4181001","0c62b06017184c17bad1db399f2a4e56",,2,1,1,1,"1",2,,,17,
"H0951001","0c6c4a83fca94c7db3e8a92b921ca4b0","P09510-004",3,2,,,,,,,,
"H0951001","0c6c4a83fca94c7db3e8a92b921ca4b0","P09510-002",2,2,,,,,,,,
"H2630401","0cac20f5e69f4d00ac5d1bfc15689dba",,5,1,3,,,,3,,,
"H4180201","0ccd9462978a4880b1f650cecd2d26dd","P41802-002",2,1,3,,,,3,,,
"H4080401","0cf284629d3f460eb8d1ac4e90b0639b","P40804-002",2,1,2,1,"1",1,,,,
"H1751103","0d05119207a2485cbe3a503f04c33f1d","P17511-017",2,1,2,1,"1",2,,,17,
"H1251201","0d1503da1c134a0e912f2b7115137d57",,3,1,3,,,,3,,,
"H1741001","0d15c30cd22c44ca829cb62b6e630c26","P17410-010",4,1,2,1,"2",1,,,,
"H2020101","0d3fe7c0dc864f1eb4c9c7559a351a39","P20201-003",3,2,,,,,,,,
"H2020101","0d3fe7c0dc864f1eb4c9c7559a351a39","P20201-002",2,1,1,1,"1",1,,,,
"H0860302","0d7d45da8d23438f892a87baa61a4b7a","P08603-004",1,1,3,,,,3,,,
"H3410801","0dc5a325d5dd4987b0255e6dc261c7c9","P34108-002",2,1,2,1,"1",1,,,,
"H2630601","0dd53d87ea84437b9f5a26b992f3d396","P26306-004",4,2,,,,,,,,
"H1201001","0df38d4bdeaa40a8b3407e57cc315e31",,2,1,2,1,"1",1,,,,
"H2540902","0e22abe9b0524c3f81a1babba4b3a651",,1,1,1,1,"5",1,,,,
"H1510501","0e25633f83884662b852b82b7c7724cd","P15105-004",4,2,,,,,,,,
"H1510501","0e25633f83884662b852b82b7c7724cd","P15105-002",2,1,2,1,"1",1,,,,
"H1510501","0e25633f83884662b852b82b7c7724cd","P15105-003",3,2,,,,,,,,
"H0491303","0e3bcf22a773456eb3475d233a7dc880",,1,1,1,1,"4",1,,,,
"H1000702","0e4cdfeceae74763b9dca833f7997b04","P10007-001",1,2,,,,,,,,
"H1000702","0e4cdfeceae74763b9dca833f7997b04","P10007-002",2,1,3,,,,2,3,23,"30"
"H2991006","0e530e4dff074880bc7b09f4d3755c2d",,2,1,1,1,"1",1,,,,
"H4050901","0e587b69c8364b7ea11ac6ad8155d944","P40509-008",7,2,,,,,,,,
"H4050901","0e587b69c8364b7ea11ac6ad8155d944","P40509-003",3,2,,,,,,,,
"H4050901","0e587b69c8364b7ea11ac6ad8155d944","P40509-011",10,1,3,,,,3,,,
"H4050901","0e587b69c8364b7ea11ac6ad8155d944","P40509-007",6,2,,,,,,,,
"H4050901","0e587b69c8364b7ea11ac6ad8155d944","P40509-010",9,1,3,,,,3,,,
"H0840604","0e6bbfd7a7ff407ba8c19c68b4614a43","P08406-024",5,2,,,,,,,,
"H1400901","0eacd048e8244b7bb60a9ef372d37bd4","P14009-003",3,1,3,,,,3,,,
"H1400901","0eacd048e8244b7bb60a9ef372d37bd4","P14009-007",6,2,,,,,,,,
"H0750903","0f0210463290453bb298ac2094d5322e","P07509-033",3,1,2,1,"1",2,,,15,
"H0540702","0f1fae5e3c164a0689a528daa0977068","P05407-010",1,1,1,1,"3",1,,,,
"H0230201","0f4fac38703b4b049484b45fcbe5629f",,3,1,3,,,,3,,,
"H0510201","0f667b218c504918a233aac6e8ee5bda","P05102-002",2,1,2,1,"1",1,,,,
"H3040501","0f6771f84c3a4bbb850133c3e9b7e498",,2,1,1,1,"1",1,,,,
"H3050901","0f6b3b6cb8bb4020a328c9ca1434b2d4",,1,1,1,1,"3",2,,,46,
"H3510601","0f9890d1fd734a5cace8f29bedc49979",,4,1,1,1,"1",2,,,16,
"H0691101","0fc2473477df48789bebde3b8239f2c4","P06911-002",2,1,3,,,,3,,,
"H1480702","0fcb437569834d1c9c2606f6766add88","P14807-003",1,1,1,1,"2",1,,,,
"H0351101","0fd53ca28fec43eea667c453445091b8","P03511-002",1,1,2,1,"3",2,,,14,
"H4270101","104c763be4a348c7858dd66cc2fbc597","P42701-002",2,1,2,1,"1",1,,,,
"H2900502","10651f09e6a44d788c5947935927ecd0","P29005-002",1,1,1,1,"7",2,,,17,
"H1620302","108160782ccd45a9b7a3b97da91f5483","P16203-006",2,1,1,1,"1",1,,,,
"H4290901","108581c17994453a902a47aaec861b78","P42909-006",4,1,3,,,,1,3,25,"28"
"H2170501","108ebe553d994ae8bee890ebd2447fbf","P21705-004",4,1,3,,,,3,,,
"H2170501","108ebe553d994ae8bee890ebd2447fbf","P21705-005",5,2,,,,,,,,
"H2170501","108ebe553d994ae8bee890ebd2447fbf","P21705-002",2,1,3,,,,1,1,20,"50"
"H1260101","10c39a24e0784c66897740bdbc426cc8","P12601-005",2,1,3,,,,3,,,
"H3940201","112126f886be4437a68c163a94797d71","P39402-002",2,2,,,,,,,,
"H3940201","112126f886be4437a68c163a94797d71","P39402-004",4,2,,,,,,,,
"H2850505","117be70b702543a2a9b2c6ed42bde0d8","P28505-005",1,1,1,1,"2",1,,,,
"H2440102","119f2e2e03f143fc879b9f0ed133f62e",,1,1,1,1,"6",1,,,,
"51","11c06407f2894aa696b02bd42e1ad325",,1,1,1,2,,1,,,,
"H1640703","11cce051e10f463e9d807eac544f8298","P16407-005",2,1,1,1,"1",1,,,,
"H1880701","11d8e6e27924401f975392dbb4bb0cfb",,7,1,3,,,,2,3,17,"23"
"H3940501","11fe2002e4b64d6a9f6f9dc246c6b5cb","P39405-001",1,1,1,2,,2,,,17,
"59","1254e7d5420845449d4b2d63d8f8b555",,2,2,,,,,,,,
"H3800701","1281f3064b5548e58be32cadc2a9904e","P38007-002",2,1,1,1,"1",1,,,,
"H3800701","1281f3064b5548e58be32cadc2a9904e","P38007-004",4,2,,,,,,,,
"H0280301","12a4d25d94ea436285c294aef2a8dba5","P02803-004",4,2,,,,,,,,
"H0750902","12a8632b753f40c6959744f160ade8ff","P07509-025",2,1,2,1,"1",2,,,17,
"H3460401","12e25cf614ca4641804dd645d930b062",,5,1,2,2,,2,,,16,
"H1150602","12e688f31e39475e9ae5aa19685c7e37","P11506-019",2,1,1,1,"1",1,,,,
"H2080601","12ea98f53d374c2ab9476c087af2913e","P20806-002",2,1,1,2,,1,,,,
"H2230101","12f05714af1d40f3967c2f10c55f21e4","P22301-006",3,1,1,1,"1",1,,,,
"H3100301","131fdb31a30649e792542baee928cee3",,6,1,1,1,"1",1,,,,
"H4200801","132b1d61a34e4480a249784896828820","P42008-002",2,1,1,1,"1",1,,,,
"H3610501","1335c4b914e64b079a15b82332bc3a62","P36105-002",2,1,2,1,"1",1,,,,
"H3610501","1335c4b914e64b079a15b82332bc3a62","P36105-003",3,1,3,,,,3,,,
"H0540601","137047ed72be45cbbe79528e9a8febcf","P05406-001",1,1,3,,,,2,3,16,"23"
"H1680201","137fab734a03455f98d0124f4847fc13",,7,1,3,,,,3,,,
"H1680201","137fab734a03455f98d0124f4847fc13","P16802-002",2,1,1,1,"1",1,,,,
"H1680201","137fab734a03455f98d0124f4847fc13",,8,1,3,,,,3,,,
"H4300701","1390e21908ee4f50811be182bc761552","P43007-002",2,1,2,1,"1",1,,,,
"H4190101","139766f7e0d947e39160c8cdbe782c90","P41901-004",3,2,,,,,,,,
"H4190101","139766f7e0d947e39160c8cdbe782c90",,6,1,1,2,,2,,,15,
"H4190101","139766f7e0d947e39160c8cdbe782c90","P41901-005",4,2,,,,,,,,
"H3730201","13c8dabea0a14e74b5409df736d0c6fc","P37302-001",7,1,3,,,,1,1,20,"25"
"H0080101","13d977f195b645efb9ca44fc286a7787","P00801-002",1,1,1,2,,1,,,,
"H2140902","13e1b70c74264df2b3ce9571a64d04b7","P21409-004",1,1,1,1,"2",1,,,,
"H3730401","13e8276c99cd496081c2d78d058b2a21","P37304-007",5,1,3,,,,3,,,
"H3730401","13e8276c99cd496081c2d78d058b2a21","P37304-002",2,1,1,1,"1",1,,,,
"41","13f725a28a91400690aa319519c0dbf6",,2,1,2,1,"1",1,,,,
"H1140501","142452c4f1204a22b394324cb0f4bab9","P11405-002",2,1,1,1,"1",1,,,,
"H1140501","142452c4f1204a22b394324cb0f4bab9","P11405-005",4,2,,,,,,,,
"H2310201","14284880612f4308abfe7ad7f51cdcf8","P23102-002",2,1,1,1,"1",1,,,,
"H2310201","14284880612f4308abfe7ad7f51cdcf8","P23102-003",3,1,3,,,,3,,,
"H1310503","1444adc6326d439eaeaba1546d02d59d","P13105-005",1,1,1,1,"2",1,,,,
"H0500901","148096d4034442419b34538a7bc0dcf6",,3,2,,,,,,,,
"H0500901","148096d4034442419b34538a7bc0dcf6",,2,1,1,2,,1,,,,
"H3041201","14bfad8162b7405dbeb905bf436d082c",,2,1,1,1,"1",1,,,,
"H1300801","15112bb7ee2c432d83517c273c01cf0b","P13008-002",2,1,2,1,"1",1,,,,
"H1300801","15112bb7ee2c432d83517c273c01cf0b",,12,1,2,1,"3",1,,,,
"H0220501","1518dce3648d4658ab52d14192ff5d62",,3,2,,,,,,,,
"H0220501","1518dce3648d4658ab52d14192ff5d62",,6,1,3,,,,3,,,
"H0220501","1518dce3648d4658ab52d14192ff5d62",,4,2,,,,,,,,
"H0220501","1518dce3648d4658ab52d14192ff5d62",,7,1,3,,,,3,,,
"H0220501","1518dce3648d4658ab52d14192ff5d62",,5,2,,,,,,,,
"H4030301","1553987122bb403eac103947ccf14569","P40303-005",5,2,,,,,,,,
"H4030301","1553987122bb403eac103947ccf14569","P40303-001",1,1,3,,,,1,1,16,"24"
"H0850201","156df40d4f9c476c80ebbb625b8d60ec","P08502-002",2,2,,,,,,,,
"H3960101","15765778f2514e5db3c9fa6bb742cd00","P39601-004",4,1,3,,,,3,,,
"H3960101","15765778f2514e5db3c9fa6bb742cd00","P39601-002",2,1,1,2,,1,,,,
"H3960101","15765778f2514e5db3c9fa6bb742cd00","P39601-003",3,1,3,,,,3,,,
"H4230601","1588fa8bc10343c6a213180e185b4c77","P42306-002",2,1,1,1,"1",1,,,,
"H2570604","158fdcb371864b379252dd73d6a526b2","P25706-017",1,1,1,1,"2",1,,,,
"H0420902","15c0f37757dc46b28873a77b5e8a913d",,2,1,2,1,"1",1,,,,
"H2090201","15d2c6fc84e440a2b5aafd69093157f2",,2,1,1,1,"1",1,,,,
"36","15f9cb22388f428f9f3dcf081ccfc10a",,2,1,1,1,"1",1,,,,
"H3760801","15fd3aeeaeb34f6ea14d42f6bcdee0d6","P37608-002",2,1,1,1,"1",2,,,18,
"H3760801","15fd3aeeaeb34f6ea14d42f6bcdee0d6",,4,1,3,,,,3,,,
