"hhid","PID","s4q02","s4q03","s4q04","s4q04_1","s4q05","s4q06","s4q07","s4q08","s4q09","s4q10","s4q11","s4q12","s4q7_1a","s4q7_1b","s4q07a","s4q12_1","s4q13","s4q14","s4q14b","h4q15h","h4q15i","h4q15j","h4q15e","h4q15b","h4q15c","h4q15d","h4q15k","s4h15f","h4q15g_1","h4q15g","s4q16","s4q17","s4q18"
"00854d05d4f044c985ffce60c1b514c2",4,2,2,4,,2,,41,1,,,,,,,,,,,,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",6,1,,4,2,2,,61,1,,,,,,,,,,,,,,,,,,,,,,,,,
"00854d05d4f044c985ffce60c1b514c2",8,2,6,4,,3,,,,15,16,1,1,,,,,3,60,1,240000,,6000,,24000,32500,,,,,302500,1,1,3
"00854d05d4f044c985ffce60c1b514c2",9,2,2,4,,3,,,,14,15,2,1,,,,,4,45,1,222000,,,,32000,28200,,,,,282200,2,,2
"00854d05d4f044c985ffce60c1b514c2",10,2,2,4,,3,,,,30,31,2,3,,,,1,,,,480000,,,,25000,52500,10000,,,,567500,2,,
"00854d05d4f044c985ffce60c1b514c2",12,2,2,1,,3,,,,1,1,2,1,,,,,1,15,1,33000,,,,16000,6000,,,,,55000,2,,3
"00854d05d4f044c985ffce60c1b514c2",13,2,6,1,,3,,,,1,1,2,1,,,,,1,15,1,33000,,,,16000,6000,,,,,55000,2,,3
"00858c2384184dc3bfc800550a6c8cb5",1,2,2,4,,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",2,1,,4,2,2,,34,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00858c2384184dc3bfc800550a6c8cb5",3,2,2,4,,3,,,,30,31,2,3,,,,1,,,,,,,90000,,,75000,,,,165000,1,2,
"00858c2384184dc3bfc800550a6c8cb5",4,1,,4,2,3,,,,13,14,2,3,,,,2,1,20,1,154000,,15000,,15000,21000,,,30000,,235000,2,,1
"00858c2384184dc3bfc800550a6c8cb5",6,2,2,1,,3,,,,10,10,1,1,,,,,1,20,1,12300,,15000,,,3000,,,,,30300,1,1,3
"00858c2384184dc3bfc800550a6c8cb5",7,2,2,1,,3,,,,1,1,2,3,,,,2,1,20,1,154000,,15000,,,3000,,,30000,,202000,2,,2
"008ffc050d4e47c7920e9c7c2e35887a",1,1,,4,2,2,,15,96,,,,,,,,,,,,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",2,1,,1,1,2,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",4,2,1,4,,2,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",5,2,1,4,,2,,14,10,,,,,,,,,,,,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",6,2,1,4,,3,,,,13,14,1,1,,,,,1,15,1,8000,,3000,,6000,6000,,,2000,,25000,1,1,3
"008ffc050d4e47c7920e9c7c2e35887a",7,2,1,4,,3,,,,11,12,1,1,,,,,1,15,1,8000,,2000,,6000,5400,,,2000,,23400,1,1,3
"008ffc050d4e47c7920e9c7c2e35887a",8,2,1,1,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"008ffc050d4e47c7920e9c7c2e35887a",9,2,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",1,1,,4,2,2,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",2,1,,1,1,2,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",3,2,2,1,,3,,,,1,10,2,1,,,,,1,15,1,105000,,6000,,16000,6000,,,115000,,248000,2,,1
"00a09aedb8c049aa8364d377c26c5f81",4,2,2,1,,3,,,,1,1,2,1,,,,,1,15,1,90000,,,,12000,5000,,,115000,,222000,2,,2
"00a09aedb8c049aa8364d377c26c5f81",5,1,,1,1,2,,14,10,,,,,,,,,,,,,,,,,,,,,,,,,
"00a09aedb8c049aa8364d377c26c5f81",6,2,2,1,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",1,1,,1,1,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",2,2,1,1,,3,,,,0,1,2,3,,,,1,,,,1,10000,1,,,21000,24000,,,90000,145000,2,,
"00a68f13f97141199e9fda8aacbccc8d",3,2,1,1,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00a68f13f97141199e9fda8aacbccc8d",4,2,1,1,,2,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00bbd034f88649bc980b091d4a5af645",1,1,,4,2,2,,15,9,,,,,,,,,,,,,,,,,,,,,,,,,
"00bbd034f88649bc980b091d4a5af645",2,2,1,4,,3,,,,60,60,1,3,3,1,1,1,,,,,,,,,,,,,,,2,,
"00bbd034f88649bc980b091d4a5af645",3,2,1,4,,3,,,,34,35,2,3,,,,1,,,,,,,,,,,,,,,2,,
"00bbd034f88649bc980b091d4a5af645",4,2,1,1,,2,,13,9,,,,,,,,,,,,,,,,,,,,,,,,,
"00bbd034f88649bc980b091d4a5af645",5,2,1,4,,2,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",1,1,,4,2,2,,16,13,,,,,,,,,,,,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",2,1,,1,1,2,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",3,2,2,1,,3,,,,10,10,1,1,,,,,0.8,10,1,3000,,4500,,,10000,,,12000,,29500,1,1,2
"00db391b5a9a4ef0954f50f148069c46",4,2,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",5,2,2,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00db391b5a9a4ef0954f50f148069c46",7,2,2,1,,3,,,,11,12,1,1,,,,,0.8,10,1,6000,,4500,,,12000,,,15000,,37500,1,1,2
"00e23121bad94719bff27f93646437b3",1,1,,4,2,2,,31,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00e23121bad94719bff27f93646437b3",2,1,,4,2,2,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00e23121bad94719bff27f93646437b3",4,2,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00e23121bad94719bff27f93646437b3",6,1,,4,2,3,,,,15,16,1,1,,,,,3.5,60,1,24000,,39000,,15000,29400,,,48000,,155400,1,1,2
"00e23121bad94719bff27f93646437b3",7,2,1,1,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00e23121bad94719bff27f93646437b3",8,2,1,4,,3,,,,13,13,1,1,,,,,3.5,60,1,24000,,9000,,15000,17800,,,36000,,101800,1,1,2
"00eb1114df14443a9effe1db5343435d",1,1,,2,2,2,,61,1,,,,,,,,,,,,,,,,,,,,,,,,,
"00eb1114df14443a9effe1db5343435d",2,2,1,2,,2,,32,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00f1eb71d428408f888b058a8e8664fe",1,1,,2,2,2,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00f1eb71d428408f888b058a8e8664fe",2,2,1,4,,2,,32,3,,,,,,,,,,,,,,,,,,,,,,,,,
"00f1eb71d428408f888b058a8e8664fe",4,2,1,1,,3,,,,10,11,1,1,,,,,0.5,20,1,45000,,9000,,,12000,,,,30000,96000,1,1,2
"00f1eb71d428408f888b058a8e8664fe",5,2,2,4,,3,,,,12,13,1,1,,,,,0.5,20,1,45000,,9000,,,12000,,,,30000,96000,1,1,2
"00f1eb71d428408f888b058a8e8664fe",6,2,1,4,,3,,,,11,12,1,1,,,,,0.5,20,1,45000,,9000,,,12000,,,,30000,96000,1,1,2
"00f1eb71d428408f888b058a8e8664fe",7,2,2,1,,3,,,,1,1,1,1,,,,,0.5,20,1,45000,,9000,,,4500,,,,,58500,1,1,3
"0101511a1da74f35b4fb8fd0c2cf8e69",1,1,,4,2,2,,15,96,,,,,,,,,,,,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",4,2,15,4,,3,,,,32,33,2,3,,,,2,4.8,60,1,240000,,,,,90000,,,120000,,450000,1,1,2
"0101511a1da74f35b4fb8fd0c2cf8e69",6,2,15,4,,3,,,,32,33,4,3,,,,1,,,,510000,,,,,90000,30000,,,,630000,1,4,
"0101511a1da74f35b4fb8fd0c2cf8e69",7,1,,4,2,3,,,,16,30,1,1,,,,,4,90,1,55800,,,,,40000,,,,,95800,1,1,2
"0101511a1da74f35b4fb8fd0c2cf8e69",8,1,,4,2,3,,,,15,16,1,3,,,,1,,,,15000,,,,,30000,,,,68000,113000,1,1,
"0101511a1da74f35b4fb8fd0c2cf8e69",9,1,,4,2,3,,,,14,15,1,3,,,,2,4,90,1,15000,,,,,25000,,,,,40000,1,1,3
"0101511a1da74f35b4fb8fd0c2cf8e69",10,2,15,4,,3,,,,13,14,1,3,,,,2,4,90,1,15000,,,,,25000,,,,,40000,1,1,3
"0101511a1da74f35b4fb8fd0c2cf8e69",11,2,15,4,,3,,,,11,12,1,3,,,,2,2,30,1,15000,,,,,15000,,,,,30000,1,1,3
"0101511a1da74f35b4fb8fd0c2cf8e69",15,1,,4,2,2,,34,3,,,,,,,,,,,,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",17,2,15,1,,3,,,,10,10,1,3,,,,2,2,40,1,15000,,,,,9000,,,,,24000,1,1,3
"0101511a1da74f35b4fb8fd0c2cf8e69",18,1,,1,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0101511a1da74f35b4fb8fd0c2cf8e69",19,1,,4,2,3,,,,32,33,1,3,,,,2,8.5,90,8,480000,,,,,90000,,,,,570000,1,1,2
"0103050b934841289df128242538e3ea",1,2,2,4,,2,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,
"0103050b934841289df128242538e3ea",2,1,,1,1,2,,13,5,,,,,,,,,,,,,,,,,,,,,,,,,
"0103050b934841289df128242538e3ea",4,2,2,1,,3,,,,13,13,1,1,,,,,2,45,1,15000,,,,,9000,,,,,24000,1,3,2
"0103050b934841289df128242538e3ea",5,2,2,1,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0103050b934841289df128242538e3ea",6,2,2,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0103050b934841289df128242538e3ea",7,2,2,1,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0103050b934841289df128242538e3ea",8,2,2,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01152e19bbdd4744a712260121f34bf7",1,1,,4,2,2,,41,13,,,,,,,,,,,,,,,,,,,,,,,,,
"01152e19bbdd4744a712260121f34bf7",2,2,1,4,,2,,34,3,,,,,,,,,,,,,,,,,,,,,,,,,
"01152e19bbdd4744a712260121f34bf7",3,2,1,4,,3,,,,11,12,2,1,,,,,0.5,10,1,210000,,3000,,,36600,,,,,249600,2,,3
"0125c97b154d4f249c07f630cd52a102",1,1,,1,1,2,,13,11,,,,,,,,,,,,,,,,,,,,,,,,,
"0125c97b154d4f249c07f630cd52a102",2,2,1,1,,3,,,,11,12,1,1,,,,,3,40,1,,,12000,,,36000,,,30000,,78000,1,1,2
"0130f7b8553e41139cc871d924491db2",1,1,,4,2,2,,16,12,,,,,,,,,,,,,,,,,,,,,,,,,
"0130f7b8553e41139cc871d924491db2",2,2,1,1,,2,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,
"0130f7b8553e41139cc871d924491db2",3,2,1,4,,3,,,,15,16,1,1,,,,,1,20,1,96000,30000,15000,,8000,30000,,,100000,,279000,2,,2
"0130f7b8553e41139cc871d924491db2",4,2,1,4,,2,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,
"0130f7b8553e41139cc871d924491db2",5,2,1,4,,3,,,,12,13,1,1,,,,,1,20,1,9000,,6000,,7000,15000,,,5000,,42000,1,1,3
"0130f7b8553e41139cc871d924491db2",6,2,1,4,,3,,,,11,11,1,1,,,,,1,20,1,9000,,6000,,7000,15000,,,5000,,42000,1,1,3
"01474a4d9efd4b8190c37f5fba89a005",1,2,2,4,,2,,17,13,,,,,,,,,,,,,,,,,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",2,1,,4,2,2,,61,1,,,,,,,,,,,,,,,,,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",4,2,2,4,,3,,,,33,34,2,3,,,,2,1,20,1,1450000,50000,,,200000,210000,,,,,1910000,2,,2
"01474a4d9efd4b8190c37f5fba89a005",5,2,2,4,,3,,,,32,33,2,3,,,,2,2,10,2,,,,,,,,,,,,2,,2
"01474a4d9efd4b8190c37f5fba89a005",6,2,2,4,,2,,34,3,,,,,,,,,,,,,,,,,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",7,2,2,4,,3,,,,11,12,1,3,,,,2,1.5,40,1,115000,,,,25000,60000,,,,,200000,1,1,2
"01474a4d9efd4b8190c37f5fba89a005",8,2,2,4,,3,,,,11,12,1,3,,,,1,,,,,,,,,,,,,,,2,,
"01474a4d9efd4b8190c37f5fba89a005",9,2,2,1,,3,,,,0,1,2,1,,,,,0.2,10,1,,,,,,,,,,,,2,,2
"01474a4d9efd4b8190c37f5fba89a005",10,2,2,1,,3,,,,1,1,2,3,,,,2,0.5,15,4,,,,,,,,,,,,2,,2
"01474a4d9efd4b8190c37f5fba89a005",11,2,2,4,,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",13,2,2,4,,2,,36,12,,,,,,,,,,,,,,,,,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",16,2,2,4,,3,,,,15,16,1,3,,,,1,,,,,,,,,,,,,,,1,1,
"01474a4d9efd4b8190c37f5fba89a005",17,2,2,4,,3,,,,10,11,1,3,,,,2,1.5,40,1,,,,,,,,,,,,1,1,2
"01474a4d9efd4b8190c37f5fba89a005",20,2,2,4,,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",22,2,2,1,,3,,,,1,1,2,1,,,,,0.5,5,1,,,,,,,,,,,,2,,2
"01474a4d9efd4b8190c37f5fba89a005",30,2,2,1,,3,,,,0,1,2,1,,,,,0.2,5,1,,,,,,,,,,,,2,,2
"01483c3751964ad2842b6e4a8b6edcdd",1,2,2,4,,2,,14,3,,,,,,,,,,,,,,,,,,,,,,,,,
"01483c3751964ad2842b6e4a8b6edcdd",2,1,,4,2,2,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,
"01483c3751964ad2842b6e4a8b6edcdd",4,2,2,4,,3,,,,12,13,1,1,,,,,0.4,30,1,54000,,,,,22500,,,,,76500,1,1,3
"01483c3751964ad2842b6e4a8b6edcdd",5,2,2,4,,3,,,,1,10,1,1,,,,,0.2,60,1,30000,,,,,21000,,,,,51000,2,,3
"01483c3751964ad2842b6e4a8b6edcdd",6,1,,4,2,2,,14,11,,,,,,,,,,,,,,,,,,,,,,,,,
"01483c3751964ad2842b6e4a8b6edcdd",7,2,2,4,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
"014de44f6ef44053a6742d1db80fe516",1,1,,1,1,2,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,
"014de44f6ef44053a6742d1db80fe516",2,1,,1,1,2,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,
"014de44f6ef44053a6742d1db80fe516",3,2,1,4,,3,,,,31,32,2,1,,,,,1.5,60,1,210000,,,,12000,50000,,,,15000,287000,1,1,2
"014de44f6ef44053a6742d1db80fe516",5,1,,4,2,3,,,,15,16,1,2,,,,,,,,194000,30000,,,15000,40000,,,,10000,289000,1,1,
"014de44f6ef44053a6742d1db80fe516",6,2,1,1,,3,,,,13,14,1,1,,,,,2,60,1,,,,,8500,12000,,,,45000,65500,1,1,2
"014de44f6ef44053a6742d1db80fe516",7,2,1,1,,3,,,,11,12,1,1,,,,,2,60,1,,,,,12000,10000,,,,45000,67000,1,1,2
"014de44f6ef44053a6742d1db80fe516",8,2,1,1,,3,,,,10,11,1,1,,,,,2,60,1,,,,,8000,9000,,,,31500,48500,1,1,2
"014de44f6ef44053a6742d1db80fe516",9,2,1,1,,3,,,,0,1,2,1,,,,,0.5,20,1,50000,1000,2000,,,3000,,,,10000,66000,2,,2
"014de44f6ef44053a6742d1db80fe516",10,2,1,1,,3,,,,0,1,2,1,,,,,0.5,20,1,60000,1000,2000,,,3000,,,,10000,76000,2,,2
"014de44f6ef44053a6742d1db80fe516",12,2,1,1,,3,,,,0,1,2,1,,,,,0.5,20,1,40000,1000,2000,,,3000,,,,10000,56000,2,,2
"014de44f6ef44053a6742d1db80fe516",13,2,1,1,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
"015b2f40827d4d70a5aa4ac958235a78",1,1,,1,1,2,,17,10,,,,,,,,,,,,,,,,,,,,,,,,,
"0192be21a93d4c2d83997fb6dc1c3ea6",1,1,,4,2,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,
"0192be21a93d4c2d83997fb6dc1c3ea6",5,1,,4,2,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,
"0192be21a93d4c2d83997fb6dc1c3ea6",6,2,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01946faa112841669f992ad1c026ddb6",1,1,,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01c14a909dd54c2088fe1b32e84ae2ec",1,2,2,1,,2,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,
"01c14a909dd54c2088fe1b32e84ae2ec",2,1,,2,2,2,,32,3,,,,,,,,,,,,,,,,,,,,,,,,,
"01c14a909dd54c2088fe1b32e84ae2ec",3,2,2,1,,3,,,,1,1,2,3,,,,2,1.5,30,1,170000,,,,20000,9000,,,15000,,214000,2,,2
"01c14a909dd54c2088fe1b32e84ae2ec",4,2,2,1,,3,,,,0,1,2,3,,,,2,1.5,30,1,70000,10000,,,20000,3000,,,,,103000,2,,2
"01c6b5639280472aa1dbfea2b7c10c24",1,1,,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01c6b5639280472aa1dbfea2b7c10c24",2,2,1,4,,2,,34,13,,,,,,,,,,,,,,,,,,,,,,,,,
"01c6b5639280472aa1dbfea2b7c10c24",4,2,1,1,,3,,,,12,13,2,3,,,,2,1,45,1,270000,,,,,40000,,,,,310000,2,,1
"01c6b5639280472aa1dbfea2b7c10c24",6,2,1,1,,3,,,,0,1,2,1,,,,,0.2,10,1,110000,,,,20000,20000,,,,,150000,2,,1
"01dfba97dd29447f9a82aef0f59237de",1,1,,4,2,2,,17,10,,,,,,,,,,,,,,,,,,,,,,,,,
"01dfba97dd29447f9a82aef0f59237de",2,2,1,1,,2,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,
"01dfba97dd29447f9a82aef0f59237de",3,2,1,4,,3,,,,14,15,2,1,,,,,2,30,1,90000,,9000,,,21000,,,30000,,150000,2,,2
"01dfba97dd29447f9a82aef0f59237de",5,2,1,4,,3,,,,1,1,2,1,,,,,1,30,1,90000,,9000,,8000,5000,,,30000,,142000,2,,2
"01dfba97dd29447f9a82aef0f59237de",6,2,1,4,,2,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,
"01fc2a6821064f528ca01e20dbea8db2",1,1,,4,2,2,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,
"01fc2a6821064f528ca01e20dbea8db2",2,1,,1,1,2,,12,3,,,,,,,,,,,,,,,,,,,,,,,,,
"01fc2a6821064f528ca01e20dbea8db2",3,1,,4,2,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,
"01fc2a6821064f528ca01e20dbea8db2",4,1,,4,1,2,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,
"01fc2a6821064f528ca01e20dbea8db2",5,2,1,4,,2,,16,10,,,,,,,,,,,,,,,,,,,,,,,,,
"01fc2a6821064f528ca01e20dbea8db2",6,2,1,4,,3,,,,13,14,1,1,,,,,2,40,1,15000,,9000,,15000,27000,,,40000,,106000,1,1,3
"01fc2a6821064f528ca01e20dbea8db2",7,2,2,4,,3,,,,13,13,1,1,,,,,0.5,15,1,10000,,,,15000,25000,,,14000,,64000,1,1,3
"01fc2a6821064f528ca01e20dbea8db2",8,2,2,4,,3,,,,12,13,1,1,,,,,0.5,15,1,10000,,4000,,15000,30000,,,15000,,74000,1,1,3
"01fc2a6821064f528ca01e20dbea8db2",9,2,2,4,,3,,,,10,11,1,1,,,,,0.5,15,1,10000,,4000,,7000,10000,,,,,31000,1,1,3
"01fc2a6821064f528ca01e20dbea8db2",11,2,2,4,,3,,,,11,12,1,1,,,,,0.5,15,1,10000,,4000,,,10000,,,,,24000,1,1,3
"01fc2a6821064f528ca01e20dbea8db2",12,2,2,1,,3,,,,10,10,1,1,,,,,0.5,15,1,9000,,4000,,,8000,,,,,21000,1,1,3
"01fc2a6821064f528ca01e20dbea8db2",13,2,2,4,,2,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,
"020fd884bebf40b0a97f2156b8eda1b6",1,1,,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"020fd884bebf40b0a97f2156b8eda1b6",2,1,,4,2,2,,31,3,,,,,,,,,,,,,,,,,,,,,,,,,
"020fd884bebf40b0a97f2156b8eda1b6",3,2,2,4,,2,,16,10,,,,,,,,,,,,,,,,,,,,,,,,,
"020fd884bebf40b0a97f2156b8eda1b6",5,2,2,4,,2,,15,9,,,,,,,,,,,,,,,,,,,,,,,,,
"021babeee5f646108cbe9bb3b2a4c485",1,2,3,4,,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,
"021babeee5f646108cbe9bb3b2a4c485",2,1,,4,2,2,,16,3,,,,,,,,,,,,,,,,,,,,,,,,,
"021babeee5f646108cbe9bb3b2a4c485",3,2,2,1,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
"021babeee5f646108cbe9bb3b2a4c485",5,1,,1,1,2,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,
"02257a7aa9a94ca9b464e910e2bd642d",1,1,,1,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02257a7aa9a94ca9b464e910e2bd642d",2,2,1,4,,3,,,,12,13,1,1,,,,,1,30,1,1,,1,,,15000,,,,75000,90000,1,1,3
"02257a7aa9a94ca9b464e910e2bd642d",3,2,1,4,,3,,,,12,13,1,1,,,,,1,30,1,1,,1,,,15000,,,,75000,90000,1,1,3
"02257a7aa9a94ca9b464e910e2bd642d",4,2,1,1,,3,,,,1,10,1,1,,,,,2,60,1,1,,1,,17000,15000,,,,150000,182000,2,,3
"02257a7aa9a94ca9b464e910e2bd642d",5,2,1,4,,2,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,
"02257a7aa9a94ca9b464e910e2bd642d",6,2,1,1,,3,,,,10,11,1,1,,,,,1,30,1,1,,1,,,9000,,,,75000,84000,1,1,3
"02257a7aa9a94ca9b464e910e2bd642d",7,2,1,1,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"023400859c2e49d9a0701040d93fa0f2",1,1,,4,2,2,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,
"023400859c2e49d9a0701040d93fa0f2",2,2,1,4,,2,,15,12,,,,,,,,,,,,,,,,,,,,,,,,,
"023400859c2e49d9a0701040d93fa0f2",3,2,1,4,,2,,34,3,,,,,,,,,,,,,,,,,,,,,,,,,
"023400859c2e49d9a0701040d93fa0f2",4,2,1,4,,3,,,,34,35,1,3,,,,1,,,,450000,,,,50000,150000,,,,,650000,1,4,
"023400859c2e49d9a0701040d93fa0f2",5,2,1,4,,3,,,,40,40,2,1,2,1,1,,3,60,1,200000,10000,,,,5000,,,23000,,238000,2,,3
"023400859c2e49d9a0701040d93fa0f2",6,2,1,4,,3,,,,30,31,1,3,,,,1,,,,1350000,,,,60000,160000,,,,,1570000,2,,
"023400859c2e49d9a0701040d93fa0f2",7,2,1,4,,3,,,,16,30,1,3,,,,2,2.5,60,1,500000,10000,,,35000,40000,,,,,585000,2,,2
"023400859c2e49d9a0701040d93fa0f2",8,2,1,1,,3,,,,11,12,2,1,,,,,2,40,1,60000,,21000,,20000,30000,,,60000,,191000,1,1,2
"023400859c2e49d9a0701040d93fa0f2",9,2,1,4,,3,,,,33,34,1,1,,,,,3,60,1,150000,10000,,,40000,120000,,,45000,,365000,1,1,2
"023400859c2e49d9a0701040d93fa0f2",11,2,1,4,,3,,,,15,40,2,1,2,1,1,,3,60,1,400000,,,,,5000,,,23000,,428000,2,,3
"024a80a27283471e857285cf751564ae",1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"024a80a27283471e857285cf751564ae",2,2,1,4,,2,,36,3,,,,,,,,,,,,,,,,,,,,,,,,,
"024a80a27283471e857285cf751564ae",4,2,1,4,,3,,,,14,15,1,1,,,,,1.5,40,1,36000,,,,,18500,,,17500,,72000,1,1,3
"02617e359bfc48cbaa6ff204cb915790",1,2,2,4,,2,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,
"02617e359bfc48cbaa6ff204cb915790",2,1,,1,1,2,,13,3,,,,,,,,,,,,,,,,,,,,,,,,,
