"hhid","childFoodDiversity__id","T2_c","PID"
"1df0145a0ab24b12a2d71a32368f7c20",11,7,4
"1df0145a0ab24b12a2d71a32368f7c20",1,7,4
"1df0145a0ab24b12a2d71a32368f7c20",13,7,4
"1df0145a0ab24b12a2d71a32368f7c20",23,7,4
"1e603a50fb0842b7b442cb034660f8ff",4,3,5
"1e603a50fb0842b7b442cb034660f8ff",3,2,5
"1e603a50fb0842b7b442cb034660f8ff",1,7,5
"1e603a50fb0842b7b442cb034660f8ff",9,2,5
"1e603a50fb0842b7b442cb034660f8ff",13,7,5
"1e603a50fb0842b7b442cb034660f8ff",8,1,5
"1e603a50fb0842b7b442cb034660f8ff",6,2,5
"1e603a50fb0842b7b442cb034660f8ff",10,2,5
"1e603a50fb0842b7b442cb034660f8ff",5,4,5
"1e6d3e4b71e8433ebec03f89d6b099b9",19,7,6
"1e6d3e4b71e8433ebec03f89d6b099b9",1,7,6
"1e6d3e4b71e8433ebec03f89d6b099b9",6,1,6
"1e6d3e4b71e8433ebec03f89d6b099b9",8,1,6
"1e6d3e4b71e8433ebec03f89d6b099b9",3,3,6
"1e796e9fa1c64e16943f69008601d15b",11,4,3
"1e796e9fa1c64e16943f69008601d15b",1,5,3
"1e796e9fa1c64e16943f69008601d15b",4,4,3
"1e796e9fa1c64e16943f69008601d15b",21,3,3
"1e99e5da500a4d44aef666fb07a8d0d2",1,3,6
"1e99e5da500a4d44aef666fb07a8d0d2",4,2,6
"1ec5f5dabb5c49679ddd4a558120328d",3,3,8
"1ec5f5dabb5c49679ddd4a558120328d",1,7,8
"1ec5f5dabb5c49679ddd4a558120328d",4,3,8
"1ec5f5dabb5c49679ddd4a558120328d",11,4,8
"1ee1ef1774294ebe8767b0cf2f71cb8a",1,7,10
"1ee1ef1774294ebe8767b0cf2f71cb8a",12,7,10
"2062fd74021e4fdc81f6dc28ca48674c",13,3,5
"2062fd74021e4fdc81f6dc28ca48674c",1,7,5
"2062fd74021e4fdc81f6dc28ca48674c",3,7,5
"2062fd74021e4fdc81f6dc28ca48674c",19,7,5
"2062fd74021e4fdc81f6dc28ca48674c",11,3,5
"20eff2f68f514a169a4d565c7e03c714",11,7,4
"20eff2f68f514a169a4d565c7e03c714",23,7,4
"20eff2f68f514a169a4d565c7e03c714",1,7,4
"21228dd963014e41a1abc66bc2e70d39",3,7,4
"21228dd963014e41a1abc66bc2e70d39",11,7,4
"21356128700341afab4bae888ad2f981",3,2,9
"21356128700341afab4bae888ad2f981",11,3,9
"21356128700341afab4bae888ad2f981",1,2,9
"217a20d82c0446a4928918df038adca4",23,7,5
"217a20d82c0446a4928918df038adca4",3,1,5
"217a20d82c0446a4928918df038adca4",1,7,5
"217a20d82c0446a4928918df038adca4",11,7,5
"21af07d78ce04063a86281f45e4277be",1,7,10
"21af07d78ce04063a86281f45e4277be",12,7,10
"21af07d78ce04063a86281f45e4277be",3,7,10
"22332408a42c448fa7ac8f958aea186f",5,1,9
"22332408a42c448fa7ac8f958aea186f",6,7,9
"22332408a42c448fa7ac8f958aea186f",23,7,9
"22332408a42c448fa7ac8f958aea186f",4,7,9
"22332408a42c448fa7ac8f958aea186f",13,3,9
"2279a0d187384ac491f8c51a8fab14a0",3,1,4
"2279a0d187384ac491f8c51a8fab14a0",11,3,4
"2333ca9510e4498f8d54172fa9728246",1,7,2
"2333ca9510e4498f8d54172fa9728246",4,7,2
"2333ca9510e4498f8d54172fa9728246",13,7,2
"2353319aa97d462c9e3c06c17aeb4da9",1,7,6
"2353319aa97d462c9e3c06c17aeb4da9",2,3,6
"25c1e14ebc92478c9687b83c28f200c7",1,7,5
"25c1e14ebc92478c9687b83c28f200c7",2,7,5
"25c1e14ebc92478c9687b83c28f200c7",10,2,5
"25c1e14ebc92478c9687b83c28f200c7",4,7,5
"25c1e14ebc92478c9687b83c28f200c7",5,7,5
"26200519fc50421e9124dc3852fa642b",3,7,6
"26df7db98a224f2d8cc3df26834c8cb3",15,1,14
"26df7db98a224f2d8cc3df26834c8cb3",1,7,14
"26df7db98a224f2d8cc3df26834c8cb3",4,3,14
"26df7db98a224f2d8cc3df26834c8cb3",9,1,14
"26df7db98a224f2d8cc3df26834c8cb3",3,2,14
"27237f19b78242dbbc6cb7d6b3b68dcb",4,1,4
"27237f19b78242dbbc6cb7d6b3b68dcb",23,7,4
"27237f19b78242dbbc6cb7d6b3b68dcb",19,7,4
"27237f19b78242dbbc6cb7d6b3b68dcb",2,3,4
"27237f19b78242dbbc6cb7d6b3b68dcb",3,3,4
"27237f19b78242dbbc6cb7d6b3b68dcb",1,7,4
"277509c12a5148299027784fbb1bfd7c",23,6,9
"277509c12a5148299027784fbb1bfd7c",1,3,9
"281c1e9727e24f3ba38cd4bdaec4edf0",8,1,6
"281c1e9727e24f3ba38cd4bdaec4edf0",11,6,6
"281c1e9727e24f3ba38cd4bdaec4edf0",1,3,6
"281c1e9727e24f3ba38cd4bdaec4edf0",13,4,6
"281c1e9727e24f3ba38cd4bdaec4edf0",5,2,6
"28a179792a564fd496adc09a3de78988",1,2,4
"28a179792a564fd496adc09a3de78988",19,7,4
"28a179792a564fd496adc09a3de78988",23,2,4
"28a179792a564fd496adc09a3de78988",13,3,4
"28a179792a564fd496adc09a3de78988",11,3,4
"28fae53d8b8b40708861a82637daba05",5,5,4
"28fae53d8b8b40708861a82637daba05",19,7,4
"2996bdef98fc498eb7d1544ab289a949",4,2,9
"29f77616aa4f47ffb44bac82fbacef59",1,7,5
"29f77616aa4f47ffb44bac82fbacef59",8,2,5
"29f77616aa4f47ffb44bac82fbacef59",2,4,5
"29f77616aa4f47ffb44bac82fbacef59",3,2,5
"2a3fdc60eacb43afa748089b59e75d72",3,6,9
"2a3fdc60eacb43afa748089b59e75d72",19,7,9
"2a85264bf5b74593930eae2103209224",21,7,4
"2a85264bf5b74593930eae2103209224",1,7,4
"2ab832b9019a4d45b3b1c5a93eb436d5",11,6,7
"2ab832b9019a4d45b3b1c5a93eb436d5",1,7,7
"2ada189776a548d89a6c2f2bff16b5c2",19,5,7
"2ada189776a548d89a6c2f2bff16b5c2",13,7,7
"2ada189776a548d89a6c2f2bff16b5c2",1,7,7
"2ada189776a548d89a6c2f2bff16b5c2",11,3,7
"2af8d5fd8b2a4458b30dddd1f3d5a9b8",1,7,8
"2b7afe6f631548f48a9cfcb272c63cad",1,7,2
"2b7afe6f631548f48a9cfcb272c63cad",13,2,2
"2b7afe6f631548f48a9cfcb272c63cad",10,4,2
"2b80b3ba5e2a48028b2fdff1c0491d2c",23,7,8
"2b80b3ba5e2a48028b2fdff1c0491d2c",6,7,8
"2b80b3ba5e2a48028b2fdff1c0491d2c",1,7,8
"2b80b3ba5e2a48028b2fdff1c0491d2c",21,4,8
"2b80b3ba5e2a48028b2fdff1c0491d2c",3,14,8
"2b97ff1426c44de289a445eded0ccb86",11,7,7
"2b97ff1426c44de289a445eded0ccb86",3,7,7
"2bfb2d5d0484428fb2747b0cecd88b2b",6,7,11
"2bfb2d5d0484428fb2747b0cecd88b2b",4,3,11
"2bfb2d5d0484428fb2747b0cecd88b2b",3,2,11
"2bfb2d5d0484428fb2747b0cecd88b2b",10,2,11
"2bfb2d5d0484428fb2747b0cecd88b2b",1,2,11
"2c61df53e09649b49a7da037174d0996",1,7,8
"2c61df53e09649b49a7da037174d0996",4,3,8
"2c6a0b01f8df427f944dc88e15550d44",16,5,5
"2c6a0b01f8df427f944dc88e15550d44",8,2,5
"2c6a0b01f8df427f944dc88e15550d44",11,3,5
"2c6a0b01f8df427f944dc88e15550d44",13,1,5
"2c6a0b01f8df427f944dc88e15550d44",3,7,5
"2c8a0ac39a1a441a96182ad2be1326d9",4,7,4
"2c8a0ac39a1a441a96182ad2be1326d9",1,7,4
"2c8a0ac39a1a441a96182ad2be1326d9",11,6,4
"2c8e03b857bc459fb92fac9045dbcacf",11,2,6
"2c8e03b857bc459fb92fac9045dbcacf",19,7,6
"2c8e03b857bc459fb92fac9045dbcacf",5,2,6
"2c8e03b857bc459fb92fac9045dbcacf",1,2,6
"2c8e03b857bc459fb92fac9045dbcacf",10,1,6
"2c8e03b857bc459fb92fac9045dbcacf",2,1,6
"2c8e03b857bc459fb92fac9045dbcacf",3,2,6
"2cb1f00388b745698cde84ee0091c1e5",11,5,8
"2cb1f00388b745698cde84ee0091c1e5",13,6,8
"2cb1f00388b745698cde84ee0091c1e5",23,3,8
"2cb1f00388b745698cde84ee0091c1e5",22,6,8
"2cb1f00388b745698cde84ee0091c1e5",3,3,8
"2cb1f00388b745698cde84ee0091c1e5",1,4,8
"2cb1f00388b745698cde84ee0091c1e5",4,1,8
"2cb1f00388b745698cde84ee0091c1e5",5,3,8
"2d6b5d1b5929451998ee1d8302f0db26",11,7,4
"2d6b5d1b5929451998ee1d8302f0db26",10,7,4
"2d6b5d1b5929451998ee1d8302f0db26",1,7,4
"2d6b5d1b5929451998ee1d8302f0db26",23,7,4
"2d9fb7ca4e764d448ca445f70e9378db",1,1,10
"2db9bb876ffd4de3bf35e7b4c6d03c86",1,0,4
"2db9bb876ffd4de3bf35e7b4c6d03c86",3,1,4
"2db9bb876ffd4de3bf35e7b4c6d03c86",11,2,4
"2dccaa73a2344662a2071d34410deac2",13,6,4
"2dccaa73a2344662a2071d34410deac2",23,7,4
"2dccaa73a2344662a2071d34410deac2",8,2,4
"2dccaa73a2344662a2071d34410deac2",3,3,4
"2dccaa73a2344662a2071d34410deac2",1,2,4
"2dccaa73a2344662a2071d34410deac2",11,6,4
"2e005c9d33a1496889bc2668de51f031",13,3,6
"2e005c9d33a1496889bc2668de51f031",1,7,6
"2e005c9d33a1496889bc2668de51f031",23,7,6
"2e856f1055a9440ab29a01767377b8a8",3,3,4
"2e856f1055a9440ab29a01767377b8a8",6,2,4
"2e856f1055a9440ab29a01767377b8a8",1,2,4
"2e856f1055a9440ab29a01767377b8a8",11,4,4
"2e856f1055a9440ab29a01767377b8a8",13,5,4
"2e856f1055a9440ab29a01767377b8a8",4,2,4
"2e856f1055a9440ab29a01767377b8a8",8,1,4
"2e856f1055a9440ab29a01767377b8a8",21,7,4
"2ea2a43b1e1943c7bdc4c6e239b5f390",9,7,10
"2ea2a43b1e1943c7bdc4c6e239b5f390",21,98,10
"2ea2a43b1e1943c7bdc4c6e239b5f390",23,7,10
"2ea2a43b1e1943c7bdc4c6e239b5f390",5,0,10
"2ea2a43b1e1943c7bdc4c6e239b5f390",3,3,10
"2ebeec35d766400bb532f402fe7533dc",3,2,6
"2ebeec35d766400bb532f402fe7533dc",23,4,6
"2f144f92a2b64dcdb520dec89307cd53",2,4,4
"2f144f92a2b64dcdb520dec89307cd53",5,4,4
"2f144f92a2b64dcdb520dec89307cd53",1,7,4
"2f144f92a2b64dcdb520dec89307cd53",3,7,4
"2f9952ff230e43e5a88870c5dbaaa325",11,3,10
"2f9952ff230e43e5a88870c5dbaaa325",15,2,10
"2f9952ff230e43e5a88870c5dbaaa325",1,3,10
"2f9952ff230e43e5a88870c5dbaaa325",5,7,10
"2f9952ff230e43e5a88870c5dbaaa325",4,4,10
"2fb38936615b4db3a67d76b621284603",11,7,6
"2fb38936615b4db3a67d76b621284603",12,7,6
"2fdef796914c4c00a3f3164e76f43b57",1,7,3
"2fdef796914c4c00a3f3164e76f43b57",11,7,3
"30322018c45f4c6b95cec1f96fbea405",4,3,10
"30322018c45f4c6b95cec1f96fbea405",11,3,10
"30322018c45f4c6b95cec1f96fbea405",1,3,10
"31ad2ecbbb2b415fbe958982b5502c35",15,4,7
"31ad2ecbbb2b415fbe958982b5502c35",6,4,7
"31ad2ecbbb2b415fbe958982b5502c35",11,2,7
"31ad2ecbbb2b415fbe958982b5502c35",19,7,7
"31ad2ecbbb2b415fbe958982b5502c35",3,3,7
"31ad2ecbbb2b415fbe958982b5502c35",12,3,7
"3290dc38c12b4bdf8a98096dc5fce083",6,2,9
"3290dc38c12b4bdf8a98096dc5fce083",3,4,9
"32e86c42baf14a2a80377b9206c590f0",4,4,11
"32e86c42baf14a2a80377b9206c590f0",1,2,11
"336eaf99465645a9a411f706b1eefd43",1,7,2
"336eaf99465645a9a411f706b1eefd43",4,3,2
"34596ad80dd949dab8419c2ca8144e61",11,7,3
"34596ad80dd949dab8419c2ca8144e61",3,5,3
"34ebc424a83444a783220940c21e3568",1,7,4
"34ebc424a83444a783220940c21e3568",13,7,4
"34ebc424a83444a783220940c21e3568",4,7,4
"35a4759799a64403abcf6f526479d782",21,1,6
"35a4759799a64403abcf6f526479d782",13,7,6
"35a4759799a64403abcf6f526479d782",1,3,6
"35ed3b24db664eb2be9015916e928423",13,3,8
"35ed3b24db664eb2be9015916e928423",11,4,8
"35ed3b24db664eb2be9015916e928423",3,4,8
"35ed3b24db664eb2be9015916e928423",1,3,8
"35ed3b24db664eb2be9015916e928423",10,1,8
"35f827395e5c46d4b16007db4604315f",1,3,3
"35f827395e5c46d4b16007db4604315f",8,4,3
"35f827395e5c46d4b16007db4604315f",22,,3
"35f827395e5c46d4b16007db4604315f",13,7,3
"35f827395e5c46d4b16007db4604315f",23,7,3
"35f827395e5c46d4b16007db4604315f",19,7,3
"35f827395e5c46d4b16007db4604315f",10,2,3
"36badb2c6dc844c8a2cb27a16ed7b9cc",3,98,5
"36badb2c6dc844c8a2cb27a16ed7b9cc",19,98,5
"36badb2c6dc844c8a2cb27a16ed7b9cc",1,98,5
"36badb2c6dc844c8a2cb27a16ed7b9cc",11,98,5
"37cc1f4211c74fe8864dc44b67591f92",3,4,7
"37cc1f4211c74fe8864dc44b67591f92",22,6,7
