"hhid","h10_respondent","s10q01","s10q02","s10q03","s10q04","s10q05a","s10q05b","s10q05c","s10q06","s10q07a","s10q07b","s10q08a","s10q08b","s10q08c","s10q08d","s10q08e","s10q08f","s10q08g","s10q08h","s10q08x","s10q08z","s10q09","s10q10","s10q11","s10q12"
"12a8632b753f40c6959744f160ade8ff","1",2,,,,,,96,2,,,,,,,,,,1,,,8,1,24,1
"137047ed72be45cbbe79528e9a8febcf","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,3,3
"139766f7e0d947e39160c8cdbe782c90","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"1335c4b914e64b079a15b82332bc3a62","2",2,,,,,,2,2,,,,,,,,1,,1,,,8,2,6,3
"142f863d5d3747d4b12da5a96819e8c8","1",1,24,4,,10000,30,,2,,,,,,,,,,,,1,,,,
"13c8dabea0a14e74b5409df736d0c6fc","7",1,24,3,,,,,2,,,,,,1,,,,,,,4,2,5,1
"13e8276c99cd496081c2d78d058b2a21","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"15c0f37757dc46b28873a77b5e8a913d","1",1,24,2,,,,,2,,,,,1,,,1,,,,,6,2,3,3
"161df9ca153241e19e955e373574448f","2",2,,,,,,1,2,,,,,,,,1,,,,,6,2,3,3
"16c883aca79d42159da4d313e9a0a17e","2",2,,,,,,1,2,,,,,,,,1,,,,,6,2,5,3
"16daa4b4720d4509a216757cff6903d4","2",1,24,5,,15000,30,,2,,,,,,,,1,,,,,6,2,3,1
"162c504b1fed4a5b9848882e7752940a","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"174d7bce575c45bbae624af39a4e3f2c","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,3
"1768619d23c9442697014eeb7964388a","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"17378333324c461a88f1ea03eb7e316d","2",2,,,,,,1,2,,,,,,,,1,,1,,,8,2,6,1
"179b274951eb4449a19d4de2deede9d6","1",1,24,5,,75000,7,,2,,,,,,,,1,,,,,6,2,6,3
"17eb32a03c28409db6e2cf12fc379298","1",2,,,,,,2,2,,,,,1,,,,,,,,3,1,1,2
"17f8b87f9b8f4438bf729c2dea6df75d","1",2,,,,,,1,2,,,,,,,,,,,,1,,,,
"1928b1ae90cf45a68b37285a9554df5c","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"192ec8f527de48c3b711479b69a57f9c","1",1,24,4,,3000,30,,2,,,,,,,,,,1,,,8,2,6,1
"19783a8d2c5046e7ad2f63aa7e5189a9","12",1,8,1,,100000,28,,2,,,,,,,,,,1,,,,,6,1
"1a5e7470e5e349f4bdf3b8bd8779b225","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"1a01d47d8c8d492294f5d2c3f47d5d3d","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,2,1
"1a270f97ea7144f7ba1c5543ad51845a","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"1b599a7d26094ccaadac933ba550fd0a","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,3
"1b233cd5eb5b438e805f2e541344a522","1",1,6,5,,20000,30,,2,,,,,,,,1,,,,,6,2,3,1
"1bf9208ea3ba4e8fa359969292351972","2",2,,,,,,2,2,,,,,,,,1,,1,,,6,2,4,2
"1c287823471441bc9a6706f55636bfbb","2",2,,,,,,3,2,,,,,,,,1,,1,,,8,2,6,1
"1bfd952f27704db5aa96059df2731fa2","5",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"1f13028b882145f1904e9519ce5f1d68","2",1,18,5,,10000,30,,2,,,,,,,,,,1,,,8,2,3,1
"1f9c7edda3584270b8139bfb81fef543","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,9,1
"1e99e5da500a4d44aef666fb07a8d0d2","1",2,,,,,,1,2,,,,,,,,1,,1,,,6,1,3,1
"1fb71e7cd7cb4488a4a64e121fc228a3","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"215eced7f754465182ee352aefe848a0","7",2,,,,,,1,2,,,,,,,,,,1,,,8,2,7,1
"2062fd74021e4fdc81f6dc28ca48674c","1",2,,,,,,1,2,,,,,,,,1,,,,,6,2,6,3
"217a20d82c0446a4928918df038adca4","7",2,,,,,,1,2,,,,,,,,,,1,,,8,2,3,3
"217f9496103b47e39d7c19fed9636482","1",2,,,,,,2,2,,,,,1,,,1,,,,,3,2,1,2
"22774e78ebc7419585623a08408c8f96","1",2,,,,,,1,2,,,,,,,,1,,,,,6,2,4,3
"21c1e89cf5b74595b06ebbd7bc9271c8","1",2,,,,,,1,2,,,,,,,,1,,1,,,6,2,6,3
"222fb7e72b764d618cdb129c1097002e","8",1,24,5,,150000,30,,2,,,,1,,,,1,,,,,6,2,7,1
"236a304fee1f4de29bda56006ce6d313","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,2,1
"2677113d57394f6ab63d882b90de3cab","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,2,2
"2668508cadbf4cfbb5d1b183c94e2df7","4",2,,,,,,1,2,,,,,,,,1,,1,,,8,2,4,1
"2651254af3e44058890c9eb3c3409a41","5",2,,,,,,1,2,,,,,,,,,,1,,,8,1,4,1
"27237f19b78242dbbc6cb7d6b3b68dcb","2",2,,,,,,1,2,,,,,,,,,,1,,,8,1,2,1
"2699e718776c46c3bce1a0e2bec03fce","1",2,,,,,,1,2,,,,,,,,,,1,,,8,1,3,1
"276430fd8d7e4c538fcf6a118cc79610","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"277509c12a5148299027784fbb1bfd7c","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,24,1
"277c319e936645189c0663410f818f91","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"27b6e91ecead43f9b441b684d9d0bc6d","5",1,12,5,,50000,30,,2,,,,,,,,1,,,,,6,2,8,1
"2845cc47e5704aa9ac7cdf15776878c0","5",2,,,,,,1,2,,,,,,,,1,,1,,,8,2,5,1
"28b00383e78549e59d1653af0d7a1105","1",2,,,,,,1,2,,,,,,,,,,,,1,,,,
"28a179792a564fd496adc09a3de78988","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,3
"28fae53d8b8b40708861a82637daba05","2",2,,,,,,3,2,,,,,,,,,,1,,,8,2,4,1
"2996bdef98fc498eb7d1544ab289a949","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"29559b97fd1542908cd36929b5c0efdf","3",2,,,,,,2,2,,,,,,,,1,,,,,6,2,2,2
"298d0a675d804e58bbd49ce037f2312d","1",2,,,,,,3,2,,,,,,,,,,1,,,8,1,3,1
"295fa0511fcc44728e35080273e881bd","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,3,1
"2b11ec128a1249a9aaa725d1ab17bf15","1",2,,,,,,1,2,,,,,,,,,,,,1,,,,
"2aec52ee5834414abf0b648fd8248ac4","4",1,8,1,200,30000,30,,2,,,,,,,,1,,1,,,6,2,4,3
"2ac0a1e73f624dfc91343ac47f68c9f4","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"29e7916bdd2645b48211aeb4920fbd67","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,3,1
"2a3fdc60eacb43afa748089b59e75d72","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"2b881b680b65407e8de6fae209a281c1","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"2c61df53e09649b49a7da037174d0996","2",2,,,,,,2,2,,,,,,,,,,1,,,8,1,3,1
"2bec695a80774434b93d95a49dfced8a","2",2,,,,,,6,2,,,,,,,,,,1,,,8,2,6,1
"2e6e5bbd66054d36a44f4aa2d3f97ab0","1",1,24,5,,15000,30,,2,,,,1,,,,1,,,,,6,2,4,1
"2f144f92a2b64dcdb520dec89307cd53","3",1,24,5,,30000,30,,2,,,,,,,,1,,,,,6,2,8,1
"2fad42e069bc436ebc6e2fcfc7cc83d5","1",1,24,4,,10000,30,,2,,,,,,,,1,,,,,6,2,6,1
"30ddabec2c5944838789dacbaf8846b3","1",1,24,3,,,,,2,,,,,,,,1,,,,,6,2,3,1
"310356da4c8a4ea08d7fc34f77d68fec","3",2,,,,,,2,2,,,,,,,,,,1,,,8,2,5,3
"3270d977d6a2433e8686c62b9128713c","1",2,,,,,,2,2,,,,,,,,1,,,,,6,2,5,3
"31ad2ecbbb2b415fbe958982b5502c35","3",1,24,5,,50000,30,,2,,,,1,,,,1,,,,,6,2,6,1
"345a78a0741b43f8b7d3d9742e72445a","3",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"34aa6ac92c97484a915e9d8745ca7cc1","7",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"3553d7dac7244def904dd565c58663db","3",1,12,4,,15000,30,,2,,,,,1,,,1,,,,,6,2,6,1
"35711b5f62334d8fa30148ea5f65e6da","1",2,,,,,,1,2,,,,,,,,1,,1,,,8,2,6,3
"35ed3b24db664eb2be9015916e928423","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,3
"372a7c27d1ac48de86483bb7e23ba930","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,3,3
"36e21020385441a4bde81297a467feba","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"37a91163feb84e6fa96a9cb6fb90fce8","3",2,,,,,,1,2,,,,,,,,1,,1,,,6,2,6,3
"38a0ae63acdc42e4aae1d1a07d73515c","1",2,,,,,,2,2,,,,,,,,,,1,,,8,2,2,1
"38cac2f27d8b4feeb489c8ef7548babe","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"39188f8ad93d48efb2c49ae5d71350bb","1",2,,,,,,2,2,,,,,,,,1,,,,,6,2,4,3
"382197af75104c469114b15db7361d0f","2",2,,,,,,1,2,,,,,,,,,,1,,,8,1,3,1
"3a85a7c9c0b9470381a755a04d58867a","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"3acf3cc20c914c759c2d9c528bc0fb10","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,8,1
"3b73d33d086b4a2696d2210477d9c427","2",1,24,5,,80000,30,,2,,,1,,,,,1,,,,,6,2,4,1
"3bfbd631e58c4c448e1cff3de710dfc6","2",2,,,,,,6,2,,,,,,,,1,,,,,6,2,3,3
"3c09909a20c54f7e92e202daf8b4831f","2",2,,,,,,2,2,,,,,,,,1,,1,,,6,2,3,1
"3d8394fa93964ccf91ca85b0872b63cc","2",1,24,5,,40000,30,,2,,,,,,,,1,,,,,6,2,2,3
"3dd29de6cc6743fcaf101aeeef9dc8da","2",2,,,,,,2,2,,,,,,,,,,1,,,8,2,6,1
"3e521eb381f94e2cbbb76f0d95dec132","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,2,1
"3f6545afa9a540a78a150779fd1f095e","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"3e4c1cb508fe44b4b5898195d7bc941f","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,2,1
"3f03088b9f2d4a4bb17f4c2b08eb006b","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"4074d14cddb64a649e69a08c760028a9","2",2,,,,,,1,2,,,,,,,,1,,,,,6,2,6,3
"3fbb9915c5764445beae0fa75a509187","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,3
"401b7c77260b4e568263be05b47bfc5d","10",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"404b2c86291e436c8145265500cb41af","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,8,1
"40962e7d98c44c6aa00b36690238acb2","1",2,,,,,,1,2,,,,,,,,,,,,1,,,,
"40a81ad95c0146408ed50a768977f610","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"40d7b4caf61141c283c28cfc781b6434","5",2,,,,,,5,2,,,,,,,,1,,1,,,8,2,4,1
"41104a79c99f49ac83df63ff521ab038","2",2,,,,,,2,2,,,,,,,,1,,1,,,8,2,3,1
"4204ad8a9fcc43f2a294d012f4e6c131","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"420750aef42a46139e6eb109f0fc28c1","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"429582d862904d3f8aff6b20a922100c","1",1,24,4,,15000,28,,2,,,,,,,,1,,,,,6,2,5,3
"42c9e36335c245eda502a8e28a73aac9","1",2,,,,,,2,2,,,,,,,,,,1,,,8,2,1,2
"42d0fc47682646d59cb2e649862cb2eb","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"437cdf4cefbd47208506638b5430432d","1",2,,,,,,2,2,,,,,,1,,1,,1,,,4,2,4,1
"43a785ec3ae8475899a66673a29158f9","1",1,24,2,,,,,2,,,,,1,,,,,,,,3,2,0,2
"43b16651fe6b4ccfbf7618fae26b3e43","1",2,,,,,,2,2,,,,,,,,1,,1,,,6,2,3,2
"439ea3100826494ea35cf8f7adfb5e51","1",2,,,,,,2,2,,,,,,,,,,1,,,8,1,5,1
"456103859120412ba80e3e5d4c19890d","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"456941dae8f046ea97868f32c3120145","1",1,24,4,,10000,30,,2,,,,,,,,1,,,,,6,2,4,1
"456c4b5334b2497195b10c1285eb9ff6","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,7,1
"45ffec175cab46ff95d72b6f6f651b39","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,7,1
"4705b49e9d2943b4a56d90016672e079","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"4813d1b6fd624686bea922bb2a7b15c0","3",1,3,5,,10000,30,,2,,,,,,,,1,,1,,,6,1,2,1
"4744755a091648359b3febff5281d02c","1",1,24,5,,30000,30,,2,,,,,,,,1,,,,,6,2,6,1
"4800775f1b474d6f9d520e72aa13835b","2",2,,,,,,1,2,,,,,,,,1,,1,,,6,2,7,1
"4917418dce494d69876e940228352d6a","2",2,,,,,,4,2,,,,,,,,1,,,,,6,2,8,3
"4a20f25ef3f6440bbf6cce29af503afe","6",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"4a1f47b4e0444a02b783530ac4fbbd54","1",2,,,,,,1,2,,,,,,1,,,,,,,4,2,5,1
"49f702073f024c4f862a92d891c23109","6",1,16,5,,20000,30,,2,,,,,,,,1,,,,,6,2,3,2
"4aefb5316fe7419f9790a44832cf80fd","3",2,,,,,,1,2,,,,,,,,1,,1,,,6,2,6,1
"4b1ffd5b2f2e41efa9bb49bf5d887cc7","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,3
"4b0364703cb2492f8cb2bc0ed7d0c904","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,8,1
"4b3167d435b64ff88f707092c3bf6efd","2",2,,,,,,1,2,,,,,,,,,,1,,,8,1,2,1
"4b4029fe24eb48b68268dac97807f243","1",1,20,4,,10000,30,,2,,,,,,,,1,,,,,6,2,2,3
"4b63cfc4610041c5a3a9138e7df0ecd0","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,3,1
"4b768c5d5c20471abb7dda957b1fa202","5",2,,,,,,2,2,,,,,,,,1,,,,,6,2,3,3
"4bbe3717081940c08f1bd6b5197a898a","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,3,1
"4cb7665bda534e53ab0e6874854016af","3",1,24,5,,30000,30,,2,,,,,1,,,1,,,,,6,2,4,1
"4be8baf668ed4356bd768021e74a90b6","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"4c96190563cd4b59b16f51d95a6450cd","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,7,1
"4d97ad6fd2a24b30b9d084a5e753beef","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,3,1
"4e5f64a99c6547cf94b40d8e18f8c889","1",1,24,1,24.6,16000,25,,2,,,,,,,,1,,1,,,8,2,6,1
"50a874a48212479f8c449a6c0e61d25a","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"502b017b69b44342b471dc57841a4f81","3",2,,,,,,1,2,,,,,,,,,,1,,,8,2,8,1
"50dc5a07aa6542fbab5b268281a51995","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,3
"5114b9a6e8ab4f5e84b3ce709c027faf","1",1,12,1,15,15000,30,,2,,,,,1,,,,,,,,3,2,1,2
"50d5c47ccfcf4a92aa093bcc17656a44","2",1,24,5,,40000,30,,2,,,,,,,,1,,,,,6,2,6,1
"51b75d7c4ac54a85b5406d69f3c3e020","1",1,24,5,,20000,30,,2,,,,,,,,1,,,,,6,2,5,2
"5231fd12f8fe4028859bd9c1f70f9adb","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"52954922cd9f45d7bab5fbf415bc2c36","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,2,1
"53399ff70da24959b55f07ef32e68cdb","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"543d0c2c83f4458e86db7edebd51635f","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,9,1
"56ab3a7b94d5404ea4e8644962793957","1",2,,,,,,2,2,,,,,1,,,,,1,,,8,2,6,1
"56aed66c56394ddbbf2e62a36669288f","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,3,1
"57818230d8004746ae282ae1581f68f0","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,3,1
"572b0a7cc7da4e91ba93ae3315842b54","1",2,,,,,,1,2,,,,,,,,1,,1,,,6,2,5,3
"57ccf37c106343ef8d0b5290a8f43341","1",2,,,,,,2,2,,,,,,,,1,,1,,,8,2,6,1
"57cd47f350184759914c44d7045f55f5","2",2,,,,,,2,2,,,,,,,1,,,,,,5,2,6,1
"5815477562ab46a09266b5ad53c2c214","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"581130cd10c04094bc7696a3a0d968a3","3",1,20,5,,60000,30,,2,,,1,,1,,,1,,,,,6,1,4,1
"57e32c02860643b6a6dfded348d9c057","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"58f6e43bd5ac46a6bd8cd3fcd4ff1b34","3",1,24,1,15,28000,30,,2,,,,,,,,1,,,,,6,2,4,3
"58abc64e52ea4b00bd67d72c77a55bfe","1",1,24,2,,,,,2,,,,,,,,1,,,,,6,2,4,3
"5916d9918f1e40c38f123552550aa014","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"58da1746104a4fedb12ad12aef4bbb7b","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,8,1
"59316d9321ae4af993df50884e750a71","1",2,,,,,,6,2,,,,,,,,1,,,,,6,2,5,3
"59579edc5cd44c86a67a6336f550063e","1",2,,,,,,2,2,,,,,,,,1,,1,,,6,2,5,3
"599fa408edf945fe84b6b610f7afce88","2",1,24,5,,20000,30,,2,,,,,,,,1,,,,,6,2,3,1
"5a734b3c6539499291255d809f3220be","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,8,1
"5abb7f44f2cc4a67bafa08cdabb8bbd1","2",1,23,5,,10000,27,,2,,,,,1,,,1,,,,,6,2,5,3
"5b1fe04a4f46463ca627e2ec81aeea2d","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,3
"5b5a707469dc44058cae29996ae337df","2",2,,,,,,2,2,,,,,,,,,,1,,,8,2,2,2
"5b65d59ec2be44a99aea697a8b29e93b","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,3
"5c776e6c88ca41419d9093cdcf0017dd","1",2,,,,,,2,2,,,,,,,,,,1,,,8,2,4,1
"5ea2db5662ee423daaffef4fef820742","2",1,24,5,,15000,30,,2,,,,,,,,1,,,,,6,2,6,1
"5ed508a731684151a6e79572211427ef","2",2,,,,,,7,2,,,,,1,,,,,1,,,8,2,5,1
"5f8686dd4e6a4984bf63375c723ab29e","1",2,,,,,,7,2,,,,,,,,,,,,1,,,,
"601630c89fbb41cf99d619dc00cda5d8","-999999999",,,,,,,,,,,,,,,,,,,,,,,,
"6033318b4d9b40c0be9d6af56b4243d4","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,3,3
"6091c4ecb9bd4c6f97eb0be6c93a5dd5","1",1,24,1,15,15000,30,,2,,,,,,,,1,,1,,,6,2,3,1
"6054f4586c2e42029b16a68e1e57390a","2",2,,,,,,1,2,,,,,,,,,,1,,,8,1,3,1
"60e9be5bc0d44a2e90915c84cc1cc30b","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"6156b6e4c2fe441f8b8aba1d46865f9b","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"643ee97f892c4103ac3d3754bee00180","1",2,,,,,,1,2,,,,,,,,,,,,1,,,,
"632545c257874a7ab6311d70e74321bc","2",2,,,,,,1,2,,,,,,,,1,,1,,,8,2,8,3
"647ead78534846fca4b97844fa55637d","1",2,,,,,,3,2,,,,,1,,,,,1,,,8,1,4,1
"65529fb045d34463a3e4208b6134cc4f","1",1,24,5,,10000,30,,2,,,,,,,,1,,,,,6,2,3,2
"64e1c1594a12465f9bb9f4dc7d570db2","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"657037e54fe34193a15fba1d0891d14f","2",1,24,1,25,50000,30,,2,,,,,,,,1,,,,,6,2,8,1
"655bd7c8e6ef4d968982805a9c95acda","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,2,1
"6794adde478c40e893b395ddd3f13228","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,6,1
"67525bacd6ea402f80869cb21c494b4c","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"66d2ae8b3d814bae883373a4f486f564","2",2,,,,,,1,2,,,,,,,,1,,,,,6,2,6,2
"66f59cc8c2b543488ef8e9cbd30dd63d","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,3
"67ce8c2b5f374703859698b086e274d3","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,3
"6847c7ab125c416096b5629c5a25a3d5","2",2,,,,,,2,2,,,,,,,,,,1,,,8,2,6,1
"67d7cfc30ead4abe9f40aab6e8a28887","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,1
"68f3bf898a6e4ca9868b6ac7dc9d3661","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"687b38764b0f42dfbc75ee327cc4345c","2",2,,,,,,2,2,,,,,1,,,1,,,,,6,2,5,2
"693ab0aa032b435cbd372e70848fb021","1",2,,,,,,1,2,,,,,,1,,,,,,,4,2,6,1
"6977e1ca505c4b4eab3cf6bda82cc0f9","1",2,,,,,,1,2,,,,,,,,,,1,,,8,2,4,1
"69e60ef72eeb4fd2ab11d162e08170b7","3",2,,,,,,1,2,,,,,,,,,,1,,,8,1,2,1
"6aac699ad15a48588ad9367f9e063095","1",1,24,4,,15000,30,,2,,,,,,,,1,,,,,6,2,6,1
"6b9262f4195d431bb7337e350e5935d9","2",1,7,5,,45000,30,,2,,,,,,,,1,,1,,,6,1,4,1
"6c46bb0e515843ccbd9151bdd525fccc","2",2,,,,,,2,2,,,,,,,,,,1,,,8,2,3,1
"6c33e5c766364a01bf91d3288988802f","1",2,,,,,,1,2,,,,,,,,1,,1,,,8,2,6,1
"6cd20f63b8e34c9baf5870e84eab5d2a","1",2,,,,,,2,2,,,,,,,,1,,,,,6,2,4,1
"6d16619450ee48c3b00fa067fdefb8a5","4",1,24,5,,30000,30,,2,,,,,1,,,1,,,,,6,2,6,1
"6d830acf2daa4a81bf954eb34931f39a","2",2,,,,,,1,2,,,,,,,,,,1,,,8,2,5,2
"6df584a02481451c958dd783150dfc15","1",2,,,,,,2,2,,,,,,,,1,,1,,,8,2,5,1
"6e8f6671ab714ac3aebab5f540c0d440","4",2,,,,,,4,2,,,,,,,,,,1,,,8,2,2,1
