"hhid","CEE01","CEE02","CEE03","CEE02_1"
"056cb993abee42a89f67363f1b38f878","Remittances, gifts, and other transfers",806,20000,1
"056cb993abee42a89f67363f1b38f878","Funerals and other social functions",807,5000,1
"057fc24f426f48fca061898d6efa4f49","Funerals and other social functions",807,10000,1
"0583ffbf78c441f7828b4e53acdd71f1","Remittances, gifts, and other transfers",806,120000,1
"0583ffbf78c441f7828b4e53acdd71f1","Funerals and other social functions",807,40000,1
"058bd214d86846f5949c782fb2f1bfbb","Funerals and other social functions",807,35000,1
"0592013fe59d4dce8b33b8661323c86d","Property rates (taxes)",802,40000,1
"0592013fe59d4dce8b33b8661323c86d","Remittances, gifts, and other transfers",806,500000,1
"0592013fe59d4dce8b33b8661323c86d","Others (like subscriptions, interest to consumer debts, etc.)",809,10000,1
"05d8c19cfc8f47d4b66bd70bbad5407f","Funerals and other social functions",807,20000,1
"05dca1a459fe4754bd19d0d175b4da74","Remittances, gifts, and other transfers",806,80000,1
"05e99dfa6f5a44a79677019330c423f7","Remittances, gifts, and other transfers",806,50000,1
"05e99dfa6f5a44a79677019330c423f7","Funerals and other social functions",807,40000,1
"06270b496e1b4aa09b4906b0871c21b9","Funerals and other social functions",807,100000,1
"0667b6f1adac439db81e063ceead3b03","Remittances, gifts, and other transfers",806,70000,1
"0667b6f1adac439db81e063ceead3b03","Funerals and other social functions",807,250000,1
"068501d062324eb097b62ccfea8a5fa6","Funerals and other social functions",807,80000,1
"069465eb8c264016bc63f2ba390ad118","Funerals and other social functions",807,5000,1
"06afa3273f6a49a38b98ba52ba888ed8","Property rates (taxes)",802,40000,1
"06afa3273f6a49a38b98ba52ba888ed8","Funerals and other social functions",807,56000,1
"06afa3273f6a49a38b98ba52ba888ed8","Others (like subscriptions, interest to consumer debts, etc.)",809,180000,1
"06b881a31ba7466e919d01bb09f5e672","Remittances, gifts, and other transfers",806,10000,1
"06b881a31ba7466e919d01bb09f5e672","Funerals and other social functions",807,30000,1
"06d940520a174c5c843dd683f49c2f95","Remittances, gifts, and other transfers",806,24000,1
"06d940520a174c5c843dd683f49c2f95","Funerals and other social functions",807,3000,1
"0700ac37276743c3a73536d56c21b04e","Funerals and other social functions",807,40000,1
"070b86808a434b1fb9f7f75af25bc594","Interest on loans",808,300000,1
"0731c33c39714e7a8fe032a4c6840fc5","Remittances, gifts, and other transfers",806,250000,1
"0731c33c39714e7a8fe032a4c6840fc5","Funerals and other social functions",807,5000000,1
"0751ec0e0fe949e68111233049babbaf","Funerals and other social functions",807,50000,1
"0774323f6795452793f0f563fcf08d08","Remittances, gifts, and other transfers",806,30000,1
"0774323f6795452793f0f563fcf08d08","Funerals and other social functions",807,7000,1
"0795321942c34174a89d745e644df105","Funerals and other social functions",807,46000,1
"0795321942c34174a89d745e644df105","Interest on loans",808,54000,1
"07999cf798314e05b4cfb6005c1092cb","Funerals and other social functions",807,90000,1
"07b307a143384b5cb48a35412b6788d6","Remittances, gifts, and other transfers",806,150000,1
"07c445ca0f284db081b29aa91ee7988e","Funerals and other social functions",807,7000,1
"08211a3e91eb4227bb201b44001ea21b","Funerals and other social functions",807,,1
"08a2071726b54dae84b17e7b8017588d","Funerals and other social functions",807,10000,1
"08a88de2ed7b46648366085ed5bef13b","Remittances, gifts, and other transfers",806,60000,1
"08a88de2ed7b46648366085ed5bef13b","Funerals and other social functions",807,100000,1
"08f3d91754ba4911865d5913f19172fc","Funerals and other social functions",807,6000,1
"098efabf1d9245b6bb031ca40ce7e36c","Local Service tax",804,15000,1
"098efabf1d9245b6bb031ca40ce7e36c","Funerals and other social functions",807,50000,1
"098efabf1d9245b6bb031ca40ce7e36c","Interest on loans",808,654000,1
"09c865966539496a8242c1018e90ef5f","Funerals and other social functions",807,60000,1
"09c865966539496a8242c1018e90ef5f","Interest on loans",808,360000,1
"09eb11716b004f3db526ff17444387ae","Funerals and other social functions",807,70000,1
"09f80c42c3cd41999116b6c09d0fe5fb","Remittances, gifts, and other transfers",806,100000,1
"09f80c42c3cd41999116b6c09d0fe5fb","Funerals and other social functions",807,100000,1
"0a049c02fa2046ebbd60a6af568aabae","Remittances, gifts, and other transfers",806,10000,1
"0a049c02fa2046ebbd60a6af568aabae","Funerals and other social functions",807,8000,1
"0a32ecc59b4543d991993511531bcbdc","Remittances, gifts, and other transfers",806,8000,1
"0a32ecc59b4543d991993511531bcbdc","Funerals and other social functions",807,45000,1
"0a396d4827b24ea099971029d14bd817","Interest on loans",808,46000,1
"0a3fa4ae17e5425780754137a4e60987","Funerals and other social functions",807,80000,1
"0a3fa4ae17e5425780754137a4e60987","Interest on loans",808,560000,1
"0a72dc2637f34612b2fa35e4d4b6cc60","Income tax",801,1263120,1
"0a72dc2637f34612b2fa35e4d4b6cc60","Local Service tax",804,80000,1
"0a72dc2637f34612b2fa35e4d4b6cc60","Remittances, gifts, and other transfers",806,20000,1
"0a72dc2637f34612b2fa35e4d4b6cc60","Funerals and other social functions",807,20000,1
"0a72dc2637f34612b2fa35e4d4b6cc60","Interest on loans",808,560000,1
"0a72dc2637f34612b2fa35e4d4b6cc60","Others (like subscriptions, interest to consumer debts, etc.)",809,30000,1
"0ab5e0705d5b40beb0a2e79f49183356","Funerals and other social functions",807,15000,1
"0ac58cb4e81e452daa6d87169534e762","Remittances, gifts, and other transfers",806,1136000,1
"0ac58cb4e81e452daa6d87169534e762","Funerals and other social functions",807,12000,1
"0ad4b37a214a455aa6080a4f197e50ca","Funerals and other social functions",807,15000,1
"0b195170755f4768ac89c0dc1d08645a","Funerals and other social functions",807,30000,1
"0b1dda6c9bc74ad6b7b18d9de2497355","Income tax",801,236000,1
"0b1dda6c9bc74ad6b7b18d9de2497355","Remittances, gifts, and other transfers",806,900000,1
"0b1dda6c9bc74ad6b7b18d9de2497355","Funerals and other social functions",807,68000,1
"0b1dda6c9bc74ad6b7b18d9de2497355","Interest on loans",808,20000,1
"0b7f6c75dec34a6bb3c0990283c92be6","Remittances, gifts, and other transfers",806,80000,1
"0b7f6c75dec34a6bb3c0990283c92be6","Funerals and other social functions",807,80000,1
"0b9218083309477ab20ef5b6e13a2ab0","Remittances, gifts, and other transfers",806,40000,1
"0b9218083309477ab20ef5b6e13a2ab0","Funerals and other social functions",807,50000,1
"0b922762b1a14c53a9f6bbd6ef3ff337","Remittances, gifts, and other transfers",806,500000,1
"0c6c4a83fca94c7db3e8a92b921ca4b0","Funerals and other social functions",807,50000,1
"0c6c4a83fca94c7db3e8a92b921ca4b0","Interest on loans",808,600000,1
"0c7ed7713a3b4c80ab675ecc093d0a2a","Funerals and other social functions",807,15000,1
"0cac20f5e69f4d00ac5d1bfc15689dba","Funerals and other social functions",807,130000,1
"0ccd9462978a4880b1f650cecd2d26dd","Interest on loans",808,20000,1
"0cf284629d3f460eb8d1ac4e90b0639b","Funerals and other social functions",807,19000,1
"0d1503da1c134a0e912f2b7115137d57","Funerals and other social functions",807,6000,1
"0d3fe7c0dc864f1eb4c9c7559a351a39","Local Service tax",804,7200,1
"0d3fe7c0dc864f1eb4c9c7559a351a39","Funerals and other social functions",807,300000,1
"0df38d4bdeaa40a8b3407e57cc315e31","Remittances, gifts, and other transfers",806,200000,1
"0df38d4bdeaa40a8b3407e57cc315e31","Funerals and other social functions",807,50000,1
"0e25633f83884662b852b82b7c7724cd","Remittances, gifts, and other transfers",806,4000,1
"0e25633f83884662b852b82b7c7724cd","Funerals and other social functions",807,5000,1
"0e4cdfeceae74763b9dca833f7997b04","Remittances, gifts, and other transfers",806,1000000,1
"0e530e4dff074880bc7b09f4d3755c2d","Funerals and other social functions",807,23000,1
"0e587b69c8364b7ea11ac6ad8155d944","Interest on loans",808,88500,1
"0e6bbfd7a7ff407ba8c19c68b4614a43","Remittances, gifts, and other transfers",806,600000,1
"0e6bbfd7a7ff407ba8c19c68b4614a43","Funerals and other social functions",807,150000,1
"0eb527381cfb4f258ee6a1ad0862d96b","Income tax",801,2136000,1
"0eb527381cfb4f258ee6a1ad0862d96b","Remittances, gifts, and other transfers",806,410000,1
"0eb527381cfb4f258ee6a1ad0862d96b","Funerals and other social functions",807,100000,1
"0eb527381cfb4f258ee6a1ad0862d96b","Interest on loans",808,1600000,1
"0ef4563b33504453b6221a3e597f4ac1","Remittances, gifts, and other transfers",806,120000,1
"0ef4563b33504453b6221a3e597f4ac1","Funerals and other social functions",807,10000,1
"0f0210463290453bb298ac2094d5322e","Remittances, gifts, and other transfers",806,300000,1
"0f3a4301801440ada74bb46498bddedb","Funerals and other social functions",807,95000,1
"0f667b218c504918a233aac6e8ee5bda","Remittances, gifts, and other transfers",806,100000,1
"0f6b3b6cb8bb4020a328c9ca1434b2d4","Funerals and other social functions",807,50000,1
"0f6b3b6cb8bb4020a328c9ca1434b2d4","Interest on loans",808,200000,1
"0f896c130fda4f5788f29621fde557f3","Funerals and other social functions",807,30000,1
"0f89c593c872418cbe8ce314e2d06348","Remittances, gifts, and other transfers",806,500000,1
"0f89c593c872418cbe8ce314e2d06348","Funerals and other social functions",807,250000,1
"0f89c593c872418cbe8ce314e2d06348","Others (like subscriptions, interest to consumer debts, etc.)",809,300000,1
"0fcb437569834d1c9c2606f6766add88","Funerals and other social functions",807,100000,1
"0fd53ca28fec43eea667c453445091b8","Remittances, gifts, and other transfers",806,35000,1
"0fd53ca28fec43eea667c453445091b8","Funerals and other social functions",807,15000,1
"104c763be4a348c7858dd66cc2fbc597","Funerals and other social functions",807,5000,1
"108ebe553d994ae8bee890ebd2447fbf","Funerals and other social functions",807,150000,1
"10c39a24e0784c66897740bdbc426cc8","Funerals and other social functions",807,30000,1
"10c74627258044b8a3441bd75e51c277","Funerals and other social functions",807,30000,1
"11677af1b0144119a6f225a20b75675a","Interest on loans",808,320000,1
"117be70b702543a2a9b2c6ed42bde0d8","Local Service tax",804,30000,1
"117be70b702543a2a9b2c6ed42bde0d8","Funerals and other social functions",807,30000,1
"119f2e2e03f143fc879b9f0ed133f62e","Interest on loans",808,6000,1
"11d8e6e27924401f975392dbb4bb0cfb","Funerals and other social functions",807,95000,1
"11d9f40f48184bc3a967131e8ed79d24","Remittances, gifts, and other transfers",806,400000,1
"11fe2002e4b64d6a9f6f9dc246c6b5cb","Funerals and other social functions",807,10000,1
"12326283f3b543f7a0204eeb08c3a7cd","Income tax",801,1020000,1
"12326283f3b543f7a0204eeb08c3a7cd","Local Service tax",804,120000,1
"12326283f3b543f7a0204eeb08c3a7cd","Remittances, gifts, and other transfers",806,3455000,1
"12326283f3b543f7a0204eeb08c3a7cd","Funerals and other social functions",807,150000,1
"12766e74ad9f4d61aa6b76046aac52fb","Remittances, gifts, and other transfers",806,240000,1
"1281f3064b5548e58be32cadc2a9904e","Funerals and other social functions",807,200000,1
"12a8632b753f40c6959744f160ade8ff","Remittances, gifts, and other transfers",806,20000,1
"12e688f31e39475e9ae5aa19685c7e37","Remittances, gifts, and other transfers",806,500000,1
"12ea98f53d374c2ab9476c087af2913e","Income tax",801,100000,1
"1313728d816c492e852a4dc2f2bea58c","Funerals and other social functions",807,3000,1
"132b1d61a34e4480a249784896828820","Remittances, gifts, and other transfers",806,20000,1
"132b1d61a34e4480a249784896828820","Funerals and other social functions",807,10000,1
"1335c4b914e64b079a15b82332bc3a62","Remittances, gifts, and other transfers",806,65000,1
"1335c4b914e64b079a15b82332bc3a62","Funerals and other social functions",807,55000,1
"1390e21908ee4f50811be182bc761552","Funerals and other social functions",807,20000,1
"139766f7e0d947e39160c8cdbe782c90","Funerals and other social functions",807,150000,1
"139766f7e0d947e39160c8cdbe782c90","Interest on loans",808,100000,1
"13d977f195b645efb9ca44fc286a7787","Income tax",801,10200000,1
"13d977f195b645efb9ca44fc286a7787","Local Service tax",804,309000,1
"13d977f195b645efb9ca44fc286a7787","Pension and social security payments",805,1850000,1
"13d977f195b645efb9ca44fc286a7787","Remittances, gifts, and other transfers",806,1600000,1
"13d977f195b645efb9ca44fc286a7787","Funerals and other social functions",807,850000,1
"13d977f195b645efb9ca44fc286a7787","Interest on loans",808,350000,1
"13d977f195b645efb9ca44fc286a7787","Others (like subscriptions, interest to consumer debts, etc.)",809,500000,1
"13d977f195b645efb9ca44fc286a7787","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,60000,1
"13e8276c99cd496081c2d78d058b2a21","Funerals and other social functions",807,30000,1
"141911dad9474c8d879f53c8bfd6edee","Funerals and other social functions",807,50000,1
"142452c4f1204a22b394324cb0f4bab9","Funerals and other social functions",807,20000,1
"14284880612f4308abfe7ad7f51cdcf8","Funerals and other social functions",807,50000,1
"142f863d5d3747d4b12da5a96819e8c8","Remittances, gifts, and other transfers",806,900000,1
"142f863d5d3747d4b12da5a96819e8c8","Funerals and other social functions",807,45000,1
"1444adc6326d439eaeaba1546d02d59d","Remittances, gifts, and other transfers",806,10000,1
"1444adc6326d439eaeaba1546d02d59d","Funerals and other social functions",807,60000,1
"148096d4034442419b34538a7bc0dcf6","Remittances, gifts, and other transfers",806,200000,1
"148096d4034442419b34538a7bc0dcf6","Funerals and other social functions",807,300000,1
"148096d4034442419b34538a7bc0dcf6","Others (like subscriptions, interest to consumer debts, etc.)",809,120000,1
"14bfad8162b7405dbeb905bf436d082c","Funerals and other social functions",807,60000,1
"14bfad8162b7405dbeb905bf436d082c","Interest on loans",808,40000,1
"15112bb7ee2c432d83517c273c01cf0b","Remittances, gifts, and other transfers",806,150000,1
"1518dce3648d4658ab52d14192ff5d62","Local Service tax",804,240000,1
"1518dce3648d4658ab52d14192ff5d62","Pension and social security payments",805,200000,1
"1518dce3648d4658ab52d14192ff5d62","Remittances, gifts, and other transfers",806,1500000,1
"1518dce3648d4658ab52d14192ff5d62","Interest on loans",808,400000,1
"1518dce3648d4658ab52d14192ff5d62","Others (like subscriptions, interest to consumer debts, etc.)",809,30000,1
"156df40d4f9c476c80ebbb625b8d60ec","Funerals and other social functions",807,15000,1
"1588fa8bc10343c6a213180e185b4c77","Local Service tax",804,40000,1
"15c0f37757dc46b28873a77b5e8a913d","Others (like subscriptions, interest to consumer debts, etc.)",809,10000,1
"15f9cb22388f428f9f3dcf081ccfc10a","Funerals and other social functions",807,30000,1
"15fd3aeeaeb34f6ea14d42f6bcdee0d6","Remittances, gifts, and other transfers",806,30000,1
"15fd3aeeaeb34f6ea14d42f6bcdee0d6","Funerals and other social functions",807,10000,1
"161df9ca153241e19e955e373574448f","Remittances, gifts, and other transfers",806,150000,1
"162c504b1fed4a5b9848882e7752940a","Funerals and other social functions",807,30000,1
"162c7da3721a4b318a125f5be123aa6e","Remittances, gifts, and other transfers",806,35000,1
"164f59280b494e09a7618a255a2334c1","Funerals and other social functions",807,16000,1
"16658cfcf7f14257a2be301b98bb0de1","Funerals and other social functions",807,12000,1
"16686bb795b54d2191e8f9df39d31e71","Remittances, gifts, and other transfers",806,25000,1
"1670e6df36b844d39aa258e60578dee4","Remittances, gifts, and other transfers",806,100000,1
"16887c92f1b147cba6be26cdd50b01f3","Funerals and other social functions",807,4000,1
"16b2d34dfa854a44b17e4a2a1fe1dcbb","Funerals and other social functions",807,20000,1
"16bbbd98ba5e4f94a981844b8183ee50","Remittances, gifts, and other transfers",806,680000,1
"16bbbd98ba5e4f94a981844b8183ee50","Funerals and other social functions",807,50000,1
"16c0790e52ec43c58fcd99e7d75e10d3","Remittances, gifts, and other transfers",806,200000,1
"16c0790e52ec43c58fcd99e7d75e10d3","Funerals and other social functions",807,100000,1
"16c6f42d01644fea9c34fa54421a4480","Others (like subscriptions, interest to consumer debts, etc.)",809,20000,1
"16c86a16fed44b30a54b6076f4f4f6c9","Remittances, gifts, and other transfers",806,150000,1
"16c86a16fed44b30a54b6076f4f4f6c9","Funerals and other social functions",807,10000,1
"16c883aca79d42159da4d313e9a0a17e","Remittances, gifts, and other transfers",806,10000,1
"16c883aca79d42159da4d313e9a0a17e","Funerals and other social functions",807,50000,1
"16d236cfaa29413abb6fca138f544ec4","Remittances, gifts, and other transfers",806,300000,1
"16d236cfaa29413abb6fca138f544ec4","Funerals and other social functions",807,200000,1
"16daa4b4720d4509a216757cff6903d4","Remittances, gifts, and other transfers",806,250000,1
"17378333324c461a88f1ea03eb7e316d","Remittances, gifts, and other transfers",806,65000,1
"17378333324c461a88f1ea03eb7e316d","Funerals and other social functions",807,35000,1
"17378333324c461a88f1ea03eb7e316d","Interest on loans",808,30000,1
"1743a758fcdf491da96b27fd16b6021d","Funerals and other social functions",807,250000,1
"174d7bce575c45bbae624af39a4e3f2c","Funerals and other social functions",807,5000,1
"17708911b0a04503bd763dbaae648c71","Funerals and other social functions",807,50000,1
"17751f7703ab476bba3ef1ec613b0bec","Remittances, gifts, and other transfers",806,50000,1
"17751f7703ab476bba3ef1ec613b0bec","Funerals and other social functions",807,50000,1
"178cc701f007453aa380b10c4fa065a5","Funerals and other social functions",807,3000,1
"178ff51df3c54803bb149cb31659e262","Funerals and other social functions",807,10000,1
"179b274951eb4449a19d4de2deede9d6","Remittances, gifts, and other transfers",806,700000,1
"17e4e8ad886f40a2ac66453002b2d901","Remittances, gifts, and other transfers",806,5000,1
"17e791ea78294f2ea71a7cfd0eaf25e1","Remittances, gifts, and other transfers",806,30000,1
"17e791ea78294f2ea71a7cfd0eaf25e1","Funerals and other social functions",807,8000,1
"17eb32a03c28409db6e2cf12fc379298","Funerals and other social functions",807,3000,1
"17ee2908902f4b3884ff9ec69c10ba5a","Property rates (taxes)",802,95000,1
"17ee2908902f4b3884ff9ec69c10ba5a","Remittances, gifts, and other transfers",806,50000,1
"17ee2908902f4b3884ff9ec69c10ba5a","Others (like subscriptions, interest to consumer debts, etc.)",809,10000,1
"17f8b87f9b8f4438bf729c2dea6df75d","Interest on loans",808,6000,1
"18024d9ef636472298f3cf2ef37a7f74","Funerals and other social functions",807,80000,1
"1825c65f6b9f4adf9694914c8b688f31","Funerals and other social functions",807,10000,1
"18419b46a04f4771a998a61279eb3ae1","Funerals and other social functions",807,180000,1
"1870fa2f0f224496a94898fe205ab40d","Remittances, gifts, and other transfers",806,200000,1
"187d1528fc524811bc61dd37d5dc083f","Funerals and other social functions",807,10000,1
"187d1528fc524811bc61dd37d5dc083f","Interest on loans",808,25000,1
"1882689344ef46b39e66d162a2a98a99","Remittances, gifts, and other transfers",806,200000,1
"1882689344ef46b39e66d162a2a98a99","Funerals and other social functions",807,15000,1
"18ce6918b33347719d97ec41a14e3df6","Remittances, gifts, and other transfers",806,5000000,1
"18ce6918b33347719d97ec41a14e3df6","Funerals and other social functions",807,100000,1
"18ce6918b33347719d97ec41a14e3df6","Interest on loans",808,100000,1
"18f5bd33a6c246459366da21c90338a0","Funerals and other social functions",807,20000,1
"192773eb6e2f480d8283caef17b07c92","Income tax",801,444000,1
"192773eb6e2f480d8283caef17b07c92","Local Service tax",804,10000,1
"192773eb6e2f480d8283caef17b07c92","Remittances, gifts, and other transfers",806,1100000,1
"192773eb6e2f480d8283caef17b07c92","Funerals and other social functions",807,10000,1
"192773eb6e2f480d8283caef17b07c92","Others (like subscriptions, interest to consumer debts, etc.)",809,84000,1
"1928b1ae90cf45a68b37285a9554df5c","Remittances, gifts, and other transfers",806,50000,1
"192ec8f527de48c3b711479b69a57f9c","Funerals and other social functions",807,30000,1
"194c70f94cca497aac045956fa1b6124","Remittances, gifts, and other transfers",806,10000,1
"195edf76aa334d659715445d11dbf790","Funerals and other social functions",807,60000,1
"19783a8d2c5046e7ad2f63aa7e5189a9","Property rates (taxes)",802,200000,1
"19ba694fada44ad7909f285e4535b890","Remittances, gifts, and other transfers",806,150000,1
"19c4fc257abc424384647435dadb3700","Funerals and other social functions",807,50000,1
"19cb4feac4dd4b60b8c0dc56633c3607","Interest on loans",808,450000,1
"19cb4feac4dd4b60b8c0dc56633c3607","Others (like subscriptions, interest to consumer debts, etc.)",809,120000,1
"1a01bd1460524c62ab3b8f37161a1e86","Remittances, gifts, and other transfers",806,40000,1
"1a01d47d8c8d492294f5d2c3f47d5d3d","Funerals and other social functions",807,60000,1
"1a202f1842434ed6a844137614d526b3","Local Service tax",804,20000,1
"1a202f1842434ed6a844137614d526b3","Funerals and other social functions",807,100000,1
"1a23e276ec3548579b682aa6ac9a03f7","Remittances, gifts, and other transfers",806,40000,1
"1a23e276ec3548579b682aa6ac9a03f7","Funerals and other social functions",807,50000,1
"1a23e276ec3548579b682aa6ac9a03f7","Interest on loans",808,180000,1
"1a270f97ea7144f7ba1c5543ad51845a","Funerals and other social functions",807,25000,1
"1a37d2e805614d7d9a3373852ab74ea4","Remittances, gifts, and other transfers",806,45000,1
"1a37d2e805614d7d9a3373852ab74ea4","Funerals and other social functions",807,8500,1
"1a4e07a2e001491990c1a79b3c0b06cc","User fees and charges (passport, legal, photocopying service of marriage)",803,10000,1
"1a8e64e3f4c64a6c8b1d1c7962251e85","Funerals and other social functions",807,3000,1
"1ac5be311466436b889555bae1886fd6","Remittances, gifts, and other transfers",806,50000,1
"1ac5be311466436b889555bae1886fd6","Funerals and other social functions",807,22000,1
"1af73001aa914b64b6d10f3f6157e081","Remittances, gifts, and other transfers",806,120000,1
"1af73001aa914b64b6d10f3f6157e081","Funerals and other social functions",807,300000,1
"1afc0338bf3b4f9ba59f4529c7e8b830","Remittances, gifts, and other transfers",806,50000,1
"1b058a022f4e4c15afd9e585e2a3d8e1","Remittances, gifts, and other transfers",806,75000,1
"1b233cd5eb5b438e805f2e541344a522","Remittances, gifts, and other transfers",806,200000,1
"1b233cd5eb5b438e805f2e541344a522","Interest on loans",808,318300,1
"1b599a7d26094ccaadac933ba550fd0a","Property rates (taxes)",802,1000,1
"1b6c16815b70461dbde0af4dbea1bc68","Funerals and other social functions",807,40000,1
"1ba46e5f44f84f31936a8e9e2d8f7e49","Remittances, gifts, and other transfers",806,60000,1
"1ba46e5f44f84f31936a8e9e2d8f7e49","Funerals and other social functions",807,180000,1
"1bfa24d291f74f478080a5e0b0c2316d","Remittances, gifts, and other transfers",806,100000,1
"1bfa24d291f74f478080a5e0b0c2316d","Funerals and other social functions",807,200000,1
"1c510d719fcc4e01ba4f19ddc878f6f2","Remittances, gifts, and other transfers",806,85000,1
"1c510d719fcc4e01ba4f19ddc878f6f2","Funerals and other social functions",807,50000,1
