"t0_hhid","hhid","s10q13","s10q15a","s10q15b","s10q15c","s10q16","s10q17a","s10q17b","s10q17c","s10q14"
"H2370701","00e23121bad94719bff27f93646437b3",4,2,1,2,3,1700,0.5,2,1
"H2370701","00e23121bad94719bff27f93646437b3",6,1,2,1,4,3000,1,14,1
"H0590907","00eb1114df14443a9effe1db5343435d",6,1,2,2,4,12000,0.5,6,1
"H0590907","00eb1114df14443a9effe1db5343435d",8,2,1,2,,,,,1
"H0531001","00f1eb71d428408f888b058a8e8664fe",1,1,2,2,5,,,,1
"H0531001","00f1eb71d428408f888b058a8e8664fe",6,1,2,2,2,5000,0.5,4,1
"H0531001","00f1eb71d428408f888b058a8e8664fe",7,2,1,2,,,,,1
"H0531001","00f1eb71d428408f888b058a8e8664fe",9,,1,,1,1800,,,
"H3730501","0101511a1da74f35b4fb8fd0c2cf8e69",1,1,2,1,6,,,,1
"H3730501","0101511a1da74f35b4fb8fd0c2cf8e69",3,1,2,2,5,,,,1
"H3730501","0101511a1da74f35b4fb8fd0c2cf8e69",9,,1,,1,2000,,,
"H2451101","0103050b934841289df128242538e3ea",1,1,2,2,6,,,,1
"H2451101","0103050b934841289df128242538e3ea",9,,1,,1,1200,,,
"H0120905","01152e19bbdd4744a712260121f34bf7",1,1,2,2,6,,,,1
"H0120905","01152e19bbdd4744a712260121f34bf7",6,1,2,2,2,38000,0.5,6,1
"H0120905","01152e19bbdd4744a712260121f34bf7",8,2,1,2,,,,,1
"H3780601","0125c97b154d4f249c07f630cd52a102",1,1,2,2,5,,,,1
"H3780601","0125c97b154d4f249c07f630cd52a102",3,1,2,2,5,,,,1
"H3780601","0125c97b154d4f249c07f630cd52a102",4,2,1,2,1,3400,1,2,1
"H1910701","0130f7b8553e41139cc871d924491db2",1,1,2,2,6,,,,1
"H1910701","0130f7b8553e41139cc871d924491db2",7,2,1,2,,,,,1
"H3470701","01474a4d9efd4b8190c37f5fba89a005",1,1,2,2,2,40000,40,20,1
"H3470701","01474a4d9efd4b8190c37f5fba89a005",6,1,2,2,2,35000,0.5,96,1
"H3470701","01474a4d9efd4b8190c37f5fba89a005",8,2,1,2,,,,,1
"H2780101","01483c3751964ad2842b6e4a8b6edcdd",1,1,2,2,5,,,,1
"H2780101","01483c3751964ad2842b6e4a8b6edcdd",7,2,1,2,,,,,1
"H1300901","014de44f6ef44053a6742d1db80fe516",1,1,2,2,6,,,,1
"H1300901","014de44f6ef44053a6742d1db80fe516",3,1,2,2,5,,,,1
"H3550301","015b2f40827d4d70a5aa4ac958235a78",1,1,2,2,6,,,,1
"H3550301","015b2f40827d4d70a5aa4ac958235a78",6,1,2,2,2,2000,1,9,1
"H0600701","0192be21a93d4c2d83997fb6dc1c3ea6",6,1,2,2,2,30000,30,11,1
"H0600701","0192be21a93d4c2d83997fb6dc1c3ea6",9,,1,,1,4000,,,
"83","01946faa112841669f992ad1c026ddb6",9,,1,,1,3000,,,
"H0670802","01c14a909dd54c2088fe1b32e84ae2ec",1,1,2,2,6,,,,1
"H0670802","01c14a909dd54c2088fe1b32e84ae2ec",7,2,1,2,,,,,1
"H2970601","01c6b5639280472aa1dbfea2b7c10c24",1,1,2,2,6,,,,1
"H2970601","01c6b5639280472aa1dbfea2b7c10c24",7,2,1,2,,,,,1
"H1530901","01dfba97dd29447f9a82aef0f59237de",1,1,2,2,6,,,,1
"H1530901","01dfba97dd29447f9a82aef0f59237de",3,1,2,2,5,,,,1
"H1530901","01dfba97dd29447f9a82aef0f59237de",7,2,1,2,,,,,1
"H2090701","01fc2a6821064f528ca01e20dbea8db2",1,1,2,2,6,,,,1
"H2090701","01fc2a6821064f528ca01e20dbea8db2",9,,1,,1,2000,,,
"H1400501","020fd884bebf40b0a97f2156b8eda1b6",1,1,2,2,6,,,,1
"H1400501","020fd884bebf40b0a97f2156b8eda1b6",7,2,1,2,,,,,1
"H3770703","021babeee5f646108cbe9bb3b2a4c485",1,1,2,2,6,,,,1
"H3770703","021babeee5f646108cbe9bb3b2a4c485",3,1,2,2,5,,,,1
"H3770703","021babeee5f646108cbe9bb3b2a4c485",9,,1,,1,3600,,,
"H4250801","02257a7aa9a94ca9b464e910e2bd642d",1,1,2,2,5,,,,1
"H4250801","02257a7aa9a94ca9b464e910e2bd642d",7,2,1,2,,,,,1
"H1190301","023400859c2e49d9a0701040d93fa0f2",7,2,1,2,,,,,1
"H3430401","024a80a27283471e857285cf751564ae",1,1,2,2,5,,,,1
"H3430401","024a80a27283471e857285cf751564ae",7,2,1,2,,,,,1
"H0620801","02617e359bfc48cbaa6ff204cb915790",1,1,2,2,2,20000,10,20,1
"H3470201","02931fcf3f8c4454919998cd30c933d3",6,1,2,2,2,96000,8,14,1
"H3470201","02931fcf3f8c4454919998cd30c933d3",8,2,1,2,,,,,1
"H3850702","02a50a54fb3a4c9f989e246cb0c9200e",1,1,2,2,5,,,,1
"H3850702","02a50a54fb3a4c9f989e246cb0c9200e",3,1,2,2,6,,,,1
"H3850702","02a50a54fb3a4c9f989e246cb0c9200e",4,2,1,2,2,5600,28,15,1
"H3040303","02ad65979b5d4f9e8654d5912304304d",6,1,2,2,2,10000,10,9,1
"H3040303","02ad65979b5d4f9e8654d5912304304d",8,2,1,2,,,,,1
"H2620907","02dd448165ce46279ca601a02865d543",9,,1,,1,0,,,
"H2620906","031fbb84e2af4d5e889ccc7492ecbf55",1,1,2,2,6,,,,1
"H2620906","031fbb84e2af4d5e889ccc7492ecbf55",4,2,1,2,3,3800,1,2,1
"H2620906","031fbb84e2af4d5e889ccc7492ecbf55",6,1,2,2,2,5000,1,14,1
"H0491306","03292ce0d7f24e42801500e576140648",1,1,2,2,6,,,,1
"H0491306","03292ce0d7f24e42801500e576140648",7,2,1,2,,,,,1
"H1910601","0349cc41571b406e889303445fe7e34c",1,1,2,2,5,,,,1
"H1910601","0349cc41571b406e889303445fe7e34c",7,2,1,2,,,,,1
"H1910601","0349cc41571b406e889303445fe7e34c",9,,1,,1,1000,,,
"H0640501","034e9ec479764a228fa3ebdd8d359cf0",1,1,2,2,6,,,,1
"H0640501","034e9ec479764a228fa3ebdd8d359cf0",3,1,2,2,5,,,,1
"H0640501","034e9ec479764a228fa3ebdd8d359cf0",7,2,1,2,,,,,1
"H1070601","034f0004fa7a4a25b4aacdb196177f2b",1,1,2,2,6,,,,1
"H1070601","034f0004fa7a4a25b4aacdb196177f2b",3,1,2,2,5,,,,1
"H1070601","034f0004fa7a4a25b4aacdb196177f2b",4,2,1,2,2,3000,30,15,1
"H1070601","034f0004fa7a4a25b4aacdb196177f2b",7,2,1,2,,,,,1
"H0660901","035c9f46cc9a41f9bacdbe9a5de03d8c",1,1,2,1,5,,,,1
"H0660901","035c9f46cc9a41f9bacdbe9a5de03d8c",3,1,2,2,5,,,,1
"H0660901","035c9f46cc9a41f9bacdbe9a5de03d8c",7,2,1,2,,,,,1
"H1440801","0367b97ab6cb487095e018a1ffdf17a9",1,1,2,2,6,,,,1
"H1440801","0367b97ab6cb487095e018a1ffdf17a9",9,,1,,1,2000,,,
"H1000201","036b190944154e22bbd0d574a8d08be0",1,1,2,2,6,,,,1
"H1000201","036b190944154e22bbd0d574a8d08be0",6,1,2,2,2,35000,1,5,1
"H1000201","036b190944154e22bbd0d574a8d08be0",8,2,1,2,,,,,1
"H3171001","038bf67186f048d1966a17475bedd578",1,1,2,2,5,,,,1
"H3171001","038bf67186f048d1966a17475bedd578",9,,1,,1,50000,,,
"H3860601","03c42091117d479097bf8be7a9dfebb1",1,1,2,2,6,,,,1
"H3860601","03c42091117d479097bf8be7a9dfebb1",3,1,2,2,5,,,,1
"H3860601","03c42091117d479097bf8be7a9dfebb1",7,2,1,2,,,,,1
"H3220901","03d4f5f6631747878b76ad399fb2b80c",1,1,2,2,6,,,,1
"H3220901","03d4f5f6631747878b76ad399fb2b80c",7,2,1,2,,,,,1
"H3430601","03dcda394fdc4008868fe663e6f762c8",1,1,2,2,6,,,,1
"H3430601","03dcda394fdc4008868fe663e6f762c8",3,1,2,2,6,,,,1
"H3430601","03dcda394fdc4008868fe663e6f762c8",4,2,1,2,1,1500,0.5,2,1
"H3430601","03dcda394fdc4008868fe663e6f762c8",7,2,1,2,,,,,1
"H3430601","03dcda394fdc4008868fe663e6f762c8",9,,,,,,,,
"H3880301","03f862af923942ad9f37fa65f52a8f3d",1,1,2,2,6,,,,1
"H3880301","03f862af923942ad9f37fa65f52a8f3d",3,1,2,2,6,,,,1
"H3880301","03f862af923942ad9f37fa65f52a8f3d",4,2,1,2,2,1600,4,17,1
"H3880301","03f862af923942ad9f37fa65f52a8f3d",7,2,1,2,,,,,1
"H2540901","04077875a3894775bb24f2f42e7adc67",1,1,2,2,6,,,,1
"H2540901","04077875a3894775bb24f2f42e7adc67",7,2,1,2,,,,,1
"H2590703","04079e5069be47278c3ec71eb77a8997",1,1,2,2,3,16000,4,9,1
"H2590703","04079e5069be47278c3ec71eb77a8997",7,2,1,2,,,,,1
"H1640904","040ecbcfb343431bb6645772dd87c2bb",1,1,2,2,5,,,,1
"H1640904","040ecbcfb343431bb6645772dd87c2bb",9,,1,,1,3000,,,
"H0590101","0418981cf19046bd930dbbfe8af3c1c4",4,1,2,2,1,8000,4,17,1
"H0590101","0418981cf19046bd930dbbfe8af3c1c4",6,1,2,2,1,37500,1.5,5,1
"H2601001","042c4cc37a904f18a05671d5323d78d3",1,1,2,2,1,80000,40,8,1
"H2601001","042c4cc37a904f18a05671d5323d78d3",6,1,2,2,1,12000,2,14,1
"H2601001","042c4cc37a904f18a05671d5323d78d3",7,1,1,2,,,,,1
"H2601001","042c4cc37a904f18a05671d5323d78d3",8,2,1,2,,,,,1
"64","043058c9577d4e2ebeeb2c62c20acb22",1,2,1,2,6,,,,1
"64","043058c9577d4e2ebeeb2c62c20acb22",9,,1,,1,2500,,,
"H3510201","0436a29148344151a89c6a941e52e1d0",1,1,2,2,5,,,,1
"H3510201","0436a29148344151a89c6a941e52e1d0",4,2,1,2,1,13200,4,96,1
"H3510201","0436a29148344151a89c6a941e52e1d0",6,1,2,2,5,,,,1
"H1880501","044525d42e7547cb844fa01062ed908c",1,1,2,2,6,,,,1
"H2231002","044c92119a6e44b6bd74f41b5131f7fb",1,1,2,2,5,,,,1
"H2231002","044c92119a6e44b6bd74f41b5131f7fb",7,2,1,2,,,,,1
"H3370501","044fe31f64084ca4bb3d0474820c95ff",1,1,2,2,6,,,,1
"H3370501","044fe31f64084ca4bb3d0474820c95ff",8,2,1,2,,,,,1
"H2920501","0475d96d540e42f48e10f7e052c18533",6,1,2,2,4,45000,1,6,1
"H2920501","0475d96d540e42f48e10f7e052c18533",8,2,1,2,,,,,1
"H2600905","048117d75d7e486587c27ca4bb7d294f",1,1,2,2,6,,,,1
"H2600905","048117d75d7e486587c27ca4bb7d294f",7,2,1,2,,,,,1
"H3530701","04a6909c35374a8088daf007b717dba1",1,1,2,2,3,20000,4,19,1
"H3530701","04a6909c35374a8088daf007b717dba1",9,,1,,,,,,
"H3600301","04adcf9e96a14cc2879a6d47da1a2ae9",1,1,2,2,6,,,,1
"H3600301","04adcf9e96a14cc2879a6d47da1a2ae9",4,2,1,2,1,1600,16,16,1
"H3440201","04beb1f67d72438a95bbd2da5ae9bc56",1,1,2,2,6,,,,1
"H3440201","04beb1f67d72438a95bbd2da5ae9bc56",7,2,1,2,,,,,1
"H3350301","04e3098df42742428550ed1754b3cce9",1,1,2,2,6,,,,1
"H3350301","04e3098df42742428550ed1754b3cce9",7,2,1,2,,,,,1
"H1510902","04e34e77abfc4a14a6ddb3f8604a51ee",1,1,2,2,6,,,,1
"H1510902","04e34e77abfc4a14a6ddb3f8604a51ee",3,1,2,2,5,,,,1
"H1510902","04e34e77abfc4a14a6ddb3f8604a51ee",7,2,1,2,,,,,1
"H2970602","04fbfbe14e064de88046b1bd162fb008",1,1,2,2,4,30000,6,20,1
"H2970602","04fbfbe14e064de88046b1bd162fb008",7,2,1,2,,,,,1
"H4280401","05052c1f4a06454ca9f2ef68f4ed9918",1,1,2,2,6,,,,1
"H4280401","05052c1f4a06454ca9f2ef68f4ed9918",7,2,1,2,,,,,1
"H1821002","053050b9f02d468dabfb5515b9f97be6",1,1,2,2,6,,,,1
"H1821002","053050b9f02d468dabfb5515b9f97be6",6,1,2,2,5,,,,1
"H1821002","053050b9f02d468dabfb5515b9f97be6",7,2,1,2,,,,,1
"H3881001","0566d903b26649e59275f92f6118361d",1,1,2,2,6,,,,1
"H3881001","0566d903b26649e59275f92f6118361d",3,1,2,2,5,,,,1
"H3881001","0566d903b26649e59275f92f6118361d",7,2,1,2,,,,,1
"H4110601","056cb993abee42a89f67363f1b38f878",1,1,2,2,2,5000,1,20,1
"H4110601","056cb993abee42a89f67363f1b38f878",4,2,1,2,1,9000,30,17,1
"H4110601","056cb993abee42a89f67363f1b38f878",6,1,2,2,2,30000,30,10,1
"H4110601","056cb993abee42a89f67363f1b38f878",9,,1,,1,3000,,,
"H1630901","056fa1dd91d740dcaa47fc4937363a95",1,1,2,2,6,,,,1
"H1630901","056fa1dd91d740dcaa47fc4937363a95",9,,1,,2,1000,,,
"H4180301","057535df5a63411bb13f906e251b9130",1,1,2,1,6,,,,1
"H4180301","057535df5a63411bb13f906e251b9130",4,2,1,2,1,1500,0.5,2,1
"H1301001","057fc24f426f48fca061898d6efa4f49",1,1,2,2,6,,,,1
"H1301001","057fc24f426f48fca061898d6efa4f49",3,1,2,2,5,,,,1
"H3680701","0583ffbf78c441f7828b4e53acdd71f1",1,1,2,2,6,,,,1
"H3680701","0583ffbf78c441f7828b4e53acdd71f1",3,1,2,2,5,,,,1
"H3680701","0583ffbf78c441f7828b4e53acdd71f1",4,2,1,2,1,400,2,15,1
"H3680701","0583ffbf78c441f7828b4e53acdd71f1",7,2,1,2,,,,,1
"H1510901","058bd214d86846f5949c782fb2f1bfbb",1,1,2,2,6,,,,1
"H1510901","058bd214d86846f5949c782fb2f1bfbb",7,2,1,2,,,,,1
"H0700901","0592013fe59d4dce8b33b8661323c86d",1,1,2,2,5,,,,1
"H0700901","0592013fe59d4dce8b33b8661323c86d",8,2,1,2,,,,,1
"H1900601","05d8c19cfc8f47d4b66bd70bbad5407f",1,1,2,2,6,,,,1
"H1900601","05d8c19cfc8f47d4b66bd70bbad5407f",4,2,1,2,2,700,0.25,2,1
"H1900601","05d8c19cfc8f47d4b66bd70bbad5407f",9,,1,,1,1000,,,
"H2080702","05dca1a459fe4754bd19d0d175b4da74",1,1,2,2,6,,,,1
"H2080702","05dca1a459fe4754bd19d0d175b4da74",4,1,1,2,3,3000,1,2,1
"H2080702","05dca1a459fe4754bd19d0d175b4da74",9,,1,,1,0,,,
"H1150101","05e99dfa6f5a44a79677019330c423f7",1,1,2,2,6,,,,1
"H1150101","05e99dfa6f5a44a79677019330c423f7",6,1,2,2,2,15000,30,13,1
"H1150101","05e99dfa6f5a44a79677019330c423f7",7,2,1,2,,,,,1
"H1150101","05e99dfa6f5a44a79677019330c423f7",8,2,1,2,,,,,1
"H2480401","05ec278a95624c74957734e0ab70ff5b",1,1,2,1,6,,,,1
"H2480401","05ec278a95624c74957734e0ab70ff5b",9,,1,,1,0,,,
"H3280101","06270b496e1b4aa09b4906b0871c21b9",6,1,2,2,2,35000,1,7,1
"H3280101","06270b496e1b4aa09b4906b0871c21b9",8,1,2,2,,,,,1
"H1810404","0634372d290947fc92bad833679f4f23",1,1,2,2,6,,,,1
"H1810404","0634372d290947fc92bad833679f4f23",9,,1,,1,0,,,
"H4130201","0667b6f1adac439db81e063ceead3b03",1,1,2,2,6,,,,1
"H4130201","0667b6f1adac439db81e063ceead3b03",7,2,1,2,,,,,1
"104","068501d062324eb097b62ccfea8a5fa6",1,1,2,2,3,10000,10,19,1
"104","068501d062324eb097b62ccfea8a5fa6",6,1,2,2,3,25000,1,6,1
"104","068501d062324eb097b62ccfea8a5fa6",7,2,1,2,,,,,1
"H3780201","069465eb8c264016bc63f2ba390ad118",1,1,2,2,2,60000,60,18,1
"H3780201","069465eb8c264016bc63f2ba390ad118",3,1,2,2,5,,,,1
"H3780201","069465eb8c264016bc63f2ba390ad118",7,2,1,2,,,,,1
"H1270901","069ce1000ec94312a038a19b8efdd983",1,1,2,2,5,,,,1
"H1270901","069ce1000ec94312a038a19b8efdd983",4,2,1,2,1,2900,1,2,1
"H1270901","069ce1000ec94312a038a19b8efdd983",7,2,1,2,,,,,1
"H1270901","069ce1000ec94312a038a19b8efdd983",9,,1,,1,1500,,,
"H2230902","06a3c5174fea45419046bfa97ea3c29b",1,1,2,2,2,4000,2,18,1
"H2230902","06a3c5174fea45419046bfa97ea3c29b",6,1,2,2,2,15000,1,6,1
"H2230902","06a3c5174fea45419046bfa97ea3c29b",7,2,1,2,,,,,1
"H2230902","06a3c5174fea45419046bfa97ea3c29b",9,,1,,1,0,,,
"H2941001","06afa3273f6a49a38b98ba52ba888ed8",1,1,2,2,4,20000,4,20,1
"H2941001","06afa3273f6a49a38b98ba52ba888ed8",6,,,,,,,,2
"H2941001","06afa3273f6a49a38b98ba52ba888ed8",8,2,1,2,,,,,1
"H3600901","06b881a31ba7466e919d01bb09f5e672",1,1,2,2,6,,,,1
"H3600901","06b881a31ba7466e919d01bb09f5e672",3,1,2,2,5,,,,1
"H3600901","06b881a31ba7466e919d01bb09f5e672",4,2,1,2,2,2000,0.5,96,1
"H3740301","06ba04343a6e4f678e01eec018cac7db",1,1,2,2,6,,,,1
"H3740301","06ba04343a6e4f678e01eec018cac7db",3,1,1,2,5,,,,1
"H3740301","06ba04343a6e4f678e01eec018cac7db",4,2,1,2,1,3000,30,15,1
"H3740301","06ba04343a6e4f678e01eec018cac7db",7,2,1,2,,,,,1
"H1441001","06c85056727c434f90b8215d4b1df0a2",1,1,2,2,6,,,,1
"H1441001","06c85056727c434f90b8215d4b1df0a2",7,2,1,2,,,,,1
"H1441001","06c85056727c434f90b8215d4b1df0a2",9,,1,,2,1000,,,
"H2231001","06d940520a174c5c843dd683f49c2f95",1,1,2,2,6,,,,1
"H3910601","06e12afed6db4f9a99423fc4169cc802",1,1,2,2,6,,,,1
"H3910601","06e12afed6db4f9a99423fc4169cc802",4,2,1,2,1,1000,1,96,1
"H1890201","0700ac37276743c3a73536d56c21b04e",1,1,2,2,5,,,,1
"H1890201","0700ac37276743c3a73536d56c21b04e",9,,1,,2,1000,,,
"H3720801","070b86808a434b1fb9f7f75af25bc594",1,1,2,2,6,,,,1
"H3720801","070b86808a434b1fb9f7f75af25bc594",4,2,1,2,1,2400,2,96,1
"H2590601","0731c33c39714e7a8fe032a4c6840fc5",1,1,2,2,5,,,,1
"H2590601","0731c33c39714e7a8fe032a4c6840fc5",8,2,1,2,,,,,1
"H4110301","0751ec0e0fe949e68111233049babbaf",9,,1,,2,1000,,,
"H2480901","0774323f6795452793f0f563fcf08d08",1,1,2,2,6,,,,1
"74","07919f0a80fb43dc9dbbc762b869adbf",1,1,2,1,6,,,,1
"74","07919f0a80fb43dc9dbbc762b869adbf",9,,1,,1,12000,,,
"H1970205","0795321942c34174a89d745e644df105",1,1,2,2,6,,,,1
"H1970205","0795321942c34174a89d745e644df105",3,1,2,2,5,,,,1
"H1970205","0795321942c34174a89d745e644df105",7,1,1,2,,,,,1
"H1970205","0795321942c34174a89d745e644df105",9,,1,,1,3000,,,
"H4171001","07999cf798314e05b4cfb6005c1092cb",1,1,2,2,6,,,,1
"H4171001","07999cf798314e05b4cfb6005c1092cb",4,2,1,2,1,3000,2,96,1
"H0990801","07b307a143384b5cb48a35412b6788d6",6,1,2,2,2,60000,1,6,1
"H0990801","07b307a143384b5cb48a35412b6788d6",8,2,1,2,,,,,1
"H3590301","07c445ca0f284db081b29aa91ee7988e",1,1,2,2,6,,,,1
"H3590301","07c445ca0f284db081b29aa91ee7988e",3,1,2,2,6,,,,1
"H3590301","07c445ca0f284db081b29aa91ee7988e",4,2,1,2,1,3200,16,15,1
"H3050501","08004f29b4234c35bfbea5f38ced207a",6,1,2,1,2,20000,4,10,1
"H3050501","08004f29b4234c35bfbea5f38ced207a",8,2,1,2,,,,,1
"H3000901","08211a3e91eb4227bb201b44001ea21b",1,1,2,2,6,,,,1
"H3000901","08211a3e91eb4227bb201b44001ea21b",9,,1,,1,2000,,,
"H2871001","087401704b5c4990995dc6b7af8a6b0a",6,1,2,2,1,60000,1,7,1
"H2740201","08a2071726b54dae84b17e7b8017588d",1,1,2,2,2,15000,5,20,1
"H2740201","08a2071726b54dae84b17e7b8017588d",4,2,1,2,1,3300,1,2,1
"H4100701","08a228d06e764dc49fbbf00d813880b8",1,1,2,2,5,,,,1
"H4100701","08a228d06e764dc49fbbf00d813880b8",7,2,1,2,,,,,1
"H1710801","08a88de2ed7b46648366085ed5bef13b",1,1,2,2,6,,,,1
"H1710801","08a88de2ed7b46648366085ed5bef13b",3,1,2,2,5,,,,1
"H1710801","08a88de2ed7b46648366085ed5bef13b",7,2,1,2,,,,,1
"H0911001","08b6ed18afcc4300b2c916163a857437",1,1,2,2,5,,,,1
"H0911001","08b6ed18afcc4300b2c916163a857437",3,1,2,2,5,,,,1
"H0911001","08b6ed18afcc4300b2c916163a857437",7,2,1,2,,,,,1
"H2370901","08f3d91754ba4911865d5913f19172fc",1,1,2,2,6,,,,1
"H2370901","08f3d91754ba4911865d5913f19172fc",4,2,1,2,2,4000,8,16,1
"H2370901","08f3d91754ba4911865d5913f19172fc",7,2,1,2,,,,,1
"H3580601","08f99cd6418241cda1841d6a644074f9",1,1,2,2,6,,,,1
"H3580601","08f99cd6418241cda1841d6a644074f9",7,2,1,2,,,,,1
"H0850701","09296489a3b04339968d856b0b9e44d9",1,1,2,2,6,,,,1
"H0850701","09296489a3b04339968d856b0b9e44d9",4,2,1,2,1,3400,1,2,1
"H1270701","092f4d6bc16a49d19c00dbf10038cb3b",1,1,2,2,6,,,,1
"H1270701","092f4d6bc16a49d19c00dbf10038cb3b",3,1,1,2,5,,,,1
"H1270701","092f4d6bc16a49d19c00dbf10038cb3b",4,2,1,2,1,1600,8,15,1
"H1270701","092f4d6bc16a49d19c00dbf10038cb3b",8,2,1,2,,,,,1
"205","097ea672d9004012a57a7084a54061ab",1,1,2,1,6,,,,1
"205","097ea672d9004012a57a7084a54061ab",9,,1,,2,1000,,,
"H4260701","098efabf1d9245b6bb031ca40ce7e36c",1,1,2,2,6,,,,1
"H4260701","098efabf1d9245b6bb031ca40ce7e36c",4,2,1,2,1,1800,0.5,2,1
"H3720201","0995195942ce4c61bd7c381d8e79e6a6",1,1,2,2,2,60000,60,8,1
"H3720201","0995195942ce4c61bd7c381d8e79e6a6",3,1,2,2,5,,,,1
"H3720201","0995195942ce4c61bd7c381d8e79e6a6",4,2,1,2,1,5800,2,2,1
"H4050501","099f3b6855dc42158237614c25bfb571",1,1,2,2,6,,,,1
"H4050501","099f3b6855dc42158237614c25bfb571",7,2,1,2,,,,,1
"H2570501","09c865966539496a8242c1018e90ef5f",1,1,2,2,5,,,,1
"H2570501","09c865966539496a8242c1018e90ef5f",7,2,1,2,,,,,1
"H1070602","09eb11716b004f3db526ff17444387ae",1,1,2,2,6,,,,1
"H1070602","09eb11716b004f3db526ff17444387ae",3,1,2,2,5,,,,1
"H1070602","09eb11716b004f3db526ff17444387ae",4,1,1,2,1,3000,15,15,1
"H1070602","09eb11716b004f3db526ff17444387ae",7,2,1,2,,,,,1
"H2701002","09f80c42c3cd41999116b6c09d0fe5fb",4,1,2,2,1,6000,1.5,2,1
"H2701002","09f80c42c3cd41999116b6c09d0fe5fb",6,1,2,2,1,4000,4,13,1
"H2701002","09f80c42c3cd41999116b6c09d0fe5fb",8,2,1,2,,,,,1
"H2380401","0a049c02fa2046ebbd60a6af568aabae",1,1,2,2,6,,,,1
"H2380401","0a049c02fa2046ebbd60a6af568aabae",4,2,1,2,1,1500,3,16,1
"H3100401","0a27264e6c624c93b389332b558be807",1,1,2,2,5,,,,1
"H3100401","0a27264e6c624c93b389332b558be807",9,,1,,1,1000,,,
"H2090302","0a32ecc59b4543d991993511531bcbdc",1,1,2,2,5,,,,1
"H2090302","0a32ecc59b4543d991993511531bcbdc",9,,1,,1,0,,,
"H4200601","0a396d4827b24ea099971029d14bd817",1,1,2,2,6,,,,1
"H4200601","0a396d4827b24ea099971029d14bd817",7,2,1,2,,,,,1
"H3040301","0a3fa4ae17e5425780754137a4e60987",1,1,2,2,5,,,,1
"H3040301","0a3fa4ae17e5425780754137a4e60987",7,2,1,2,,,,,1
"H2451003","0a48cd3173ac4599b9b722ced71b423c",6,1,2,2,4,15000,3,14,1
"H2451003","0a48cd3173ac4599b9b722ced71b423c",9,,1,,1,3000,,,
"H2940601","0a72dc2637f34612b2fa35e4d4b6cc60",6,1,2,2,2,30000,1,96,1
"H2940601","0a72dc2637f34612b2fa35e4d4b6cc60",8,2,1,2,,,,,1
"H0610503","0a762151047143afb734fafb9be8275c",1,1,2,2,6,,,,1
"H0610503","0a762151047143afb734fafb9be8275c",7,2,1,2,,,,,1
"H1080302","0ab5e0705d5b40beb0a2e79f49183356",1,1,2,2,6,,,,1
"H1080302","0ab5e0705d5b40beb0a2e79f49183356",4,2,1,2,1,3800,1,2,1
"H2310501","0ac58cb4e81e452daa6d87169534e762",1,1,2,2,5,,,,1
"H2310501","0ac58cb4e81e452daa6d87169534e762",7,2,1,2,,,,,1
"H0510301","0acb15747a494855adae111b05ec1af2",1,1,2,2,6,,,,1
"H0510301","0acb15747a494855adae111b05ec1af2",4,1,1,2,1,500,1,17,1
"H0510301","0acb15747a494855adae111b05ec1af2",8,2,1,2,,,,,1
