"hhid","IncomeSource","s11q04","s11q05","s11q06","s11q06a","s11q06b","s11q07"
"00246782f8654441a9df0f6ec0b6fc9f",36,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",35,2,,,,,
"00246782f8654441a9df0f6ec0b6fc9f",34,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",42,1,350000,0,3,,7
"003ed8d32f794609919d60d2ed8813e8",43,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",45,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",23,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",32,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",44,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",36,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",34,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",22,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",48,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",31,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",21,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",33,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",41,2,,,,,
"003ed8d32f794609919d60d2ed8813e8",35,2,,,,,
"005fbc5779014a0290b088071bde9f72",35,2,,,,,
"005fbc5779014a0290b088071bde9f72",48,2,,,,,
"005fbc5779014a0290b088071bde9f72",34,2,,,,,
"005fbc5779014a0290b088071bde9f72",43,2,,,,,
"005fbc5779014a0290b088071bde9f72",31,2,,,,,
"005fbc5779014a0290b088071bde9f72",22,2,,,,,
"005fbc5779014a0290b088071bde9f72",33,2,,,,,
"005fbc5779014a0290b088071bde9f72",44,2,,,,,
"005fbc5779014a0290b088071bde9f72",36,2,,,,,
"005fbc5779014a0290b088071bde9f72",42,2,,,,,
"005fbc5779014a0290b088071bde9f72",41,2,,,,,
"005fbc5779014a0290b088071bde9f72",45,2,,,,,
"005fbc5779014a0290b088071bde9f72",21,2,,,,,
"005fbc5779014a0290b088071bde9f72",23,2,,,,,
"005fbc5779014a0290b088071bde9f72",32,2,,,,,
"0060071f3f414406af7312d68eae8513",32,2,,,,,
"0060071f3f414406af7312d68eae8513",41,2,,,,,
"0060071f3f414406af7312d68eae8513",43,2,,,,,
"0060071f3f414406af7312d68eae8513",23,2,,,,,
"0060071f3f414406af7312d68eae8513",21,2,,,,,
"0060071f3f414406af7312d68eae8513",22,2,,,,,
"0060071f3f414406af7312d68eae8513",31,2,,,,,
"0060071f3f414406af7312d68eae8513",42,2,,,,,
"0060071f3f414406af7312d68eae8513",45,2,,,,,
"0060071f3f414406af7312d68eae8513",44,2,,,,,
"0060071f3f414406af7312d68eae8513",36,2,,,,,
"0060071f3f414406af7312d68eae8513",33,2,,,,,
"0060071f3f414406af7312d68eae8513",48,2,,,,,
"0060071f3f414406af7312d68eae8513",35,2,,,,,
"0060071f3f414406af7312d68eae8513",34,2,,,,,
"007341c9c07448a580714ee6a46d427f",33,2,,,,,
"007341c9c07448a580714ee6a46d427f",44,2,,,,,
"007341c9c07448a580714ee6a46d427f",36,2,,,,,
"007341c9c07448a580714ee6a46d427f",23,2,,,,,
"007341c9c07448a580714ee6a46d427f",32,2,,,,,
"007341c9c07448a580714ee6a46d427f",21,2,,,,,
"007341c9c07448a580714ee6a46d427f",45,2,,,,,
"007341c9c07448a580714ee6a46d427f",31,2,,,,,
"007341c9c07448a580714ee6a46d427f",43,2,,,,,
"007341c9c07448a580714ee6a46d427f",41,2,,,,,
"007341c9c07448a580714ee6a46d427f",42,2,,,,,
"007341c9c07448a580714ee6a46d427f",22,2,,,,,
"007341c9c07448a580714ee6a46d427f",48,2,,,,,
"007341c9c07448a580714ee6a46d427f",35,2,,,,,
"007341c9c07448a580714ee6a46d427f",34,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",23,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",36,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",33,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",44,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",35,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",22,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",31,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",21,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",41,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",48,1,300000,0,1,5,
"008c674975f24ea79f50e30cbd4ee635",32,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",42,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",34,1,150000,0,5,,
"008c674975f24ea79f50e30cbd4ee635",45,2,,,,,
"008c674975f24ea79f50e30cbd4ee635",43,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",41,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",48,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",36,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",21,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",33,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",23,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",42,1,500000,0,1,,8
"009c1baa0edb44f8af47773ce0b7caaa",44,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",22,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",32,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",43,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",31,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",34,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",45,2,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",35,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",22,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",33,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",44,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",41,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",42,1,500000,1000000,1,,7
"00b48fb6bcf84dd581bd7b2be5f908a0",45,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",36,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",35,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",43,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",48,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",31,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",23,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",21,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",32,2,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",34,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",44,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",22,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",32,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",43,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",45,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",31,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",36,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",23,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",48,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",21,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",34,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",42,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",33,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",35,2,,,,,
"00b4bea2a97641f88ae09439328edd9a",41,2,,,,,
"00c2b27287a74f948fef24a8de42825c",33,2,,,,,
"00c2b27287a74f948fef24a8de42825c",35,2,,,,,
"00c2b27287a74f948fef24a8de42825c",23,2,,,,,
"00c2b27287a74f948fef24a8de42825c",31,2,,,,,
"00c2b27287a74f948fef24a8de42825c",43,2,,,,,
"00c2b27287a74f948fef24a8de42825c",32,2,,,,,
"00c2b27287a74f948fef24a8de42825c",21,2,,,,,
"00c2b27287a74f948fef24a8de42825c",44,2,,,,,
"00c2b27287a74f948fef24a8de42825c",45,2,,,,,
"00c2b27287a74f948fef24a8de42825c",22,2,,,,,
"00c2b27287a74f948fef24a8de42825c",34,2,,,,,
"00c2b27287a74f948fef24a8de42825c",48,2,,,,,
"00c2b27287a74f948fef24a8de42825c",42,1,600000,600000,3,,7
"00c2b27287a74f948fef24a8de42825c",36,2,,,,,
"00c2b27287a74f948fef24a8de42825c",41,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",43,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",23,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",45,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",21,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",34,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",41,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",42,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",35,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",33,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",32,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",31,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",22,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",44,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",36,2,,,,,
"00cb487f12014891b3efa5c8679d18ab",48,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",21,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",41,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",36,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",42,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",45,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",34,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",33,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",32,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",35,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",44,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",48,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",22,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",43,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",23,2,,,,,
"00d5da8bbd544c548a71f176496ee4b6",31,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",31,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",32,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",41,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",43,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",33,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",21,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",23,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",34,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",22,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",48,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",42,1,10000,60000,1,2,7
"00dc3a212a1f40698656b2dc7cc97a85",44,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",45,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",35,2,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",36,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",23,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",45,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",34,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",48,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",32,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",33,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",21,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",36,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",22,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",41,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",42,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",35,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",43,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",31,2,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",44,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",34,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",36,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",23,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",41,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",45,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",35,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",48,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",43,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",31,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",21,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",33,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",44,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",22,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",42,2,,,,,
"014cbd0c0b844976888438f7ea74aa69",32,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",42,1,30000,150000,1,,7
"0182fc7b5eb44c44aef16c3a178fb762",35,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",33,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",45,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",48,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",32,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",41,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",22,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",31,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",34,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",43,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",44,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",23,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",21,2,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",36,2,,,,,
"018d29620fa44db282c80b6627413e5c",41,2,,,,,
"018d29620fa44db282c80b6627413e5c",34,2,,,,,
"018d29620fa44db282c80b6627413e5c",31,2,,,,,
"018d29620fa44db282c80b6627413e5c",22,2,,,,,
"018d29620fa44db282c80b6627413e5c",48,2,,,,,
"018d29620fa44db282c80b6627413e5c",32,2,,,,,
"018d29620fa44db282c80b6627413e5c",33,2,,,,,
"018d29620fa44db282c80b6627413e5c",21,2,,,,,
"018d29620fa44db282c80b6627413e5c",35,2,,,,,
"018d29620fa44db282c80b6627413e5c",45,2,,,,,
"018d29620fa44db282c80b6627413e5c",42,2,,,,,
"018d29620fa44db282c80b6627413e5c",44,2,,,,,
"018d29620fa44db282c80b6627413e5c",23,2,,,,,
"018d29620fa44db282c80b6627413e5c",43,2,,,,,
"018d29620fa44db282c80b6627413e5c",36,2,,,,,
"0192cb54d502450ca603738439bf616f",42,2,,,,,
"0192cb54d502450ca603738439bf616f",41,2,,,,,
"0192cb54d502450ca603738439bf616f",21,2,,,,,
"0192cb54d502450ca603738439bf616f",22,2,,,,,
"0192cb54d502450ca603738439bf616f",31,2,,,,,
"0192cb54d502450ca603738439bf616f",34,2,,,,,
"0192cb54d502450ca603738439bf616f",44,2,,,,,
"0192cb54d502450ca603738439bf616f",45,2,,,,,
"0192cb54d502450ca603738439bf616f",32,2,,,,,
"0192cb54d502450ca603738439bf616f",23,2,,,,,
"0192cb54d502450ca603738439bf616f",43,2,,,,,
"0192cb54d502450ca603738439bf616f",33,2,,,,,
"0192cb54d502450ca603738439bf616f",48,2,,,,,
"0192cb54d502450ca603738439bf616f",36,2,,,,,
"0192cb54d502450ca603738439bf616f",35,2,,,,,
"0197cec68e9246a887cae30b13bc7488",35,2,,,,,
"0197cec68e9246a887cae30b13bc7488",33,2,,,,,
"0197cec68e9246a887cae30b13bc7488",48,2,,,,,
"0197cec68e9246a887cae30b13bc7488",45,2,,,,,
"0197cec68e9246a887cae30b13bc7488",32,2,,,,,
"0197cec68e9246a887cae30b13bc7488",23,2,,,,,
"0197cec68e9246a887cae30b13bc7488",43,2,,,,,
"0197cec68e9246a887cae30b13bc7488",31,2,,,,,
"0197cec68e9246a887cae30b13bc7488",36,2,,,,,
"0197cec68e9246a887cae30b13bc7488",34,2,,,,,
"0197cec68e9246a887cae30b13bc7488",21,2,,,,,
"0197cec68e9246a887cae30b13bc7488",22,2,,,,,
"0197cec68e9246a887cae30b13bc7488",42,2,,,,,
"0197cec68e9246a887cae30b13bc7488",41,2,,,,,
"0197cec68e9246a887cae30b13bc7488",44,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",35,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",43,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",34,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",41,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",36,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",32,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",45,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",42,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",23,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",31,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",33,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",44,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",22,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",21,2,,,,,
"019f06d347d04d5fa22f1846aba0c59b",48,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",48,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",35,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",21,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",42,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",45,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",44,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",23,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",34,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",43,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",22,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",41,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",32,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",36,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",33,2,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",31,2,,,,,
"01d54a65224747fba33cf7b310c7435e",48,2,,,,,
"01d54a65224747fba33cf7b310c7435e",32,2,,,,,
"01d54a65224747fba33cf7b310c7435e",36,2,,,,,
"01d54a65224747fba33cf7b310c7435e",34,2,,,,,
"01d54a65224747fba33cf7b310c7435e",33,2,,,,,
"01d54a65224747fba33cf7b310c7435e",21,2,,,,,
"01d54a65224747fba33cf7b310c7435e",41,2,,,,,
"01d54a65224747fba33cf7b310c7435e",22,2,,,,,
"01d54a65224747fba33cf7b310c7435e",42,2,,,,,
"01d54a65224747fba33cf7b310c7435e",31,2,,,,,
"01d54a65224747fba33cf7b310c7435e",35,2,,,,,
"01d54a65224747fba33cf7b310c7435e",23,2,,,,,
"01d54a65224747fba33cf7b310c7435e",45,2,,,,,
"01d54a65224747fba33cf7b310c7435e",44,2,,,,,
"01d54a65224747fba33cf7b310c7435e",43,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",45,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",35,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",22,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",33,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",34,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",48,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",23,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",44,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",21,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",43,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",32,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",31,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",42,1,0,250000,1,,7
"01e7608a258e42c7a2f5af8b551bc247",41,2,,,,,
"01e7608a258e42c7a2f5af8b551bc247",36,2,,,,,
"02087846085249d1ae73a1070233c8bb",34,2,,,,,
"02087846085249d1ae73a1070233c8bb",43,2,,,,,
"02087846085249d1ae73a1070233c8bb",33,2,,,,,
"02087846085249d1ae73a1070233c8bb",45,2,,,,,
"02087846085249d1ae73a1070233c8bb",44,2,,,,,
"02087846085249d1ae73a1070233c8bb",36,2,,,,,
"02087846085249d1ae73a1070233c8bb",32,2,,,,,
"02087846085249d1ae73a1070233c8bb",22,2,,,,,
"02087846085249d1ae73a1070233c8bb",21,2,,,,,
"02087846085249d1ae73a1070233c8bb",31,2,,,,,
"02087846085249d1ae73a1070233c8bb",42,2,,,,,
"02087846085249d1ae73a1070233c8bb",41,2,,,,,
"02087846085249d1ae73a1070233c8bb",23,2,,,,,
"02087846085249d1ae73a1070233c8bb",35,2,,,,,
"02087846085249d1ae73a1070233c8bb",48,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",45,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",21,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",36,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",43,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",23,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",22,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",42,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",35,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",34,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",32,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",44,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",31,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",41,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",48,2,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",33,2,,,,,
"024172552bc54600b13887149d11e82c",48,2,,,,,
"024172552bc54600b13887149d11e82c",36,2,,,,,
"024172552bc54600b13887149d11e82c",23,2,,,,,
"024172552bc54600b13887149d11e82c",44,2,,,,,
"024172552bc54600b13887149d11e82c",41,2,,,,,
"024172552bc54600b13887149d11e82c",32,2,,,,,
"024172552bc54600b13887149d11e82c",22,2,,,,,
"024172552bc54600b13887149d11e82c",33,2,,,,,
"024172552bc54600b13887149d11e82c",31,2,,,,,
"024172552bc54600b13887149d11e82c",21,2,,,,,
"024172552bc54600b13887149d11e82c",42,2,,,,,
"024172552bc54600b13887149d11e82c",45,2,,,,,
"024172552bc54600b13887149d11e82c",34,2,,,,,
"024172552bc54600b13887149d11e82c",43,2,,,,,
"024172552bc54600b13887149d11e82c",35,2,,,,,
"02449af9963842c8b8f615b2232735b1",31,2,,,,,
"02449af9963842c8b8f615b2232735b1",35,2,,,,,
"02449af9963842c8b8f615b2232735b1",42,1,250000,200000,1,,7
"02449af9963842c8b8f615b2232735b1",48,2,,,,,
"02449af9963842c8b8f615b2232735b1",33,2,,,,,
"02449af9963842c8b8f615b2232735b1",41,2,,,,,
"02449af9963842c8b8f615b2232735b1",36,2,,,,,
"02449af9963842c8b8f615b2232735b1",21,2,,,,,
"02449af9963842c8b8f615b2232735b1",23,2,,,,,
"02449af9963842c8b8f615b2232735b1",43,2,,,,,
"02449af9963842c8b8f615b2232735b1",32,2,,,,,
"02449af9963842c8b8f615b2232735b1",45,2,,,,,
"02449af9963842c8b8f615b2232735b1",22,2,,,,,
"02449af9963842c8b8f615b2232735b1",34,2,,,,,
"02449af9963842c8b8f615b2232735b1",44,2,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",43,2,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",34,2,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",48,2,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",21,1,780000,0,1,,
"024dec2ae5e84e15a9d92dc84c3b5084",33,2,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",35,2,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",22,2,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",44,2,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",41,2,,,,,
