"hhid","PID","pid_unps_wave7","h2q3","h2q4","h2q7","h2q5","h2q6","h2q8","h2q9a","h2q9b","h2q9c","h2q10"
"007341c9c07448a580714ee6a46d427f",1,"1",1,1,2,8,12,30,98,10,1988,1
"007341c9c07448a580714ee6a46d427f",2,"2",2,2,1,12,,30,98,98,1989,1
"007341c9c07448a580714ee6a46d427f",3,"3",2,3,1,12,,4,29,11,2014,
"008c674975f24ea79f50e30cbd4ee635",1,"1",2,1,2,12,,63,98,98,1957,4
"008c674975f24ea79f50e30cbd4ee635",2,"2",1,3,2,12,,31,98,98,1989,1
"008c674975f24ea79f50e30cbd4ee635",4,"5",1,3,2,12,,23,98,98,1997,5
"008c674975f24ea79f50e30cbd4ee635",5,"6",2,3,1,12,,34,98,98,1986,2
"008c674975f24ea79f50e30cbd4ee635",6,"8",2,4,2,12,,5,16,4,2014,
"009c1baa0edb44f8af47773ce0b7caaa",1,"1",2,1,1,12,,50,14,4,1969,4
"009c1baa0edb44f8af47773ce0b7caaa",2,"2",2,3,4,4,15,19,22,5,2001,5
"009c1baa0edb44f8af47773ce0b7caaa",4,,2,4,1,12,,11,98,8,2008,5
"00b48fb6bcf84dd581bd7b2be5f908a0",1,"1",2,1,1,12,,66,98,98,1954,3
"00b4bea2a97641f88ae09439328edd9a",1,"1",1,1,1,12,,46,98,8,1972,1
"00b4bea2a97641f88ae09439328edd9a",2,"3",2,3,4,4,15,15,10,7,2003,5
"00b4bea2a97641f88ae09439328edd9a",3,"4",1,3,4,4,15,7,1,7,2011,
"00c2b27287a74f948fef24a8de42825c",1,"1",2,3,1,12,,15,7,7,2003,5
"00c2b27287a74f948fef24a8de42825c",2,"2",2,3,2,12,,13,98,5,2006,5
"00c2b27287a74f948fef24a8de42825c",3,"4",2,1,1,12,,35,98,4,1984,2
"00c2b27287a74f948fef24a8de42825c",4,"5",1,3,2,12,,11,26,4,2008,5
"00c2b27287a74f948fef24a8de42825c",5,"6",2,3,2,12,,8,2,9,2010,
"00c2b27287a74f948fef24a8de42825c",6,"7",1,3,1,12,,1,25,5,2018,
"00cb487f12014891b3efa5c8679d18ab",1,"1",1,1,1,12,,58,20,6,1961,2
"00cb487f12014891b3efa5c8679d18ab",2,"2",2,2,1,12,,56,16,10,1963,2
"00cb487f12014891b3efa5c8679d18ab",3,"3",1,3,2,12,,23,17,9,1996,5
"00cb487f12014891b3efa5c8679d18ab",4,"4",2,3,2,12,,20,8,4,1999,5
"00d5da8bbd544c548a71f176496ee4b6",1,"1",1,1,1,12,,51,24,6,1968,1
"00d5da8bbd544c548a71f176496ee4b6",2,"2",2,2,1,12,,39,98,98,1981,1
"00d5da8bbd544c548a71f176496ee4b6",3,"3",2,3,1,12,,13,6,9,2006,5
"00d5da8bbd544c548a71f176496ee4b6",4,"4",2,3,1,12,,7,2,1,2013,
"00d5da8bbd544c548a71f176496ee4b6",5,"5",2,3,1,12,,5,24,12,2014,
"00d5da8bbd544c548a71f176496ee4b6",6,,2,3,1,12,,1,7,5,2018,
"00dc3a212a1f40698656b2dc7cc97a85",1,"1",1,1,1,12,,39,25,11,1979,1
"00dc3a212a1f40698656b2dc7cc97a85",2,"2",2,2,1,12,,33,11,2,1986,1
"00dc3a212a1f40698656b2dc7cc97a85",3,"3",1,3,1,12,,15,23,9,2004,5
"00dc3a212a1f40698656b2dc7cc97a85",4,"4",1,3,1,12,,13,19,7,2006,5
"00dc3a212a1f40698656b2dc7cc97a85",5,"5",2,3,1,12,,10,25,11,2008,5
"00dc3a212a1f40698656b2dc7cc97a85",6,"6",1,3,1,12,,9,25,10,2010,
"00dc3a212a1f40698656b2dc7cc97a85",7,"8",1,3,1,12,,6,7,11,2012,
"00dc3a212a1f40698656b2dc7cc97a85",8,"9",2,3,1,12,,4,7,3,2015,
"00dc3a212a1f40698656b2dc7cc97a85",9,"10",2,3,1,12,,2,1,5,2017,
"00dc3a212a1f40698656b2dc7cc97a85",10,,2,3,1,0,1,0,2,10,2019,
"0142f6f0c8f9435c97ac2563a6f390ec",1,"1",1,1,1,12,,43,20,9,1976,1
"0142f6f0c8f9435c97ac2563a6f390ec",2,"2",2,2,1,12,,38,12,3,1981,1
"0142f6f0c8f9435c97ac2563a6f390ec",3,"3",1,3,1,12,,18,31,8,2001,5
"0142f6f0c8f9435c97ac2563a6f390ec",4,"4",1,3,1,12,,16,30,7,2003,5
"0142f6f0c8f9435c97ac2563a6f390ec",5,"5",2,3,1,12,,14,27,10,2005,5
"0142f6f0c8f9435c97ac2563a6f390ec",6,"6",2,3,1,12,,10,17,5,2009,5
"0142f6f0c8f9435c97ac2563a6f390ec",7,,1,3,1,12,,2,29,1,2018,
"014cbd0c0b844976888438f7ea74aa69",1,"4",1,1,1,12,,30,5,4,1989,1
"0182fc7b5eb44c44aef16c3a178fb762",1,"2",2,1,1,12,,64,98,12,1955,4
"0182fc7b5eb44c44aef16c3a178fb762",2,"4",1,3,2,9,20,33,11,5,1986,5
"018d29620fa44db282c80b6627413e5c",1,"1",2,1,1,12,,35,3,7,1984,2
"018d29620fa44db282c80b6627413e5c",2,"2",1,3,3,3,13,10,98,98,2010,5
"018d29620fa44db282c80b6627413e5c",3,"3",2,3,1,12,,6,98,98,2014,
"018d29620fa44db282c80b6627413e5c",4,"4",2,3,1,12,,4,1,1,2016,
"018d29620fa44db282c80b6627413e5c",5,"5",1,3,1,12,,1,22,5,2018,
"018d29620fa44db282c80b6627413e5c",6,,2,3,4,4,15,13,98,98,2007,5
"018d29620fa44db282c80b6627413e5c",7,,2,3,4,4,15,13,98,98,2007,5
"0192cb54d502450ca603738439bf616f",1,"1",1,1,1,12,,52,2,1,1967,1
"0192cb54d502450ca603738439bf616f",2,"5",1,3,1,12,,22,98,98,1997,5
"0192cb54d502450ca603738439bf616f",3,"7",2,3,1,12,,13,29,9,2005,5
"0192cb54d502450ca603738439bf616f",4,"8",2,3,1,12,,10,29,8,2008,5
"0192cb54d502450ca603738439bf616f",5,"9",1,3,1,9,7,16,13,9,2002,5
"0192cb54d502450ca603738439bf616f",6,"10",2,3,1,12,,8,28,2,2011,
"0192cb54d502450ca603738439bf616f",8,,2,2,1,5,8,35,98,98,1984,1
"0197cec68e9246a887cae30b13bc7488",1,"1",1,1,1,12,,36,15,12,1982,3
"019f06d347d04d5fa22f1846aba0c59b",1,"1",1,2,4,3,16,47,98,12,1971,2
"019f06d347d04d5fa22f1846aba0c59b",2,"2",2,1,1,12,,41,98,7,1977,2
"019f06d347d04d5fa22f1846aba0c59b",3,"3",1,3,3,4,13,24,17,11,1994,5
"019f06d347d04d5fa22f1846aba0c59b",4,"4",1,3,1,12,,22,22,7,1996,5
"019f06d347d04d5fa22f1846aba0c59b",5,"5",1,3,1,12,,23,12,2,1996,5
"019f06d347d04d5fa22f1846aba0c59b",7,"7",1,3,1,12,,18,20,5,2000,5
"019f06d347d04d5fa22f1846aba0c59b",8,"8",2,3,4,3,15,17,15,3,2002,5
"019f06d347d04d5fa22f1846aba0c59b",9,"9",2,3,1,12,,15,21,3,2004,5
"019f06d347d04d5fa22f1846aba0c59b",10,"10",1,3,1,12,,13,1,5,2006,5
"019f06d347d04d5fa22f1846aba0c59b",11,"11",1,3,1,12,,9,11,5,2010,
"019f06d347d04d5fa22f1846aba0c59b",12,"12",2,3,1,12,,6,27,6,2012,
"019f06d347d04d5fa22f1846aba0c59b",13,"13",2,3,1,12,,4,8,12,2014,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,"1",1,1,1,12,,45,98,2,1974,5
"01d54a65224747fba33cf7b310c7435e",1,"1",1,1,1,12,,46,98,98,1973,1
"01d54a65224747fba33cf7b310c7435e",2,"2",2,2,1,12,,34,98,12,1984,1
"01d54a65224747fba33cf7b310c7435e",3,"3",1,3,2,12,,11,9,5,2008,5
"01d54a65224747fba33cf7b310c7435e",4,"4",2,3,2,12,,9,5,10,2009,
"01d54a65224747fba33cf7b310c7435e",5,"5",2,3,2,12,,8,9,3,2011,
"01d54a65224747fba33cf7b310c7435e",6,"6",1,3,4,3,15,13,26,6,2005,5
"01d54a65224747fba33cf7b310c7435e",7,"7",1,3,1,12,,6,9,3,2013,
"01d54a65224747fba33cf7b310c7435e",8,"8",1,3,1,12,,4,9,5,2015,
"01e7608a258e42c7a2f5af8b551bc247",1,"1",2,1,1,12,,47,98,2,1972,3
"01e7608a258e42c7a2f5af8b551bc247",2,"4",1,3,1,12,,15,98,12,2003,5
"01e7608a258e42c7a2f5af8b551bc247",3,"5",2,3,1,12,,14,98,8,2005,5
"01e7608a258e42c7a2f5af8b551bc247",4,"6",1,3,1,12,,11,1,2,2008,5
"01e7608a258e42c7a2f5af8b551bc247",5,,2,4,1,9,6,7,98,98,2012,
"02087846085249d1ae73a1070233c8bb",1,"1",2,1,1,12,,36,98,98,1983,4
"02087846085249d1ae73a1070233c8bb",2,"3",1,3,1,12,,8,98,98,2011,
"02087846085249d1ae73a1070233c8bb",3,"4",2,3,1,12,,4,6,7,2014,
"02087846085249d1ae73a1070233c8bb",4,"5",2,3,1,12,,16,7,2,2003,5
"0222b766ba3d494fbf6fe07cf260dac4",1,"1",1,1,1,12,,54,6,12,1964,1
"0222b766ba3d494fbf6fe07cf260dac4",2,"2",2,2,1,12,,43,12,3,1976,1
"0222b766ba3d494fbf6fe07cf260dac4",3,"3",1,3,1,12,,9,2,12,2009,
"0222b766ba3d494fbf6fe07cf260dac4",4,"4",1,3,1,12,,5,5,3,2014,
"0222b766ba3d494fbf6fe07cf260dac4",5,,1,7,1,11,7,12,98,98,2007,5
"024172552bc54600b13887149d11e82c",1,"1",2,1,1,12,,26,1,1,1993,3
"024172552bc54600b13887149d11e82c",2,"2",2,3,1,12,,5,6,7,2013,
"024172552bc54600b13887149d11e82c",3,"3",1,3,1,12,,2,28,7,2016,
"02449af9963842c8b8f615b2232735b1",1,"1",2,1,1,12,,53,98,98,1966,4
"02449af9963842c8b8f615b2232735b1",2,"2",1,3,1,12,,20,98,98,1999,5
"02449af9963842c8b8f615b2232735b1",4,"4",1,7,1,6,4,17,98,98,2002,5
"02449af9963842c8b8f615b2232735b1",5,"5",2,3,1,7,7,16,27,12,2002,5
"02449af9963842c8b8f615b2232735b1",6,"7",2,4,1,12,,9,98,98,2010,
"02449af9963842c8b8f615b2232735b1",7,"8",1,4,1,12,,5,98,98,2014,
"024dec2ae5e84e15a9d92dc84c3b5084",1,"1",1,1,1,12,,44,98,6,1974,1
"024dec2ae5e84e15a9d92dc84c3b5084",3,"3",1,3,2,11,12,19,13,9,1999,5
"024dec2ae5e84e15a9d92dc84c3b5084",4,"4",1,3,3,12,,14,3,11,2004,5
"024dec2ae5e84e15a9d92dc84c3b5084",5,"5",1,3,1,12,,11,3,9,2007,5
"024dec2ae5e84e15a9d92dc84c3b5084",6,"6",1,3,1,12,,4,18,2,2015,
"024dec2ae5e84e15a9d92dc84c3b5084",7,"7",1,3,1,12,,18,21,2,2001,5
"025b88ecba4a44279935bd4a0d19bccd",1,"1",2,1,1,12,,61,98,98,1958,4
"025b88ecba4a44279935bd4a0d19bccd",2,"2",1,4,1,12,,20,10,10,1998,5
"025b88ecba4a44279935bd4a0d19bccd",3,"3",2,4,1,12,,15,98,1,2004,5
"025b88ecba4a44279935bd4a0d19bccd",4,"4",2,3,1,12,,36,98,98,1983,3
"025b88ecba4a44279935bd4a0d19bccd",5,"5",1,4,1,12,,6,11,3,2013,
"02868c7da57e46529281d2dae35ee7fd",1,"2",1,1,1,12,,39,98,98,1980,1
"02868c7da57e46529281d2dae35ee7fd",2,"6",2,2,1,12,,28,98,98,1991,1
"02868c7da57e46529281d2dae35ee7fd",3,"7",1,3,1,12,,7,98,98,2012,
"02868c7da57e46529281d2dae35ee7fd",5,,2,3,5,,,,,,,
"029532d2e0d640f888259f1851cfc929",1,"1",2,2,1,12,,23,15,11,1995,1
"029532d2e0d640f888259f1851cfc929",2,"2",2,3,1,12,,6,5,10,2012,
"029532d2e0d640f888259f1851cfc929",3,"3",1,1,1,12,,32,98,98,1987,1
"029532d2e0d640f888259f1851cfc929",4,"4",2,3,1,12,,2,27,5,2016,
"02b20908f47043f0b2389ba8246c5bdc",1,"2",2,1,2,12,,52,98,9,1967,4
"02b20908f47043f0b2389ba8246c5bdc",2,"3",2,3,1,12,,26,98,6,1993,3
"02b20908f47043f0b2389ba8246c5bdc",3,"6",2,4,1,12,,9,4,7,2010,
"02b20908f47043f0b2389ba8246c5bdc",4,"7",1,4,1,12,,6,14,3,2013,
"02b20908f47043f0b2389ba8246c5bdc",5,"8",2,4,1,12,,1,21,5,2018,
"02efd503602d4d10a508075b811e5913",1,"1",2,2,2,12,,33,8,6,1985,1
"02efd503602d4d10a508075b811e5913",2,"2",2,3,1,12,,13,11,11,2005,5
"02efd503602d4d10a508075b811e5913",3,"3",1,3,1,12,,8,25,12,2010,
"02efd503602d4d10a508075b811e5913",4,"5",1,1,1,12,,40,20,5,1978,1
"02efd503602d4d10a508075b811e5913",5,"6",2,3,1,12,,3,13,9,2015,
"02fbc725a3074d0fa9debb7a02ba23fb",1,"1",1,1,1,12,,36,98,1,1983,2
"02fbc725a3074d0fa9debb7a02ba23fb",2,"2",2,2,1,12,,29,98,12,1979,2
"02fbc725a3074d0fa9debb7a02ba23fb",3,"3",1,3,1,12,,12,23,7,2007,5
"02fbc725a3074d0fa9debb7a02ba23fb",4,"4",1,3,1,12,,8,2,10,2010,
"02fbc725a3074d0fa9debb7a02ba23fb",5,"5",2,3,1,12,,6,6,10,2012,
"02fbc725a3074d0fa9debb7a02ba23fb",6,"6",2,3,1,12,,2,24,12,2016,
"03003a6f1ccd4b1290629662229b5d83",1,"1",1,1,2,12,,40,98,2,1980,1
"03003a6f1ccd4b1290629662229b5d83",2,"2",2,2,1,12,,31,8,6,1988,1
"03003a6f1ccd4b1290629662229b5d83",3,"3",1,3,1,12,,12,6,9,2007,5
"03003a6f1ccd4b1290629662229b5d83",4,"4",2,3,1,12,,9,5,2,2011,
"03003a6f1ccd4b1290629662229b5d83",5,"6",2,3,1,12,,7,10,1,2013,
"03003a6f1ccd4b1290629662229b5d83",6,,2,3,1,7,1,0,15,6,2019,
"032de3aed1c34dd5840aba975a5a4468",1,"1",2,1,1,12,,47,98,10,1972,2
"032de3aed1c34dd5840aba975a5a4468",2,"2",1,3,1,12,,23,15,8,1996,5
"032de3aed1c34dd5840aba975a5a4468",3,"3",1,3,1,12,,21,98,9,1998,5
"032de3aed1c34dd5840aba975a5a4468",5,"5",1,3,1,12,,10,6,3,2009,5
"034a672611304ed3a91b8a062f4d4046",1,"1",2,1,1,12,,45,98,98,1975,1
"034a672611304ed3a91b8a062f4d4046",2,"2",1,3,1,12,,18,11,5,2001,5
"034a672611304ed3a91b8a062f4d4046",3,"3",1,2,1,12,,48,5,8,1971,1
"0368af34cb614bae9ef98c927741984d",1,"1",1,1,1,12,,66,23,9,1952,2
"0368af34cb614bae9ef98c927741984d",2,"2",2,2,1,12,,62,98,98,1957,2
"0368af34cb614bae9ef98c927741984d",3,"3",2,2,1,12,,51,18,8,1967,2
"0368af34cb614bae9ef98c927741984d",4,"4",1,3,1,8,6,44,11,8,1974,1
"0368af34cb614bae9ef98c927741984d",5,"5",1,3,1,12,,30,23,9,1988,1
"0368af34cb614bae9ef98c927741984d",6,"6",1,3,1,12,,26,2,5,1993,1
"0368af34cb614bae9ef98c927741984d",7,"7",2,3,2,12,,20,20,7,1998,5
"0368af34cb614bae9ef98c927741984d",8,"8",2,3,1,12,,18,28,8,2000,5
"0368af34cb614bae9ef98c927741984d",9,"9",2,3,1,12,,17,21,7,2001,5
"0368af34cb614bae9ef98c927741984d",11,"11",1,3,1,12,,12,26,12,2006,5
"0368af34cb614bae9ef98c927741984d",12,"12",1,3,1,12,,10,7,7,2008,5
"0368af34cb614bae9ef98c927741984d",13,"13",2,4,2,12,,5,27,8,2013,
"0368af34cb614bae9ef98c927741984d",14,"14",2,8,1,12,,25,98,98,1994,1
"0368af34cb614bae9ef98c927741984d",16,"16",2,4,1,12,,5,18,11,2013,
"0368af34cb614bae9ef98c927741984d",17,"18",2,4,1,12,,15,98,98,2004,5
"0368af34cb614bae9ef98c927741984d",19,"20",2,8,1,12,,19,23,9,1999,1
"0368af34cb614bae9ef98c927741984d",20,"21",2,4,1,12,,2,30,6,2016,
"0368af34cb614bae9ef98c927741984d",22,"23",2,4,1,12,,0,20,5,2018,
"0397ef293012436a99a621fce6fc7471",1,"1",2,1,1,12,,64,22,1,1955,4
"0397ef293012436a99a621fce6fc7471",2,"2",2,3,3,4,13,35,23,10,1984,3
"039d3e634a2e4f2bb56e3798660eb6ba",1,"1",1,1,1,12,,32,98,11,1986,1
"03b2600846004af6ba212269261907a2",1,"1",2,1,1,12,,57,19,7,1962,4
"03b2600846004af6ba212269261907a2",2,"2",2,4,4,4,15,15,14,8,2004,5
"03b2600846004af6ba212269261907a2",3,"3",1,4,1,12,,7,98,98,2012,
"03b2600846004af6ba212269261907a2",4,"4",2,7,1,12,,8,98,98,2011,
"03b2600846004af6ba212269261907a2",5,,2,4,1,11,6,8,98,98,2011,
"03b2600846004af6ba212269261907a2",6,,1,4,1,11,6,5,98,98,2014,
"03d9ca9332d545378b468a1883127d8b",1,"1",1,1,1,12,,36,9,9,1982,1
"03d9ca9332d545378b468a1883127d8b",2,"2",2,2,1,12,,33,98,98,1986,1
"03d9ca9332d545378b468a1883127d8b",3,"3",2,3,1,12,,13,14,12,2006,5
"03d9ca9332d545378b468a1883127d8b",4,"4",1,3,1,12,,10,19,2,2009,5
"03d9ca9332d545378b468a1883127d8b",5,"5",1,3,1,12,,7,19,2,2012,
"03d9ca9332d545378b468a1883127d8b",6,"6",1,3,1,12,,4,26,9,2015,
"040b3ad7eb264e30acc111646f03422a",1,"1",2,1,1,12,,31,20,4,1988,1
"040b3ad7eb264e30acc111646f03422a",2,"2",1,3,1,12,,9,98,98,2010,
"040b3ad7eb264e30acc111646f03422a",3,"3",2,3,1,12,,6,16,3,2013,
"040b3ad7eb264e30acc111646f03422a",4,"4",2,3,1,12,,6,16,3,2013,
"040b3ad7eb264e30acc111646f03422a",5,"5",1,2,4,2,12,30,98,5,1989,1
"040b3ad7eb264e30acc111646f03422a",6,"6",1,3,1,12,,3,15,7,2016,
"040b3ad7eb264e30acc111646f03422a",7,"7",1,3,1,12,,1,2,6,2018,
"040ceeba10fc44d19c9499e31e34fbfc",1,"1",2,1,1,12,,59,28,1,1960,4
"040ceeba10fc44d19c9499e31e34fbfc",2,"3",1,8,1,12,,48,14,7,1971,5
"040ceeba10fc44d19c9499e31e34fbfc",3,"6",1,8,1,12,,38,98,98,1981,1
"040ceeba10fc44d19c9499e31e34fbfc",4,"8",1,10,1,12,,21,98,98,1998,5
"040ceeba10fc44d19c9499e31e34fbfc",5,"9",2,6,1,12,,46,98,98,1973,5
"040ceeba10fc44d19c9499e31e34fbfc",7,"11",1,8,1,12,,21,98,98,1998,5
"040ceeba10fc44d19c9499e31e34fbfc",8,"12",2,6,1,12,,49,98,8,1970,3
"041a9f28bf614e328a856c240a3abd03",1,"1",1,1,1,12,,30,7,4,1989,5
"044116a438c040a898ba43daf6bdc2ea",1,"1",1,1,1,12,,49,98,9,1970,2
"044116a438c040a898ba43daf6bdc2ea",2,"2",2,2,1,12,,50,98,4,1969,2
"044116a438c040a898ba43daf6bdc2ea",4,"5",2,3,3,4,15,17,31,10,2002,5
"044116a438c040a898ba43daf6bdc2ea",5,"6",1,3,1,12,,14,13,4,2005,5
"044116a438c040a898ba43daf6bdc2ea",6,"8",1,3,3,4,15,9,4,5,2010,
"044116a438c040a898ba43daf6bdc2ea",7,"9",2,3,1,12,,7,10,4,2012,
"044116a438c040a898ba43daf6bdc2ea",8,"10",1,3,1,12,,5,23,2,2014,
"0442775d8d424d59a433ab5940d510ca",1,"1",2,2,1,12,,68,98,98,1951,1
"0442775d8d424d59a433ab5940d510ca",2,"3",1,4,1,12,,15,98,98,2004,5
"0442775d8d424d59a433ab5940d510ca",3,"4",1,4,1,12,,13,98,98,2006,5
"0442775d8d424d59a433ab5940d510ca",4,"7",1,4,1,12,,6,98,98,2013,
"0442775d8d424d59a433ab5940d510ca",5,"9",1,1,1,12,,89,98,98,1930,1
"046067ad635647c5a02c03f1790df520",1,"1",2,2,1,12,,43,98,98,1977,1
"046067ad635647c5a02c03f1790df520",2,"2",1,1,1,12,,54,98,98,1966,1
"046067ad635647c5a02c03f1790df520",4,"7",1,3,1,12,,20,10,9,1999,5
"046067ad635647c5a02c03f1790df520",5,"9",2,3,1,12,,17,10,8,2002,5
"046067ad635647c5a02c03f1790df520",6,"10",1,3,1,12,,15,11,3,2004,5
"046067ad635647c5a02c03f1790df520",7,"11",2,3,1,12,,8,31,1,2011,
"046067ad635647c5a02c03f1790df520",8,"12",2,4,1,12,,7,29,5,2012,
"046067ad635647c5a02c03f1790df520",9,,2,3,1,12,,25,10,9,1994,3
"046067ad635647c5a02c03f1790df520",10,,2,3,1,12,,4,11,12,2015,
"046067ad635647c5a02c03f1790df520",11,,1,4,1,12,,1,24,2,2018,
"0464b7af72994dea923644331716d84e",1,"1",1,1,1,12,,67,98,1,1952,1
"0464b7af72994dea923644331716d84e",2,"2",2,2,1,12,,55,98,98,1964,1
"0464b7af72994dea923644331716d84e",4,"4",2,3,3,6,16,20,98,3,1999,5
"0464b7af72994dea923644331716d84e",5,"5",2,3,4,4,15,17,98,2,2002,5
"0464b7af72994dea923644331716d84e",7,"7",1,3,4,4,15,19,98,1,2000,5
"0464b7af72994dea923644331716d84e",8,"8",1,3,1,12,,10,98,11,2008,5
"0464b7af72994dea923644331716d84e",9,"9",1,6,2,10,13,57,98,98,1962,4
"0464b7af72994dea923644331716d84e",10,"10",1,3,1,12,,13,98,4,2006,5
"0464b7af72994dea923644331716d84e",14,,2,4,3,6,13,1,28,9,2018,
"0469f55ab1f549dabf8e97afae3f2065",1,"1",1,1,2,8,12,34,98,11,1984,1
"0469f55ab1f549dabf8e97afae3f2065",2,"3",1,3,1,12,,12,9,7,2006,5
"0469f55ab1f549dabf8e97afae3f2065",3,"5",2,2,1,12,,24,12,12,1994,1
"0469f55ab1f549dabf8e97afae3f2065",4,"6",1,3,1,12,,5,1,8,2013,
"0495834806fb40adb50e0fd619ef5094",1,"2",1,1,1,12,,75,11,9,1944,1
"0495834806fb40adb50e0fd619ef5094",2,"3",2,2,1,12,,73,98,11,1946,1
"0495834806fb40adb50e0fd619ef5094",4,"6",1,4,1,12,,20,9,7,1999,5
"0495834806fb40adb50e0fd619ef5094",6,"8",2,3,1,11,12,43,9,10,1976,5
"0495834806fb40adb50e0fd619ef5094",7,"9",1,4,1,12,,4,31,12,2015,
"0495834806fb40adb50e0fd619ef5094",8,"10",2,4,1,12,,6,20,9,2013,
"0495834806fb40adb50e0fd619ef5094",9,"11",1,4,1,12,,15,98,98,2005,5
"0495834806fb40adb50e0fd619ef5094",10,"12",2,4,3,3,15,16,20,7,2003,5
"0495834806fb40adb50e0fd619ef5094",11,"13",1,4,1,12,,6,20,9,2013,
"049dc3291e444c9193fc506570f6a26e",1,"1",2,2,1,12,,26,7,11,1992,1
"049dc3291e444c9193fc506570f6a26e",2,"3",1,1,1,12,,33,24,4,1986,1
"049dc3291e444c9193fc506570f6a26e",3,"4",2,3,1,12,,1,5,9,2017,
"049dc3291e444c9193fc506570f6a26e",4,,2,7,1,12,,15,98,98,2004,5
"049dc3291e444c9193fc506570f6a26e",5,,1,6,1,12,,26,98,98,1993,5
"04ae6a51ffbb459a9b00dc5265f4a034",1,"2",2,1,2,12,,21,13,10,1998,5
"04ae6a51ffbb459a9b00dc5265f4a034",2,"3",1,6,1,12,,19,2,1,2000,5
"04ae6a51ffbb459a9b00dc5265f4a034",3,"5",2,6,1,12,,13,21,5,2006,5
"04ae6a51ffbb459a9b00dc5265f4a034",4,"6",2,6,2,12,,11,98,5,2008,5
"04b011de772e4ce08e33e461bb1741eb",1,"1",2,1,1,12,,64,98,98,1955,2
"04b011de772e4ce08e33e461bb1741eb",2,"2",1,2,4,10,16,70,98,98,1949,2
"04b011de772e4ce08e33e461bb1741eb",3,"5",1,3,1,12,,31,98,98,1988,1
"04b011de772e4ce08e33e461bb1741eb",4,"6",1,3,1,12,,24,98,98,1995,5
"04b011de772e4ce08e33e461bb1741eb",5,"7",1,3,1,12,,23,98,98,1996,1
"04b011de772e4ce08e33e461bb1741eb",6,"8",1,3,1,12,,21,98,98,1998,5
"04b011de772e4ce08e33e461bb1741eb",7,"9",1,3,1,12,,19,8,5,2000,5
"04b011de772e4ce08e33e461bb1741eb",8,"10",1,3,1,12,,22,98,98,1997,5
"04b011de772e4ce08e33e461bb1741eb",9,"12",1,3,1,12,,27,98,8,1992,5
"04b011de772e4ce08e33e461bb1741eb",10,"13",2,8,1,12,,23,98,98,1996,1
"04b011de772e4ce08e33e461bb1741eb",11,"14",2,8,1,12,,19,6,6,2000,1
"04b011de772e4ce08e33e461bb1741eb",13,,2,3,1,12,,25,6,6,1994,5
"04b011de772e4ce08e33e461bb1741eb",14,,1,4,1,12,,1,1,9,2017,
"04bfccbfe0c64dfebc28097777937f16",1,"1",1,1,1,12,,52,10,10,1966,3
"04c814d7b9cb4aa2b651aa2e31acf4e9",1,"1",2,1,1,12,,50,15,4,1969,4
