"hhid","CEE01","CEE02","CEE02_1","CEE03"
"02868c7da57e46529281d2dae35ee7fd","Pension and social security payments",805,2,
"02868c7da57e46529281d2dae35ee7fd","Remittances, gifts, and other transfers",806,1,200000
"02868c7da57e46529281d2dae35ee7fd","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"02868c7da57e46529281d2dae35ee7fd","Local Service tax",804,2,
"02b20908f47043f0b2389ba8246c5bdc","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"02b20908f47043f0b2389ba8246c5bdc","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"02b20908f47043f0b2389ba8246c5bdc","Property rates (taxes)",802,2,
"02b20908f47043f0b2389ba8246c5bdc","Remittances, gifts, and other transfers",806,2,
"02b20908f47043f0b2389ba8246c5bdc","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"02b20908f47043f0b2389ba8246c5bdc","Pension and social security payments",805,2,
"02b20908f47043f0b2389ba8246c5bdc","Income tax",801,2,
"02b20908f47043f0b2389ba8246c5bdc","Local Service tax",804,2,
"02b20908f47043f0b2389ba8246c5bdc","Funerals and other social functions",807,1,8000
"02b20908f47043f0b2389ba8246c5bdc","Interest on loans",808,2,
"02efd503602d4d10a508075b811e5913","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"02efd503602d4d10a508075b811e5913","Pension and social security payments",805,2,
"02efd503602d4d10a508075b811e5913","Remittances, gifts, and other transfers",806,2,
"02efd503602d4d10a508075b811e5913","Property rates (taxes)",802,2,
"02efd503602d4d10a508075b811e5913","Funerals and other social functions",807,1,20000
"02efd503602d4d10a508075b811e5913","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"02efd503602d4d10a508075b811e5913","Income tax",801,2,
"02efd503602d4d10a508075b811e5913","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"02efd503602d4d10a508075b811e5913","Local Service tax",804,2,
"02efd503602d4d10a508075b811e5913","Interest on loans",808,2,
"03003a6f1ccd4b1290629662229b5d83","Funerals and other social functions",807,1,50000
"03003a6f1ccd4b1290629662229b5d83","Pension and social security payments",805,2,
"03003a6f1ccd4b1290629662229b5d83","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"03003a6f1ccd4b1290629662229b5d83","Remittances, gifts, and other transfers",806,2,
"03003a6f1ccd4b1290629662229b5d83","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"03003a6f1ccd4b1290629662229b5d83","Interest on loans",808,2,
"03003a6f1ccd4b1290629662229b5d83","Local Service tax",804,2,
"03003a6f1ccd4b1290629662229b5d83","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"03003a6f1ccd4b1290629662229b5d83","Income tax",801,2,
"03003a6f1ccd4b1290629662229b5d83","Property rates (taxes)",802,2,
"032de3aed1c34dd5840aba975a5a4468","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"032de3aed1c34dd5840aba975a5a4468","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"032de3aed1c34dd5840aba975a5a4468","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"032de3aed1c34dd5840aba975a5a4468","Funerals and other social functions",807,1,16000
"032de3aed1c34dd5840aba975a5a4468","Property rates (taxes)",802,2,
"032de3aed1c34dd5840aba975a5a4468","Pension and social security payments",805,2,
"032de3aed1c34dd5840aba975a5a4468","Remittances, gifts, and other transfers",806,2,
"032de3aed1c34dd5840aba975a5a4468","Local Service tax",804,2,
"032de3aed1c34dd5840aba975a5a4468","Interest on loans",808,2,
"032de3aed1c34dd5840aba975a5a4468","Income tax",801,2,
"034a672611304ed3a91b8a062f4d4046","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"034a672611304ed3a91b8a062f4d4046","Funerals and other social functions",807,1,12000
"034a672611304ed3a91b8a062f4d4046","Income tax",801,2,
"034a672611304ed3a91b8a062f4d4046","Remittances, gifts, and other transfers",806,2,
"034a672611304ed3a91b8a062f4d4046","Pension and social security payments",805,2,
"034a672611304ed3a91b8a062f4d4046","Property rates (taxes)",802,2,
"034a672611304ed3a91b8a062f4d4046","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"034a672611304ed3a91b8a062f4d4046","Interest on loans",808,2,
"034a672611304ed3a91b8a062f4d4046","Local Service tax",804,2,
"034a672611304ed3a91b8a062f4d4046","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"0368af34cb614bae9ef98c927741984d","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"0368af34cb614bae9ef98c927741984d","Income tax",801,2,
"0368af34cb614bae9ef98c927741984d","Interest on loans",808,2,
"0368af34cb614bae9ef98c927741984d","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"0368af34cb614bae9ef98c927741984d","Local Service tax",804,2,
"0368af34cb614bae9ef98c927741984d","Pension and social security payments",805,2,
"0368af34cb614bae9ef98c927741984d","Remittances, gifts, and other transfers",806,1,150000
"0368af34cb614bae9ef98c927741984d","Property rates (taxes)",802,2,
"0368af34cb614bae9ef98c927741984d","Funerals and other social functions",807,1,150000
"0368af34cb614bae9ef98c927741984d","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"039d3e634a2e4f2bb56e3798660eb6ba","Interest on loans",808,2,
"039d3e634a2e4f2bb56e3798660eb6ba","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"039d3e634a2e4f2bb56e3798660eb6ba","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"039d3e634a2e4f2bb56e3798660eb6ba","Funerals and other social functions",807,2,
"039d3e634a2e4f2bb56e3798660eb6ba","Property rates (taxes)",802,2,
"039d3e634a2e4f2bb56e3798660eb6ba","Remittances, gifts, and other transfers",806,1,800000
"039d3e634a2e4f2bb56e3798660eb6ba","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"039d3e634a2e4f2bb56e3798660eb6ba","Local Service tax",804,2,
"039d3e634a2e4f2bb56e3798660eb6ba","Pension and social security payments",805,2,
"039d3e634a2e4f2bb56e3798660eb6ba","Income tax",801,2,
"040b3ad7eb264e30acc111646f03422a","Income tax",801,2,
"040b3ad7eb264e30acc111646f03422a","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"040b3ad7eb264e30acc111646f03422a","Pension and social security payments",805,2,
"040b3ad7eb264e30acc111646f03422a","Property rates (taxes)",802,2,
"040b3ad7eb264e30acc111646f03422a","Interest on loans",808,2,
"040b3ad7eb264e30acc111646f03422a","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"040b3ad7eb264e30acc111646f03422a","Remittances, gifts, and other transfers",806,2,
"040b3ad7eb264e30acc111646f03422a","Local Service tax",804,2,
"040b3ad7eb264e30acc111646f03422a","Funerals and other social functions",807,1,30000
"040b3ad7eb264e30acc111646f03422a","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"040ceeba10fc44d19c9499e31e34fbfc","Funerals and other social functions",807,1,200000
"040ceeba10fc44d19c9499e31e34fbfc","Pension and social security payments",805,2,
"040ceeba10fc44d19c9499e31e34fbfc","Property rates (taxes)",802,2,
"040ceeba10fc44d19c9499e31e34fbfc","Income tax",801,2,
"040ceeba10fc44d19c9499e31e34fbfc","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"040ceeba10fc44d19c9499e31e34fbfc","Remittances, gifts, and other transfers",806,2,
"040ceeba10fc44d19c9499e31e34fbfc","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"040ceeba10fc44d19c9499e31e34fbfc","Interest on loans",808,2,
"040ceeba10fc44d19c9499e31e34fbfc","Local Service tax",804,2,
"040ceeba10fc44d19c9499e31e34fbfc","Others (like subscriptions, interest to consumer debts, etc.)",809,1,354000
"041a9f28bf614e328a856c240a3abd03","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"041a9f28bf614e328a856c240a3abd03","Income tax",801,2,
"041a9f28bf614e328a856c240a3abd03","Funerals and other social functions",807,1,60000
"041a9f28bf614e328a856c240a3abd03","Property rates (taxes)",802,2,
"041a9f28bf614e328a856c240a3abd03","Pension and social security payments",805,2,
"041a9f28bf614e328a856c240a3abd03","Local Service tax",804,2,
"041a9f28bf614e328a856c240a3abd03","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"041a9f28bf614e328a856c240a3abd03","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"041a9f28bf614e328a856c240a3abd03","Interest on loans",808,2,
"041a9f28bf614e328a856c240a3abd03","Remittances, gifts, and other transfers",806,2,
"0442775d8d424d59a433ab5940d510ca","Local Service tax",804,2,
"0442775d8d424d59a433ab5940d510ca","Pension and social security payments",805,2,
"0442775d8d424d59a433ab5940d510ca","Others (like subscriptions, interest to consumer debts, etc.)",809,2,
"0442775d8d424d59a433ab5940d510ca","Income tax",801,2,
"0442775d8d424d59a433ab5940d510ca","Interest on loans",808,1,40000
"0442775d8d424d59a433ab5940d510ca","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"0442775d8d424d59a433ab5940d510ca","Funerals and other social functions",807,1,15000
"0442775d8d424d59a433ab5940d510ca","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
"0442775d8d424d59a433ab5940d510ca","Remittances, gifts, and other transfers",806,2,
"0442775d8d424d59a433ab5940d510ca","Property rates (taxes)",802,2,
"046067ad635647c5a02c03f1790df520","Remittances, gifts, and other transfers",806,1,110000
"046067ad635647c5a02c03f1790df520","Funerals and other social functions",807,1,250000
"046067ad635647c5a02c03f1790df520","User fees and charges (passport, legal, photocopying service of marriage)",803,2,
"046067ad635647c5a02c03f1790df520","Interest on loans",808,2,
"046067ad635647c5a02c03f1790df520","Income tax",801,2,
"046067ad635647c5a02c03f1790df520","Other financial services fees (credit card fees, overdraft charges, bankers cheque charges, deposit/withdrawal charges, cell phone money transfer charges)",8031,2,
