"hhid","s10q13","s10q14","s10q15a","s10q15b","s10q15c","s10q16","s10q17a","s10q17b","s10q17c"
"009c1baa0edb44f8af47773ce0b7caaa",7,1,2,1,2,,,,
"009c1baa0edb44f8af47773ce0b7caaa",8,2,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",9,2,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",4,2,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",2,2,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",3,2,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",8,2,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",5,2,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",9,2,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,1,2,2,6,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",7,1,2,1,2,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",6,2,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",5,2,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",9,2,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",2,2,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",7,2,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",1,2,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",8,1,1,1,2,,,,
"00b4bea2a97641f88ae09439328edd9a",6,2,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",4,2,,,,,,,
"00b4bea2a97641f88ae09439328edd9a",3,2,,,,,,,
"00c2b27287a74f948fef24a8de42825c",2,2,,,,,,,
"00c2b27287a74f948fef24a8de42825c",6,1,1,2,2,1,30000,30,13
"00c2b27287a74f948fef24a8de42825c",4,2,,,,,,,
"00c2b27287a74f948fef24a8de42825c",8,2,,,,,,,
"00c2b27287a74f948fef24a8de42825c",5,2,,,,,,,
"00c2b27287a74f948fef24a8de42825c",7,2,,,,,,,
"00c2b27287a74f948fef24a8de42825c",1,2,,,,,,,
"00c2b27287a74f948fef24a8de42825c",3,2,,,,,,,
"00c2b27287a74f948fef24a8de42825c",9,2,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",3,1,1,2,2,5,,,
"00cb487f12014891b3efa5c8679d18ab",2,2,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",4,2,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",1,1,1,2,2,6,,,
"00cb487f12014891b3efa5c8679d18ab",5,2,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",6,2,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",7,2,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",8,2,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",9,1,,1,,2,1000,,
"00d5da8bbd544c548a71f176496ee4b6",7,2,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",4,2,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",2,2,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",5,2,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",3,1,1,2,2,6,,,
"00d5da8bbd544c548a71f176496ee4b6",1,1,1,2,2,6,,,
"00d5da8bbd544c548a71f176496ee4b6",8,2,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",6,2,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",9,1,,1,,1,10000,,
"00dc3a212a1f40698656b2dc7cc97a85",6,2,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",7,2,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",1,1,1,2,2,6,,,
"00dc3a212a1f40698656b2dc7cc97a85",2,2,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",9,2,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",4,1,2,1,2,3,8000,2,2
"00dc3a212a1f40698656b2dc7cc97a85",8,2,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",5,2,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",3,1,1,2,2,6,,,
"0142f6f0c8f9435c97ac2563a6f390ec",4,2,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",9,2,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",7,1,2,1,2,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",3,2,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",6,2,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",2,2,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",1,1,1,2,2,6,,,
"0142f6f0c8f9435c97ac2563a6f390ec",5,2,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",8,2,,,,,,,
"014cbd0c0b844976888438f7ea74aa69",3,2,,,,,,,
"014cbd0c0b844976888438f7ea74aa69",5,2,,,,,,,
"014cbd0c0b844976888438f7ea74aa69",2,2,,,,,,,
"014cbd0c0b844976888438f7ea74aa69",4,2,,,,,,,
"014cbd0c0b844976888438f7ea74aa69",7,2,,,,,,,
"014cbd0c0b844976888438f7ea74aa69",8,2,,,,,,,
"014cbd0c0b844976888438f7ea74aa69",6,2,,,,,,,
"014cbd0c0b844976888438f7ea74aa69",9,2,,,,,,,
"014cbd0c0b844976888438f7ea74aa69",1,2,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",3,1,1,2,2,6,,,
"0182fc7b5eb44c44aef16c3a178fb762",6,2,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",7,2,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",5,2,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",4,2,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",2,2,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",9,1,,1,,2,1500,,
"0182fc7b5eb44c44aef16c3a178fb762",8,2,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",1,1,1,2,2,6,,,
"018d29620fa44db282c80b6627413e5c",6,2,,,,,,,
"018d29620fa44db282c80b6627413e5c",2,2,,,,,,,
"018d29620fa44db282c80b6627413e5c",9,2,,,,,,,
"018d29620fa44db282c80b6627413e5c",1,1,1,2,2,5,,,
"018d29620fa44db282c80b6627413e5c",4,2,,,,,,,
"018d29620fa44db282c80b6627413e5c",5,2,,,,,,,
"018d29620fa44db282c80b6627413e5c",7,2,,,,,,,
"018d29620fa44db282c80b6627413e5c",8,2,,,,,,,
"018d29620fa44db282c80b6627413e5c",3,2,,,,,,,
"0192cb54d502450ca603738439bf616f",8,2,,,,,,,
"0192cb54d502450ca603738439bf616f",2,2,,,,,,,
"0192cb54d502450ca603738439bf616f",1,1,1,2,2,6,,,
"0192cb54d502450ca603738439bf616f",9,2,,,,,,,
"0192cb54d502450ca603738439bf616f",5,2,,,,,,,
"0192cb54d502450ca603738439bf616f",6,2,,,,,,,
"0192cb54d502450ca603738439bf616f",3,2,,,,,,,
"0192cb54d502450ca603738439bf616f",7,1,2,1,2,,,,
"0192cb54d502450ca603738439bf616f",4,2,,,,,,,
"0197cec68e9246a887cae30b13bc7488",4,2,,,,,,,
"0197cec68e9246a887cae30b13bc7488",7,2,,,,,,,
"0197cec68e9246a887cae30b13bc7488",2,2,,,,,,,
"0197cec68e9246a887cae30b13bc7488",9,1,,2,,1,0,,
"0197cec68e9246a887cae30b13bc7488",8,2,,,,,,,
"0197cec68e9246a887cae30b13bc7488",6,2,,,,,,,
"0197cec68e9246a887cae30b13bc7488",1,2,,,,,,,
"0197cec68e9246a887cae30b13bc7488",3,2,,,,,,,
"0197cec68e9246a887cae30b13bc7488",5,2,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",9,2,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",6,2,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",1,1,1,2,2,6,,,
"019f06d347d04d5fa22f1846aba0c59b",2,2,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",4,1,2,1,2,2,1500,1,21
"019f06d347d04d5fa22f1846aba0c59b",5,2,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",7,2,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",3,2,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",8,2,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",8,2,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",2,2,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",7,1,2,1,2,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",9,2,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",5,2,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,1,1,2,2,6,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",4,2,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",3,2,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",6,2,,,,,,,
"01d54a65224747fba33cf7b310c7435e",4,2,,,,,,,
"01d54a65224747fba33cf7b310c7435e",3,2,,,,,,,
"01d54a65224747fba33cf7b310c7435e",6,2,,,,,,,
"01d54a65224747fba33cf7b310c7435e",9,2,,,,,,,
"01d54a65224747fba33cf7b310c7435e",5,2,,,,,,,
"01d54a65224747fba33cf7b310c7435e",7,1,2,1,2,,,,
"01d54a65224747fba33cf7b310c7435e",8,2,,,,,,,
"01d54a65224747fba33cf7b310c7435e",2,2,,,,,,,
"01d54a65224747fba33cf7b310c7435e",1,1,1,2,2,5,,,
"01e7608a258e42c7a2f5af8b551bc247",2,2,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",6,2,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",9,2,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",5,2,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",1,1,1,2,2,5,,,
"01e7608a258e42c7a2f5af8b551bc247",4,1,2,1,2,1,2400,8,17
"01e7608a258e42c7a2f5af8b551bc247",7,2,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",3,2,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",8,2,,,,,,,
"02087846085249d1ae73a1070233c8bb",4,2,,,,,,,
"02087846085249d1ae73a1070233c8bb",2,2,,,,,,,
"02087846085249d1ae73a1070233c8bb",5,2,,,,,,,
"02087846085249d1ae73a1070233c8bb",7,1,2,1,2,,,,
"02087846085249d1ae73a1070233c8bb",3,2,,,,,,,
"02087846085249d1ae73a1070233c8bb",6,2,,,,,,,
"02087846085249d1ae73a1070233c8bb",8,2,,,,,,,
"02087846085249d1ae73a1070233c8bb",1,1,1,2,2,6,,,
"02087846085249d1ae73a1070233c8bb",9,2,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",1,1,1,2,2,6,,,
"0222b766ba3d494fbf6fe07cf260dac4",5,2,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",7,1,2,1,2,,,,
"0222b766ba3d494fbf6fe07cf260dac4",3,2,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",8,2,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",6,2,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",2,2,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",4,2,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",9,2,,,,,,,
"024172552bc54600b13887149d11e82c",5,2,,,,,,,
"024172552bc54600b13887149d11e82c",3,2,,,,,,,
"024172552bc54600b13887149d11e82c",6,2,,,,,,,
"024172552bc54600b13887149d11e82c",2,2,,,,,,,
"024172552bc54600b13887149d11e82c",1,1,1,2,2,6,,,
"024172552bc54600b13887149d11e82c",9,1,,1,,1,1000,,
"024172552bc54600b13887149d11e82c",4,2,,,,,,,
"024172552bc54600b13887149d11e82c",8,2,,,,,,,
"024172552bc54600b13887149d11e82c",7,2,,,,,,,
"02449af9963842c8b8f615b2232735b1",2,2,,,,,,,
"02449af9963842c8b8f615b2232735b1",8,2,,,,,,,
"02449af9963842c8b8f615b2232735b1",7,1,2,1,2,,,,
"02449af9963842c8b8f615b2232735b1",5,2,,,,,,,
"02449af9963842c8b8f615b2232735b1",6,2,,,,,,,
"02449af9963842c8b8f615b2232735b1",3,2,,,,,,,
"02449af9963842c8b8f615b2232735b1",1,1,1,2,2,5,,,
"02449af9963842c8b8f615b2232735b1",9,2,,,,,,,
"02449af9963842c8b8f615b2232735b1",4,2,,,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",6,2,,,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",8,2,,,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",3,2,,,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",4,2,,,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",5,2,,,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",7,2,,,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",1,1,1,2,2,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",9,1,,1,,,,,
"024dec2ae5e84e15a9d92dc84c3b5084",2,2,,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",2,2,,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",9,1,,1,,1,1000,,
"025b88ecba4a44279935bd4a0d19bccd",5,2,,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",7,2,,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",4,2,,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",6,2,,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",3,2,,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",8,2,,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",1,1,1,2,2,5,,,
"02868c7da57e46529281d2dae35ee7fd",5,2,,,,,,,
"02868c7da57e46529281d2dae35ee7fd",3,1,1,2,2,5,,,
"02868c7da57e46529281d2dae35ee7fd",4,2,,,,,,,
"02868c7da57e46529281d2dae35ee7fd",7,1,2,1,2,,,,
"02868c7da57e46529281d2dae35ee7fd",6,1,1,2,2,4,3500,1,14
"02868c7da57e46529281d2dae35ee7fd",1,1,1,2,2,5,,,
"02868c7da57e46529281d2dae35ee7fd",2,2,,,,,,,
"02868c7da57e46529281d2dae35ee7fd",9,2,,,,,,,
"02868c7da57e46529281d2dae35ee7fd",8,2,,,,,,,
"029532d2e0d640f888259f1851cfc929",7,2,,,,,,,
"029532d2e0d640f888259f1851cfc929",2,2,,,,,,,
"029532d2e0d640f888259f1851cfc929",1,2,,,,,,,
"029532d2e0d640f888259f1851cfc929",9,2,,,,,,,
"029532d2e0d640f888259f1851cfc929",6,1,1,2,2,2,30000,30,9
"029532d2e0d640f888259f1851cfc929",4,2,,,,,,,
"029532d2e0d640f888259f1851cfc929",3,2,,,,,,,
"029532d2e0d640f888259f1851cfc929",8,1,2,1,2,,,,
"029532d2e0d640f888259f1851cfc929",5,2,,,,,,,
"02b20908f47043f0b2389ba8246c5bdc",6,2,,,,,,,
"02b20908f47043f0b2389ba8246c5bdc",1,1,1,2,2,6,,,
"02b20908f47043f0b2389ba8246c5bdc",9,2,,,,,,,
"02b20908f47043f0b2389ba8246c5bdc",3,2,,,,,,,
"02b20908f47043f0b2389ba8246c5bdc",2,2,,,,,,,
"02b20908f47043f0b2389ba8246c5bdc",4,2,,,,,,,
"02b20908f47043f0b2389ba8246c5bdc",8,2,,,,,,,
"02b20908f47043f0b2389ba8246c5bdc",5,2,,,,,,,
"02b20908f47043f0b2389ba8246c5bdc",7,2,,,,,,,
"02efd503602d4d10a508075b811e5913",4,1,1,1,2,1,2000,0.5,2
"02efd503602d4d10a508075b811e5913",5,2,,,,,,,
"02efd503602d4d10a508075b811e5913",6,2,,,,,,,
"02efd503602d4d10a508075b811e5913",7,2,,,,,,,
"02efd503602d4d10a508075b811e5913",8,2,,,,,,,
"02efd503602d4d10a508075b811e5913",3,2,,,,,,,
"02efd503602d4d10a508075b811e5913",1,1,1,2,2,1,10000,2,20
"02efd503602d4d10a508075b811e5913",2,2,,,,,,,
"02efd503602d4d10a508075b811e5913",9,2,,,,,,,
"02fbc725a3074d0fa9debb7a02ba23fb",4,1,2,1,2,1,1000,2,17
"02fbc725a3074d0fa9debb7a02ba23fb",1,1,1,2,2,6,,,
"02fbc725a3074d0fa9debb7a02ba23fb",3,1,1,2,2,5,,,
"02fbc725a3074d0fa9debb7a02ba23fb",6,2,,,,,,,
"02fbc725a3074d0fa9debb7a02ba23fb",9,2,,,,,,,
"02fbc725a3074d0fa9debb7a02ba23fb",2,2,,,,,,,
"02fbc725a3074d0fa9debb7a02ba23fb",7,2,,,,,,,
"02fbc725a3074d0fa9debb7a02ba23fb",5,2,,,,,,,
"02fbc725a3074d0fa9debb7a02ba23fb",8,2,,,,,,,
"03003a6f1ccd4b1290629662229b5d83",2,2,,,,,,,
"03003a6f1ccd4b1290629662229b5d83",1,1,1,2,2,6,,,
"03003a6f1ccd4b1290629662229b5d83",6,1,1,2,2,2,37000,1,7
"03003a6f1ccd4b1290629662229b5d83",8,2,,,,,,,
"03003a6f1ccd4b1290629662229b5d83",9,2,,,,,,,
"03003a6f1ccd4b1290629662229b5d83",7,2,,,,,,,
"03003a6f1ccd4b1290629662229b5d83",4,1,2,1,2,1,4000,1,2
"03003a6f1ccd4b1290629662229b5d83",5,2,,,,,,,
"03003a6f1ccd4b1290629662229b5d83",3,2,,,,,,,
"032de3aed1c34dd5840aba975a5a4468",4,1,2,1,2,1,3000,2,21
"032de3aed1c34dd5840aba975a5a4468",9,2,,,,,,,
"032de3aed1c34dd5840aba975a5a4468",1,1,1,2,2,6,,,
"032de3aed1c34dd5840aba975a5a4468",7,2,,,,,,,
"032de3aed1c34dd5840aba975a5a4468",6,2,,,,,,,
"032de3aed1c34dd5840aba975a5a4468",2,2,,,,,,,
"032de3aed1c34dd5840aba975a5a4468",8,2,,,,,,,
"032de3aed1c34dd5840aba975a5a4468",5,2,,,,,,,
"032de3aed1c34dd5840aba975a5a4468",3,1,1,2,2,5,,,
"034a672611304ed3a91b8a062f4d4046",2,2,,,,,,,
"034a672611304ed3a91b8a062f4d4046",1,1,1,2,2,6,,,
"034a672611304ed3a91b8a062f4d4046",7,2,,,,,,,
"034a672611304ed3a91b8a062f4d4046",5,2,,,,,,,
"034a672611304ed3a91b8a062f4d4046",4,2,,,,,,,
"034a672611304ed3a91b8a062f4d4046",3,2,,,,,,,
"034a672611304ed3a91b8a062f4d4046",8,2,,,,,,,
"034a672611304ed3a91b8a062f4d4046",6,2,,,,,,,
"034a672611304ed3a91b8a062f4d4046",9,1,,1,,2,1000,,
"0368af34cb614bae9ef98c927741984d",5,2,,,,,,,
"0368af34cb614bae9ef98c927741984d",3,2,,,,,,,
"0368af34cb614bae9ef98c927741984d",7,1,2,1,2,,,,
"0368af34cb614bae9ef98c927741984d",2,2,,,,,,,
"0368af34cb614bae9ef98c927741984d",6,2,,,,,,,
"0368af34cb614bae9ef98c927741984d",9,1,,1,,1,2000,,
"0368af34cb614bae9ef98c927741984d",8,2,,,,,,,
"0368af34cb614bae9ef98c927741984d",4,2,,,,,,,
"0368af34cb614bae9ef98c927741984d",1,1,1,2,2,6,,,
"0397ef293012436a99a621fce6fc7471",4,2,,,,,,,
"0397ef293012436a99a621fce6fc7471",1,2,,,,,,,
"0397ef293012436a99a621fce6fc7471",5,2,,,,,,,
"0397ef293012436a99a621fce6fc7471",6,1,1,2,2,2,7000,7,11
"0397ef293012436a99a621fce6fc7471",8,1,2,1,2,,,,
"0397ef293012436a99a621fce6fc7471",7,2,,,,,,,
"0397ef293012436a99a621fce6fc7471",2,2,,,,,,,
"0397ef293012436a99a621fce6fc7471",3,2,,,,,,,
"0397ef293012436a99a621fce6fc7471",9,1,,1,,1,1500,,
"039d3e634a2e4f2bb56e3798660eb6ba",9,2,,,,,,,
"039d3e634a2e4f2bb56e3798660eb6ba",2,2,,,,,,,
"039d3e634a2e4f2bb56e3798660eb6ba",6,2,,,,,,,
"039d3e634a2e4f2bb56e3798660eb6ba",5,2,,,,,,,
"039d3e634a2e4f2bb56e3798660eb6ba",8,2,,,,,,,
"039d3e634a2e4f2bb56e3798660eb6ba",1,1,1,2,2,6,,,
"039d3e634a2e4f2bb56e3798660eb6ba",4,2,,,,,,,
"039d3e634a2e4f2bb56e3798660eb6ba",3,2,,,,,,,
"039d3e634a2e4f2bb56e3798660eb6ba",7,1,2,1,2,,,,
"03b2600846004af6ba212269261907a2",7,1,2,1,2,,,,
"03b2600846004af6ba212269261907a2",8,2,,,,,,,
"03b2600846004af6ba212269261907a2",3,2,,,,,,,
"03b2600846004af6ba212269261907a2",9,2,,,,,,,
"03b2600846004af6ba212269261907a2",2,2,,,,,,,
"03b2600846004af6ba212269261907a2",1,1,1,2,2,5,,,
"03b2600846004af6ba212269261907a2",6,2,,,,,,,
"03b2600846004af6ba212269261907a2",5,2,,,,,,,
"03b2600846004af6ba212269261907a2",4,2,,,,,,,
"03d9ca9332d545378b468a1883127d8b",5,2,,,,,,,
"03d9ca9332d545378b468a1883127d8b",6,2,,,,,,,
"03d9ca9332d545378b468a1883127d8b",7,1,2,1,2,,,,
"03d9ca9332d545378b468a1883127d8b",4,1,2,1,2,3,1000,1,21
"03d9ca9332d545378b468a1883127d8b",8,2,,,,,,,
"03d9ca9332d545378b468a1883127d8b",3,2,,,,,,,
"03d9ca9332d545378b468a1883127d8b",1,1,1,2,2,6,,,
"03d9ca9332d545378b468a1883127d8b",9,2,,,,,,,
"03d9ca9332d545378b468a1883127d8b",2,2,,,,,,,
"040b3ad7eb264e30acc111646f03422a",8,2,,,,,,,
"040b3ad7eb264e30acc111646f03422a",7,2,,,,,,,
"040b3ad7eb264e30acc111646f03422a",9,1,,1,,1,2000,,
"040b3ad7eb264e30acc111646f03422a",4,2,,,,,,,
"040b3ad7eb264e30acc111646f03422a",5,2,,,,,,,
"040b3ad7eb264e30acc111646f03422a",1,1,1,2,2,6,,,
"040b3ad7eb264e30acc111646f03422a",3,1,1,2,2,5,,,
"040b3ad7eb264e30acc111646f03422a",2,2,,,,,,,
"040b3ad7eb264e30acc111646f03422a",6,1,1,2,2,3,10000,2,14
"040ceeba10fc44d19c9499e31e34fbfc",7,2,,,,,,,
"040ceeba10fc44d19c9499e31e34fbfc",2,2,,,,,,,
