"interview__key","EA_code","c4h_elementyear_id","s4hq83","s4hq84","s4hq85","s4hq86","s4hq82v2","s4hq83v2","s4hq84v2","s4hq85v2","s4hq86v2"
"94-25-74-66","0548b11d746b41149960bad12ade2187",1,"0","1462",1,"Missing  HmIs  105","622","0","619",1,"Wrong  numbering"
"94-25-74-66","0548b11d746b41149960bad12ade2187",5,"0","190",1,"Missing  HmIs  105","136","0","110",1,"Missing  tally  sheets  when report  is  being  made"
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"39-29-24-84","07d762b045a54167af44618c38f26e49",4,"230","230",2,"NONE","119","119","119",2,"NONE"
"39-29-24-84","07d762b045a54167af44618c38f26e49",3,"200","200",2,"NONE","136","136","136",2,"NONE"
"39-29-24-84","07d762b045a54167af44618c38f26e49",2,"204","204",2,"NONE","169","169","169",2,"NONE"
"39-29-24-84","07d762b045a54167af44618c38f26e49",0,"1282","1282",1,"NONE","1689","1689","1689",2,"NONE"
"39-29-24-84","07d762b045a54167af44618c38f26e49",1,"2847","2847",2,"NONE","1488","1488","1488",2,"NONE"
"39-29-24-84","07d762b045a54167af44618c38f26e49",5,"22","22",2,"NONE","110","110","110",2,"NONE"
"74-65-87-03","09583a0be3d943588eccede22daecd45",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"74-65-87-03","09583a0be3d943588eccede22daecd45",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"74-65-87-03","09583a0be3d943588eccede22daecd45",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"74-65-87-03","09583a0be3d943588eccede22daecd45",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"74-65-87-03","09583a0be3d943588eccede22daecd45",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"74-65-87-03","09583a0be3d943588eccede22daecd45",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"96-05-61-85","09bd271138b34050a20647bb26da164e",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"96-05-61-85","09bd271138b34050a20647bb26da164e",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"96-05-61-85","09bd271138b34050a20647bb26da164e",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"96-05-61-85","09bd271138b34050a20647bb26da164e",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"96-05-61-85","09bd271138b34050a20647bb26da164e",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"96-05-61-85","09bd271138b34050a20647bb26da164e",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",3,"54","54",2,"NO VARIATION","60","60","60",2,"NO MISMATCH"
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",2,"17","17",2,"NO VARIATION","55","55","55",2,"NO MISMATCH"
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",4,"72","72",2,"NO VARIATION","74","74","74",2,"NO MISMATCH"
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",0,"1668","1668",2,"NO VARIATION","1158","1158","1158",2,"NO MISMATCH"
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",5,"82","82",2,"NO VARIATION","106","106","106",2,"NO MISMATCH"
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",1,"2792","2792",2,"NO VARIATION","1433","1433","1433",2,"NO MISMATCH"
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",3,"22","22",2,"no mismatch","##N/A##","##N/A##","##N/A##",,"##N/A##"
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",4,"49","49",2,"no mismatch","##N/A##","##N/A##","##N/A##",,"##N/A##"
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",1,"2064","2064",2,"no mismatch","##N/A##","##N/A##","##N/A##",,"##N/A##"
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",5,"0","0",2,"no mismatch","##N/A##","##N/A##","##N/A##",,"##N/A##"
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",0,"1228","1228",2,"No mismatch","##N/A##","##N/A##","##N/A##",,"##N/A##"
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",2,"22","22",2,"no mismatch","##N/A##","##N/A##","##N/A##",,"##N/A##"
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",5,"_","86",2,"No mismatch","0","-","0",2,"There was no DPT3 in this month, because the staff failed to get means of transporting the vaccines"
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",0,"_","440",2,"No mismatch","494","-","494",2,"No mismatch"
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",3,"-","1",2,"No mismatch","0","-","0",2,"No mismatch"
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",4,"-","0",2,"There was no immunization due to lack transport to pick the vaccines","69","-","69",2,"No mismatch"
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",1,"_","1158",2,"No mismatch","702","-","702",2,"No mismatch"
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",2,"-","6",2,"No mismatch","2","-","2",2,"No mismatch"
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",3,"13","13",2,"no mismatch","26","26","26",2,"no mismatch"
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",0,"982","949",1,"Mismatch is because of the re attendance","1071","1071","1054",1,"Mismatch is because of re attendance"
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",2,"12","12",2,"no mismatch","17","17","17",2,"no mismatch"
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",5,"62","62",2,"no mismatch","55","55","55",2,"no mismatch"
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",1,"1724","1645",1,"Mismatch is because of the re attendance","1227","1227","1215",1,"Mismatch is because of re attendance"
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",4,"68","68",2,"no mismatch","78","78","78",2,"no mismatch"
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",0,"636","636",2,"no mismatch","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",3,"42","42",2,"no mismatch","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",5,"99","99",2,"no mismatch","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",1,"1324","1324",2,"no mismatch","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",2,"38","38",2,"no mismatch","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",4,"16","16",2,"no mismatch","##N/A##","##N/A##","##N/A##",,"##N/A##"
"24-08-96-20","120df4dbf75444178f10871b972869ac",4,,,,,"34","34","34",2,"NO VARIATION"
"24-08-96-20","120df4dbf75444178f10871b972869ac",5,,,,,"28","28","28",2,"NO VARIATION"
"24-08-96-20","120df4dbf75444178f10871b972869ac",3,,,,,"62","62","62",2,"NO VARIATION"
"24-08-96-20","120df4dbf75444178f10871b972869ac",0,,,,,"807","807","807",2,"NO VARIATION"
"24-08-96-20","120df4dbf75444178f10871b972869ac",2,,,,,"81","81","81",2,"NO VARIATION"
"24-08-96-20","120df4dbf75444178f10871b972869ac",1,,,,,"929","929","929",2,"NO VARIATION"
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",4,,,,,"20","0","20",2,"ok"
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",2,,,,,"17","0","17",2,"ok"
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",0,,,,,"511","0","511",2,"ok"
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",3,,,,,"10","0","10",2,"ok"
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",1,,,,,"256","0","256",2,"ok"
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",5,,,,,"15","0","15",2,"ok"
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",1,"1482","1482",1,"NO VARIATION","1125","1125","1125",2,"NO MISMATCH"
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",3,"92","92",2,"NO VARIATION","75","75","75",2,"NO MISMATCH"
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",2,"##N/A##","##N/A##",,"##N/A##","93","93","93",2,"NO MISMATCH"
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",0,"##N/A##","##N/A##",,"##N/A##","971","971","971",2,"NO MISMATCH"
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",4,"##N/A##","##N/A##",,"##N/A##","49","49","49",2,"NO MISMATCH"
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",5,"43","43",2,"NO VARIATION","35","35","35",2,"NO MISMATCH"
"98-86-51-07","150cdba4fed14b4a87d582d398577942",2,"132","132",2,"NO MISMATCH","132","132","132",2,"NO MISMATCH"
"98-86-51-07","150cdba4fed14b4a87d582d398577942",0,"843","843",2,"NO MISMATCH","1095","1095","1095",2,"NO MISMATCH"
"98-86-51-07","150cdba4fed14b4a87d582d398577942",5,"101","101",2,"NO MISMATCH","85","85","85",2,"NO MISMATCH IN ALL"
"98-86-51-07","150cdba4fed14b4a87d582d398577942",4,"117","117",2,"NO MISMATCH","95","95","95",2,"NO MISMATCH"
"98-86-51-07","150cdba4fed14b4a87d582d398577942",1,"2894","2894",2,"NO MISMATCH","1050","1050","1050",2,"NO MISMATCH"
"98-86-51-07","150cdba4fed14b4a87d582d398577942",3,"114","114",2,"NO MISMATCH","131","131","131",2,"NO MISMATCH"
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",1,"##N/A##","680",2,"##N/A##","657","##N/A##","657",2,"##N/A##"
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",4,"##N/A##","134",2,"##N/A##","122","##N/A##","122",2,"##N/A##"
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",2,"##N/A##","86",2,"##N/A##","155","##N/A##","155",2,"##N/A##"
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",3,"##N/A##","108",2,"##N/A##","127","##N/A##","123",1,"##N/A##"
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",0,"##N/A##","766",2,"##N/A##","615","##N/A##","615",2,"##N/A##"
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",5,"##N/A##","166",2,"##N/A##","145","##N/A##","145",2,"##N/A##"
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",2,"##N/A##","##N/A##",,"##N/A##",,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",4,"##N/A##","##N/A##",,"##N/A##",,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",1,"##N/A##","##N/A##",,"##N/A##",,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",3,"##N/A##","##N/A##",,"##N/A##",,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",5,"##N/A##","##N/A##",,"##N/A##",,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",0,"##N/A##","##N/A##",,"##N/A##",,,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",3,"174","174",2,"NONE","160","160","160",2,"NONE"
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",5,"95","95",2,"NONE","110","110","110",2,"NONE"
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",4,"##N/A##","##N/A##",,"##N/A##","130","130","130",2,"NONE"
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",2,"##N/A##","##N/A##",,"##N/A##","172","172","172",2,"NONE"
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",1,"1974","1974",2,"NONE","1323","1323","1323",2,"NONE"
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",0,"##N/A##","##N/A##",,"NOT AVAILABLE,  EVEN THE REGISTER WAS LOCKED IN THE RECORDS  OFFICE","1714","1714","1714",2,"NONE"
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",5,"_","21",2,"No mismatch","13","_","13",2,"No mismatch"
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",4,"_","11",2,"No mismatch","23","_","23",2,"No mismatch"
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",3,"_","3",2,"No mismatch","3","_","3",2,"No mismatch"
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",2,"_","5",2,"No mismatch","3","_","3",2,"No mismatch"
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",1,"_","1064",2,"No mismatch","367","_","367",2,"No mismatch"
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",0,"_","857",2,"No mismatch","334","_","334",2,"No mismatch"
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",4,"92","92",2,"no mismatch","98","98","98",2,"no mismatch"
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",5,"135","135",2,"no mismatch","72","72","72",2,"no mismatch"
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",0,"1572","1572",2,"no mismatch","903","903","903",2,"no mismatch"
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",2,"45","45",2,"no mismatch","65","65","65",2,"no mismatch"
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",1,"2364","2364",2,"no mismatch","976","976","979",1,"Mismatch is because of re attendance"
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",3,"48","48",2,"no mismatch","43","43","43",2,"no mismatch"
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",4,"0","0",2,"non","0","0","0",2,"matching"
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",1,"772","772",2,"balancing","270","270","270",2,"matching"
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",5,"0","0",2,"non","8","8","8",2,"matching"
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",3,"0","0",2,"non","0","0","0",2,"matching"
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",2,"0","0",2,"non","0","0","0",2,"matching"
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",0,"445","443",1,"poor tallying","331","331","331",1,"matching"
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##","##N/A##",,"##N/A##"
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",1,"1766","1766",2,"NO VARIATION",,,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",2,"26","26",2,"NO MISMATCH",,,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",4,"41","41",2,"NO  MISMATCH",,,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",0,"1192","1192",2,"NO MISMATCH",,,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",3,"23","23",2,"NO VARIATION",,,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",5,"29","29",2,"NO MISMATCH",,,,,
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",1,"0","1621",1,"TALLYING ERROR","0","0","0",1,"Missing  records"
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",0,"0","1850",1,"TALLYING ERROR","0","0","0",1,"Missing  records"
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",5,"0","155",2,"GOOD","0","0","82",1,"Missing  records"
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",2,"0","78",2,"NONE","0","0","77",1,"Missing  records"
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",3,"0","44",2,"NONE","0","0","60",1,"Missing  records"
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",4,"0","127",2,"NONE","0","0","86",1,"Missing  records"
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",2,"5","5",2,"NONE","23","23","23",2,"NONE"
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",5,"46","46",2,"NONE","9","9","9",2,"NONE"
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",3,"19","19",2,"NONE","18","18","18",2,"NONE"
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",0,"495","495",2,"NONE","391","391","391",2,"NONE"
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",4,"20","20",2,"NONE","24","24","24",2,"NONE"
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",1,"1006","1006",2,"NONE","355","355","355",2,"NONE"
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",5,"94","94",2,"NONE","##N/A##","##N/A##","##N/A##",,"##N/A##"
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",2,"82","82",2,"NONE","##N/A##","##N/A##","##N/A##",,"##N/A##"
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",1,"2076","2076",2,"NONE","##N/A##","##N/A##","##N/A##",,"##N/A##"
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",0,"1483","1483",2,"NONE","##N/A##","##N/A##","##N/A##",,"##N/A##"
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",3,"77","77",2,"NONE","##N/A##","##N/A##","##N/A##",,"##N/A##"
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",4,"84","84",2,"NONE","##N/A##","##N/A##","##N/A##",,"##N/A##"
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",4,"22","22",2,"matching","25","25","25",2,"matching"
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",5,"20","20",2,"matching","23","23","23",2,"matching"
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",0,"544","544",2,"matching","321","321","321",2,"matching"
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",2,"18","18",2,"matching","16","16","16",2,"matching"
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",1,"1257","1257",2,"matching","396","396","396",2,"matching"
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",3,"18","18",2,"matching","12","12","12",2,"matching"
"20-02-77-43","218cb290a69743c69e521b6122a6d507",2,"0","59",2,"NONE","0","0","45",1,"Missing  records"
"20-02-77-43","218cb290a69743c69e521b6122a6d507",4,"0","65",1,"TALLYING ERROR","##N/A##","##N/A##","##N/A##",,"##N/A##"
"20-02-77-43","218cb290a69743c69e521b6122a6d507",5,"0","59",1,"TALLYING ERROR","##N/A##","##N/A##","##N/A##",,"##N/A##"
"20-02-77-43","218cb290a69743c69e521b6122a6d507",3,"0","39",2,"NONE","0","0","57",1,"missing  records"
