"interview__key","EA_code","position_id","s3q43a","s3q43b"
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",1,9,2
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",0,2,5
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",2,0,0
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",0,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",2,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",1,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",2,0,0
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",0,12,0
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",1,7,1
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",2,0,0
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",1,3,0
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",0,27,0
"98-86-51-07","150cdba4fed14b4a87d582d398577942",0,3,0
"98-86-51-07","150cdba4fed14b4a87d582d398577942",1,8,0
"98-86-51-07","150cdba4fed14b4a87d582d398577942",2,0,0
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",2,0,0
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",0,3,0
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",1,14,2
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",0,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",1,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",2,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",2,0,0
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",1,2,1
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",0,8,1
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",1,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",0,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",2,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",1,8,0
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",2,3,0
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",0,5,0
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",2,0,0
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",0,2,2
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",1,10,0
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",0,3,9
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",2,0,0
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",1,9,0
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",2,0,0
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",1,10,0
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",0,1,0
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",2,,
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",1,,
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",0,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",0,2,0
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",1,5,1
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",2,1,0
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",2,0,0
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",0,1,1
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",1,19,3
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",2,0,0
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",1,5,0
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",0,4,3
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",2,0,0
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",1,15,0
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",0,2,15
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",0,3,0
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",2,0,0
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",1,4,4
"20-02-77-43","218cb290a69743c69e521b6122a6d507",0,2,2
"20-02-77-43","218cb290a69743c69e521b6122a6d507",1,13,3
"20-02-77-43","218cb290a69743c69e521b6122a6d507",2,0,0
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",0,7,7
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",2,0,0
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",1,6,0
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",1,17,2
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",0,2,4
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",2,0,0
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",0,3,0
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",2,0,0
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",1,9,3
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",2,0,0
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",0,6,6
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",1,9,0
"01-86-81-64","29d53afc2900441fa7931d2da4f6ab7e",2,0,0
"01-86-81-64","29d53afc2900441fa7931d2da4f6ab7e",1,8,0
"01-86-81-64","29d53afc2900441fa7931d2da4f6ab7e",0,3,8
"55-22-88-49","29fdcdf88e2e444f9fbb7d235214e8e1",2,,
"55-22-88-49","29fdcdf88e2e444f9fbb7d235214e8e1",1,,
"55-22-88-49","29fdcdf88e2e444f9fbb7d235214e8e1",0,,
"10-91-96-82","2b9fe8ab9b854dc1a78be4554e2db70f",1,7,9
"10-91-96-82","2b9fe8ab9b854dc1a78be4554e2db70f",0,5,0
"10-91-96-82","2b9fe8ab9b854dc1a78be4554e2db70f",2,0,0
"37-99-38-49","2c005b61e9d3469bb8b37576d7c0a9dc",0,3,0
"37-99-38-49","2c005b61e9d3469bb8b37576d7c0a9dc",2,1,0
"37-99-38-49","2c005b61e9d3469bb8b37576d7c0a9dc",1,7,0
"18-49-15-19","2c09ec554d4e489bb9d6e97baaebfa65",2,0,0
"18-49-15-19","2c09ec554d4e489bb9d6e97baaebfa65",0,4,0
"18-49-15-19","2c09ec554d4e489bb9d6e97baaebfa65",1,3,2
"91-50-78-15","2c1eac5793354569a5f6598d4cc1c4d9",0,5,0
"91-50-78-15","2c1eac5793354569a5f6598d4cc1c4d9",1,6,1
"91-50-78-15","2c1eac5793354569a5f6598d4cc1c4d9",2,0,0
"33-98-51-91","2c79b64a9c5544fabbddb2b71590e49f",1,6,8
"33-98-51-91","2c79b64a9c5544fabbddb2b71590e49f",0,5,0
"33-98-51-91","2c79b64a9c5544fabbddb2b71590e49f",2,0,0
"02-42-11-75","2caf4db31e1947578d134f4b52b91d8f",2,0,0
"02-42-11-75","2caf4db31e1947578d134f4b52b91d8f",0,1,0
"02-42-11-75","2caf4db31e1947578d134f4b52b91d8f",1,8,3
"67-79-02-00","2ce29c6cfe0a456793b78a9eea712769",2,0,0
"67-79-02-00","2ce29c6cfe0a456793b78a9eea712769",1,3,0
"67-79-02-00","2ce29c6cfe0a456793b78a9eea712769",0,5,0
"44-82-68-29","2d0189f201a24a6eb390e7644e7127ac",1,33,5
"44-82-68-29","2d0189f201a24a6eb390e7644e7127ac",2,0,0
"44-82-68-29","2d0189f201a24a6eb390e7644e7127ac",0,11,0
"42-91-93-12","2dd8b36de95c4d5bba92df1210413388",2,0,0
"42-91-93-12","2dd8b36de95c4d5bba92df1210413388",1,10,0
"42-91-93-12","2dd8b36de95c4d5bba92df1210413388",0,5,0
"43-35-34-23","2e97754263a84e12b95022950c69f673",0,,
"43-35-34-23","2e97754263a84e12b95022950c69f673",2,,
"43-35-34-23","2e97754263a84e12b95022950c69f673",1,,
"49-53-35-89","2f452dce46214291b99d8f76038d10c9",1,9,5
"49-53-35-89","2f452dce46214291b99d8f76038d10c9",0,2,0
"49-53-35-89","2f452dce46214291b99d8f76038d10c9",2,0,0
"88-51-03-21","2f82e41b4d9140b1a887dffbd36193b8",2,,
"88-51-03-21","2f82e41b4d9140b1a887dffbd36193b8",1,,
"88-51-03-21","2f82e41b4d9140b1a887dffbd36193b8",0,,
"65-91-23-57","2fc7c42417e64ebcaea375ffa538326d",1,3,0
"65-91-23-57","2fc7c42417e64ebcaea375ffa538326d",2,0,0
"65-91-23-57","2fc7c42417e64ebcaea375ffa538326d",0,7,0
"68-00-06-79","3048ed3a5a8a4ff69391cbfedd13657c",0,1,0
"68-00-06-79","3048ed3a5a8a4ff69391cbfedd13657c",2,1,0
"68-00-06-79","3048ed3a5a8a4ff69391cbfedd13657c",1,7,0
"37-68-69-42","305b636544344f65aabef33609978907",0,3,0
"37-68-69-42","305b636544344f65aabef33609978907",2,0,0
"37-68-69-42","305b636544344f65aabef33609978907",1,13,4
"83-68-83-41","30a233559a484aa884a3c795efb64cdf",0,15,0
"83-68-83-41","30a233559a484aa884a3c795efb64cdf",1,6,0
"83-68-83-41","30a233559a484aa884a3c795efb64cdf",2,0,0
"72-50-29-68","30fabcc38b1c4f909a0de8b415a2988e",2,0,0
"72-50-29-68","30fabcc38b1c4f909a0de8b415a2988e",1,17,0
"72-50-29-68","30fabcc38b1c4f909a0de8b415a2988e",0,4,0
"87-78-01-68","31b1bf8fbcc54ee09f83e940546a45b8",0,4,0
"87-78-01-68","31b1bf8fbcc54ee09f83e940546a45b8",1,7,1
"87-78-01-68","31b1bf8fbcc54ee09f83e940546a45b8",2,0,0
"91-29-19-18","332221c6e42c4c7693f07f18bf883c77",1,5,4
"91-29-19-18","332221c6e42c4c7693f07f18bf883c77",2,0,0
"91-29-19-18","332221c6e42c4c7693f07f18bf883c77",0,3,5
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",2,4,0
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",0,5,0
"31-50-07-11","36a60129e57347bea99b101f51c2d0a0",1,12,0
"66-53-93-59","37a0243153154356a3fae9c57c688f46",2,0,0
"66-53-93-59","37a0243153154356a3fae9c57c688f46",0,3,5
"66-53-93-59","37a0243153154356a3fae9c57c688f46",1,9,0
"07-01-51-11","3a2df233c4d3470b83d0d3e0851df33d",0,,
"07-01-51-11","3a2df233c4d3470b83d0d3e0851df33d",2,,
"07-01-51-11","3a2df233c4d3470b83d0d3e0851df33d",1,,
"56-67-32-81","3b39a3793b9e42deb8bea71311058e8a",0,3,0
"56-67-32-81","3b39a3793b9e42deb8bea71311058e8a",2,0,0
"56-67-32-81","3b39a3793b9e42deb8bea71311058e8a",1,8,1
"92-67-60-32","3bd4a06cc7b5416d864333ff348bb354",1,12,0
"92-67-60-32","3bd4a06cc7b5416d864333ff348bb354",0,6,0
"92-67-60-32","3bd4a06cc7b5416d864333ff348bb354",2,0,0
"08-02-90-92","3c03c72ff5bb4e43bb462f77bc401895",1,14,11
"08-02-90-92","3c03c72ff5bb4e43bb462f77bc401895",0,9,0
"08-02-90-92","3c03c72ff5bb4e43bb462f77bc401895",2,0,0
"26-54-44-39","3c068ff6dd2648088c08a9fcdcb812f2",1,7,0
"26-54-44-39","3c068ff6dd2648088c08a9fcdcb812f2",2,1,0
"26-54-44-39","3c068ff6dd2648088c08a9fcdcb812f2",0,4,6
"61-93-15-21","3c7b52089dbc43ecb5f3c5e354f1ec09",1,5,3
"61-93-15-21","3c7b52089dbc43ecb5f3c5e354f1ec09",2,1,0
"61-93-15-21","3c7b52089dbc43ecb5f3c5e354f1ec09",0,2,0
"36-93-22-14","3d3ecc270b3743a1ac5b07ac5161ae2f",0,19,0
"36-93-22-14","3d3ecc270b3743a1ac5b07ac5161ae2f",1,23,0
"36-93-22-14","3d3ecc270b3743a1ac5b07ac5161ae2f",2,0,0
"00-56-65-43","3dfec81ca5704294b2259b4da35ba66f",0,2,6
"00-56-65-43","3dfec81ca5704294b2259b4da35ba66f",1,8,0
"00-56-65-43","3dfec81ca5704294b2259b4da35ba66f",2,0,0
"24-54-97-79","3e4cfe4688a44d3ba5524f2574dbed04",0,,
"24-54-97-79","3e4cfe4688a44d3ba5524f2574dbed04",2,,
"24-54-97-79","3e4cfe4688a44d3ba5524f2574dbed04",1,,
"18-15-18-97","3e8f9d823ced4b679756834480de1eb1",2,0,0
"18-15-18-97","3e8f9d823ced4b679756834480de1eb1",1,6,0
"18-15-18-97","3e8f9d823ced4b679756834480de1eb1",0,5,0
"78-89-98-52","3f1a8214f7a14ede97f67c4a18cd0f07",0,5,0
"78-89-98-52","3f1a8214f7a14ede97f67c4a18cd0f07",2,0,0
"78-89-98-52","3f1a8214f7a14ede97f67c4a18cd0f07",1,20,0
"42-02-64-77","406d4f0d71384978ab447f7dd9057f40",2,0,0
"42-02-64-77","406d4f0d71384978ab447f7dd9057f40",0,3,0
"42-02-64-77","406d4f0d71384978ab447f7dd9057f40",1,14,2
"03-52-46-70","40d1c6c197a14e6eadf31dfcc95a200b",1,9,0
"03-52-46-70","40d1c6c197a14e6eadf31dfcc95a200b",0,4,9
"03-52-46-70","40d1c6c197a14e6eadf31dfcc95a200b",2,0,0
"86-08-76-83","421f6dc9b1b74d31bff813bbbec0946c",2,1,0
"86-08-76-83","421f6dc9b1b74d31bff813bbbec0946c",1,8,0
"86-08-76-83","421f6dc9b1b74d31bff813bbbec0946c",0,3,5
"88-74-11-89","48a67d1f18994ef98a5949aef015bbd4",1,11,4
"88-74-11-89","48a67d1f18994ef98a5949aef015bbd4",2,1,0
"88-74-11-89","48a67d1f18994ef98a5949aef015bbd4",0,2,4
"67-26-59-19","48bea11db2944c909fda02151c5118af",0,5,0
"67-26-59-19","48bea11db2944c909fda02151c5118af",2,0,0
"67-26-59-19","48bea11db2944c909fda02151c5118af",1,11,2
"75-39-75-81","4904caa625114480b7dfb1ac1090ea9d",2,0,0
"75-39-75-81","4904caa625114480b7dfb1ac1090ea9d",0,8,2
"75-39-75-81","4904caa625114480b7dfb1ac1090ea9d",1,6,0
"65-53-81-18","49ac26b03a504025bc11014fb9fd07f0",2,2,0
"65-53-81-18","49ac26b03a504025bc11014fb9fd07f0",1,6,0
"65-53-81-18","49ac26b03a504025bc11014fb9fd07f0",0,3,0
"45-42-36-18","4a1d00f074cc4b00918c46c988ddbe64",2,,
"45-42-36-18","4a1d00f074cc4b00918c46c988ddbe64",1,,
"45-42-36-18","4a1d00f074cc4b00918c46c988ddbe64",0,,
"85-31-22-31","4ba54fb88a534722877835b1045a512d",0,8,0
"85-31-22-31","4ba54fb88a534722877835b1045a512d",2,0,0
"85-31-22-31","4ba54fb88a534722877835b1045a512d",1,13,0
"35-28-58-28","4cdaf79caf624178b5eadc9be94a36aa",0,17,5
"35-28-58-28","4cdaf79caf624178b5eadc9be94a36aa",1,5,3
"35-28-58-28","4cdaf79caf624178b5eadc9be94a36aa",2,0,0
"74-16-21-77","4cf59369cdf24583a27873140b200861",1,,
"74-16-21-77","4cf59369cdf24583a27873140b200861",0,,
"74-16-21-77","4cf59369cdf24583a27873140b200861",2,,
"91-91-63-66","4d5ac1450c634c6ca704f0e8848cc443",1,,
"91-91-63-66","4d5ac1450c634c6ca704f0e8848cc443",0,,
"91-91-63-66","4d5ac1450c634c6ca704f0e8848cc443",2,,
"00-95-07-36","4dd6d629e3ae4f8d89147cbaf0a79f8f",2,0,0
"00-95-07-36","4dd6d629e3ae4f8d89147cbaf0a79f8f",1,10,4
"00-95-07-36","4dd6d629e3ae4f8d89147cbaf0a79f8f",0,4,0
"98-74-07-23","4ecbd2e7063b4921af2e0b7e0a8db0ce",1,5,4
"98-74-07-23","4ecbd2e7063b4921af2e0b7e0a8db0ce",0,2,3
"98-74-07-23","4ecbd2e7063b4921af2e0b7e0a8db0ce",2,1,2
"85-33-44-23","4ece7adab00c4cf2bef7f7a13841c000",0,4,0
"85-33-44-23","4ece7adab00c4cf2bef7f7a13841c000",1,3,6
"85-33-44-23","4ece7adab00c4cf2bef7f7a13841c000",2,0,0
"36-09-12-99","4fead528c43a425c8ead7ad9e02285fe",0,,
"36-09-12-99","4fead528c43a425c8ead7ad9e02285fe",2,,
"36-09-12-99","4fead528c43a425c8ead7ad9e02285fe",1,,
"83-55-75-67","50915c4977d44997a241f9e364f0a753",1,,
"83-55-75-67","50915c4977d44997a241f9e364f0a753",0,,
"83-55-75-67","50915c4977d44997a241f9e364f0a753",2,,
"80-32-55-46","511e248a967448a89f871d73acff14a4",0,5,8
"80-32-55-46","511e248a967448a89f871d73acff14a4",1,8,0
"80-32-55-46","511e248a967448a89f871d73acff14a4",2,0,0
"71-61-98-83","53fd71c2301f43f8873de4f1f0eace0c",2,0,0
"71-61-98-83","53fd71c2301f43f8873de4f1f0eace0c",0,4,0
"71-61-98-83","53fd71c2301f43f8873de4f1f0eace0c",1,11,0
"32-71-89-73","54405a9ba99d4e618e87548191c47c14",2,0,0
"32-71-89-73","54405a9ba99d4e618e87548191c47c14",0,3,0
"32-71-89-73","54405a9ba99d4e618e87548191c47c14",1,8,1
"72-32-17-28","54c10aa0c5a84733aa4d36847a5906e3",2,0,0
"72-32-17-28","54c10aa0c5a84733aa4d36847a5906e3",1,9,3
"72-32-17-28","54c10aa0c5a84733aa4d36847a5906e3",0,6,1
"02-73-44-22","56ad9167bff0445f93a7fbaced2e3152",2,0,0
"02-73-44-22","56ad9167bff0445f93a7fbaced2e3152",1,11,0
"02-73-44-22","56ad9167bff0445f93a7fbaced2e3152",0,2,0
"03-45-89-44","56c850451863421290489c656c6356a1",0,2,1
"03-45-89-44","56c850451863421290489c656c6356a1",2,0,0
"03-45-89-44","56c850451863421290489c656c6356a1",1,6,0
"41-24-08-74","56d5e1c386f34ef68f31280d6a7d8f46",1,7,0
"41-24-08-74","56d5e1c386f34ef68f31280d6a7d8f46",2,0,0
"41-24-08-74","56d5e1c386f34ef68f31280d6a7d8f46",0,3,0
"77-44-13-92","5781bbe35d9c4d5fa1246f3d26a59a0b",2,,
"77-44-13-92","5781bbe35d9c4d5fa1246f3d26a59a0b",0,,
"77-44-13-92","5781bbe35d9c4d5fa1246f3d26a59a0b",1,,
"20-39-84-46","5b1bfa5bef2c4d529bd9d6297a3e11ec",2,,
"20-39-84-46","5b1bfa5bef2c4d529bd9d6297a3e11ec",0,,
"20-39-84-46","5b1bfa5bef2c4d529bd9d6297a3e11ec",1,,
"22-55-33-62","5d98309983cf4e319ba077b1e10020fc",0,2,1
"22-55-33-62","5d98309983cf4e319ba077b1e10020fc",2,0,0
"22-55-33-62","5d98309983cf4e319ba077b1e10020fc",1,6,9
"52-64-64-81","5df1b3d3aa7d4cb3b184c8ab9edf7506",1,9,2
"52-64-64-81","5df1b3d3aa7d4cb3b184c8ab9edf7506",2,0,0
"52-64-64-81","5df1b3d3aa7d4cb3b184c8ab9edf7506",0,2,0
"56-80-19-40","5ec0701dd9f54f1bbe921ca9175a60d9",1,7,0
"56-80-19-40","5ec0701dd9f54f1bbe921ca9175a60d9",2,2,0
"56-80-19-40","5ec0701dd9f54f1bbe921ca9175a60d9",0,4,0
"07-07-36-19","5f9ac4ea0e654d08b3cd6ed453de3ff1",2,0,0
"07-07-36-19","5f9ac4ea0e654d08b3cd6ed453de3ff1",0,13,0
"07-07-36-19","5f9ac4ea0e654d08b3cd6ed453de3ff1",1,2,1
"84-67-15-95","5fe1acda95ad4556b6a0983a641d479a",0,6,0
"84-67-15-95","5fe1acda95ad4556b6a0983a641d479a",1,3,0
"84-67-15-95","5fe1acda95ad4556b6a0983a641d479a",2,0,0
"94-06-39-74","5feb56a602554863982002d7dffa96e9",1,7,1
"94-06-39-74","5feb56a602554863982002d7dffa96e9",0,2,0
"94-06-39-74","5feb56a602554863982002d7dffa96e9",2,0,0
"01-46-09-86","606dfeb842fa4339b5772cb092c00c26",0,9,0
"01-46-09-86","606dfeb842fa4339b5772cb092c00c26",2,0,0
"01-46-09-86","606dfeb842fa4339b5772cb092c00c26",1,6,4
"67-70-56-85","61187e593ce849f6b0b6f20972734150",1,16,0
"67-70-56-85","61187e593ce849f6b0b6f20972734150",0,7,0
"67-70-56-85","61187e593ce849f6b0b6f20972734150",2,0,0
"58-19-91-16","627c07fe24fc470f9300d75233c4b4ee",1,8,1
"58-19-91-16","627c07fe24fc470f9300d75233c4b4ee",0,5,0
"58-19-91-16","627c07fe24fc470f9300d75233c4b4ee",2,0,0
"56-99-39-47","62c15549e2894eee9032940da84f6170",1,11,3
"56-99-39-47","62c15549e2894eee9032940da84f6170",2,0,0
"56-99-39-47","62c15549e2894eee9032940da84f6170",0,2,0
"95-66-18-46","639bf406ae23488b9674d26d841618fb",2,0,0
"95-66-18-46","639bf406ae23488b9674d26d841618fb",0,2,0
"95-66-18-46","639bf406ae23488b9674d26d841618fb",1,7,4
"31-52-69-96","64a7c25789dc44988120f839b628656f",2,,
"31-52-69-96","64a7c25789dc44988120f839b628656f",1,,
"31-52-69-96","64a7c25789dc44988120f839b628656f",0,,
"18-43-14-59","6504c17bdaa94ba5b08d852aa03e266d",0,7,4
"18-43-14-59","6504c17bdaa94ba5b08d852aa03e266d",1,4,0
"18-43-14-59","6504c17bdaa94ba5b08d852aa03e266d",2,0,0
"16-93-07-51","67a9e20200064275ab4495b3b07aca86",1,8,1
"16-93-07-51","67a9e20200064275ab4495b3b07aca86",2,0,4
"16-93-07-51","67a9e20200064275ab4495b3b07aca86",0,2,7
"92-26-77-38","68f903f5bf9145f88554337640a5e431",0,2,0
"92-26-77-38","68f903f5bf9145f88554337640a5e431",2,0,0
"92-26-77-38","68f903f5bf9145f88554337640a5e431",1,16,18
"34-91-15-19","6927081db9f440ca849fbd55ac30e9bd",2,,
"34-91-15-19","6927081db9f440ca849fbd55ac30e9bd",1,,
"34-91-15-19","6927081db9f440ca849fbd55ac30e9bd",0,,
"65-66-38-86","6a0f936dcc7846d187bcff0b122213e5",0,,
"65-66-38-86","6a0f936dcc7846d187bcff0b122213e5",2,,
"65-66-38-86","6a0f936dcc7846d187bcff0b122213e5",1,,
"22-09-94-20","6a3556900ab44aeb9fe37891164e8f6a",1,,
"22-09-94-20","6a3556900ab44aeb9fe37891164e8f6a",0,,
"22-09-94-20","6a3556900ab44aeb9fe37891164e8f6a",2,,
"08-74-10-74","6a981e6f28e34024b3877b143c78a411",0,,
"08-74-10-74","6a981e6f28e34024b3877b143c78a411",2,,
"08-74-10-74","6a981e6f28e34024b3877b143c78a411",1,,
"00-16-89-29","6ab741446b254f54b494a75bc6c31575",0,6,0
"00-16-89-29","6ab741446b254f54b494a75bc6c31575",1,10,5
"00-16-89-29","6ab741446b254f54b494a75bc6c31575",2,1,0
"18-73-98-72","6d88e79cdca94f44955a26a280ceaae8",0,,
"18-73-98-72","6d88e79cdca94f44955a26a280ceaae8",2,,
"18-73-98-72","6d88e79cdca94f44955a26a280ceaae8",1,,
"61-26-83-13","6f717245375d48cbaee0ccc130704124",2,0,0
"61-26-83-13","6f717245375d48cbaee0ccc130704124",0,2,0
"61-26-83-13","6f717245375d48cbaee0ccc130704124",1,6,2
"64-64-66-34","6fdd02cc5fad4b6aaaa699355b50a2c5",0,5,0
"64-64-66-34","6fdd02cc5fad4b6aaaa699355b50a2c5",1,10,0
"64-64-66-34","6fdd02cc5fad4b6aaaa699355b50a2c5",2,0,0
"94-18-00-85","70b5acb304f142b291fc6b209f67a5b3",1,,
"94-18-00-85","70b5acb304f142b291fc6b209f67a5b3",2,,
"94-18-00-85","70b5acb304f142b291fc6b209f67a5b3",0,,
"40-73-51-73","71230c66d335494aa424d7f85a36da60",2,,
"40-73-51-73","71230c66d335494aa424d7f85a36da60",1,,
"40-73-51-73","71230c66d335494aa424d7f85a36da60",0,,
"33-62-41-35","7377cd30ca6540eabb25b4a9a3de369d",1,,
"33-62-41-35","7377cd30ca6540eabb25b4a9a3de369d",2,,
"33-62-41-35","7377cd30ca6540eabb25b4a9a3de369d",0,,
"23-95-21-09","741a8331efc04b6b845110d8a212aec0",2,0,0
"23-95-21-09","741a8331efc04b6b845110d8a212aec0",0,4,0
"23-95-21-09","741a8331efc04b6b845110d8a212aec0",1,3,6
"88-41-92-59","7557b1aecd28455e9909c6d2a923a832",2,0,0
"88-41-92-59","7557b1aecd28455e9909c6d2a923a832",1,5,2
"88-41-92-59","7557b1aecd28455e9909c6d2a923a832",0,12,0
"30-46-55-37","7663bb1198824f56a0370fa6f07e858a",2,0,0
"30-46-55-37","7663bb1198824f56a0370fa6f07e858a",0,4,0
"30-46-55-37","7663bb1198824f56a0370fa6f07e858a",1,11,0
"29-03-49-45","76864e14ab0a4c98a1cf17d54efe6acf",2,,
"29-03-49-45","76864e14ab0a4c98a1cf17d54efe6acf",1,,
"29-03-49-45","76864e14ab0a4c98a1cf17d54efe6acf",0,,
"94-83-94-74","7746d7555f5844d3aa4e1b1db205baaa",1,14,0
