"EA_code","interview__key","s11q01"
"37a0243153154356a3fae9c57c688f46","66-53-93-59",1
"3d3ecc270b3743a1ac5b07ac5161ae2f","36-93-22-14",1
"3e4cfe4688a44d3ba5524f2574dbed04","24-54-97-79",1
"3a2df233c4d3470b83d0d3e0851df33d","07-01-51-11",1
"3dfec81ca5704294b2259b4da35ba66f","00-56-65-43",1
"3bd4a06cc7b5416d864333ff348bb354","92-67-60-32",1
"3e8f9d823ced4b679756834480de1eb1","18-15-18-97",1
"3c03c72ff5bb4e43bb462f77bc401895","08-02-90-92",1
"3f1a8214f7a14ede97f67c4a18cd0f07","78-89-98-52",1
"421f6dc9b1b74d31bff813bbbec0946c","86-08-76-83",
"406d4f0d71384978ab447f7dd9057f40","42-02-64-77",1
"48a67d1f18994ef98a5949aef015bbd4","88-74-11-89",1
"4ba54fb88a534722877835b1045a512d","85-31-22-31",1
"4904caa625114480b7dfb1ac1090ea9d","75-39-75-81",1
"40d1c6c197a14e6eadf31dfcc95a200b","03-52-46-70",1
"49ac26b03a504025bc11014fb9fd07f0","65-53-81-18",1
"48bea11db2944c909fda02151c5118af","67-26-59-19",1
"4cdaf79caf624178b5eadc9be94a36aa","35-28-58-28",1
"4a1d00f074cc4b00918c46c988ddbe64","45-42-36-18",
"4cf59369cdf24583a27873140b200861","74-16-21-77",1
"4d5ac1450c634c6ca704f0e8848cc443","91-91-63-66",1
"4ece7adab00c4cf2bef7f7a13841c000","85-33-44-23",1
"4fead528c43a425c8ead7ad9e02285fe","36-09-12-99",1
"4dd6d629e3ae4f8d89147cbaf0a79f8f","00-95-07-36",2
"50915c4977d44997a241f9e364f0a753","83-55-75-67",1
"511e248a967448a89f871d73acff14a4","80-32-55-46",2
"54c10aa0c5a84733aa4d36847a5906e3","72-32-17-28",1
"4ecbd2e7063b4921af2e0b7e0a8db0ce","98-74-07-23",1
"53fd71c2301f43f8873de4f1f0eace0c","71-61-98-83",1
"56ad9167bff0445f93a7fbaced2e3152","02-73-44-22",1
"54405a9ba99d4e618e87548191c47c14","32-71-89-73",1
"56c850451863421290489c656c6356a1","03-45-89-44",1
"56d5e1c386f34ef68f31280d6a7d8f46","41-24-08-74",1
"5781bbe35d9c4d5fa1246f3d26a59a0b","77-44-13-92",
"588cfcfc790240e98d9ca22db6683fd8","81-59-88-07",
"5b1bfa5bef2c4d529bd9d6297a3e11ec","20-39-84-46",1
"5ec0701dd9f54f1bbe921ca9175a60d9","56-80-19-40",1
"5d98309983cf4e319ba077b1e10020fc","22-55-33-62",1
"5f9ac4ea0e654d08b3cd6ed453de3ff1","07-07-36-19",1
"5fe1acda95ad4556b6a0983a641d479a","84-67-15-95",1
"5df1b3d3aa7d4cb3b184c8ab9edf7506","52-64-64-81",1
"5feb56a602554863982002d7dffa96e9","94-06-39-74",1
"606dfeb842fa4339b5772cb092c00c26","01-46-09-86",1
"61187e593ce849f6b0b6f20972734150","67-70-56-85",2
"627c07fe24fc470f9300d75233c4b4ee","58-19-91-16",1
"62c15549e2894eee9032940da84f6170","56-99-39-47",1
"639bf406ae23488b9674d26d841618fb","95-66-18-46",1
"64a7c25789dc44988120f839b628656f","31-52-69-96",
"6504c17bdaa94ba5b08d852aa03e266d","18-43-14-59",1
"67a9e20200064275ab4495b3b07aca86","16-93-07-51",1
"68f903f5bf9145f88554337640a5e431","92-26-77-38",1
"6a981e6f28e34024b3877b143c78a411","08-74-10-74",
"6a3556900ab44aeb9fe37891164e8f6a","22-09-94-20",2
"6927081db9f440ca849fbd55ac30e9bd","34-91-15-19",
"6ab741446b254f54b494a75bc6c31575","00-16-89-29",1
"6a0f936dcc7846d187bcff0b122213e5","65-66-38-86",1
"70b5acb304f142b291fc6b209f67a5b3","94-18-00-85",1
"741a8331efc04b6b845110d8a212aec0","23-95-21-09",1
"6d88e79cdca94f44955a26a280ceaae8","18-73-98-72",1
"71230c66d335494aa424d7f85a36da60","40-73-51-73",
"7557b1aecd28455e9909c6d2a923a832","88-41-92-59",2
"7377cd30ca6540eabb25b4a9a3de369d","33-62-41-35",1
"6f717245375d48cbaee0ccc130704124","61-26-83-13",1
"6fdd02cc5fad4b6aaaa699355b50a2c5","64-64-66-34",1
"76864e14ab0a4c98a1cf17d54efe6acf","29-03-49-45",1
"7663bb1198824f56a0370fa6f07e858a","30-46-55-37",1
"7746d7555f5844d3aa4e1b1db205baaa","94-83-94-74",1
"77d8e0bb2a8d40818176e4ca7fa67bed","86-28-58-60",1
"7858f0477c71435583949704dfdc8273","45-08-45-12",1
"78bcb53eff2c4728a87f26ee0d5a7295","47-71-40-92",1
"7ae3d3fc9a4344ba8bb7d8670ba0a214","30-29-17-25",1
"7cbae8c05a404cca98e447173d257eb4","88-94-99-21",1
"7cbedb93a4d54e71a77f6282ce45b604","52-89-16-75",1
"7ce87defa03b47d28ca7a85807a835eb","19-39-69-85",1
"7d81ff7c7b1f45f682a2f778de1129d3","65-64-33-71",1
"7dfe77c10a6d423da8b1fe1af366ff1a","97-27-45-82",1
"7e25926b2a7440e69f203158d6092c89","55-30-97-28",1
"811f0969148848799fdeb81412c961b7","75-75-86-64",1
"819574132d744fb58ef76356982dab3e","97-06-48-22",1
"819dc7fb58f3487c92ce386410f0e484","72-95-56-08",1
"8240331915e74700903cd16936938273","87-78-16-27",1
"856d1989c4994c0bb213bd69b1cc4e28","07-11-57-90",1
"87888fff4c0c45d49f76bf7f930652a3","88-86-92-84",1
"82a63311f1c84741bfd4b8e903e89fa4","16-96-21-37",1
"85d0e9e0a4f1496aaf118e34270048e6","47-45-18-73",2
"86105861a94a405a9af8478fdf715f04","80-98-40-63",
"8873c7ea649641a9aa484ff5a2071ce5","68-41-72-67",1
"8513e8bd23c14fd198c0e28c57e978fb","95-91-78-39",1
"8a796de4a4744d1896966983749b62ce","35-92-49-53",2
"8a25746d91fd4a71903d25321bf21f4b","32-79-51-40",1
"8cce422c32fb487db7f64fc57ab28ea3","33-86-34-01",1
"8d6c882303774a69b457c672b327bb4b","13-27-67-54",1
"8e0674510f124c79adff16fa72a15dbf","59-49-37-12",1
"8e2224a0b6494414a93947f05e8d132e","19-59-74-37",1
"8f4c7489123f4036974cc7f574debbac","60-97-61-88",1
"8f4e78e6dc8746289651442eb40f7d6d","43-33-76-18",1
"8fc56ed20a424d2fac2361dd0f33e3ea","04-35-73-80",1
"8fc986ddd794404797432dfcdde4cbd3","85-17-19-95",
"8ef78b7b0f7147e0ac63d91538fa815c","63-03-43-30",1
"91a39a9bf8bb4ad68964d8dc19ba3253","20-43-32-61",1
"8f6eac2d77894b3f8ba983cdb145dfa6","22-52-74-75",1
"92bc05e40dff4e818160d4bc3bd31eee","35-98-52-71",1
"93f32e4649e8452181fa4f17e75cbf30","22-63-38-40",1
"96087df97f6b4e1c8a0ec6aab97ffc23","18-33-14-59",1
"989ebf98f43b4297beef92b24367e4c8","30-99-66-58",1
"9693819c6c25424e8079d7bd5a399e59","92-06-84-13",2
"9a2a6af2f9924430b9a0cc47327b661f","09-71-54-71",1
"97ae00424b064a76ab02f3474665cca3","93-57-84-53",2
"9c9917e6e1554969a1d66ac128e8d541","22-11-58-99",1
"9cb352e8b3464891a8e56c9682e6e772","06-94-60-69",1
"a2b201c029f84e18ae079b30d287184d","41-07-98-38",2
"a28038d2ed0047b28fc0ac652e00429b","20-49-68-89",1
"a0b8bff5458e45b08b17f5b96f939cfb","55-27-58-19",1
"9da07074406c46e68f1ad5e7813e373b","12-56-84-63",1
"97eeb4f2eae84dfc85e15d277e751cfb","00-36-74-14",1
"9eec20fc44d14b1485a5b54407494313","30-88-55-94",
"a33b5f5221a14a80bfed99a205524fe7","48-26-89-12",1
"a3e421e5c8924b2ebd4c84e7ab0538a4","98-67-40-59",1
"a3968f62607b402a85a551fab137e191","07-23-18-10",2
"a633fb014edd4a55953902a674518e63","82-74-17-32",1
"a3e0e5b0bb6045dbb836bcae2ae555c5","26-48-88-55",1
"a835522691ae4b52a5e2902750d571d5","85-90-80-90",1
"ab0749b99f874a8a9ad0e218c7070e41","23-06-00-01",1
"a63fa436b8c141679c0885b968ae1d73","83-94-15-57",1
"a8fe82d0ebbd444d98af07dc137b4e07","82-09-93-64",1
"a9b4f7035d6e4a3b9f8176902c619b5b","80-49-13-36",
"ab0e78b5778048bf9a70403cd622a4ff","77-78-65-13",1
"ab459ff868574eccbf2972ff990e7bf9","22-22-00-56",1
"b0f9243778a344a8a72fc524a6863f9a","80-63-59-73",1
"ae56e2c944ce4a368290a335d0d2a43b","24-59-00-53",1
"af8d7a4a02504bb7821e271ac62d45fd","24-46-40-79",1
"ae7bb6fd7ff54143ae6ee473fdcc7afc","76-04-95-30",1
"b1884aea03a844029e86334683703b09","47-97-04-43",1
"afa09473cbcc44dfbe78de562eaa298f","25-20-92-54",1
"b1abb00b1ee043ffa3c18766a7d63142","53-55-20-69",2
"aed4071826f04462a59bfabca5d2ca06","35-51-00-88",2
"b01c536bdb1a45b898dab000df0f3267","13-55-77-20",1
"ab713365c71c4bb89d206b8093278f1c","72-50-87-06",1
"ac28a7c8f3e745efb2801d1e3304e9a3","13-11-99-45",1
"aca7e45fe9774f0781f5651e408038e6","74-93-61-60",1
"b20b2988cc4140df81890d31bb284697","80-00-26-34",1
"b32dc85cbfb145db9b0787c8bdf3b7d0","89-20-72-11",1
"b8dcc618f4c342b3aee3d0ff6ce21e8f","71-01-18-75",1
"b21b3ee4c5394287abdaa88134b11078","72-13-08-02",1
"b389c239719a4796854b290e12631dbb","81-20-77-29",1
"b92650e55fb14845840d3f164fba1491","54-78-39-35",1
"b6c40689d08f41cfbcd481e1deb14577","81-61-50-13",1
"b959c6a261f04e80967f5261a5095c64","37-30-82-94",1
"b289994ae63440efbf4bd086457f67c8","36-87-56-87",1
"baa361cd94c74ceb900b4fe3cabbdbba","42-83-16-09",1
"bc01a17fd5d245e2a35d78b99bb04187","59-24-40-04",1
"bc2bf51e178c42e1bc7de3ade20338d5","37-77-55-14",1
"bfaec23e25e948f2b4be3e00fb79e2ba","90-46-30-94",1
"be03e0b731204737a2e4f7e0d2030d21","28-28-90-63",2
"c1185221c2d343bb88b3ec950686798c","05-72-66-37",2
"c05e5755364f4c9eb48addd0418e8f5d","88-67-72-87",1
"c1befc6653a84ef68640bc9923760c39","09-41-83-25",
"c1b998e93a934a8cb45545fc66b93d36","96-93-21-70",1
"c417d5092fa04356addbe1ab9f6c471d","96-05-76-94",1
"c0cdc564be864ac698cba75135459a5e","21-18-44-50",1
"c1dbf4334e904dc1b6b93391efe6de15","08-27-94-74",1
"bea4b4b78acc42a6a591220eff1ca34e","14-85-95-70",1
"bedf52b414be4498a687aa04f00db6bf","91-10-01-18",1
"c441996b11764b4a9b89ffa9e072e594","33-46-89-47",1
"c5a736b38a4843b68ddf780785c9403e","86-65-40-94",1
"c63d7a3af8c74ccca231ecfa5dffb50b","40-59-35-84",1
"cb6f1ca5c1d84fe4be8e6d65f1ecb6ee","41-29-42-22",1
"cc21c380258748b09434448dd3cd19d6","20-19-89-31",1
"cd53be65dbb54ae58e54c8e2e8876a98","66-28-67-92",1
"cda502a2bc2f4dcb81105822378261d2","93-24-80-62",
"cc5224ac26434558b1870292cd790c14","16-74-30-99",1
"cdda605e7bf84e2998e7dc1b3f9fc012","18-69-48-95",1
"cc67d6bf9be34858953f0195bb61efdc","53-89-11-68",1
"ce09e57177af41adadea55b1118f29be","41-30-97-75",1
"cecbc69db6044c88b541853782f11ff2","59-65-12-85",1
"cff36b0b20f648be8341cd074068c657","80-81-10-28",1
"d0cdf3d489a641c0a3e23bb1fb1adcfc","65-23-15-88",1
"d132b4d495064853b88b9de098d24ae1","31-65-28-65",1
"d27f68aecc4d4350baef7ba84d39d9f0","59-18-11-47",1
"d2ad4ad31dbd4666bec8eaec059c3d08","59-37-58-86",1
"d2d172cc1ef541e48cba1c6ed47f1841","52-68-30-65",1
"d3f59ad872434ad1b2bec94ed6e6e947","68-46-02-26",1
"d451154d23f041d0915801f7838e703d","66-91-74-76",1
"d4eb3a77cedc42abb1e1bb99a214a7e8","13-38-51-04",1
"d72ffb6509f04269a54566ef5106a498","16-89-92-55",1
"d59bcc343d9e47379e45203869d1f64f","77-50-49-21",1
"d50819d660b042d7b279465864368a55","49-85-88-60",1
"d5dab880982d42b9899469131ffc2054","35-31-24-31",2
"d852fc9843fe45ffb9544b916d5f2cfc","24-03-14-28",1
"da0d63139da84fa088cb8a3f8893374e","46-97-38-14",1
"d8c64e61dafa401b94c8afc0cfb15fef","09-82-39-37",1
"dc3741ca4a3c451291a3c0370adfd965","14-56-46-86",1
"d91d6fec7fec4232a968ff6c765ab1eb","54-82-15-45",1
"daafca5294924c609725305aa9da92d2","81-72-86-31",1
"d93b73d98836425fafd96b0bc9407548","92-40-07-74",1
"d961227555964a0bb362122c6b66dca2","88-32-58-62",
"dacd91af18154d51894a52d02a3cb2b1","39-31-02-27",1
"d935539999f64771a119eb32574c160e","46-49-96-63",1
"dd72172834734d53967b7f13d9946d3e","30-44-92-98",1
"de0d420b95f949409ddd6e6ef359572f","92-54-66-94",1
"df9e133eb2f54a81911f454050262cc9","15-27-59-11",
"dfd66efc10c04db4bc7a7710205fba47","41-87-65-27",1
"e0d553e3abb24993844f0de7e20c86db","51-59-01-53",1
"e83ef3501b9148fc8d8660761d61f6b1","16-34-77-09",1
"e359063a9c1842feace88741f2b4863c","08-49-55-81",2
"e57503779f904b9a89276f70cdc6d98b","24-81-35-44",1
"e7fa94896c414ae5a4e11d7b299951b1","04-12-51-46",1
"e8807528500d494886e1493f22b6d612","35-16-36-79",1
"ea112b0ba08542bfb07f10c636ff82a0","88-64-25-80",2
"e1d242437c104649bf3a034bad2925c9","92-04-38-87",1
"e2087f2693664d9097024fd484730d71","66-82-27-82",
"e314846cc6e745f2b46ca45107218154","48-37-16-81",1
"eb9b8edf03314bb39c1982b462c88cd3","46-50-03-97",1
"ef140c8eb6aa466fa41b317628e0cbf8","34-89-24-08",1
"ec3f5f7d84244a55ab42dff82b6846d9","49-96-25-37",2
"eba103dd973241ecb07baee474e8f9d9","34-64-32-00",1
"ef37261b68c446679bec7e072b4d916e","51-89-46-48",1
"ec558b4ca32e46a7943986f7ad4a9588","96-60-14-26",1
"ec1c482374644eb983a647909e350403","96-79-66-75",2
"f03953e0053e44408d6efa237ee3063f","15-63-97-83",1
"f107a301616c4ff69b6fa7bfa877faab","04-82-98-03",2
"ee1ae37bb5574ebb8cfcaa312e7e1f0b","51-48-45-42",1
"f14f6099b4984c1d8b984fb22f251032","27-44-94-20",1
"f1dca8894a0b46eab802b52b2ecc70c0","65-42-84-81",2
"f568ccaeb7434baf8b85c82b6999a9e1","33-49-10-28",
"f33d7de27c14495a89301cb34c6e6dfb","63-52-54-38",2
"f4836ae1155c495c9363570573d1f81a","38-55-59-69",1
"f5e7dce2332d41b28c3cd37fceac50cf","05-41-62-25",1
"f81dc4ec9efb45e0ac04ce96bd3fac02","08-27-83-30",1
"f4c5c89950bb4141ab4d895c0b25bb20","48-32-44-07",1
"f709ca33e5624c40bbebb5bbff93d32f","92-58-44-91",1
"f94bd031b7014493ba1c0295e5614dca","38-34-59-31",
"f875111d04594103a21af312cda6e741","36-13-76-78",1
"fb5c0b7c4fa64ce8b41a2d746086f7a1","60-32-27-19",1
"f980545af05e454a9a37280d7272716d","88-18-91-21",1
"f941ce88ba9a48e99842d995455d47bd","66-72-06-13",2
"fd09bf6c0d16410f9135f36ef5e6993b","87-17-71-30",1
"f9db50b4f83b436ab20692f8d1d0e345","42-81-20-45",1
"fd39653b0c2d49a2b86bf992b96cf4d0","86-59-69-87",1
"fe70d97f97424e029d2757d98e8d9723","64-34-31-60",
"fecc0f5ccad940ceb621e46eb9f59f77","83-86-63-56",1
"fffa2187e3d447b085ed6aedd03b38da","17-59-88-03",1
