"interview__key","EA_code","service_availabilty__id","s2aq03_1","s2aq05","s2aq06","s2aq07","s2aq08"
"13-26-94-05","03e3d013ed9a4a7b9e72a04e5867ed88",16,1,0,1,5,2
"94-25-74-66","0548b11d746b41149960bad12ade2187",13,2,5,8,30,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",15,2,4,1,60,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",11,2,28.8,2,20,2
"94-25-74-66","0548b11d746b41149960bad12ade2187",26,2,4,8,20,3
"94-25-74-66","0548b11d746b41149960bad12ade2187",20,2,4,1,60,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",16,2,4,1,60,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",19,2,4,1,60,2
"94-25-74-66","0548b11d746b41149960bad12ade2187",10,2,4,1,60,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",23,2,4,1,60,2
"94-25-74-66","0548b11d746b41149960bad12ade2187",18,2,4,1,60,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",3,2,4,1,60,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",17,2,4,1,60,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",12,2,4,1,60,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",32,2,4,8,20,2
"94-25-74-66","0548b11d746b41149960bad12ade2187",25,2,4,8,20,2
"94-25-74-66","0548b11d746b41149960bad12ade2187",1,1,0.5,1,10,2
"94-25-74-66","0548b11d746b41149960bad12ade2187",22,1,0.3,1,2,2
"94-25-74-66","0548b11d746b41149960bad12ade2187",21,1,0,1,2,3
"94-25-74-66","0548b11d746b41149960bad12ade2187",9,2,40,2,45,3
"94-25-74-66","0548b11d746b41149960bad12ade2187",2,2,4,1,60,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",5,2,4,8,30,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",4,2,7,8,45,1
"94-25-74-66","0548b11d746b41149960bad12ade2187",8,2,4,1,60,3
"94-25-74-66","0548b11d746b41149960bad12ade2187",30,2,4,8,20,1
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",12,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",26,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",2,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",15,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",14,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",22,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",17,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",19,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",9,2,0.6,6,5,1
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",5,1,0.2,1,10,1
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",32,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",13,2,0.7,5,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",8,2,0.3,1,15,1
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",1,2,0.5,1,15,2
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",16,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",10,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",21,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",4,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",18,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",3,,,,,
"34-90-92-66","06aeb38cf33a4c6b9ad71262908541eb",25,,,,,
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",3,1,1,1,20,2
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",9,2,2,6,10,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",22,1,0.5,1,10,3
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",4,2,1.5,1,30,2
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",12,2,1.5,1,30,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",23,1,0.5,1,10,2
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",5,2,1.2,1,20,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",16,2,1.6,1,30,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",2,2,2,1,40,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",17,2,1.6,1,30,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",14,2,1.6,1,30,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",25,1,2.5,1,40,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",32,2,1.6,1,30,2
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",10,2,1.5,1,35,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",26,2,1.5,1,30,2
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",21,1,1.2,1,20,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",33,2,1.5,1,30,2
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",19,1,0.1,1,2,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",15,2,1.6,1,30,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",13,2,1.6,1,30,1
"66-47-37-97","06c492654e8342fabe3ec8af1aad4cef",1,1,0.8,1,20,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",3,2,5,1,90,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",15,2,4,1,60,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",20,2,4,1,60,1
"39-29-24-84","07d762b045a54167af44618c38f26e49",16,2,4,1,60,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",2,1,0.2,1,5,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",18,2,4,1,60,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",13,2,45,2,40,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",33,2,4,1,100,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",1,1,0.2,1,20,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",25,2,50,1,100,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",8,2,6,1,120,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",19,2,45,2,60,1
"39-29-24-84","07d762b045a54167af44618c38f26e49",17,2,4,1,60,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",21,2,76,2,120,1
"39-29-24-84","07d762b045a54167af44618c38f26e49",32,2,4,1,60,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",24,2,5,1,100,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",22,1,0,1,0,2
"39-29-24-84","07d762b045a54167af44618c38f26e49",9,2,104,2,180,1
"39-29-24-84","07d762b045a54167af44618c38f26e49",4,2,5,1,90,2
"74-65-87-03","09583a0be3d943588eccede22daecd45",13,2,3,4,20,1
"74-65-87-03","09583a0be3d943588eccede22daecd45",2,1,0.5,1,10,2
"74-65-87-03","09583a0be3d943588eccede22daecd45",8,2,3,1,45,2
"74-65-87-03","09583a0be3d943588eccede22daecd45",12,2,1.5,1,20,1
"74-65-87-03","09583a0be3d943588eccede22daecd45",19,1,0.8,1,15,2
"74-65-87-03","09583a0be3d943588eccede22daecd45",11,2,1.6,1,20,1
"74-65-87-03","09583a0be3d943588eccede22daecd45",22,1,0.3,1,5,3
"74-65-87-03","09583a0be3d943588eccede22daecd45",33,2,8,4,40,1
"74-65-87-03","09583a0be3d943588eccede22daecd45",17,1,0.5,1,10,2
"74-65-87-03","09583a0be3d943588eccede22daecd45",9,2,4,1,50,1
"74-65-87-03","09583a0be3d943588eccede22daecd45",26,2,3.5,4,15,1
"74-65-87-03","09583a0be3d943588eccede22daecd45",32,2,2,1,30,1
"74-65-87-03","09583a0be3d943588eccede22daecd45",4,1,0.6,1,10,2
"74-65-87-03","09583a0be3d943588eccede22daecd45",25,2,2,1,30,2
"74-65-87-03","09583a0be3d943588eccede22daecd45",14,2,5,4,25,1
"74-65-87-03","09583a0be3d943588eccede22daecd45",3,2,2.5,1,40,2
"74-65-87-03","09583a0be3d943588eccede22daecd45",16,1,0.6,1,10,2
"74-65-87-03","09583a0be3d943588eccede22daecd45",1,2,1.3,1,20,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",9,2,2,5,20,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",12,1,0.2,1,5,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",18,2,15,2,20,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",21,1,0.3,1,4,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",14,2,0.6,1,15,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",19,1,0.2,1,3,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",22,1,0.2,1,2,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",15,1,0.2,1,5,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",5,2,0.5,1,10,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",13,2,0.6,6,5,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",20,1,0.2,1,3,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",23,2,2,1,30,3
"96-05-61-85","09bd271138b34050a20647bb26da164e",32,2,0.5,1,5,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",8,2,3,5,20,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",26,2,3,5,10,2
"96-05-61-85","09bd271138b34050a20647bb26da164e",10,1,0.3,1,10,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",1,2,1.5,1,15,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",25,2,1.5,5,15,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",7,2,1,1,10,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",17,1,0.2,1,3,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",24,2,2,6,5,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",4,2,0.5,1,10,1
"96-05-61-85","09bd271138b34050a20647bb26da164e",2,1,0.5,1,5,2
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",3,2,2,1,40,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",8,2,2.5,1,35,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",14,2,16,2,60,2
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",25,2,2.5,1,30,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",1,1,0.5,1,30,2
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",21,1,0,1,0,3
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",2,1,0.5,1,30,2
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",15,2,2.5,1,30,3
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",23,1,0.1,1,5,3
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",16,2,2.5,1,30,3
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",20,2,2.5,1,30,3
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",22,1,0,1,0,3
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",13,2,16,2,60,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",24,2,2.5,1,30,2
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",9,2,16,2,60,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",4,2,2,8,30,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",5,2,11,7,60,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",32,2,2.5,1,30,1
"02-82-25-55","09e5567a67b24c56b7c7bb13800ead7e",17,2,2.5,1,30,3
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",23,1,0.1,1,5,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",3,1,5,1,60,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",8,2,2,1,60,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",16,2,3,1,90,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",15,2,3,1,90,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",19,2,1,1,30,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",9,2,4.5,1,90,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",26,2,3,1,90,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",13,2,4,1,90,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",25,2,2,1,60,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",27,2,2,1,45,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",6,1,0.3,1,4,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",17,2,3,1,90,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",29,1,0.4,1,5,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",24,2,2,1,60,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",18,2,3,1,90,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",28,1,0.1,1,3,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",5,1,3.5,1,60,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",33,2,5,1,120,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",32,2,1,1,60,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",22,2,0,1,1,1
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",21,2,1,1,30,2
"05-20-15-42","0b6fdf9b7d2b484ea36915e5f8b3940d",1,1,3,1,30,1
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",32,2,1.5,1,30,2
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",16,2,7,6,15,2
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",3,2,10,8,70,2
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",23,2,0.8,1,10,2
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",15,2,7,6,15,1
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",2,2,0.5,1,15,2
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",22,1,0.3,1,7,2
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",24,2,9,6,15,3
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",1,2,2,1,40,3
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",17,2,7,6,15,1
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",21,2,1,1,20,1
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",9,2,65,2,90,1
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",8,2,2,1,30,3
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",25,2,9,6,15,2
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",13,2,6,6,15,2
"54-45-74-15","0e2cb66e0eaa46feb1f41a241a8c4910",10,2,1.6,1,30,2
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",3,2,5,5,60,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",1,1,0.1,1,3,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",8,2,6,5,60,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",17,2,6,1,60,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",23,2,4.5,5,30,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",10,2,8,6,30,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",16,2,6,1,60,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",5,2,11,6,60,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",4,3,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",21,2,2,8,15,2
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",18,2,4,1,40,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",2,3,,,,
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",32,2,5,5,60,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",20,2,4,1,60,2
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",11,2,10,6,30,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",12,2,15,6,30,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",13,2,8,6,30,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",26,2,11,6,30,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",19,2,5,6,25,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",25,2,5,5,60,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",9,2,6,6,30,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",15,2,6,1,60,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",22,1,1,1,20,1
"98-06-19-96","0e53cc68fc734154a21bb2def6bbc5c6",24,1,4,8,30,1
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",13,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",9,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",27,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",20,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",22,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",25,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",28,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",26,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",5,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",17,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",1,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",16,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",8,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",15,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",19,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",32,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",18,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",24,,,,,
"13-72-15-50","0e5fc948d76340ac9c27380a8837c56c",21,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",2,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",23,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",4,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",10,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",11,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",15,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",17,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",20,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",13,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",24,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",19,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",21,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",9,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",5,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",3,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",30,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",1,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",22,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",32,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",16,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",8,,,,,
"76-22-41-77","12810e18eb6c41d7ac10cbb28f40fdf3",18,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",15,2,0.5,1,8,2
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",19,2,0.3,1,3,3
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",9,2,1,1,30,2
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",32,2,0.5,1,8,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",16,1,0.3,1,3,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",24,2,0.5,1,8,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",31,2,0.5,1,8,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",12,2,0.5,1,8,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",4,2,4,6,15,3
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",17,1,0.3,1,3,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",2,2,1,6,7,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",11,2,2,6,5,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",13,2,0.5,1,8,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",8,2,1,1,30,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",10,2,0.5,1,8,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",21,1,0,1,1,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",14,2,1,1,30,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",25,2,1,6,5,3
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",3,2,4,6,15,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",18,2,1.5,1,20,3
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",5,2,4,6,15,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",1,2,0.5,1,15,2
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",30,1,0.3,1,3,1
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",26,2,1,6,7,3
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",20,2,0.5,1,8,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",22,1,0,1,0,3
"98-86-51-07","150cdba4fed14b4a87d582d398577942",23,1,0.1,1,10,3
"98-86-51-07","150cdba4fed14b4a87d582d398577942",13,2,22.5,6,40,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",9,2,22.5,6,40,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",17,2,2,1,60,3
"98-86-51-07","150cdba4fed14b4a87d582d398577942",3,2,3.2,8,45,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",24,2,2,1,60,2
"98-86-51-07","150cdba4fed14b4a87d582d398577942",1,2,2,1,60,2
"98-86-51-07","150cdba4fed14b4a87d582d398577942",2,1,0.1,1,5,2
"98-86-51-07","150cdba4fed14b4a87d582d398577942",19,2,22,6,30,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",32,2,2,1,60,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",20,1,0,1,0,3
"98-86-51-07","150cdba4fed14b4a87d582d398577942",14,2,22.5,6,40,2
"98-86-51-07","150cdba4fed14b4a87d582d398577942",16,2,2,1,60,3
"98-86-51-07","150cdba4fed14b4a87d582d398577942",21,1,0,1,0,3
"98-86-51-07","150cdba4fed14b4a87d582d398577942",15,2,2,1,60,3
"98-86-51-07","150cdba4fed14b4a87d582d398577942",4,2,2.3,1,50,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",25,2,2,1,60,2
"98-86-51-07","150cdba4fed14b4a87d582d398577942",8,2,2,1,60,1
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",1,2,2,1,25,1
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",10,2,1,1,10,1
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",7,2,0.2,1,2,1
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",17,2,1,1,10,1
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",25,2,5,6,15,2
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",3,2,2.5,1,30,2
