"interview__key","EA_code","payment_id","s3q26","s3q27","s3q28","s3q29"
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",7,2,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",2,2,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",8,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",1,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",0,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",5,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",7,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",6,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",9,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",4,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",3,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",2,,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",7,2,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",8,2,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",6,2,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",9,1,1,10400,2
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",3,2,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",0,,2,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",4,2,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",1,2,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",5,2,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",2,2,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",2,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",0,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",5,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",8,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",3,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",9,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",4,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",1,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",6,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",7,,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",0,,1,10000,2
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",2,2,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",1,1,1,6000,2
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",8,2,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",5,2,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",4,1,2,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",3,2,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",9,2,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",6,2,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",7,2,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",3,2,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",9,1,2,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",0,,1,2000,2
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",7,2,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",2,2,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",4,1,2,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",1,1,2,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",6,2,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",8,2,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",5,2,,,
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",3,2,,,
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",1,2,,,
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",0,,1,20000,2
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",5,2,,,
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",9,2,,,
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",6,2,,,
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",8,2,,,
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",7,2,,,
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",4,2,,,
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",2,2,,,
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",2,2,,,
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",0,,1,21428,2
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",9,2,,,
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",6,2,,,
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",1,2,,,
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",8,2,,,
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",3,2,,,
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",4,2,,,
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",7,2,,,
"34-03-95-15","191a256cbcac47a2966d2f058153bc70",5,2,,,
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",7,,,,
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",2,,,,
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",8,,,,
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",0,,,,
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",4,,,,
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",9,,,,
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",5,,,,
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",1,,,,
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",3,,,,
"41-72-74-44","195e5a9b4fcb4d7dbe18eaf543a9283b",6,,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",2,2,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",3,2,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",1,1,1,2500,2
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",5,2,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",4,2,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",7,2,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",6,2,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",8,2,,,
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",0,,1,10000,2
"01-51-54-41","1a257e54482e4ecf8b6aedc7cc89f8fd",9,2,,,
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",9,2,,,
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",7,2,,,
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",8,1,2,,
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",3,2,,,
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",0,,1,12000,2
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",6,2,,,
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",5,2,,,
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",2,2,,,
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",4,2,,,
"32-45-14-74","1dce5f2d227147f4a9f8e27ad9423f5d",1,2,,,
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",6,2,,,
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",7,2,,,
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",2,2,,,
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",0,,1,22700,2
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",5,2,,,
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",8,2,,,
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",3,2,,,
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",4,2,,,
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",1,2,,,
"48-93-82-89","2000d66f97714765bc8e85e671ad8283",9,1,1,8000,2
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",6,2,,,
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",8,2,,,
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",0,,2,,
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",4,2,,,
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",7,2,,,
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",5,2,,,
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",2,2,,,
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",9,1,1,20000,2
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",3,2,,,
"36-96-62-29","20188c3dd7af4786a15806bc3d9cc605",1,2,,,
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",9,2,,,
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",8,2,,,
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",7,2,,,
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",0,,1,36428,2
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",6,2,,,
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",4,2,,,
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",3,2,,,
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",5,2,,,
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",1,2,,,
"02-80-79-45","20eb974e8c9b4361a62ccde0ce8611ad",2,2,,,
"20-02-77-43","218cb290a69743c69e521b6122a6d507",5,2,,,
"20-02-77-43","218cb290a69743c69e521b6122a6d507",9,1,1,3000,2
"20-02-77-43","218cb290a69743c69e521b6122a6d507",1,1,1,50000,2
"20-02-77-43","218cb290a69743c69e521b6122a6d507",2,2,,,
"20-02-77-43","218cb290a69743c69e521b6122a6d507",0,,1,5000,2
"20-02-77-43","218cb290a69743c69e521b6122a6d507",7,2,,,
"20-02-77-43","218cb290a69743c69e521b6122a6d507",8,1,1,2000,2
"20-02-77-43","218cb290a69743c69e521b6122a6d507",3,2,,,
"20-02-77-43","218cb290a69743c69e521b6122a6d507",6,2,,,
"20-02-77-43","218cb290a69743c69e521b6122a6d507",4,2,,,
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",9,1,1,10000,2
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",6,2,,,
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",7,2,,,
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",8,2,,,
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",2,2,,,
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",1,2,,,
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",5,2,,,
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",0,,2,,
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",4,2,,,
"25-50-00-53","21e9da8b1950402aa3169598c2efeb4e",3,2,,,
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",2,2,,,
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",0,,1,1000,2
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",9,2,,,
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",4,1,2,,
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",3,2,,,
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",5,2,,,
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",1,1,1,3500,2
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",7,2,,,
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",6,2,,,
"90-21-50-09","228bcac6d0b147dbaebbc943965f78c1",8,2,,,
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",0,,2,,
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",4,1,2,,
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",7,2,,,
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",3,2,,,
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",8,2,,,
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",9,1,2,,
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",2,2,,,
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",5,2,,,
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",1,1,2,,
"76-53-22-95","237d3bd58d47443f984a1146cfb17596",6,2,,,
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",4,1,2,,
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",3,2,,,
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",2,2,,,
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",1,2,,,
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",8,2,,,
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",5,2,,,
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",6,2,,,
"71-53-71-15","2625ab72d0ca4e74bcc7a51eefc3c049",7,2,,,
