"hhid","parcelID","pltid","t0_hhid","interview__key","s3aq03","s3aq03_2","s3aq03_3","s3aq03a","s3aq04","s3aq05","s3aq06","s3aq07","s3aq08","s3aq09","s3aq12","s3aq13","s3aq14","s3aq15","s3aq16","s3aq17","s3aq18","s3aq19","s3aq22","s3aq23","s3aq24a","s3aq24b","s3aq25","s3aq26","s3aq27","s3aq28","s3aq34","s3aq35a","s3aq35b","s3aq35c","s3aq36","s4aq07"
"00db391b5a9a4ef0954f50f148069c46",2,1,"H1090502","68-96-48-36","MAIZE",1,"2",1,2,,,,,,,2,,,,,,,2,,,,,,,,1,3,0,0,30000,1
"00e23121bad94719bff27f93646437b3",3,1,"H2370701","09-18-87-82","PLOT 3",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"00e23121bad94719bff27f93646437b3",1,2,"H2370701","09-18-87-82","PLOT 2 (MAIZE)",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.06
"00e23121bad94719bff27f93646437b3",4,1,"H2370701","09-18-87-82","PLOT 4",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"00e23121bad94719bff27f93646437b3",2,1,"H2370701","09-18-87-82","PLOT 2 (CASSAVA)",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"00e23121bad94719bff27f93646437b3",1,1,"H2370701","09-18-87-82","PLOT 1 (ONION)",1,"1",2,2,,,,,,,2,,,,,,,1,1,2,0.25,1,0.25,3500,3,2,,,,,0.07
"00f1eb71d428408f888b058a8e8664fe",1,2,"H0531001","67-00-40-20","GROUNDNUTS PLOT",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.34
"00f1eb71d428408f888b058a8e8664fe",1,4,"H0531001","67-00-40-20","COFFEE PLOT",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,10,0,0,50000,5.9
"00f1eb71d428408f888b058a8e8664fe",1,1,"H0531001","67-00-40-20","BANANA PLOT",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1.08
"00f1eb71d428408f888b058a8e8664fe",1,3,"H0531001","67-00-40-20","MAIZE  AND BEANS PLOT",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,4,0,0,20000,0.82
"01152e19bbdd4744a712260121f34bf7",1,0,"H0120905","69-27-42-27",,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01152e19bbdd4744a712260121f34bf7",1,1,"H0120905","69-27-42-27",,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0125c97b154d4f249c07f630cd52a102",1,1,"H3780601","26-94-84-05","BANANA FOOD PLOT",1,"1",2,1,30,2,,,,1,2,,,,,,,2,,,,,,,,2,,,,,0.25
"01483c3751964ad2842b6e4a8b6edcdd",2,1,"H2780101","08-93-76-98","IRISH POTATOES",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,1,0,0,5000,0.25
"01483c3751964ad2842b6e4a8b6edcdd",2,2,"H2780101","08-93-76-98","CASSAVA",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.75
"01483c3751964ad2842b6e4a8b6edcdd",1,2,"H2780101","08-93-76-98","CASSAVA",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,3,0,0,10000,0.6
"01483c3751964ad2842b6e4a8b6edcdd",1,1,"H2780101","08-93-76-98","COFFEE",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"01c14a909dd54c2088fe1b32e84ae2ec",1,2,"H0670802","34-97-38-28","BIJANJALO",2,,2,2,,,,,,,1,4,20,1,20,20000,2,2,,,,,,,,2,,,,,0.25
"01c14a909dd54c2088fe1b32e84ae2ec",1,1,"H0670802","34-97-38-28","PLOT A MWANYI",2,,2,1,20,2,,,,1,2,,,,,,,1,96,2,1,1,1,17000,2,2,,,,,0.25
"01c14a909dd54c2088fe1b32e84ae2ec",3,1,"H0670802","34-97-38-28","KASOLI",2,,2,1,500,1,500,70000,4,,2,,,,,,,1,1,2,1,1,1,30000,2,1,4,0,0,28000,1
"01c6b5639280472aa1dbfea2b7c10c24",1,0,"H2970601","62-85-68-81","BANANA",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,1,0,0,50000,1.5
"01c6b5639280472aa1dbfea2b7c10c24",2,1,"H2970601","62-85-68-81","COFFEE",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"01c6b5639280472aa1dbfea2b7c10c24",1,1,"H2970601","62-85-68-81","Beans",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"01dfba97dd29447f9a82aef0f59237de",0,1,"H1530901","76-20-54-99","Coffee",2,,2,1,40,2,,,,1,2,,,,,,,2,,,,,,,,2,,,,,0.5
"01dfba97dd29447f9a82aef0f59237de",0,2,"H1530901","76-20-54-99","Matooke",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"01fc2a6821064f528ca01e20dbea8db2",1,1,"H2090701","67-03-98-74","MALO soya",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"01fc2a6821064f528ca01e20dbea8db2",2,1,"H2090701","67-03-98-74","PINY",1,"5",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,0,3,0,10000,0.5
"01fc2a6821064f528ca01e20dbea8db2",1,2,"H2090701","67-03-98-74","MALO  beans",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"020fd884bebf40b0a97f2156b8eda1b6",1,2,"H1400501","41-05-05-87","CASSAVA",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"020fd884bebf40b0a97f2156b8eda1b6",1,1,"H1400501","41-05-05-87","SORGHUM",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,2
"021babeee5f646108cbe9bb3b2a4c485",1,1,"H3770703","04-45-65-45","G.NUTS",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.2
"021babeee5f646108cbe9bb3b2a4c485",1,3,"H3770703","04-45-65-45","SWEET POTATOES",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.13
"021babeee5f646108cbe9bb3b2a4c485",1,2,"H3770703","04-45-65-45","MAIZE",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.2
"02257a7aa9a94ca9b464e910e2bd642d",0,2,"H4250801","53-84-98-61","GNUTS",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"02257a7aa9a94ca9b464e910e2bd642d",1,2,"H4250801","53-84-98-61","COFFEE",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.22
"02257a7aa9a94ca9b464e910e2bd642d",1,1,"H4250801","53-84-98-61","MATOOKE",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"02257a7aa9a94ca9b464e910e2bd642d",0,1,"H4250801","53-84-98-61","BEANS",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"024a80a27283471e857285cf751564ae",1,2,"H3430401","68-97-24-12","GROUNDNUTS PLOT",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"024a80a27283471e857285cf751564ae",1,1,"H3430401","68-97-24-12","COFFEE PLOT",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"02617e359bfc48cbaa6ff204cb915790",1,0,"H0620801","05-60-52-12","MAIZE",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,14,0,0,300000,1
"02a50a54fb3a4c9f989e246cb0c9200e",2,1,"H3850702","41-39-54-27","Plot A",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"02a50a54fb3a4c9f989e246cb0c9200e",3,1,"H3850702","41-39-54-27","PLOT 1",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"031fbb84e2af4d5e889ccc7492ecbf55",1,2,"H2620906","13-87-67-95","G.NUTS",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"031fbb84e2af4d5e889ccc7492ecbf55",1,1,"H2620906","13-87-67-95","BEANS",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,5,0,0,30000,0.25
"031fbb84e2af4d5e889ccc7492ecbf55",1,3,"H2620906","13-87-67-95","CASSAVA",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.18
"03292ce0d7f24e42801500e576140648",0,1,"H0491306","81-48-72-54","plot A beans",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"034f0004fa7a4a25b4aacdb196177f2b",1,2,"H1070601","39-67-74-38","MILLET",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"034f0004fa7a4a25b4aacdb196177f2b",1,3,"H1070601","39-67-74-38","POTATOES",1,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"034f0004fa7a4a25b4aacdb196177f2b",1,0,"H1070601","39-67-74-38","MAIZE",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"034f0004fa7a4a25b4aacdb196177f2b",1,1,"H1070601","39-67-74-38","GROUND NUTS",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"037866653c7c4cb99a80f05a38cdafb2",2,3,"H0381001","68-76-57-83","BANANA PLOT",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.75
"037866653c7c4cb99a80f05a38cdafb2",2,4,"H0381001","68-76-57-83","SWEET POTATOES PLOT",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"038bf67186f048d1966a17475bedd578",1,0,"H3171001","87-05-36-36","Millet",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"038bf67186f048d1966a17475bedd578",1,1,"H3171001","87-05-36-36","Potatoes",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"038bf67186f048d1966a17475bedd578",1,2,"H3171001","87-05-36-36","Beans",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.3
"038bf67186f048d1966a17475bedd578",2,1,"H3171001","87-05-36-36","Potatoes",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.3
"038bf67186f048d1966a17475bedd578",2,0,"H3171001","87-05-36-36","Coffee",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"038bf67186f048d1966a17475bedd578",2,2,"H3171001","87-05-36-36","Gnuts",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.3
"038bf67186f048d1966a17475bedd578",1,3,"H3171001","87-05-36-36","Sorghum",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.4
"03c42091117d479097bf8be7a9dfebb1",0,2,"H3860601","88-07-20-35","CASSAVA MAY",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"03c42091117d479097bf8be7a9dfebb1",0,1,"H3860601","88-07-20-35","CASSAVA APRIL",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.33
"03c42091117d479097bf8be7a9dfebb1",1,1,"H3860601","88-07-20-35","CASSAVA",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"03d4f5f6631747878b76ad399fb2b80c",1,1,"H3220901","01-48-23-62","SPOTATOES",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"03d4f5f6631747878b76ad399fb2b80c",1,2,"H3220901","01-48-23-62","BEANS",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"03d4f5f6631747878b76ad399fb2b80c",2,0,"H3220901","01-48-23-62","MATOOKE",2,,2,1,200,2,,,,1,2,,,,,,,2,,,,,,,,2,,,,,0.35
"03d4f5f6631747878b76ad399fb2b80c",1,0,"H3220901","01-48-23-62","IRISHPOTATOES",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,0,2,0,20000,0.25
"03f862af923942ad9f37fa65f52a8f3d",4,1,"H3880301","94-11-03-26","PLOT BEANS,CASSAVA",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.75
"03f862af923942ad9f37fa65f52a8f3d",3,1,"H3880301","94-11-03-26","CASSAVA",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"03f862af923942ad9f37fa65f52a8f3d",2,1,"H3880301","94-11-03-26","PLOT CASSAVA",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.3
"03f862af923942ad9f37fa65f52a8f3d",1,1,"H3880301","94-11-03-26","PLOT COFFEE",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"03f862af923942ad9f37fa65f52a8f3d",5,1,"H3880301","94-11-03-26","Plot A",1,"1",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
"04077875a3894775bb24f2f42e7adc67",1,2,"H2540901","34-10-35-48","MILLET",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"04077875a3894775bb24f2f42e7adc67",1,1,"H2540901","34-10-35-48","SWEET POTATOES",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.1
"04077875a3894775bb24f2f42e7adc67",2,1,"H2540901","34-10-35-48","MILLET",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"04077875a3894775bb24f2f42e7adc67",0,1,"H2540901","34-10-35-48","MATOOKE",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,2
"0418981cf19046bd930dbbfe8af3c1c4",1,1,"H0590101","24-87-96-19","PLOT 1",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1.5
"0418981cf19046bd930dbbfe8af3c1c4",1,2,"H0590101","24-87-96-19","PLOT 2",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"042c4cc37a904f18a05671d5323d78d3",1,1,"H2601001","67-83-57-50","BEANS AND MAIZE",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,21,21,0,110000,0.25
"042c4cc37a904f18a05671d5323d78d3",1,2,"H2601001","67-83-57-50","SWEATPOTATOES",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,2,0,0,30000,0.25
"044525d42e7547cb844fa01062ed908c",1,1,"H1880501","43-98-05-19","Cassava",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.35
"044525d42e7547cb844fa01062ed908c",1,3,"H1880501","43-98-05-19","Millet",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,0,3,0,12000,1.5
"044525d42e7547cb844fa01062ed908c",1,2,"H1880501","43-98-05-19","Maize",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.75
"044525d42e7547cb844fa01062ed908c",2,1,"H1880501","43-98-05-19","Sunflower",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,0,4,0,12000,1.5
"044c92119a6e44b6bd74f41b5131f7fb",2,2,"H2231002","41-18-22-13","TUMALU",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,2
"044c92119a6e44b6bd74f41b5131f7fb",3,2,"H2231002","41-18-22-13","NGET PACO",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,2
"044c92119a6e44b6bd74f41b5131f7fb",1,2,"H2231002","41-18-22-13","ELOGO",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"044fe31f64084ca4bb3d0474820c95ff",1,2,"H3370501","10-60-59-41","LUMONDE",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"0475d96d540e42f48e10f7e052c18533",2,1,"H2920501","25-54-15-03","BEANS AND MAIZE",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,2,1,0,120000,0.5
"0475d96d540e42f48e10f7e052c18533",2,2,"H2920501","25-54-15-03","GNUTS",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,1,0,0,60000,0.25
"0475d96d540e42f48e10f7e052c18533",1,1,"H2920501","25-54-15-03","BANANA FOOD",1,"1",1,2,,,,,,,2,,,,,,,2,,,,,,,,1,1,0,0,60000,0.3
"048117d75d7e486587c27ca4bb7d294f",2,0,"H2600905","50-14-42-02","MAIZE",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"048117d75d7e486587c27ca4bb7d294f",2,1,"H2600905","50-14-42-02","CASSAVA, BEANS",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"04adcf9e96a14cc2879a6d47da1a2ae9",1,2,"H3600301","75-56-51-88","MAIZE",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.3
"04adcf9e96a14cc2879a6d47da1a2ae9",1,1,"H3600301","75-56-51-88","CASSAVA",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.6
"04beb1f67d72438a95bbd2da5ae9bc56",1,2,"H3440201","42-17-33-52","sweet potatoes",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"04beb1f67d72438a95bbd2da5ae9bc56",2,1,"H3440201","42-17-33-52","maize",1,"2",2,2,,,,,,,2,,,,,,,1,1,2,2,1,2,28000,2,1,7,7,0,140000,2
"04beb1f67d72438a95bbd2da5ae9bc56",1,1,"H3440201","42-17-33-52","banana food",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1.75
"04beb1f67d72438a95bbd2da5ae9bc56",2,2,"H3440201","42-17-33-52","sweet potatoes",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"04e3098df42742428550ed1754b3cce9",1,1,"H3350301","15-89-87-28","Banana",2,,2,1,500,2,,,,2,2,,,,,,,1,4,2,3,1,3,29000,2,1,7,0,0,120000,4
"04e3098df42742428550ed1754b3cce9",1,2,"H3350301","15-89-87-28","maize",2,,2,2,,,,,,,2,,,,,,,1,4,2,1,1,1,13000,2,1,7,0,0,90000,1
"04e34e77abfc4a14a6ddb3f8604a51ee",1,1,"H1510902","99-60-32-49","G.NUTS",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,0,5,0,15000,0.5
"04e34e77abfc4a14a6ddb3f8604a51ee",3,1,"H1510902","99-60-32-49","BEANS",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,0,5,0,30000,1
"04e34e77abfc4a14a6ddb3f8604a51ee",1,0,"H1510902","99-60-32-49","BANANA FOOD PLOT",2,,2,1,30,2,,,,1,2,,,,,,,2,,,,,,,,1,0,5,0,15000,0.5
"04fbfbe14e064de88046b1bd162fb008",3,0,"H2970602","40-19-99-33","COFFEE",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,30,0,0,80000,1.5
"04fbfbe14e064de88046b1bd162fb008",4,1,"H2970602","40-19-99-33","BANANA FOOD",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.65
"04fbfbe14e064de88046b1bd162fb008",2,0,"H2970602","40-19-99-33","HOME BANANA",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"04fbfbe14e064de88046b1bd162fb008",1,0,"H2970602","40-19-99-33","BANANA",1,"2",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,7,0,0,20000,1
"05052c1f4a06454ca9f2ef68f4ed9918",1,1,"H4280401","33-30-78-82","Maize, Beans",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,1,0,0,60000,0.25
"053050b9f02d468dabfb5515b9f97be6",2,0,"H1821002","53-26-17-71","Soya Beans",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,35,35,0,230000,2
"053050b9f02d468dabfb5515b9f97be6",1,0,"H1821002","53-26-17-71","Cassava",1,"1",1,2,,,,,,,2,,,,,,,2,,,,,,,,1,9,8,0,37500,2.5
"053050b9f02d468dabfb5515b9f97be6",4,0,"H1821002","53-26-17-71","Maize",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,6,6,0,26000,1
"053050b9f02d468dabfb5515b9f97be6",3,0,"H1821002","53-26-17-71","Simsim",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,1,8,15,0,48000,1.5
"0566d903b26649e59275f92f6118361d",1,1,"H3881001","89-73-17-60","PLOT CASSAVA 2017",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"0566d903b26649e59275f92f6118361d",1,2,"H3881001","89-73-17-60","PLOT CASSAVA 2016",1,"1",2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.1
"056cb993abee42a89f67363f1b38f878",1,2,"H4110601","01-79-23-60","MAIZE",2,,1,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"056cb993abee42a89f67363f1b38f878",1,1,"H4110601","01-79-23-60","CCOTTON",2,,1,2,,,,,,,2,,,,,,,1,1,2,1,1,1,4000,3,1,3,2,0,70000,1
"057535df5a63411bb13f906e251b9130",2,1,"H4180301","43-67-10-32","Fingers millet",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,0,2,0,30000,0.25
"057535df5a63411bb13f906e251b9130",1,1,"H4180301","43-67-10-32","Banana food/Coffee",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,4,0,0,60000,1.25
"057535df5a63411bb13f906e251b9130",2,2,"H4180301","43-67-10-32","Beans",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,1,0,2,0,30000,0.25
"057fc24f426f48fca061898d6efa4f49",1,1,"H1301001","49-50-25-25","POTATOES",1,"6",1,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.75
"057fc24f426f48fca061898d6efa4f49",1,2,"H1301001","49-50-25-25","MAIZE",1,"6",1,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.25
"0583ffbf78c441f7828b4e53acdd71f1",0,2,"H3680701","74-29-12-73","sweet potatoes",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
"0583ffbf78c441f7828b4e53acdd71f1",1,1,"H3680701","74-29-12-73","MAIZE",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"0583ffbf78c441f7828b4e53acdd71f1",2,1,"H3680701","74-29-12-73","MAIZE",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"0583ffbf78c441f7828b4e53acdd71f1",0,1,"H3680701","74-29-12-73","Maize",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,1
"058bd214d86846f5949c782fb2f1bfbb",7,1,"H1510901","79-88-58-55","BEANS PLOT",2,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2,,,,,0.5
