"hhid","parcelID","pltid","t0_hhid","interview__key","cropID","s5aq05_1","s5aq05_2","harvest","s5aq06a_1","a5aq6b","a5aq6d","s5aq22_1","s5aq06e_1","s5aq06e_1_1","s5aq06f_1","s5aq06f_1_1","s5aq06a_1_1","s5aq06a_2_1","s5aq06a3","s5aq06a4","s5aq07a_1","s5aq07b_1","s5aq07c_1","s5aq08_1","s5aq09_1","s5aq10_1","s5aq11e_1","s5aq11f_1","s5aq11g","s5aq11h","s5aq12_1","a5aq6c"
"03f862af923942ad9f37fa65f52a8f3d",1,1,"H3880301","94-11-03-26",811,"1",2,1,15,45,1,,7,2017,12,2017,1,"1",,,14,45,1,52500,4,,1,"1",,,0,45
"03f862af923942ad9f37fa65f52a8f3d",1,1,"H3880301","94-11-03-26",150,"1",2,1,3,45,17,,12,2017,12,2017,1,"1",,,0,,,,,,,,,,0,45
"03f862af923942ad9f37fa65f52a8f3d",1,1,"H3880301","94-11-03-26",130,"1",2,1,7,23,15,,8,2017,8,2017,1,"1",,,3,23,22,40000,4,,1,"1",,,0,23
"03f862af923942ad9f37fa65f52a8f3d",2,1,"H3880301","94-11-03-26",630,"1",2,1,18,40,15,,12,2017,3,2018,1,"1",,,2,40,22,24000,4,,1,"1",,,0,40
"03f862af923942ad9f37fa65f52a8f3d",4,1,"H3880301","94-11-03-26",210,"1",2,1,2,45,1,,1,2018,1,2018,1,"1",,,0,,,,,,,,,,0,45
"04077875a3894775bb24f2f42e7adc67",0,1,"H2540901","34-10-35-48",741,"1",2,1,96,20,15,,7,2017,12,2017,2,,1,8,0,,,,,,,,,,0,20
"04077875a3894775bb24f2f42e7adc67",0,1,"H2540901","34-10-35-48",640,"1",2,1,2,20,15,,7,2017,12,2017,1,"1",,,0,,,,,,,,,,0,20
"04077875a3894775bb24f2f42e7adc67",0,1,"H2540901","34-10-35-48",210,"1",2,1,6,24,15,,10,2017,10,2017,1,"1",,,0,,,,,,,,,,0,24
"04077875a3894775bb24f2f42e7adc67",1,1,"H2540901","34-10-35-48",620,"1",2,1,1,20,100,,11,2017,11,2017,2,,1,2,0,,,,,,,,,,0,20
"04077875a3894775bb24f2f42e7adc67",1,2,"H2540901","34-10-35-48",141,"1",2,1,8,45,20,,2,2018,3,2018,2,,1,8,0,,,,,,,,,,0,45
"04077875a3894775bb24f2f42e7adc67",2,1,"H2540901","34-10-35-48",141,"1",2,1,0.6,45,100,,1,2018,2,2018,1,"1",,,0,,,,,,,,,,0,45
"0418981cf19046bd930dbbfe8af3c1c4",1,1,"H0590101","24-87-96-19",130,"2",2,1,4,35,120,,12,2017,1,2018,1,"2",,,4,45,9,200000,2,,1,"2",,,0,35
"0418981cf19046bd930dbbfe8af3c1c4",1,1,"H0590101","24-87-96-19",210,"2",2,1,1,35,125,,11,2017,11,2017,1,"2",,,1,45,1,180000,2,,1,"2",,,0,35
"0418981cf19046bd930dbbfe8af3c1c4",1,2,"H0590101","24-87-96-19",620,"2",2,1,6,20,110,,2,2018,3,2018,1,"2",,,6,20,10,840000,2,,1,"2",,,0,20
"042c4cc37a904f18a05671d5323d78d3",1,1,"H2601001","67-83-57-50",210,"2",2,1,1,24,15,,11,2017,12,2017,2,,1,2,0,,,,,,,,,,0,24
"042c4cc37a904f18a05671d5323d78d3",1,1,"H2601001","67-83-57-50",130,"2",2,1,1,23,50,,12,2017,12,2017,2,,1,2,0,,,,,,,,,,0,23
"042c4cc37a904f18a05671d5323d78d3",1,2,"H2601001","67-83-57-50",620,"2",2,1,12,20,15,,11,2017,12,2017,2,,1,2,0,,,,,,,,,,3,20
"044525d42e7547cb844fa01062ed908c",1,1,"H1880501","43-98-05-19",630,"1",2,2,2,20,90,,10,2017,10,2017,2,,1,2,0,,,,,,,,,,0,20
"044525d42e7547cb844fa01062ed908c",1,2,"H1880501","43-98-05-19",130,"1",2,3,800,45,1,,9,2017,1,2018,1,"2",,,0,,,,,,,,,,0,45
"044525d42e7547cb844fa01062ed908c",1,3,"H1880501","43-98-05-19",141,"1",2,1,110,45,1,,12,2017,12,2017,1,"1",,,0,,,,,,,,,,0,45
"044525d42e7547cb844fa01062ed908c",2,1,"H1880501","43-98-05-19",330,"1",2,1,600,45,1,,12,2017,12,2017,2,,1,2,600,45,1,600000,2,,2,,1,2,0,45
"044c92119a6e44b6bd74f41b5131f7fb",2,2,"H2231002","41-18-22-13",150,"3",2,1,260,45,1,,11,2017,11,2017,2,,1,2,230,45,1,115000,2,,2,,1,3,0,45
"044c92119a6e44b6bd74f41b5131f7fb",3,2,"H2231002","41-18-22-13",210,"3",2,1,60,45,1,,1,2018,1,2018,2,,1,3,0,,,,,,,,,,0,45
"044fe31f64084ca4bb3d0474820c95ff",1,2,"H3370501","10-60-59-41",630,"1",2,1,2,20,66,,2,2018,8,2018,1,"1",,,0,,,,,,,,,,0,20
"044fe31f64084ca4bb3d0474820c95ff",1,2,"H3370501","10-60-59-41",620,"1",2,1,2.5,20,66,,11,2017,5,2018,1,"1",,,0,,,,,,,,,,0,20
"0475d96d540e42f48e10f7e052c18533",1,1,"H2920501","25-54-15-03",741,"1",2,1,60,20,15,,7,2017,12,2017,1,"1",,,0,,,,,,,,,,0,20
"0475d96d540e42f48e10f7e052c18533",2,1,"H2920501","25-54-15-03",130,"1",2,2,1,22,10,,12,2017,1,2018,1,"1",,,0,,,,,0,,,,,0,22
"0475d96d540e42f48e10f7e052c18533",2,1,"H2920501","25-54-15-03",210,"1",2,1,60,45,1,,12,2017,12,2017,1,"1",,,0,,,,,,,,,,10,45
"0475d96d540e42f48e10f7e052c18533",2,2,"H2920501","25-54-15-03",310,"1",2,1,1.5,44,58,,12,2017,1,2018,1,"1",,,0,,,,,,,,,,0.5,44
"048117d75d7e486587c27ca4bb7d294f",2,0,"H2600905","50-14-42-02",130,"4",2,1,50,45,1,,12,2017,12,2017,2,,1,4,0,,,,,,,,,,0,45
"048117d75d7e486587c27ca4bb7d294f",2,1,"H2600905","50-14-42-02",210,"4",2,1,40,45,1,,12,2017,12,2017,2,,1,4,0,,,,,,,,,,0,45
"04adcf9e96a14cc2879a6d47da1a2ae9",1,2,"H3600301","75-56-51-88",130,"2",2,1,1,45,15,,12,2017,12,2017,1,"2",,,0,,,,,,,,,,0,45
"04beb1f67d72438a95bbd2da5ae9bc56",1,1,"H3440201","42-17-33-52",741,"2",2,1,10,20,5,,8,2017,12,2017,2,,1,2,0,,,,,,,,,,0,20
"04beb1f67d72438a95bbd2da5ae9bc56",1,2,"H3440201","42-17-33-52",620,"2",2,1,5,20,120,,11,2017,12,2017,2,,1,2,0,,,,,,,,,,0,20
"04beb1f67d72438a95bbd2da5ae9bc56",2,1,"H3440201","42-17-33-52",130,"2",2,1,2,23,60,,11,2017,11,2017,1,"2",,,0,,,,,,,,,,0.5,23
"04beb1f67d72438a95bbd2da5ae9bc56",2,2,"H3440201","42-17-33-52",620,"2",2,1,5,20,120,,11,2017,12,2017,1,"2",,,5,20,10,150000,2,,1,"2",,,0,20
"04e3098df42742428550ed1754b3cce9",1,1,"H3350301","15-89-87-28",741,"2",2,1,90,20,15,,7,2017,12,2017,2,,1,2,90,20,67,900000,2,,2,,1,2,0,20
"04e3098df42742428550ed1754b3cce9",1,1,"H3350301","15-89-87-28",810,"2",2,1,5,44,90,,7,2017,12,2017,2,,1,2,5,44,,810000,2,,2,,1,2,0,44
"04e3098df42742428550ed1754b3cce9",1,1,"H3350301","15-89-87-28",510,"2",2,1,180,20,1,,7,2017,12,2017,2,,1,2,0,,,,,,,,,,0,20
"04e3098df42742428550ed1754b3cce9",1,2,"H3350301","15-89-87-28",741,"2",2,1,40,20,18,,7,2017,12,2017,2,,2,,40,20,67,400000,2,,2,,1,2,0,20
"04e3098df42742428550ed1754b3cce9",1,2,"H3350301","15-89-87-28",130,"2",2,1,1,23,100,,10,2017,10,2017,2,,1,2,0,,,,,0,,,,,0,23
"04e34e77abfc4a14a6ddb3f8604a51ee",1,0,"H1510902","99-60-32-49",811,"3",2,1,40,24,1,,8,2017,11,2017,2,,2,3,40,24,1,100000,2,,2,,2,3,0,24
"04e34e77abfc4a14a6ddb3f8604a51ee",1,0,"H1510902","99-60-32-49",210,"3",2,1,120,45,1,,9,2017,10,2017,2,,2,3,100,45,1,120000,2,,2,,2,3,0,45
"04e34e77abfc4a14a6ddb3f8604a51ee",1,0,"H1510902","99-60-32-49",741,"3",2,1,20,20,10,,7,2017,12,2017,2,,2,3,0,,,,,,,,,,0,20
"04e34e77abfc4a14a6ddb3f8604a51ee",1,1,"H1510902","99-60-32-49",310,"3",2,1,7,42,30,,10,2017,10,2017,2,,2,3,3,42,10,360000,2,,2,,2,3,0,42
