"t0_hhid","APCode","hhid","s6cq03a","s6cq03b","s6cq03c","s6cq03d","s6cq03e","s6cq03f","s6cq04a","s6cq04b","s6cq04c","s6cq05a","s6cq05b","s6cq05c","s6cq06","s6cq07","s6cq08","s6cq09","s6cq10","s6cq11","s6cq12","s6cq13a","s6cq13b","s6cq14a","s6cq14b","s6cq15","s6cq15b","s6cq15c","s6cq16"
"H3850702",23,"02a50a54fb3a4c9f989e246cb0c9200e",4,1,2,1,2,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,6,,1
"H2620906",23,"031fbb84e2af4d5e889ccc7492ecbf55",15,1,,1,,2,0,,,0,,,6,25,0,0,0,0,15,0,,0,,1,1,,1
"H1910601",23,"0349cc41571b406e889303445fe7e34c",27,,,,,2,0,,,0,,,18,14,0,0,0,0,0,0,,2,15000,3,1,,1
"H1910601",26,"0349cc41571b406e889303445fe7e34c",8,,,,,2,0,,,0,,,8,0,0,0,0,0,0,0,,0,,0,4,5,1
"H3860601",23,"03c42091117d479097bf8be7a9dfebb1",15,4,,5,,2,0,,,0,,,15,11,0,6,0,3,0,0,,1,15000,1,6,5,1
"H3220901",23,"03d4f5f6631747878b76ad399fb2b80c",3,2,,1,2,2,0,,,0,,,6,8,0,0,0,0,8,0,,0,,3,3,,1
"H3880301",23,"03f862af923942ad9f37fa65f52a8f3d",2,1,,1,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,6,4,1
"H2540901",23,"04077875a3894775bb24f2f42e7adc67",1,1,8,1,,2,0,,,0,,,8,0,0,0,0,0,4,0,,0,,3,3,1,1
"H2601001",23,"042c4cc37a904f18a05671d5323d78d3",5,1,2,2,,2,0,,,0,,,5,0,0,0,0,0,0,0,,0,,0,3,,1
"H3510201",25,"0436a29148344151a89c6a941e52e1d0",8,,,,,2,0,,,0,,,3,0,0,0,0,0,0,5,5000,0,,0,1,5,2
"H3510201",23,"0436a29148344151a89c6a941e52e1d0",3,,,,,2,0,,,0,,,1,3,0,0,0,0,0,0,,1,20000,0,1,4,1
"H1880501",23,"044525d42e7547cb844fa01062ed908c",23,1,2,1,3,2,0,,,0,,,2,21,0,0,0,0,0,0,,0,,0,1,3,1
"H2231002",23,"044c92119a6e44b6bd74f41b5131f7fb",11,1,3,1,3,2,0,,,0,,,3,10,0,0,0,2,0,0,,0,,0,3,,1
"H2600905",23,"048117d75d7e486587c27ca4bb7d294f",8,1,4,1,4,2,0,,,0,,,4,6,0,0,0,0,0,0,,0,,2,3,1,1
"H3440201",23,"04beb1f67d72438a95bbd2da5ae9bc56",13,1,2,2,3,2,0,,,0,,,16,7,0,0,0,0,10,0,,0,,0,1,6,2
"H3350301",23,"04e3098df42742428550ed1754b3cce9",20,2,,2,,2,0,,,0,,,10,10,0,0,0,0,0,0,,0,,0,1,3,1
"H1510902",23,"04e34e77abfc4a14a6ddb3f8604a51ee",7,2,3,2,3,2,0,,,0,,,9,0,0,0,0,0,0,0,,0,,2,3,1,1
"H1821002",23,"053050b9f02d468dabfb5515b9f97be6",4,1,,1,,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,1,,1
"H3881001",23,"0566d903b26649e59275f92f6118361d",8,1,,1,,2,0,,,0,,,5,4,0,0,0,0,0,0,,0,,1,3,,1
"H1301001",23,"057fc24f426f48fca061898d6efa4f49",2,6,,6,,2,0,,,0,,,5,0,0,0,0,0,0,0,,2,10000,1,1,,1
"H2080702",23,"05dca1a459fe4754bd19d0d175b4da74",30,1,2,1,2,2,0,,,0,,,40,13,0,0,4,13,0,0,,3,10000,3,1,3,1
"H1810404",23,"0634372d290947fc92bad833679f4f23",3,3,4,4,,2,0,,,0,,,4,0,0,0,0,0,4,3,10000,0,,0,1,3,1
"H3780201",23,"069465eb8c264016bc63f2ba390ad118",6,1,2,1,2,2,0,,,0,,,6,0,0,0,0,0,0,0,,0,,0,3,,1
"H1270901",23,"069ce1000ec94312a038a19b8efdd983",5,1,2,2,3,2,0,,,0,,,30,10,0,0,5,0,10,0,,20,12000,0,1,,2
"H2230902",23,"06a3c5174fea45419046bfa97ea3c29b",5,1,2,1,2,2,0,,,0,,,3,8,0,0,0,0,4,0,,0,,2,3,,1
"H3600901",23,"06b881a31ba7466e919d01bb09f5e672",14,2,,1,2,2,0,,,0,,,6,8,0,0,0,0,0,0,,0,,0,1,6,1
"H1441001",23,"06c85056727c434f90b8215d4b1df0a2",20,1,2,1,2,2,0,,,0,,,17,16,0,0,0,4,0,0,,3,15000,6,1,3,1
"H1441001",26,"06c85056727c434f90b8215d4b1df0a2",2,1,2,1,2,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,2,1,3,1
"H2231001",23,"06d940520a174c5c843dd683f49c2f95",1,1,,1,10,2,0,,,0,,,0,0,0,0,0,0,0,1,8000,0,,0,3,1,1
"H1890201",23,"0700ac37276743c3a73536d56c21b04e",17,2,4,2,,2,0,,,0,,,9,13,0,0,0,3,0,0,,0,,2,3,5,1
"H2590601",23,"0731c33c39714e7a8fe032a4c6840fc5",3,,,,,2,0,,,0,,,5,0,0,0,0,0,0,0,,2,20000,0,1,,1
"74",23,"07919f0a80fb43dc9dbbc762b869adbf",3,2,,1,2,2,0,,,0,,,12,0,0,0,2,3,2,0,,0,,2,1,3,2
"H1970205",26,"0795321942c34174a89d745e644df105",13,3,,3,,2,0,,,0,,,7,8,0,0,2,0,0,0,,0,,0,3,5,1
"H1970205",23,"0795321942c34174a89d745e644df105",,,,,,,,,,,,,,,,,,,,,,,,,,,
"H3590301",23,"07c445ca0f284db081b29aa91ee7988e",5,1,,1,,2,0,,,0,,,10,0,0,0,0,0,3,0,,0,,2,3,6,1
"H2871001",23,"087401704b5c4990995dc6b7af8a6b0a",1,2,,2,4,2,0,,,0,,,10,8,0,0,0,2,10,0,,2,20000,3,3,6,1
"H2740201",23,"08a2071726b54dae84b17e7b8017588d",3,1,2,1,2,2,0,,,0,,,7,4,0,0,4,4,0,0,,0,,0,6,,1
"H1710801",23,"08a88de2ed7b46648366085ed5bef13b",1,6,,6,,2,0,,,0,,,0,0,0,0,0,0,0,1,15000,0,,0,3,4,1
"H0850701",23,"09296489a3b04339968d856b0b9e44d9",2,1,,1,,2,0,,,0,,,0,0,0,0,0,0,0,2,8000,0,,0,3,,1
"H4050501",23,"099f3b6855dc42158237614c25bfb571",8,1,,1,,2,0,,,0,,,5,12,0,0,0,8,0,0,,1,7000,0,1,,1
"H2380401",23,"0a049c02fa2046ebbd60a6af568aabae",3,1,2,1,2,2,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,1,3,1
"H4200601",23,"0a396d4827b24ea099971029d14bd817",9,1,2,1,2,1,0,,,0,,,20,0,0,2,0,0,0,0,,8,10000,1,1,3,1
"H1080302",23,"0ab5e0705d5b40beb0a2e79f49183356",23,1,2,1,2,2,0,,,0,,,12,16,0,0,0,4,0,0,,0,,1,1,3,1
"H2310501",23,"0ac58cb4e81e452daa6d87169534e762",7,1,,1,4,1,0,,,0,,,34,7,0,0,0,0,23,0,,6,8000,5,1,3,1
"H0510301",23,"0acb15747a494855adae111b05ec1af2",4,4,,1,4,2,0,,,0,,,1,3,0,0,0,0,0,0,,0,,0,1,,1
"H2610201",23,"0b195170755f4768ac89c0dc1d08645a",2,1,,1,,2,0,,,0,,,4,6,0,0,0,0,8,0,,0,,0,1,,1
"H1750401",23,"0b5e2febcfa54a2aa9c1369db7b62f76",7,1,,1,,2,0,,,0,,,2,5,0,0,0,0,0,0,,0,,0,3,,1
"##N/A##",26,"0b7f6c75dec34a6bb3c0990283c92be6",6,1,,1,,2,0,,,0,,,12,0,0,0,0,0,0,0,,4,25000,2,1,3,1
"##N/A##",23,"0b7f6c75dec34a6bb3c0990283c92be6",2,1,,1,,2,0,,,0,,,12,0,0,0,4,0,0,0,,2,15000,4,1,3,1
"58",23,"0be0f54fc2f44d4d8328e2b8878a06d0",5,1,3,1,3,2,0,,,0,,,8,0,0,0,0,0,0,0,,1,12000,2,1,3,1
"H2630401",23,"0cac20f5e69f4d00ac5d1bfc15689dba",5,1,2,1,2,2,0,,,0,,,6,1,0,0,0,0,0,0,,0,,2,1,4,1
"H2630401",26,"0cac20f5e69f4d00ac5d1bfc15689dba",4,1,2,1,2,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,1,5,1
"H1251201",23,"0d1503da1c134a0e912f2b7115137d57",18,3,5,3,5,2,0,,,0,,,12,9,0,0,0,2,0,0,,0,,1,5,3,1
"H2020101",23,"0d3fe7c0dc864f1eb4c9c7559a351a39",28,1,2,1,2,2,0,,,0,,,5,23,0,0,0,0,0,0,,0,,0,3,6,1
"H3410801",23,"0dc5a325d5dd4987b0255e6dc261c7c9",2,2,,2,,2,0,,,0,,,2,9,0,0,0,0,9,0,,0,,0,1,,1
"H3410801",26,"0dc5a325d5dd4987b0255e6dc261c7c9",1,2,,2,,2,0,,,0,,,1,4,0,0,0,0,3,0,,1,10000,0,1,3,1
"H1201001",23,"0df38d4bdeaa40a8b3407e57cc315e31",23,1,,1,,2,0,,,0,,,10,20,0,0,0,5,0,0,,2,12000,0,1,3,1
"H3770202",23,"0e03e253c35d4333a1ffad2df9d38850",0,,,,,2,0,,,0,,,30,0,0,0,0,0,15,0,,10,15000,5,1,6,1
"H1510501",24,"0e25633f83884662b852b82b7c7724cd",0,,,,,2,0,,,0,,,50,0,0,0,0,0,50,0,,0,,0,1,3,1
"H4050901",23,"0e587b69c8364b7ea11ac6ad8155d944",110,1,3,2,9,2,0,,,0,,,113,90,0,4,11,40,10,0,,20,12000,8,1,3,1
"H0840604",23,"0e6bbfd7a7ff407ba8c19c68b4614a43",20,1,2,1,2,2,0,,,0,,,20,10,0,0,0,0,6,0,,2,20000,2,1,3,2
"H1400901",23,"0eacd048e8244b7bb60a9ef372d37bd4",10,3,6,3,6,2,0,,,0,,,10,5,0,0,0,1,0,0,,4,10000,0,1,,2
"H1770401",23,"0ef4563b33504453b6221a3e597f4ac1",3,1,6,1,6,2,0,,,0,,,5,0,0,0,0,0,1,0,,0,,1,1,5,1
"H0750903",23,"0f0210463290453bb298ac2094d5322e",5,1,3,1,3,2,0,,,0,,,5,4,0,1,0,0,0,0,,1,25000,2,3,1,1
"H0540702",23,"0f1fae5e3c164a0689a528daa0977068",22,1,3,1,2,1,0,,,0,,,8,15,0,0,0,0,0,0,,1,40000,0,1,3,2
"H0510201",23,"0f667b218c504918a233aac6e8ee5bda",12,2,8,2,8,2,0,,,0,,,12,0,0,0,0,0,0,0,,0,,0,1,,1
"H0021101",23,"0f89c593c872418cbe8ce314e2d06348",2,1,,1,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,4,1
"H3510601",23,"0f9890d1fd734a5cace8f29bedc49979",6,1,4,1,4,2,0,,,0,,,3,3,0,0,0,0,0,0,,0,,0,1,4,1
"H1620302",26,"108160782ccd45a9b7a3b97da91f5483",2,1,2,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,5,1,1
"H1620302",23,"108160782ccd45a9b7a3b97da91f5483",5,2,,1,2,2,0,,,0,,,7,0,0,0,0,0,2,0,,0,,0,5,1,1
"H2170501",23,"108ebe553d994ae8bee890ebd2447fbf",1,3,,2,3,2,0,,,0,,,3,0,0,0,0,0,2,0,,0,,0,6,1,1
"H1260101",26,"10c39a24e0784c66897740bdbc426cc8",2,1,,1,,2,0,,,0,,,2,7,0,0,0,0,7,0,,0,,0,5,3,1
"H1260101",23,"10c39a24e0784c66897740bdbc426cc8",6,1,,1,,2,0,,,0,,,2,5,0,0,0,0,1,0,,0,,0,3,5,1
"H3960901",23,"110f81c0d9254505838dcaf2497d130a",0,,,,,2,0,,,0,,,5,7,0,0,0,3,3,0,,0,,6,3,,1
"H1880802",23,"118e5671a1e0437baebdd563bf3e43df",4,1,,1,,2,0,,,0,,,8,0,0,0,0,0,4,0,,0,,0,3,,1
"H2440102",23,"119f2e2e03f143fc879b9f0ed133f62e",12,1,6,1,6,2,0,,,0,,,4,8,0,0,0,0,0,0,,0,,0,6,1,1
"51",23,"11c06407f2894aa696b02bd42e1ad325",7,1,,2,,2,0,,,0,,,2,5,0,0,0,0,0,0,,0,,0,6,5,1
"H1640703",23,"11cce051e10f463e9d807eac544f8298",0,,,,,2,0,,,0,,,6,0,0,0,0,0,0,0,,0,,6,3,,1
"H3930801",23,"12326283f3b543f7a0204eeb08c3a7cd",13,1,,1,,2,0,,,0,,,3,10,0,0,0,0,0,0,,0,,0,3,1,1
"H3800701",23,"1281f3064b5548e58be32cadc2a9904e",13,2,,2,,2,0,,,0,,,2,11,0,0,0,0,0,0,,0,,0,1,3,1
"H2080601",23,"12ea98f53d374c2ab9476c087af2913e",22,2,,2,,2,0,,,0,,,9,15,0,0,0,0,0,0,,0,,2,1,3,1
"H3100301",23,"131fdb31a30649e792542baee928cee3",8,6,,6,,2,0,,,0,,,2,9,0,0,0,3,0,0,,0,,0,3,1,1
"H4200801",23,"132b1d61a34e4480a249784896828820",10,1,2,1,2,2,0,,,0,,,0,10,0,0,0,0,0,1,13000,0,,1,1,5,1
"H1680201",23,"137fab734a03455f98d0124f4847fc13",15,1,2,1,2,2,0,,,0,,,6,10,0,0,0,0,0,0,,0,,1,1,3,1
"H3730201",23,"13c8dabea0a14e74b5409df736d0c6fc",3,7,,1,7,2,0,,,0,,,5,0,0,0,0,0,2,0,,0,,0,1,3,2
"H2140902",23,"13e1b70c74264df2b3ce9571a64d04b7",10,1,2,1,2,2,0,,,0,,,5,9,0,0,0,3,0,0,,0,,1,1,3,1
"H3730401",23,"13e8276c99cd496081c2d78d058b2a21",0,,,,,2,0,,,0,,,22,0,0,0,0,0,22,0,,0,,0,1,3,1
"H2310201",23,"14284880612f4308abfe7ad7f51cdcf8",1,2,3,1,2,2,4,1,2,0,,,2,0,0,0,0,0,0,0,,1,15000,0,1,3,1
"H1310503",23,"1444adc6326d439eaeaba1546d02d59d",12,1,2,1,2,2,0,,,0,,,35,0,0,0,0,0,22,0,,1,10000,0,1,6,1
"H3711001",23,"147c52ca54784111b65348d2fc3eed37",13,1,2,1,2,2,0,,,0,,,19,0,0,0,0,5,0,0,,0,,1,3,,2
"H0500901",23,"148096d4034442419b34538a7bc0dcf6",0,,,,,2,0,,,0,,,50,0,0,0,10,0,10,0,,28,20000,2,1,3,2
"H1300801",23,"15112bb7ee2c432d83517c273c01cf0b",4,1,2,2,7,2,0,,,0,,,10,0,0,0,0,0,6,0,,0,,0,1,3,1
"H4030301",23,"1553987122bb403eac103947ccf14569",3,7,,1,7,2,0,,,0,,,6,0,0,0,0,0,0,0,,2,9000,1,1,3,1
"H3960101",23,"15765778f2514e5db3c9fa6bb742cd00",0,,,,,2,0,,,0,,,6,0,0,0,0,1,2,0,,0,,3,1,,2
"H4000201",23,"158f0ced0e9a41aa975d268a4c9b98a0",10,1,,1,,2,0,,,0,,,14,5,0,3,0,4,0,0,,0,,2,3,4,1
"36",23,"15f9cb22388f428f9f3dcf081ccfc10a",20,1,2,1,2,2,0,,,0,,,30,0,0,0,0,0,0,0,,10,50000,0,1,3,1
"H3760801",23,"15fd3aeeaeb34f6ea14d42f6bcdee0d6",0,,,,,2,0,,,0,,,20,0,0,0,0,0,20,0,,0,,0,3,,1
"H3540101",23,"161df9ca153241e19e955e373574448f",0,,,,,2,0,,,0,,,10,0,0,0,0,0,8,0,,0,,2,3,4,1
"H3800501",23,"16282cde170b4278acdeccb779ce6b33",0,,,,,2,0,,,0,,,7,0,0,0,0,0,2,0,,5,34000,0,1,3,1
"H0870101",23,"162c7da3721a4b318a125f5be123aa6e",2,3,,3,,2,0,,,0,,,1,6,0,0,0,3,2,0,,0,,0,1,,2
"H2241001",23,"164f59280b494e09a7618a255a2334c1",24,1,,1,,2,0,,,0,,,5,20,0,0,0,0,0,0,,1,0,0,4,,1
"H3770702",23,"16658cfcf7f14257a2be301b98bb0de1",9,1,2,2,,2,0,,,0,,,2,12,0,0,0,0,5,0,,0,,0,6,5,1
"H2210202",23,"16887c92f1b147cba6be26cdd50b01f3",2,4,5,4,5,2,0,,,0,,,2,18,0,0,0,0,18,0,,0,,0,3,1,1
"H2370201",23,"16b2d34dfa854a44b17e4a2a1fe1dcbb",3,1,,1,2,2,0,,,0,,,6,0,0,0,0,0,1,0,,0,,2,3,6,1
"H1821005",23,"16bbbd98ba5e4f94a981844b8183ee50",6,2,,1,2,2,0,,,0,,,11,0,0,0,0,0,0,2,8000,0,,7,3,,1
"1100701",23,"16c0790e52ec43c58fcd99e7d75e10d3",20,1,2,1,2,2,0,,,0,,,6,24,0,0,0,6,0,0,,0,,4,1,3,1
"H0750101",23,"16c883aca79d42159da4d313e9a0a17e",0,,,,,2,0,,,0,,,1,9,0,0,0,0,9,0,,0,,1,3,5,1
"H0870801",23,"16d236cfaa29413abb6fca138f544ec4",6,1,2,2,,2,0,,,0,,,9,20,0,0,0,20,0,0,,3,10000,0,1,,1
"H1280801",23,"17378333324c461a88f1ea03eb7e316d",10,1,2,1,2,2,0,,,0,,,3,7,0,0,0,0,0,0,,0,,0,1,3,1
"H0750801",23,"174d7bce575c45bbae624af39a4e3f2c",4,2,,2,,2,4,2,,0,,,4,0,0,0,0,0,0,0,,0,,0,3,,1
"H2020301",23,"178cc701f007453aa380b10c4fa065a5",17,1,2,1,2,2,0,,,0,,,14,13,0,0,0,8,0,0,,0,,2,3,1,1
"H3560701",23,"17c17bf8cc054454a67df0e8837d3cdc",18,2,,2,,2,0,,,0,,,10,19,0,0,0,7,0,0,,4,10000,0,1,,1
"H2210101",23,"17e4e8ad886f40a2ac66453002b2d901",15,1,4,1,4,1,0,,,0,,,6,20,0,0,0,0,5,0,,3,12000,3,1,3,1
"H3900701",23,"17f8b87f9b8f4438bf729c2dea6df75d",8,1,,1,,2,0,,,0,,,15,6,0,0,0,4,5,0,,3,12000,1,6,5,1
"H1820203",23,"18024d9ef636472298f3cf2ef37a7f74",20,1,2,1,2,2,0,,,0,,,16,8,1,1,0,1,0,0,,0,,3,1,3,1
"H1950501",23,"187d1528fc524811bc61dd37d5dc083f",16,1,,1,3,2,2,1,,0,,,15,5,0,0,0,0,0,0,,3,16000,1,3,5,1
"H1420702",26,"1928b1ae90cf45a68b37285a9554df5c",9,2,5,2,5,2,0,,,0,,,9,0,0,0,0,0,0,0,,0,,0,5,6,1
"H1400402",26,"194c70f94cca497aac045956fa1b6124",,,,,,,,,,,,,,,,,,,,,,,,,,,
"H1400402",23,"194c70f94cca497aac045956fa1b6124",7,1,2,1,2,2,0,,,0,,,2,6,0,0,0,3,0,2,7000,0,,0,1,3,2
"H1730802",23,"196ac6fad9e746d6ab549d5e72e070ed",10,1,5,5,,2,0,,,0,,,2,4,0,0,0,0,0,4,4000,0,,0,5,6,1
"H1090902",23,"1a23e276ec3548579b682aa6ac9a03f7",28,5,6,2,6,2,0,,,0,,,10,20,0,0,0,0,0,0,,0,,2,5,3,1
"H2790301",23,"1a270f97ea7144f7ba1c5543ad51845a",9,1,2,2,5,2,0,,,0,,,3,6,0,0,0,0,0,0,,0,,0,5,1,1
"H2850301",23,"1a5e7470e5e349f4bdf3b8bd8779b225",5,1,,1,3,2,0,,,0,,,5,0,0,0,0,0,0,0,,0,,0,6,,1
"H3410601",26,"1ac5be311466436b889555bae1886fd6",16,1,2,1,2,1,1,1,2,0,,,4,13,0,0,0,0,0,0,,0,,1,4,,1
"H2950201",23,"1af73001aa914b64b6d10f3f6157e081",6,1,2,1,2,2,0,,,0,,,3,9,0,0,0,6,0,0,,0,,0,1,,1
"H0461001",23,"1afc0338bf3b4f9ba59f4529c7e8b830",6,2,,2,,2,0,,,0,,,13,5,0,0,0,0,0,0,,12,10000,0,3,5,1
"H0940301",23,"1b233cd5eb5b438e805f2e541344a522",35,1,3,1,3,2,0,,,0,,,19,20,0,0,1,0,0,0,,0,,3,4,5,1
"H3350401",23,"1b599a7d26094ccaadac933ba550fd0a",1,1,,1,,2,0,,,0,,,0,0,0,0,0,0,0,1,10000,0,,0,1,,1
"H0510801",23,"1b8f63cdd081456c8598deeab3c32140",15,2,6,2,6,2,0,,,0,,,6,15,0,0,0,0,6,0,,0,,0,1,4,1
"H4000701",23,"1ba46e5f44f84f31936a8e9e2d8f7e49",20,1,,1,2,2,20,2,,0,,,15,28,0,0,0,0,15,0,,2,10000,6,1,3,1
"H4210301",23,"1bfa24d291f74f478080a5e0b0c2316d",9,1,2,1,2,2,0,,,0,,,10,9,0,0,0,0,10,3,15000,3,6000,0,1,5,1
"H1831101",23,"1d179e34397249688d8b0b57232a08b9",36,,,,,2,0,,,0,,,16,49,0,3,0,0,17,0,,4,20000,5,1,3,1
"H2110901",23,"1d3e82924a9d449ab1ff8838a10ed95b",29,1,2,2,3,2,0,,,0,,,26,17,0,0,8,6,0,0,,0,,0,1,3,1
"H3680301",23,"1d7dd463d9cc43f587aee7e7e1995a35",16,1,10,1,,2,0,,,0,,,3,13,0,0,0,0,0,0,,0,,0,3,6,1
"H2090502",23,"1d8871f1764249158f6fd0c5bf6e97b7",2,1,2,2,,2,3,2,,0,,,1,4,0,0,0,0,3,0,,0,,0,1,,1
"H2700602",26,"1d9e7c2ca373492bbd6da273b791c7be",2,,,,,2,0,,,0,,,0,0,0,0,0,0,0,2,12500,0,,0,3,1,1
"H1820206",23,"1dcf29bde5ad4b38bfaca4a5f224acdc",2,1,2,1,2,2,0,,,0,,,7,0,0,0,0,2,0,0,,1,5000,2,1,3,1
"H4050801",23,"1dd61fdf96334543aebada64e960f897",8,1,,1,3,2,0,,,0,,,12,10,0,0,2,2,9,0,,0,,1,1,3,1
"37",23,"1ddfeff49903462293869d882e446f43",1,1,,1,,2,1,1,,0,,,3,0,0,0,1,1,0,0,,0,,0,3,,1
"H1950101",23,"1de029ce91744778826d44fd2ccc246e",4,1,,1,,2,0,,,0,,,7,0,0,0,0,0,0,0,,2,25000,1,1,,1
"H1310202",23,"1e603a50fb0842b7b442cb034660f8ff",15,1,2,1,2,2,0,,,0,,,8,10,0,0,0,0,0,0,,3,15000,0,1,5,1
"4",23,"1e67060d19bd4d0fa4d5116580862414",2,1,,1,,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,2,1,3,1
"H3910701",23,"1e6d3e4b71e8433ebec03f89d6b099b9",12,1,2,1,2,2,0,,,0,,,3,10,0,0,0,0,1,0,,0,,0,5,,1
"H4101002",23,"1e796e9fa1c64e16943f69008601d15b",2,,,,,2,0,,,0,,,5,0,0,0,3,0,0,0,,0,,0,1,3,1
"H1550801",23,"1e99e5da500a4d44aef666fb07a8d0d2",1,1,2,1,2,1,0,,,0,,,4,0,0,0,0,0,0,0,,0,,3,3,,1
"H2110501",23,"1ec5f5dabb5c49679ddd4a558120328d",6,1,2,1,2,2,0,,,0,,,10,0,0,0,0,3,0,0,,0,,1,1,3,1
"H2140501",23,"1ee1ef1774294ebe8767b0cf2f71cb8a",10,1,5,1,5,2,0,,,0,,,20,12,0,0,0,3,19,0,,0,,0,3,1,1
"H0730701",23,"1ef4272d96c04493bc66559cc7f9cd98",30,1,,1,,2,0,,,0,,,10,20,0,0,0,0,0,0,,0,,0,3,,1
"H3950201",23,"1f19f2165bba4e73aac18269975c88ea",2,1,3,1,3,1,0,,,0,,,2,9,0,0,0,0,9,0,,0,,0,1,,1
"H1820701",23,"1f4d227ab74a442786bdcafb290b6a12",5,1,,1,,1,0,,,0,,,0,4,0,0,0,0,0,1,6000,0,,0,1,3,1
"H1860901",23,"1f5ce03f97d9472a9103a6dc7a53b304",23,1,2,1,2,2,0,,,0,,,15,12,0,0,0,0,0,0,,0,,4,3,1,1
"H1880803",23,"1f9c7edda3584270b8139bfb81fef543",18,1,2,1,2,2,0,,,0,,,47,53,0,0,0,29,52,0,,1,11000,0,1,3,1
"H0420601",23,"209b4a20b2974b4cb856b78659b82112",0,,,,,2,3,1,,0,,,0,0,0,0,0,0,0,0,,0,,0,3,1,1
"H1860103",23,"21228dd963014e41a1abc66bc2e70d39",21,1,5,1,5,2,0,,,0,,,13,10,0,0,0,0,0,0,,0,,2,3,4,1
"H2820601",23,"21356128700341afab4bae888ad2f981",7,1,,1,,2,0,,,0,,,5,2,0,0,0,0,0,0,,0,,0,6,,1
"H1810301",23,"215eced7f754465182ee352aefe848a0",21,7,8,7,8,2,0,,,0,,,8,21,0,1,6,0,1,1,12000,0,,1,3,5,1
"H2641601",23,"21af07d78ce04063a86281f45e4277be",5,2,,2,5,2,0,,,0,,,7,5,0,0,0,6,0,0,,1,20000,0,1,3,1
