"hhid","parcelID","pltid","t0_hhid","cropID","interview__key","s4aq06_1","s4aq08","s4aq09","s4aq09_1","s4aq09_2","s4aq16","s4aq11a","s4aq11b","s4aq12a","s4aq12b","s4aq13","s4aq14","s4aq10","s4aq15","s4aq07"
"01c14a909dd54c2088fe1b32e84ae2ec",1,1,"H0670802",741,"34-97-38-28","1",2,40,1,2008,2,,,,,,,,,0.25
"01c14a909dd54c2088fe1b32e84ae2ec",1,2,"H0670802",130,"34-97-38-28","1",2,40,9,2017,1,3,1,5,1,1,,2,,0.25
"01c14a909dd54c2088fe1b32e84ae2ec",1,2,"H0670802",120,"34-97-38-28",,,,,,,,,,,,,,,0.25
"01c14a909dd54c2088fe1b32e84ae2ec",1,2,"H0670802",210,"34-97-38-28","1",2,60,9,2017,1,5,1,8,1,1,,2,,0.25
"01c14a909dd54c2088fe1b32e84ae2ec",3,1,"H0670802",130,"34-97-38-28","1",1,,9,2017,1,15,1,,,1,,2,,1
"01c6b5639280472aa1dbfea2b7c10c24",1,0,"H2970601",741,"62-85-68-81","1",2,90,8,9998,2,,,,,,,,,1.5
"01c6b5639280472aa1dbfea2b7c10c24",1,0,"H2970601",742,"62-85-68-81","1",2,10,8,9998,2,,,,,,,,,1.5
"01c6b5639280472aa1dbfea2b7c10c24",1,1,"H2970601",210,"62-85-68-81","1",1,,8,2017,1,15,1,,,1,,2,,0.5
"01c6b5639280472aa1dbfea2b7c10c24",2,1,"H2970601",810,"62-85-68-81","1",1,,8,9998,2,,,,,,,,,0.5
"01dfba97dd29447f9a82aef0f59237de",0,1,"H1530901",810,"76-20-54-99","1",2,60,3,1980,2,,,,,,,,,0.5
"01dfba97dd29447f9a82aef0f59237de",0,1,"H1530901",741,"76-20-54-99","1",2,40,4,1980,2,,,,,,,,,0.5
"01dfba97dd29447f9a82aef0f59237de",0,2,"H1530901",810,"76-20-54-99","1",2,30,3,2010,2,,,,,,,,,0.5
"01dfba97dd29447f9a82aef0f59237de",0,2,"H1530901",741,"76-20-54-99","1",2,45,3,2010,2,,,,,,,,,0.5
"01dfba97dd29447f9a82aef0f59237de",0,2,"H1530901",210,"76-20-54-99","1",2,25,7,2017,1,10,1,15,1,1,,2,,0.5
"01fc2a6821064f528ca01e20dbea8db2",1,1,"H2090701",320,"67-03-98-74","2",1,,7,2017,1,8,1,,,1,,1,10000,0.5
"01fc2a6821064f528ca01e20dbea8db2",1,2,"H2090701",210,"67-03-98-74","2",1,,7,2017,1,10,1,,,1,,1,10000,0.5
"01fc2a6821064f528ca01e20dbea8db2",2,1,"H2090701",210,"67-03-98-74","2",1,,7,2017,1,8,1,,,1,,1,16000,0.5
"020fd884bebf40b0a97f2156b8eda1b6",1,1,"H1400501",150,"41-05-05-87","1",1,,4,2017,1,5,29,,,1,,1,20000,2
"020fd884bebf40b0a97f2156b8eda1b6",1,2,"H1400501",630,"41-05-05-87","1",1,,4,2017,1,2,10,,,1,,2,,1
"021babeee5f646108cbe9bb3b2a4c485",1,1,"H3770703",310,"04-45-65-45","2",1,,8,2017,1,5,1,,,1,,1,22500,0.2
"021babeee5f646108cbe9bb3b2a4c485",1,2,"H3770703",130,"04-45-65-45","2",1,,8,2017,1,1.5,1,,,1,,2,,0.2
"021babeee5f646108cbe9bb3b2a4c485",1,3,"H3770703",620,"04-45-65-45","2",1,,6,2017,2,,,,,,,,,0.13
"02257a7aa9a94ca9b464e910e2bd642d",0,1,"H4250801",210,"53-84-98-61","7",1,,9,2017,1,10,1,,,1,,1,10000,0.25
"02257a7aa9a94ca9b464e910e2bd642d",0,2,"H4250801",310,"53-84-98-61","7",1,,9,2017,1,10,1,,,1,,1,13000,0.25
"02257a7aa9a94ca9b464e910e2bd642d",1,1,"H4250801",741,"53-84-98-61","7",1,,8,1998,2,,,,,,,,,0.25
"02257a7aa9a94ca9b464e910e2bd642d",1,2,"H4250801",810,"53-84-98-61","7",1,,10,2013,1,250,85,,,1,,2,,0.22
"024a80a27283471e857285cf751564ae",1,1,"H3430401",741,"68-97-24-12","1",2,3,2,9998,2,,,,,,,,,1
"024a80a27283471e857285cf751564ae",1,1,"H3430401",210,"68-97-24-12","1",2,67,8,2017,1,20,1,22,1,1,,2,,1
"024a80a27283471e857285cf751564ae",1,1,"H3430401",810,"68-97-24-12","1",2,30,2,9998,2,,,,,,,,,1
"024a80a27283471e857285cf751564ae",1,2,"H3430401",310,"68-97-24-12","1",1,,8,2017,1,5,1,,,1,,2,,0.25
"02617e359bfc48cbaa6ff204cb915790",1,0,"H0620801",130,"05-60-52-12","2",1,,8,2017,1,3,20,,,1,,2,,1
"02a50a54fb3a4c9f989e246cb0c9200e",2,1,"H3850702",620,"41-39-54-27","1",1,,8,2017,1,4,66,,,1,,1,12000,0.25
"02a50a54fb3a4c9f989e246cb0c9200e",3,1,"H3850702",310,"41-39-54-27","1",2,25,8,2017,1,4,96,8,99,1,,2,,0.5
"02a50a54fb3a4c9f989e246cb0c9200e",3,1,"H3850702",150,"41-39-54-27","1",2,50,7,2017,1,2,96,6,99,1,,2,,0.5
"02a50a54fb3a4c9f989e246cb0c9200e",3,1,"H3850702",620,"41-39-54-27","1",2,25,7,2017,1,3,66,7,66,1,,2,,0.5
"031fbb84e2af4d5e889ccc7492ecbf55",1,1,"H2620906",210,"13-87-67-95","1",1,,8,2017,1,15,31,,,1,,1,30000,0.25
"031fbb84e2af4d5e889ccc7492ecbf55",1,2,"H2620906",310,"13-87-67-95","1",1,,8,2017,1,10,31,,,1,,1,28000,0.25
"031fbb84e2af4d5e889ccc7492ecbf55",1,3,"H2620906",630,"13-87-67-95","1",1,,2,2017,1,2,66,,,1,,2,,0.18
"03292ce0d7f24e42801500e576140648",0,1,"H0491306",130,"81-48-72-54","9",2,30,9,2017,1,1,1,2,1,1,,2,,0.5
"03292ce0d7f24e42801500e576140648",0,1,"H0491306",210,"81-48-72-54","9",2,70,9,2017,1,5,1,8,1,1,,2,,0.5
"034f0004fa7a4a25b4aacdb196177f2b",1,0,"H1070601",210,"39-67-74-38","2",2,10,8,2017,1,5,1,20,1,1,,1,10000,1
"034f0004fa7a4a25b4aacdb196177f2b",1,0,"H1070601",130,"39-67-74-38","2",2,90,8,2017,1,10,1,10,1,1,,2,,1
"034f0004fa7a4a25b4aacdb196177f2b",1,1,"H1070601",310,"39-67-74-38","2",1,,8,2017,1,5,1,,,1,,1,15000,1
"034f0004fa7a4a25b4aacdb196177f2b",1,2,"H1070601",141,"39-67-74-38","2",1,,8,2017,1,2,1,,,1,,2,,0.5
"034f0004fa7a4a25b4aacdb196177f2b",1,3,"H1070601",620,"39-67-74-38","2",1,,7,2017,1,3,10,,,1,,2,,0.5
"037866653c7c4cb99a80f05a38cdafb2",2,3,"H0381001",210,"68-76-57-83","1",2,30,7,2017,1,5,1,10,1,1,,2,,0.75
"037866653c7c4cb99a80f05a38cdafb2",2,3,"H0381001",741,"68-76-57-83","1",2,40,5,2017,2,,,,,,,,,0.75
"037866653c7c4cb99a80f05a38cdafb2",2,3,"H0381001",130,"68-76-57-83","1",2,30,7,2017,1,5,1,10,1,1,,2,,0.75
"037866653c7c4cb99a80f05a38cdafb2",2,4,"H0381001",620,"68-76-57-83","1",2,70,8,2017,2,,,,,,,,,0.25
"037866653c7c4cb99a80f05a38cdafb2",2,4,"H0381001",630,"68-76-57-83","1",2,30,9,2017,2,,,,,,,,,0.25
"038bf67186f048d1966a17475bedd578",1,0,"H3171001",141,"87-05-36-36","2",1,,8,2017,1,8,31,,,1,,2,,0.5
"038bf67186f048d1966a17475bedd578",1,1,"H3171001",620,"87-05-36-36","2",1,,11,2017,1,2,66,,,1,,2,,0.25
"038bf67186f048d1966a17475bedd578",1,2,"H3171001",210,"87-05-36-36","2",1,,9,2017,1,1,22,,,1,,2,,0.3
"038bf67186f048d1966a17475bedd578",1,3,"H3171001",150,"87-05-36-36","2",1,,9,2017,1,5,31,,,1,,2,,0.4
"038bf67186f048d1966a17475bedd578",2,0,"H3171001",810,"87-05-36-36","1",1,,1,9998,2,,,,,,,,,0.25
"038bf67186f048d1966a17475bedd578",2,1,"H3171001",620,"87-05-36-36","2",1,,10,2017,1,2,66,,,1,,2,,0.3
"038bf67186f048d1966a17475bedd578",2,2,"H3171001",630,"87-05-36-36","2",2,10,1,2017,1,1,66,3,66,1,,2,,0.3
"038bf67186f048d1966a17475bedd578",2,2,"H3171001",310,"87-05-36-36","2",2,90,8,2017,1,4,31,4,31,1,,2,,0.3
"03c42091117d479097bf8be7a9dfebb1",0,1,"H3860601",630,"88-07-20-35","4",1,,4,2017,2,,,,,,,,,0.33
"03c42091117d479097bf8be7a9dfebb1",0,2,"H3860601",630,"88-07-20-35","4",2,55,5,2017,2,,,,,,,,,0.25
"03c42091117d479097bf8be7a9dfebb1",0,2,"H3860601",210,"88-07-20-35","4",2,45,6,2017,2,,,,,,,,,0.25
"03c42091117d479097bf8be7a9dfebb1",1,1,"H3860601",630,"88-07-20-35","4",1,,4,2017,2,,,,,,,,,0.25
"03d4f5f6631747878b76ad399fb2b80c",1,0,"H3220901",610,"01-48-23-62","2",1,,8,2017,1,5,22,,,1,,2,,0.25
"03d4f5f6631747878b76ad399fb2b80c",1,1,"H3220901",620,"01-48-23-62","2",1,,6,2017,1,5,66,,,1,,2,,0.25
"03d4f5f6631747878b76ad399fb2b80c",1,2,"H3220901",630,"01-48-23-62","1",2,30,8,2017,1,3,10,5,10,1,,2,,0.5
"03d4f5f6631747878b76ad399fb2b80c",1,2,"H3220901",130,"01-48-23-62","2",2,20,8,2017,1,2,31,5,31,1,,2,,0.5
"03d4f5f6631747878b76ad399fb2b80c",1,2,"H3220901",210,"01-48-23-62","2",2,50,8,2017,1,60,31,100,31,1,,2,,0.5
"03d4f5f6631747878b76ad399fb2b80c",2,0,"H3220901",741,"01-48-23-62","2",2,70,2,9998,2,,,,,,,,,0.35
"03d4f5f6631747878b76ad399fb2b80c",2,0,"H3220901",810,"01-48-23-62","2",2,30,3,9998,2,,,,,,,,,0.35
"03f862af923942ad9f37fa65f52a8f3d",1,1,"H3880301",810,"94-11-03-26","1",2,40,4,1987,2,,,,,,,,,0.25
"03f862af923942ad9f37fa65f52a8f3d",1,1,"H3880301",150,"94-11-03-26","1",2,20,6,2017,2,,,,,,,,,0.25
"03f862af923942ad9f37fa65f52a8f3d",1,1,"H3880301",130,"94-11-03-26","1",2,20,4,2017,2,,,,,,,,,0.25
"03f862af923942ad9f37fa65f52a8f3d",1,1,"H3880301",741,"94-11-03-26","1",2,20,4,2008,2,,,,,,,,,0.25
"03f862af923942ad9f37fa65f52a8f3d",2,1,"H3880301",630,"94-11-03-26","1",1,,9,2016,2,,,,,,,,,0.3
"03f862af923942ad9f37fa65f52a8f3d",3,1,"H3880301",630,"94-11-03-26","1",1,,5,2017,2,,,,,,,,,0.5
"03f862af923942ad9f37fa65f52a8f3d",4,1,"H3880301",630,"94-11-03-26","1",2,70,9,2017,1,5,66,7,66,1,,2,,0.75
"03f862af923942ad9f37fa65f52a8f3d",4,1,"H3880301",210,"94-11-03-26","1",2,30,10,2017,1,15,96,20,99,1,,1,20000,0.75
"04077875a3894775bb24f2f42e7adc67",0,1,"H2540901",640,"34-10-35-48","1",2,10,7,2015,2,,,,,,,,,2
"04077875a3894775bb24f2f42e7adc67",0,1,"H2540901",741,"34-10-35-48","1",2,60,2,9998,2,,,,,,,,,2
"04077875a3894775bb24f2f42e7adc67",0,1,"H2540901",210,"34-10-35-48","1",2,30,8,2017,1,50,31,100,31,1,,2,,2
"04077875a3894775bb24f2f42e7adc67",1,1,"H2540901",620,"34-10-35-48","1",1,,8,2017,1,6,66,,,1,,2,,0.1
"04077875a3894775bb24f2f42e7adc67",1,2,"H2540901",141,"34-10-35-48","1",1,,8,2017,1,40,31,,,1,,2,,0.5
"04077875a3894775bb24f2f42e7adc67",2,1,"H2540901",141,"34-10-35-48","1",1,,5,2017,1,15,31,,,1,,2,,0.25
"0418981cf19046bd930dbbfe8af3c1c4",1,1,"H0590101",210,"24-87-96-19","2",2,60,8,2017,1,1,20,1.5,20,1,,2,,1.5
"0418981cf19046bd930dbbfe8af3c1c4",1,1,"H0590101",130,"24-87-96-19","2",2,40,8,2017,1,10,1,15,1,1,,2,,1.5
"0418981cf19046bd930dbbfe8af3c1c4",1,2,"H0590101",620,"24-87-96-19","2",1,,5,2017,2,,,,,,,,,0.5
"042c4cc37a904f18a05671d5323d78d3",1,1,"H2601001",210,"67-83-57-50","2",2,50,8,2017,1,4,1,6,1,1,,1,8400,0.25
"042c4cc37a904f18a05671d5323d78d3",1,1,"H2601001",130,"67-83-57-50","2",2,50,8,2017,1,4,1,5,1,1,,2,,0.25
"042c4cc37a904f18a05671d5323d78d3",1,2,"H2601001",620,"67-83-57-50","2",1,,7,2017,1,2,11,,,1,,2,,0.25
"044525d42e7547cb844fa01062ed908c",1,1,"H1880501",630,"43-98-05-19","1",1,,8,2017,2,,,,,,,,,0.35
"044525d42e7547cb844fa01062ed908c",1,2,"H1880501",130,"43-98-05-19","1",1,,9,2017,1,5,1,,,2,1,1,4,0.75
"044525d42e7547cb844fa01062ed908c",1,3,"H1880501",141,"43-98-05-19","1",1,,9,2017,1,5,1,,,1,,2,,1.5
"044525d42e7547cb844fa01062ed908c",2,1,"H1880501",330,"43-98-05-19","1",1,,8,2017,1,2,1,,,2,1,1,90000,1.5
"044c92119a6e44b6bd74f41b5131f7fb",1,2,"H2231002",130,"41-18-22-13","1",1,,8,2017,1,4,1,,,1,,2,,1
"044c92119a6e44b6bd74f41b5131f7fb",2,2,"H2231002",150,"41-18-22-13","1",1,,8,2017,1,20,96,,,1,,2,,2
"044c92119a6e44b6bd74f41b5131f7fb",3,2,"H2231002",210,"41-18-22-13","1",1,,10,2017,1,1,22,,,1,,2,,2
"044fe31f64084ca4bb3d0474820c95ff",1,2,"H3370501",630,"10-60-59-41","1",2,30,7,2017,2,,,,,,,,,0.5
"044fe31f64084ca4bb3d0474820c95ff",1,2,"H3370501",620,"10-60-59-41","1",2,70,7,2017,2,,,,,,,,,0.5
"0475d96d540e42f48e10f7e052c18533",1,1,"H2920501",741,"25-54-15-03","1",1,,9,9998,2,,,,,,,,,0.3
"0475d96d540e42f48e10f7e052c18533",2,1,"H2920501",130,"25-54-15-03","1",2,40,9,2017,1,6,1,15,1,1,,2,,0.5
"0475d96d540e42f48e10f7e052c18533",2,1,"H2920501",210,"25-54-15-03","1",2,60,9,9998,1,12,1,16,1,1,,2,,0.5
"0475d96d540e42f48e10f7e052c18533",2,2,"H2920501",310,"25-54-15-03","1",1,,9,2017,1,20,1,,,1,,2,,0.25
"048117d75d7e486587c27ca4bb7d294f",2,0,"H2600905",130,"50-14-42-02","4",1,,8,2017,1,1.5,1,,,1,,2,,0.25
"048117d75d7e486587c27ca4bb7d294f",2,1,"H2600905",210,"50-14-42-02","4",2,70,8,2017,1,4,1,6,1,1,,1,8000,0.25
"048117d75d7e486587c27ca4bb7d294f",2,1,"H2600905",630,"50-14-42-02","4",2,30,8,2017,1,1,66,2,66,1,,2,,0.25
"04adcf9e96a14cc2879a6d47da1a2ae9",1,1,"H3600301",630,"75-56-51-88","2",1,,3,2017,1,0.5,12,,,1,,2,,0.6
"04adcf9e96a14cc2879a6d47da1a2ae9",1,2,"H3600301",130,"75-56-51-88","2",1,,8,2017,1,2,1,,,1,,2,,0.3
"04beb1f67d72438a95bbd2da5ae9bc56",1,1,"H3440201",741,"42-17-33-52","2",2,40,1,2013,2,,,,,,,,,1.75
"04beb1f67d72438a95bbd2da5ae9bc56",1,1,"H3440201",630,"42-17-33-52","2",2,20,5,2017,2,,,,,,,,,1.75
"04beb1f67d72438a95bbd2da5ae9bc56",1,2,"H3440201",620,"42-17-33-52","2",1,,7,2017,2,,,,,,,,,0.25
"04beb1f67d72438a95bbd2da5ae9bc56",2,1,"H3440201",130,"42-17-33-52","2",1,,7,2017,1,25,1,,,1,,2,,2
"04beb1f67d72438a95bbd2da5ae9bc56",2,2,"H3440201",620,"42-17-33-52","2",1,,7,2017,2,,,,,,,,,0.5
"04e3098df42742428550ed1754b3cce9",1,1,"H3350301",741,"15-89-87-28","2",2,50,1,9998,2,,,,,,,,,4
"04e3098df42742428550ed1754b3cce9",1,1,"H3350301",510,"15-89-87-28","2",2,10,1,9998,2,,,,,,,,,4
"04e3098df42742428550ed1754b3cce9",1,1,"H3350301",810,"15-89-87-28","2",2,40,1,2017,2,,,,,,,,,4
"04e3098df42742428550ed1754b3cce9",1,2,"H3350301",741,"15-89-87-28","2",2,40,1,2017,2,,,,,,,,,1
"04e3098df42742428550ed1754b3cce9",1,2,"H3350301",130,"15-89-87-28","2",2,60,8,2017,1,10,1,20,1,1,,2,,1
"04e34e77abfc4a14a6ddb3f8604a51ee",1,0,"H1510902",810,"99-60-32-49","3",2,35,3,2008,2,,,,,,,,,0.5
"04e34e77abfc4a14a6ddb3f8604a51ee",1,0,"H1510902",741,"99-60-32-49","3",2,35,3,2008,2,,,,,,,,,0.5
"04e34e77abfc4a14a6ddb3f8604a51ee",1,0,"H1510902",210,"99-60-32-49","3",2,30,7,2017,1,16,1,16,1,1,,2,,0.5
"04e34e77abfc4a14a6ddb3f8604a51ee",1,1,"H1510902",310,"99-60-32-49","3",1,,7,2017,1,30,1,,,1,,1,150000,0.5
"04e34e77abfc4a14a6ddb3f8604a51ee",3,1,"H1510902",210,"99-60-32-49","3",1,,7,2017,1,20,1,,,1,,2,,1
"04fbfbe14e064de88046b1bd162fb008",1,0,"H2970602",741,"40-19-99-33","2",1,,1,2017,2,,,,,,,,,1
"04fbfbe14e064de88046b1bd162fb008",2,0,"H2970602",741,"40-19-99-33","2",1,,1,2017,2,,,,,,,,,0.25
"04fbfbe14e064de88046b1bd162fb008",3,0,"H2970602",810,"40-19-99-33","2",1,,8,2017,2,,,,,,,,,1.5
"04fbfbe14e064de88046b1bd162fb008",4,1,"H2970602",741,"40-19-99-33","2",1,,1,2017,2,,,,,,,,,0.65
"05052c1f4a06454ca9f2ef68f4ed9918",1,1,"H4280401",210,"33-30-78-82","2",2,60,8,2017,1,5,1,8,1,1,,2,,0.25
"05052c1f4a06454ca9f2ef68f4ed9918",1,1,"H4280401",130,"33-30-78-82","2",2,40,8,2017,1,2,1,4,1,1,,2,,0.25
"053050b9f02d468dabfb5515b9f97be6",1,0,"H1821002",630,"53-26-17-71","1",1,,3,2017,2,,,,,,,,,2.5
"053050b9f02d468dabfb5515b9f97be6",2,0,"H1821002",320,"53-26-17-71","1",1,,8,2017,1,20,1,,,1,,2,,2
"053050b9f02d468dabfb5515b9f97be6",3,0,"H1821002",340,"53-26-17-71","1",1,,8,2017,1,12,1,,,1,,2,,1.5
"053050b9f02d468dabfb5515b9f97be6",4,0,"H1821002",130,"53-26-17-71","1",1,,2,2017,1,5,1,,,1,,2,,1
"0566d903b26649e59275f92f6118361d",1,1,"H3881001",630,"89-73-17-60","1",1,,8,2017,1,2,66,,,1,,2,,0.25
"0566d903b26649e59275f92f6118361d",1,2,"H3881001",630,"89-73-17-60","1",1,,6,2016,2,,,,,,,,,0.1
"056cb993abee42a89f67363f1b38f878",1,1,"H4110601",520,"01-79-23-60","2",1,,7,2017,1,3,1,,,1,,1,4000,1
"056cb993abee42a89f67363f1b38f878",1,2,"H4110601",130,"01-79-23-60","2",1,,7,2017,1,6,1,,,1,,1,6000,1
"057535df5a63411bb13f906e251b9130",1,1,"H4180301",810,"43-67-10-32","1",2,70,7,9998,2,,,,,,,,,1.25
"057535df5a63411bb13f906e251b9130",1,1,"H4180301",741,"43-67-10-32","1",2,30,7,9998,2,,,,,,,,,1.25
"057535df5a63411bb13f906e251b9130",2,1,"H4180301",141,"43-67-10-32","1",1,,8,2017,1,3,1,,,1,,2,,0.25
