"hhid","t0_hhid","parcelID","pltid","cropID","interview__key","s4bq06_1","s4bq08","s4bq09","s4bq09_1","s4bq09_2","s4bq16","s4bq11a","s4bq11b","s4bq12a","s4bq12b","s4bq13","s4bq14","s4bq10","s4bq15","s4bq07"
"00db391b5a9a4ef0954f50f148069c46","H1090502",2,1,130,"68-96-48-36","1",1,100,3,2018,1,4,1,,,1,,2,,0.5
"00f1eb71d428408f888b058a8e8664fe","H0531001",1,1,741,"67-00-40-20","2",1,100,1,2013,2,,,,,,,,,1.08
"00f1eb71d428408f888b058a8e8664fe","H0531001",1,2,810,"67-00-40-20","2",1,100,1,9998,2,,,,,,,,,5.9
"00f1eb71d428408f888b058a8e8664fe","H0531001",1,3,130,"67-00-40-20","2",2,30,3,2018,1,10,1,30,1,1,,2,,1.5
"00f1eb71d428408f888b058a8e8664fe","H0531001",1,3,210,"67-00-40-20","2",2,50,3,2018,1,30,1,60,1,1,,2,,1.5
"00f1eb71d428408f888b058a8e8664fe","H0531001",1,4,310,"67-00-40-20","2",1,100,3,2018,1,40,1,,,1,,2,,2
"0101511a1da74f35b4fb8fd0c2cf8e69","H3730501",1,1,630,"82-64-90-90","1",1,100,5,2017,1,4,9,,,1,,2,,1.5
"0101511a1da74f35b4fb8fd0c2cf8e69","H3730501",1,2,741,"82-64-90-90","1",1,100,3,2015,1,20,85,,,1,,2,,0.5
"0101511a1da74f35b4fb8fd0c2cf8e69","H3730501",2,1,130,"82-64-90-90","1",1,100,5,2018,2,,,,,,,,,1
"0103050b934841289df128242538e3ea","H2451101",1,1,130,"26-80-16-01","2",2,70,3,2018,1,7,1,10,1,1,,1,8000,1
"0103050b934841289df128242538e3ea","H2451101",1,1,210,"26-80-16-01","2",2,30,3,2018,1,4,1,10,1,1,,2,,1
"0103050b934841289df128242538e3ea","H2451101",2,1,130,"26-80-16-01","2",1,100,3,2018,1,8,1,,,1,,1,8000,1
"01152e19bbdd4744a712260121f34bf7","H0120905",1,1,130,"69-27-42-27","2",2,50,3,2018,1,2,1,3,1,1,,1,2000,0.5
"01152e19bbdd4744a712260121f34bf7","H0120905",1,1,210,"69-27-42-27","2",2,30,3,2018,1,3,1,5,1,1,,1,12500,0.5
"0125c97b154d4f249c07f630cd52a102","H3780601",1,1,210,"26-94-84-05","1",2,40,3,2018,1,4,1,15,1,1,,1,10000,0.25
"0125c97b154d4f249c07f630cd52a102","H3780601",1,1,741,"26-94-84-05","1",2,30,3,2017,2,,,,,,,,,0.25
"0130f7b8553e41139cc871d924491db2","H1910701",1,1,130,"90-64-42-92","1",2,40,4,2018,1,4,1,6,1,1,,2,,2
"0130f7b8553e41139cc871d924491db2","H1910701",1,1,320,"90-64-42-92","1",2,60,4,2018,1,20,1,30,1,1,,1,32000,2
"0130f7b8553e41139cc871d924491db2","H1910701",3,1,210,"90-64-42-92","1",1,,3,2018,1,10,1,12,1,1,,1,10000,1
"0130f7b8553e41139cc871d924491db2","H1910701",4,1,130,"90-64-42-92","1",2,30,3,2018,1,1.5,1,2,1,1,,2,,0.4
"0130f7b8553e41139cc871d924491db2","H1910701",4,1,141,"90-64-42-92","1",2,70,3,2018,1,3,1,4,1,1,,2,,0.4
"0130f7b8553e41139cc871d924491db2","H1910701",5,1,340,"90-64-42-92","1",2,80,3,2018,1,4,1,5,1,1,,1,8000,0.4
"0130f7b8553e41139cc871d924491db2","H1910701",5,1,630,"90-64-42-92","1",2,20,3,2017,1,1,11,2,11,1,,2,,0.4
"014de44f6ef44053a6742d1db80fe516","H1300901",2,1,120,"29-56-41-39","1",1,100,2,2018,1,5,22,,,1,,2,,1
"014de44f6ef44053a6742d1db80fe516","H1300901",2,2,130,"29-56-41-39","1",2,70,3,2018,1,5,1,10,1,1,,1,10000,0.6
"014de44f6ef44053a6742d1db80fe516","H1300901",2,2,320,"29-56-41-39","1",2,30,3,2018,1,1,1,10,1,1,,2,,0.6
"014de44f6ef44053a6742d1db80fe516","H1300901",2,3,310,"29-56-41-39","1",1,100,3,2018,1,6,1,,,1,,2,,0.4
"01c14a909dd54c2088fe1b32e84ae2ec","H0670802",1,1,741,"34-97-38-28","1",2,50,1,2008,2,,,,,,,,,0.5
"01c14a909dd54c2088fe1b32e84ae2ec","H0670802",1,1,810,"34-97-38-28","1",2,50,1,2009,2,,,,,,,,,0.5
"01c14a909dd54c2088fe1b32e84ae2ec","H0670802",3,1,130,"34-97-38-28","1",2,40,3,2018,1,8,1,20,1,1,,2,,1
"01c14a909dd54c2088fe1b32e84ae2ec","H0670802",3,1,210,"34-97-38-28","1",2,60,3,2018,1,25,1,35,1,1,,1,50000,1
"01c6b5639280472aa1dbfea2b7c10c24","H2970601",1,1,741,"62-85-68-81","1",2,90,1,9998,2,,,,,,,,,1.5
"01c6b5639280472aa1dbfea2b7c10c24","H2970601",1,1,742,"62-85-68-81","1",2,10,1,9998,2,,,,,,,,,1.5
"01c6b5639280472aa1dbfea2b7c10c24","H2970601",1,2,210,"62-85-68-81","1",1,100,2,2018,1,10,1,,,1,,2,,0.3
"01c6b5639280472aa1dbfea2b7c10c24","H2970601",2,1,810,"62-85-68-81","1",1,100,1,9998,2,,,,,,,,,0.5
"01dfba97dd29447f9a82aef0f59237de","H1530901",0,1,210,"76-20-54-99","1",2,20,3,2018,1,12,1,20,1,1,,2,,0.5
"01dfba97dd29447f9a82aef0f59237de","H1530901",0,1,741,"76-20-54-99","1",2,40,4,1980,2,,,,,,,,,0.5
"020fd884bebf40b0a97f2156b8eda1b6","H1400501",1,1,150,"41-05-05-87","1",1,100,3,2018,1,5,29,,,1,,1,20000,2
"021babeee5f646108cbe9bb3b2a4c485","H3770703",1,1,130,"04-45-65-45","2",2,50,3,2018,1,2,1,3,1,1,,2,,0.3
"021babeee5f646108cbe9bb3b2a4c485","H3770703",1,1,210,"04-45-65-45","2",2,10,3,2018,1,1,1,5,1,1,,1,3000,0.3
"021babeee5f646108cbe9bb3b2a4c485","H3770703",1,4,120,"04-45-65-45","1",1,100,3,2018,1,9,1,,,1,,1,20800,0.2
"02257a7aa9a94ca9b464e910e2bd642d","H4250801",0,1,130,"53-84-98-61","1",2,40,3,2018,1,4,1,10,1,1,,2,,0.5
"02257a7aa9a94ca9b464e910e2bd642d","H4250801",0,1,210,"53-84-98-61","1",2,60,4,2018,1,25,1,30,1,1,,2,,0.5
"02257a7aa9a94ca9b464e910e2bd642d","H4250801",1,1,741,"53-84-98-61","1",1,100,8,1998,1,50,85,,,1,,2,,0.25
"02257a7aa9a94ca9b464e910e2bd642d","H4250801",1,2,810,"53-84-98-61","1",1,100,10,2013,1,30,85,,,1,,1,3000,0.25
"024a80a27283471e857285cf751564ae","H3430401",1,1,130,"68-97-24-12","1",2,20,3,2018,1,1,1,5,1,1,,2,,0.6
"024a80a27283471e857285cf751564ae","H3430401",1,1,210,"68-97-24-12","1",2,30,3,2018,1,10,1,20,1,1,,2,,0.6
"02617e359bfc48cbaa6ff204cb915790","H0620801",1,1,130,"05-60-52-12","2",1,100,3,2018,1,3,20,,,1,,2,,1
"031fbb84e2af4d5e889ccc7492ecbf55","H2620906",1,1,130,"13-87-67-95","1",2,30,3,2018,1,2,31,5,1,1,,2,,0.25
"031fbb84e2af4d5e889ccc7492ecbf55","H2620906",1,1,210,"13-87-67-95","1",2,70,3,2018,1,1,20,1,20,1,,1,50000,0.25
"031fbb84e2af4d5e889ccc7492ecbf55","H2620906",1,2,630,"13-87-67-95","1",1,100,2,2017,1,2,66,,,1,,2,,0.18
"03292ce0d7f24e42801500e576140648","H0491306",0,1,130,"81-48-72-54","1",2,70,3,2018,1,3,1,3,1,1,,2,,0.5
"03292ce0d7f24e42801500e576140648","H0491306",0,1,210,"81-48-72-54","1",2,30,3,2018,1,3,1,10,1,1,,2,,0.5
"0349cc41571b406e889303445fe7e34c","H1910601",1,2,340,"84-58-78-04","1",1,100,3,2018,1,5,96,,,1,,1,7500,1
"034e9ec479764a228fa3ebdd8d359cf0","H0640501",1,1,210,"28-39-74-39","1",2,20,3,2018,1,2,1,10,1,1,,2,,0.86
"034e9ec479764a228fa3ebdd8d359cf0","H0640501",1,1,310,"28-39-74-39","1",2,10,3,2018,1,2,1,2,1,1,,2,,0.86
"034e9ec479764a228fa3ebdd8d359cf0","H0640501",1,1,810,"28-39-74-39","1",2,70,1,1981,2,,,,,,,,,0.86
"034e9ec479764a228fa3ebdd8d359cf0","H0640501",1,2,130,"28-39-74-39","1",1,100,3,2018,1,2,1,,,1,,2,,0.5
"034e9ec479764a228fa3ebdd8d359cf0","H0640501",1,3,810,"28-39-74-39","1",1,100,1,9998,2,,,,,,,,,0.4
"034e9ec479764a228fa3ebdd8d359cf0","H0640501",1,4,310,"28-39-74-39","2",1,100,3,2018,1,2.5,1,,,1,,2,,0.2
"034e9ec479764a228fa3ebdd8d359cf0","H0640501",1,5,130,"28-39-74-39","1",2,50,3,2018,1,3,1,5,1,1,,2,,0.4
"034e9ec479764a228fa3ebdd8d359cf0","H0640501",1,5,210,"28-39-74-39","1",2,50,3,2018,1,5,1,8,1,1,,2,,0.4
"034e9ec479764a228fa3ebdd8d359cf0","H0640501",1,6,620,"28-39-74-39","1",1,100,11,2017,2,,,,,,,,,0.25
"034f0004fa7a4a25b4aacdb196177f2b","H1070601",1,1,130,"39-67-74-38","2",2,,2,2018,1,10,1,10,1,1,,1,7000,
"034f0004fa7a4a25b4aacdb196177f2b","H1070601",1,1,310,"39-67-74-38","2",2,,2,2018,1,10,1,10,1,1,,2,,
"034f0004fa7a4a25b4aacdb196177f2b","H1070601",1,2,130,"39-67-74-38","2",2,,3,2018,1,5,1,5,1,1,,1,3500,
"034f0004fa7a4a25b4aacdb196177f2b","H1070601",1,2,210,"39-67-74-38","2",2,,3,2018,1,6,1,6,1,1,,1,8400,
"034f0004fa7a4a25b4aacdb196177f2b","H1070601",1,3,141,"39-67-74-38","2",2,,3,2018,1,2,1,2,1,1,,2,,
"034f0004fa7a4a25b4aacdb196177f2b","H1070601",1,3,150,"39-67-74-38","2",2,,3,2018,1,0.5,2,1,1,1,,2,,
"034f0004fa7a4a25b4aacdb196177f2b","H1070601",1,4,620,"39-67-74-38","2",1,100,5,2018,1,2018,1,,,1,,2,,
"035c9f46cc9a41f9bacdbe9a5de03d8c","H0660901",1,1,741,"57-30-46-30","2",2,45,1,2001,2,,,,,,,,,1.45
"035c9f46cc9a41f9bacdbe9a5de03d8c","H0660901",1,1,810,"57-30-46-30","2",2,55,4,2008,2,,,,,,,,,1.45
"035c9f46cc9a41f9bacdbe9a5de03d8c","H0660901",2,1,741,"57-30-46-30","2",2,10,1,2004,2,,,,,,,,,1
"035c9f46cc9a41f9bacdbe9a5de03d8c","H0660901",2,1,810,"57-30-46-30","2",2,90,1,2006,2,,,,,,,,,1
"035c9f46cc9a41f9bacdbe9a5de03d8c","H0660901",3,1,130,"57-30-46-30","2",1,100,4,2018,1,40,1,,,1,,2,,4
"0367b97ab6cb487095e018a1ffdf17a9","H1440801",1,1,150,"38-36-53-02","1",1,100,4,2018,1,2,31,,,1,,2,,0.3
"0367b97ab6cb487095e018a1ffdf17a9","H1440801",1,2,310,"38-36-53-02","1",1,100,4,2018,1,2,29,,,1,,2,,0.3
"038bf67186f048d1966a17475bedd578","H3171001",1,2,210,"87-05-36-36","2",1,100,2,2018,1,1,22,,,1,,2,,0.25
"038bf67186f048d1966a17475bedd578","H3171001",1,3,310,"87-05-36-36","2",1,100,2,2018,1,4,31,,,1,,2,,0.3
"038bf67186f048d1966a17475bedd578","H3171001",2,1,810,"87-05-36-36","2",1,100,1,9998,2,,,,,,,,,0.25
"038bf67186f048d1966a17475bedd578","H3171001",2,2,310,"87-05-36-36","2",1,100,2,2018,1,4,31,,,1,,2,,0.25
"038bf67186f048d1966a17475bedd578","H3171001",2,3,150,"87-05-36-36","2",1,100,2,2018,1,2,31,,,1,,2,,0.3
"03c42091117d479097bf8be7a9dfebb1","H3860601",0,1,630,"88-07-20-35","4",1,100,4,2017,2,,,,,,,,,0.33
"03c42091117d479097bf8be7a9dfebb1","H3860601",0,2,630,"88-07-20-35","4",1,100,5,2017,2,,,,,,,,,0.25
"03c42091117d479097bf8be7a9dfebb1","H3860601",0,3,130,"88-07-20-35","4",1,,4,2018,1,6,31,12,31,1,,2,,0.5
"03c42091117d479097bf8be7a9dfebb1","H3860601",1,1,630,"88-07-20-35","4",1,100,4,2017,2,,,,,,,,,0.16
"03c42091117d479097bf8be7a9dfebb1","H3860601",1,2,130,"88-07-20-35","4",1,100,6,2018,1,2.5,31,,,1,,2,,0.09
"03c42091117d479097bf8be7a9dfebb1","H3860601",3,1,530,"88-07-20-35","4",1,100,2,2018,2,,,,,,,,,0.37
"03c42091117d479097bf8be7a9dfebb1","H3860601",4,1,530,"88-07-20-35","4",1,100,3,2018,2,,,,,,,,,0.25
"03d4f5f6631747878b76ad399fb2b80c","H3220901",1,1,130,"01-48-23-62","2",2,30,,2019,1,1,30,5,30,1,,2,,0.5
"03d4f5f6631747878b76ad399fb2b80c","H3220901",1,1,210,"01-48-23-62","2",2,70,3,2018,1,1,22,1,22,1,,2,,0.5
"03d4f5f6631747878b76ad399fb2b80c","H3220901",1,2,620,"01-48-23-62","2",1,100,4,2018,1,4,66,,,1,,2,,0.15
"03d4f5f6631747878b76ad399fb2b80c","H3220901",2,1,741,"01-48-23-62","2",2,70,2,9998,2,,,,,,,,,0.35
"03d4f5f6631747878b76ad399fb2b80c","H3220901",2,1,810,"01-48-23-62","2",2,30,3,1998,2,,,,,,,,,0.35
"03d4f5f6631747878b76ad399fb2b80c","H3220901",2,2,610,"01-48-23-62","2",1,,3,2018,1,4,22,4,22,1,,1,60000,0
"03dcda394fdc4008868fe663e6f762c8","H3430601",1,1,210,"30-03-61-37","2",1,100,3,2018,1,10,1,,,1,,2,,0.5
"03dcda394fdc4008868fe663e6f762c8","H3430601",1,2,130,"30-03-61-37","2",1,100,3,2018,1,,,,,,,,,0.25
"03dcda394fdc4008868fe663e6f762c8","H3430601",2,1,741,"30-03-61-37","2",2,25,2,9998,2,,,,,,,,,1
"03dcda394fdc4008868fe663e6f762c8","H3430601",2,1,810,"30-03-61-37","2",2,75,2,9998,2,,,,,,,,,1
"03f862af923942ad9f37fa65f52a8f3d","H3880301",1,1,210,"94-11-03-26","1",1,,5,2018,1,2,96,3.5,99,1,,2,,0.25
"03f862af923942ad9f37fa65f52a8f3d","H3880301",5,1,130,"94-11-03-26","1",2,40,4,2018,1,2,96,4,99,1,,2,,0.5
"03f862af923942ad9f37fa65f52a8f3d","H3880301",5,1,310,"94-11-03-26","1",2,60,3,2018,1,4,96,8,99,1,,1,8000,0.5
"04077875a3894775bb24f2f42e7adc67","H2540901",0,1,210,"34-10-35-48","1",2,30,3,2018,1,1,21,4,20,1,,2,,2
"04077875a3894775bb24f2f42e7adc67","H2540901",0,1,640,"34-10-35-48","1",2,10,7,2015,2,,,,,,,,,2
"04077875a3894775bb24f2f42e7adc67","H2540901",0,1,741,"34-10-35-48","1",2,60,2,9998,2,,,,,,,,,2
"0418981cf19046bd930dbbfe8af3c1c4","H0590101",1,1,210,"24-87-96-19","2",1,100,3,2018,1,30,1,,,1,,2,,1.5
"0418981cf19046bd930dbbfe8af3c1c4","H0590101",1,2,130,"24-87-96-19","2",1,100,3,2018,1,1,1,,,1,,2,,1
"042c4cc37a904f18a05671d5323d78d3","H2601001",1,1,130,"67-83-57-50","2",2,40,3,2018,1,10,1,10,1,1,,2,,0.75
"042c4cc37a904f18a05671d5323d78d3","H2601001",1,1,210,"67-83-57-50","2",2,60,3,2018,1,0.5,20,0.5,20,1,,2,,0.75
"042c4cc37a904f18a05671d5323d78d3","H2601001",1,2,620,"67-83-57-50","2",1,100,3,2018,1,1.5,10,,,1,,2,,0.12
"0436a29148344151a89c6a941e52e1d0","H3510201",1,1,210,"37-52-66-37","1",2,5,2,2018,1,2,1,5,1,1,,2,,0.25
"0436a29148344151a89c6a941e52e1d0","H3510201",1,1,741,"37-52-66-37","1",2,30,1,2014,2,,,,,,,,,0.25
"0436a29148344151a89c6a941e52e1d0","H3510201",4,1,130,"37-52-66-37","1",2,80,3,2018,1,15,1,18,1,1,,2,,1
"0436a29148344151a89c6a941e52e1d0","H3510201",4,1,210,"37-52-66-37","1",2,20,3,2018,1,10,1,20,1,1,,2,,1
"044c92119a6e44b6bd74f41b5131f7fb","H2231002",2,1,141,"41-18-22-13","1",1,100,3,2018,1,20,96,,,1,,2,,1
"044c92119a6e44b6bd74f41b5131f7fb","H2231002",2,2,340,"41-18-22-13","1",1,100,3,2018,1,12,96,,,1,,1,14400,1
"044c92119a6e44b6bd74f41b5131f7fb","H2231002",3,1,130,"41-18-22-13","1",2,70,3,2018,1,5,96,8,99,1,,2,,2
"044c92119a6e44b6bd74f41b5131f7fb","H2231002",3,1,340,"41-18-22-13","3",2,30,3,2018,1,10,96,15,99,1,,1,13000,2
"044fe31f64084ca4bb3d0474820c95ff","H3370501",1,1,130,"10-60-59-41","1",2,40,2,2018,1,1,1,1,1,1,,2,,0.3
"044fe31f64084ca4bb3d0474820c95ff","H3370501",1,1,310,"10-60-59-41","1",2,60,2,2018,1,1,1,1,1,1,,2,,0.3
"044fe31f64084ca4bb3d0474820c95ff","H3370501",1,2,210,"10-60-59-41","1",2,40,3,2018,1,1,1,2,1,1,,2,,0.2
"044fe31f64084ca4bb3d0474820c95ff","H3370501",1,2,620,"10-60-59-41","1",2,60,3,2018,2,,,,,,,,,0.2
"0475d96d540e42f48e10f7e052c18533","H2920501",1,1,741,"25-54-15-03","1",1,100,9,9998,2,,,,,,,,,0.3
"048117d75d7e486587c27ca4bb7d294f","H2600905",2,1,310,"50-14-42-02","4",1,100,2,2018,1,2.5,1,,,1,,1,9250,0.25
"04adcf9e96a14cc2879a6d47da1a2ae9","H3600301",1,1,130,"75-56-51-88","2",1,100,3,2018,1,3,1,,,1,,2,,0.3
"04beb1f67d72438a95bbd2da5ae9bc56","H3440201",1,1,130,"42-17-33-52","2",2,5,2,2018,1,2,1,10,1,1,,2,,1
"04beb1f67d72438a95bbd2da5ae9bc56","H3440201",1,1,741,"42-17-33-52","2",2,80,1,2013,2,,,,,,,,,1
"04beb1f67d72438a95bbd2da5ae9bc56","H3440201",1,2,210,"42-17-33-52","2",2,5,6,2018,1,2,1,12,1,1,,2,,0.75
"04beb1f67d72438a95bbd2da5ae9bc56","H3440201",1,2,741,"42-17-33-52","2",2,95,2,2013,2,,,,,,,,,0.75
"04beb1f67d72438a95bbd2da5ae9bc56","H3440201",2,1,130,"42-17-33-52","2",1,100,2,2018,1,25,1,,,1,,2,,2
"04beb1f67d72438a95bbd2da5ae9bc56","H3440201",2,2,310,"42-17-33-52","2",1,100,2,2018,1,3,1,,,1,,2,,0.5
"04beb1f67d72438a95bbd2da5ae9bc56","H3440201",3,1,320,"42-17-33-52","2",1,100,2,2018,1,1,1,,,1,,2,,0.25
"04beb1f67d72438a95bbd2da5ae9bc56","H3440201",3,2,340,"42-17-33-52","2",1,100,3,2018,1,1,31,,,1,,2,,0.25
"04e34e77abfc4a14a6ddb3f8604a51ee","H1510902",1,1,210,"99-60-32-49","2",2,30,3,2018,1,5,1,15,1,1,,1,10000,0.5
"04e34e77abfc4a14a6ddb3f8604a51ee","H1510902",1,1,741,"99-60-32-49","2",2,35,3,2008,2,,,,,,,,,0.5
"04e34e77abfc4a14a6ddb3f8604a51ee","H1510902",1,2,210,"99-60-32-49","2",1,100,3,2018,1,15,1,,,1,,1,30000,0.5
"04e34e77abfc4a14a6ddb3f8604a51ee","H1510902",3,1,210,"99-60-32-49","2",1,100,3,2018,1,30,1,,,1,,2,,1
"04fbfbe14e064de88046b1bd162fb008","H2970602",1,1,741,"40-19-99-33","2",2,60,7,9998,2,,,,,,,,,1
"04fbfbe14e064de88046b1bd162fb008","H2970602",1,1,742,"40-19-99-33","2",2,40,8,9998,2,,,,,,,,,1
"04fbfbe14e064de88046b1bd162fb008","H2970602",2,1,741,"40-19-99-33","2",2,70,8,9998,2,,,,,,,,,0.25
"04fbfbe14e064de88046b1bd162fb008","H2970602",2,1,742,"40-19-99-33","2",2,30,8,9998,2,,,,,,,,,0.25
"04fbfbe14e064de88046b1bd162fb008","H2970602",3,1,210,"40-19-99-33","2",1,,2,2018,1,10,1,15,1,1,,2,,1.5
"04fbfbe14e064de88046b1bd162fb008","H2970602",4,1,741,"40-19-99-33","2",2,60,8,9998,2,,,,,,,,,0.6
"04fbfbe14e064de88046b1bd162fb008","H2970602",4,1,742,"40-19-99-33","2",2,40,8,9998,2,,,,,,,,,0.6
"05052c1f4a06454ca9f2ef68f4ed9918","H4280401",1,1,210,"33-30-78-82","2",1,100,3,2018,1,5,1,,,1,,2,,0.25
"05052c1f4a06454ca9f2ef68f4ed9918","H4280401",1,2,741,"33-30-78-82","2",1,100,9,2016,1,25,85,,,1,,2,,0.38
"053050b9f02d468dabfb5515b9f97be6","H1821002",1,1,520,"53-26-17-71","1",1,100,5,2018,1,6,1,,,2,2,1,18000,2.5
"053050b9f02d468dabfb5515b9f97be6","H1821002",1,2,630,"53-26-17-71","1",1,100,3,2018,1,2,10,,,1,,2,,0.55
"053050b9f02d468dabfb5515b9f97be6","H1821002",2,1,320,"53-26-17-71","1",1,100,3,2018,1,20,1,,,1,,2,,1.5
"053050b9f02d468dabfb5515b9f97be6","H1821002",3,1,320,"53-26-17-71","1",1,100,3,2018,1,15,1,,,1,,2,,1
"053050b9f02d468dabfb5515b9f97be6","H1821002",4,1,320,"53-26-17-71","1",1,100,3,2018,1,10,1,,,1,,2,,1
"0566d903b26649e59275f92f6118361d","H3881001",1,1,630,"89-73-17-60","1",1,100,8,2017,2,,,,,,,,,0.25
"0566d903b26649e59275f92f6118361d","H3881001",1,2,630,"89-73-17-60","1",1,100,6,2016,2,,,,,,,,,0.1
"0583ffbf78c441f7828b4e53acdd71f1","H3680701",0,1,620,"74-29-12-73","1",1,100,4,2018,2,,,,,,,,,1
"0583ffbf78c441f7828b4e53acdd71f1","H3680701",0,2,120,"74-29-12-73","1",1,100,4,2018,1,3,22,,,1,,2,,0.5
"0583ffbf78c441f7828b4e53acdd71f1","H3680701",1,1,210,"74-29-12-73","1",1,,3,2018,1,10,1,20,1,1,,2,,1
"0583ffbf78c441f7828b4e53acdd71f1","H3680701",2,1,130,"74-29-12-73","1",1,100,3,2018,1,12,1,,,1,,2,,1
"058bd214d86846f5949c782fb2f1bfbb","H1510901",3,1,130,"79-88-58-55","1",2,10,3,2018,1,10,1,20,1,1,,2,,1.5
"058bd214d86846f5949c782fb2f1bfbb","H1510901",3,1,210,"79-88-58-55","2",2,10,3,2018,1,6,1,35,1,1,,2,,1.5
"058bd214d86846f5949c782fb2f1bfbb","H1510901",3,1,741,"79-88-58-55","2",2,50,3,1980,2,,,,,,,,,1.5
"058bd214d86846f5949c782fb2f1bfbb","H1510901",7,1,130,"79-88-58-55","2",2,50,3,2018,1,1.5,1,15,1,1,,2,,0.5
"058bd214d86846f5949c782fb2f1bfbb","H1510901",7,1,141,"79-88-58-55","2",2,50,3,2018,1,2.5,1,15,1,1,,1,6000,0.5
"0592013fe59d4dce8b33b8661323c86d","H0700901",1,1,741,"32-47-42-69","1",2,40,1,2010,2,,,,,,,,,2.5
"0592013fe59d4dce8b33b8661323c86d","H0700901",1,1,744,"32-47-42-69","1",2,20,1,2010,2,,,,,,,,,2.5
"0592013fe59d4dce8b33b8661323c86d","H0700901",1,1,810,"32-47-42-69","1",2,40,1,1990,2,,,,,,,,,2.5
