"t0_hhid","hhid","A10itemcod_ID","s10q01a","s10q02a","s10q03aa","s10q04a","s10q05aa","s10q06a","s10q07aa","s10q08a"
"H1821002","053050b9f02d468dabfb5515b9f97be6",3,1,30000,1,1,,2,,
"H1821002","053050b9f02d468dabfb5515b9f97be6",22,1,8000,1,1,,2,,
"H1821002","053050b9f02d468dabfb5515b9f97be6",14,1,160000,1,1,,2,,
"H1821002","053050b9f02d468dabfb5515b9f97be6",12,0,,1,2,1,,,
"H3881001","0566d903b26649e59275f92f6118361d",3,1,4000,1,1,,2,,
"H3881001","0566d903b26649e59275f92f6118361d",22,1,10000,1,1,,2,,
"H3881001","0566d903b26649e59275f92f6118361d",1,1,9000,2,1,,2,,
"H3881001","0566d903b26649e59275f92f6118361d",4,1,3000,1,1,,2,,
"H4110601","056cb993abee42a89f67363f1b38f878",1,2,20000,2,1,,2,,
"H4110601","056cb993abee42a89f67363f1b38f878",3,1,5000,1,1,,2,,
"H4180301","057535df5a63411bb13f906e251b9130",12,1,6000,1,1,,2,,
"H4180301","057535df5a63411bb13f906e251b9130",3,2,7000,2,1,,2,,
"H4180301","057535df5a63411bb13f906e251b9130",8,1,5000,1,1,,2,,
"H4180301","057535df5a63411bb13f906e251b9130",1,4,10000,4,1,,2,,
"H1301001","057fc24f426f48fca061898d6efa4f49",1,1,7000,2,1,,2,,
"H3680701","0583ffbf78c441f7828b4e53acdd71f1",1,10,70000,10,1,,1,3,0
"H3680701","0583ffbf78c441f7828b4e53acdd71f1",3,2,2500,2,1,,2,,
"H3680701","0583ffbf78c441f7828b4e53acdd71f1",4,1,2000,1,1,,2,,
"H1510901","058bd214d86846f5949c782fb2f1bfbb",3,1,3000,1,1,,2,,
"H1510901","058bd214d86846f5949c782fb2f1bfbb",19,1,20000,1,1,,2,,
"H1510901","058bd214d86846f5949c782fb2f1bfbb",4,1,2000,1,1,,2,,
"H1510901","058bd214d86846f5949c782fb2f1bfbb",5,1,35000,1,1,,2,,
"H1510901","058bd214d86846f5949c782fb2f1bfbb",12,1,2000,1,1,,2,,
"H1510901","058bd214d86846f5949c782fb2f1bfbb",1,6,20000,0,1,,2,,
"H1900601","05d8c19cfc8f47d4b66bd70bbad5407f",1,2,13000,2,1,,2,,
"H1900601","05d8c19cfc8f47d4b66bd70bbad5407f",3,1,3000,1,1,,2,,
"H2080702","05dca1a459fe4754bd19d0d175b4da74",12,1,7000,0,1,,2,,
"H2080702","05dca1a459fe4754bd19d0d175b4da74",3,1,4000,1,1,,2,,
"H2080702","05dca1a459fe4754bd19d0d175b4da74",1,3,15000,2,1,,2,,
"H2080702","05dca1a459fe4754bd19d0d175b4da74",4,1,6000,1,1,,2,,
"H2480401","05ec278a95624c74957734e0ab70ff5b",3,1,2500,1,1,,2,,
"H2480401","05ec278a95624c74957734e0ab70ff5b",1,1,5000,2,1,,2,,
"H1810404","0634372d290947fc92bad833679f4f23",4,1,4000,1,1,,2,,
"H1810404","0634372d290947fc92bad833679f4f23",1,2,12000,2,1,,2,,
"H1810404","0634372d290947fc92bad833679f4f23",3,1,5000,1,1,,2,,
"H4130201","0667b6f1adac439db81e063ceead3b03",3,2,10000,2,1,,2,,
"H4130201","0667b6f1adac439db81e063ceead3b03",1,1,10000,1,1,,2,,
"104","068501d062324eb097b62ccfea8a5fa6",3,1,1000,1,1,,2,,
"104","068501d062324eb097b62ccfea8a5fa6",1,2,3000,2,1,,1,3,0
"H3780201","069465eb8c264016bc63f2ba390ad118",3,1,4000,1,1,,2,,
"H3780201","069465eb8c264016bc63f2ba390ad118",1,2,6000,2,1,,2,,
"H1270901","069ce1000ec94312a038a19b8efdd983",12,1,6000,1,1,,2,,
"H1270901","069ce1000ec94312a038a19b8efdd983",3,2,6000,2,1,,2,,
"H1270901","069ce1000ec94312a038a19b8efdd983",21,1,45000,1,2,1,,,
"H1270901","069ce1000ec94312a038a19b8efdd983",1,6,30000,6,1,,2,,
"H1270901","069ce1000ec94312a038a19b8efdd983",19,1,50000,1,1,,2,,
"H2230902","06a3c5174fea45419046bfa97ea3c29b",22,1,8000,1,1,,2,,
"H2230902","06a3c5174fea45419046bfa97ea3c29b",3,1,5000,1,1,,2,,
"H2230902","06a3c5174fea45419046bfa97ea3c29b",14,0,,0,1,,1,1,30000
"H2230902","06a3c5174fea45419046bfa97ea3c29b",1,2,7000,2,1,,2,,
"H2941001","06afa3273f6a49a38b98ba52ba888ed8",3,2,6000,2,1,,2,,
"H2941001","06afa3273f6a49a38b98ba52ba888ed8",12,2,20000,2,1,,1,2,2000
"H2941001","06afa3273f6a49a38b98ba52ba888ed8",21,2,300000,2,1,,2,,
"H2941001","06afa3273f6a49a38b98ba52ba888ed8",1,4,32000,4,1,,2,,
"H2941001","06afa3273f6a49a38b98ba52ba888ed8",19,1,20000,1,1,,2,,
"H2941001","06afa3273f6a49a38b98ba52ba888ed8",20,,,,,,,,
"H2941001","06afa3273f6a49a38b98ba52ba888ed8",8,1,3000,1,1,,2,,
"H2941001","06afa3273f6a49a38b98ba52ba888ed8",5,2,70000,2,1,,1,1,3000
"H2941001","06afa3273f6a49a38b98ba52ba888ed8",4,,,,,,,,
"H3600901","06b881a31ba7466e919d01bb09f5e672",4,1,7000,1,1,,2,,
"H3600901","06b881a31ba7466e919d01bb09f5e672",14,0,,0,1,,1,1,20000
"H3600901","06b881a31ba7466e919d01bb09f5e672",19,0,,0,1,,1,2,10000
"H3600901","06b881a31ba7466e919d01bb09f5e672",3,1,6000,1,1,,2,,
"H3600901","06b881a31ba7466e919d01bb09f5e672",1,4,30000,4,1,,2,,
"H3740301","06ba04343a6e4f678e01eec018cac7db",1,4,12000,4,1,,2,,
"H3740301","06ba04343a6e4f678e01eec018cac7db",3,1,2500,1,1,,2,,
"H1441001","06c85056727c434f90b8215d4b1df0a2",1,6,54000,6,1,,2,,
"H1441001","06c85056727c434f90b8215d4b1df0a2",3,1,5000,1,1,,2,,
"H1441001","06c85056727c434f90b8215d4b1df0a2",22,1,20000,1,1,,2,,
"H1441001","06c85056727c434f90b8215d4b1df0a2",14,1,250000,1,1,,2,,
"H2231001","06d940520a174c5c843dd683f49c2f95",1,1,5000,2,1,,1,2,0
"H2231001","06d940520a174c5c843dd683f49c2f95",22,0,,0,1,,1,1,0
"H2231001","06d940520a174c5c843dd683f49c2f95",14,1,180000,1,1,,2,,
"H2231001","06d940520a174c5c843dd683f49c2f95",3,0,,0,1,,1,1,0
"H3910601","06e12afed6db4f9a99423fc4169cc802",3,1,2000,1,1,,2,,
"H3910601","06e12afed6db4f9a99423fc4169cc802",1,4,12000,3,1,,2,,
"H1890201","0700ac37276743c3a73536d56c21b04e",1,5,25000,4,1,,2,,
"H1890201","0700ac37276743c3a73536d56c21b04e",14,1,120000,1,1,,2,,
"H2590601","0731c33c39714e7a8fe032a4c6840fc5",5,1,30000,1,1,,2,,
"H2590601","0731c33c39714e7a8fe032a4c6840fc5",8,1,2000,1,1,,2,,
"H2590601","0731c33c39714e7a8fe032a4c6840fc5",1,3,21000,3,1,,2,,
"H2590601","0731c33c39714e7a8fe032a4c6840fc5",12,1,4000,1,1,,2,,
"H2590601","0731c33c39714e7a8fe032a4c6840fc5",4,1,4000,1,1,,2,,
"H2590601","0731c33c39714e7a8fe032a4c6840fc5",13,1,6000,1,1,,2,,
"H2590601","0731c33c39714e7a8fe032a4c6840fc5",3,3,9000,3,1,,2,,
"74","07919f0a80fb43dc9dbbc762b869adbf",22,1,5000,1,1,,2,,
"74","07919f0a80fb43dc9dbbc762b869adbf",1,2,10000,2,1,,1,3,0
"74","07919f0a80fb43dc9dbbc762b869adbf",7,1,3000,1,1,,2,,
"74","07919f0a80fb43dc9dbbc762b869adbf",3,1,5000,1,1,,2,,
"H1970205","0795321942c34174a89d745e644df105",3,1,3000,1,1,,2,,
"H1970205","0795321942c34174a89d745e644df105",22,1,3000,1,1,,2,,
"H1970205","0795321942c34174a89d745e644df105",4,2,8500,1,1,,2,,
"H1970205","0795321942c34174a89d745e644df105",12,1,5000,1,1,,2,,
"H1970205","0795321942c34174a89d745e644df105",1,4,16000,4,1,,2,,
"H1970205","0795321942c34174a89d745e644df105",7,2,4500,2,1,,2,,
"H4171001","07999cf798314e05b4cfb6005c1092cb",1,2,5000,2,1,,2,,
"H4171001","07999cf798314e05b4cfb6005c1092cb",8,1,4800,1,1,,2,,
"H4171001","07999cf798314e05b4cfb6005c1092cb",3,1,4000,1,1,,2,,
"H3590301","07c445ca0f284db081b29aa91ee7988e",1,4,32000,3,1,,2,,
"H3590301","07c445ca0f284db081b29aa91ee7988e",3,1,3000,1,1,,2,,
"H3590301","07c445ca0f284db081b29aa91ee7988e",4,1,5000,1,1,,2,,
"H3000901","08211a3e91eb4227bb201b44001ea21b",1,2,12000,2,1,,2,,
"H3000901","08211a3e91eb4227bb201b44001ea21b",8,2,6000,2,1,,1,2,2000
"H3000901","08211a3e91eb4227bb201b44001ea21b",3,2,6000,2,2,1,,,
"H2871001","087401704b5c4990995dc6b7af8a6b0a",4,1,8000,1,1,,2,,
"H2871001","087401704b5c4990995dc6b7af8a6b0a",1,3,21000,3,1,,2,,
"H2871001","087401704b5c4990995dc6b7af8a6b0a",3,1,6000,1,1,,2,,
"H2740201","08a2071726b54dae84b17e7b8017588d",1,4,40000,4,1,,2,,
"H2740201","08a2071726b54dae84b17e7b8017588d",19,1,50000,1,1,,2,,
"H2740201","08a2071726b54dae84b17e7b8017588d",3,1,6000,1,1,,2,,
"H4100701","08a228d06e764dc49fbbf00d813880b8",3,1,3000,1,1,,2,,
"H4100701","08a228d06e764dc49fbbf00d813880b8",1,6,30000,6,1,,2,,
"H1710801","08a88de2ed7b46648366085ed5bef13b",1,5,20000,5,1,,2,,
"H1710801","08a88de2ed7b46648366085ed5bef13b",12,1,2000,1,1,,2,,
"H1710801","08a88de2ed7b46648366085ed5bef13b",3,1,3000,1,1,,2,,
"H1710801","08a88de2ed7b46648366085ed5bef13b",4,1,2000,1,1,,2,,
"H0911001","08b6ed18afcc4300b2c916163a857437",1,1,7000,1,1,,1,1,0
"H0911001","08b6ed18afcc4300b2c916163a857437",3,1,2500,1,1,,2,,
"H2370901","08f3d91754ba4911865d5913f19172fc",22,0,,0,1,,1,1,0
"H2370901","08f3d91754ba4911865d5913f19172fc",1,3,15000,3,1,,2,,
"H2370901","08f3d91754ba4911865d5913f19172fc",3,1,2000,1,1,,2,,
"H3580601","08f99cd6418241cda1841d6a644074f9",3,1,5000,1,1,,2,,
"H3580601","08f99cd6418241cda1841d6a644074f9",1,2,20000,2,1,,2,,
"H0850701","09296489a3b04339968d856b0b9e44d9",1,3,30000,3,1,,2,,
"H0850701","09296489a3b04339968d856b0b9e44d9",19,1,75000,1,1,,2,,
"H0850701","09296489a3b04339968d856b0b9e44d9",3,1,5000,1,1,,2,,
"H0850701","09296489a3b04339968d856b0b9e44d9",4,1,5000,1,1,,2,,
"H1270701","092f4d6bc16a49d19c00dbf10038cb3b",1,1,5000,1,1,,2,,
"H1270701","092f4d6bc16a49d19c00dbf10038cb3b",3,0,,0,1,,1,1,0
"205","097ea672d9004012a57a7084a54061ab",1,2,8000,1,1,,1,2,0
"H4260701","098efabf1d9245b6bb031ca40ce7e36c",1,3,12000,3,1,,2,,
"H4260701","098efabf1d9245b6bb031ca40ce7e36c",3,1,4000,1,1,,2,,
"H4260701","098efabf1d9245b6bb031ca40ce7e36c",8,1,5000,1,1,,2,,
"H4050501","099f3b6855dc42158237614c25bfb571",1,2,8000,2,1,,2,,
"H2570501","09c865966539496a8242c1018e90ef5f",3,1,4000,1,1,,2,,
"H2570501","09c865966539496a8242c1018e90ef5f",1,2,8000,2,1,,2,,
"H1070602","09eb11716b004f3db526ff17444387ae",4,0,,0,1,,1,1,0
"H1070602","09eb11716b004f3db526ff17444387ae",1,4,25000,4,1,,2,,
"H1070602","09eb11716b004f3db526ff17444387ae",12,0,,0,1,,1,1,1000
"H1070602","09eb11716b004f3db526ff17444387ae",3,1,4500,1,1,,2,,
"H1070602","09eb11716b004f3db526ff17444387ae",19,1,10000,1,1,,2,,
"H2380401","0a049c02fa2046ebbd60a6af568aabae",3,0,,0,1,,1,1,0
"H2380401","0a049c02fa2046ebbd60a6af568aabae",1,4,9000,4,1,,2,,
"H3100401","0a27264e6c624c93b389332b558be807",1,3,21000,3,1,,2,,
"H3100401","0a27264e6c624c93b389332b558be807",8,2,4000,2,1,,2,,
"H3100401","0a27264e6c624c93b389332b558be807",3,2,8000,2,1,,2,,
