"t0_hhid","ALiveStock_Small_ID","hhid","s6bq03a","s6bq03b","s6bq03c","s6bq03d","s6bq03e","s6bq03f","s6bq04a","s6bq04b","s6bq04c","s6bq05a","s6b05b","s6bq05c","s6bq06","s6bq07","s6bq08","s6bq09","s6bq10","s6bq11","s6bq12","s6bq13a","s6bq13b","s6bq14a","s6bq14b","s6bq15","s6bq15b","s6bq15c","s6bq16"
"H0620801",21,"02617e359bfc48cbaa6ff204cb915790",8,2,,2,,2,0,,,0,,,10,0,0,0,0,0,0,0,,2,130000,0,1,,2
"H0620801",19,"02617e359bfc48cbaa6ff204cb915790",5,1,,1,,2,0,,,1,3,0,3,2,0,0,0,0,0,0,,0,,0,1,,2
"H0620801",18,"02617e359bfc48cbaa6ff204cb915790",2,1,,1,,2,0,,,1,3,240000,2,0,0,0,0,0,0,0,,0,,0,1,,2
"H2620906",18,"031fbb84e2af4d5e889ccc7492ecbf55",1,1,2,1,2,2,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,,1
"H2620906",19,"031fbb84e2af4d5e889ccc7492ecbf55",2,1,2,1,2,1,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,1
"H2620906",22,"031fbb84e2af4d5e889ccc7492ecbf55",1,1,,1,,2,0,,,0,,,0,0,0,0,0,0,0,1,50000,0,,0,1,,1
"H1910601",18,"0349cc41571b406e889303445fe7e34c",4,,,,,2,0,,,0,,,2,2,0,0,0,0,0,0,,0,,0,4,5,1
"H1910601",19,"0349cc41571b406e889303445fe7e34c",4,,,,,2,0,,,0,,,5,0,0,0,0,0,0,0,,1,70000,0,4,5,1
"H1070601",19,"034f0004fa7a4a25b4aacdb196177f2b",1,2,,2,,2,0,,,0,,,0,0,1,0,0,0,0,0,,0,,0,5,6,1
"H3860601",19,"03c42091117d479097bf8be7a9dfebb1",1,4,,4,5,2,0,,,0,,,4,0,0,1,0,0,0,0,,2,67000,0,5,1,1
"H3220901",19,"03d4f5f6631747878b76ad399fb2b80c",1,1,2,1,2,1,0,,,0,,,1,1,0,0,0,1,0,0,,0,,0,1,3,1
"H3220901",18,"03d4f5f6631747878b76ad399fb2b80c",2,1,2,1,2,2,0,,,0,,,1,2,0,0,0,0,1,0,,0,,0,1,3,1
"H3220901",22,"03d4f5f6631747878b76ad399fb2b80c",1,1,2,1,2,2,0,,,0,,,1,1,0,0,0,0,0,0,,1,200000,0,1,,1
"H3880301",19,"03f862af923942ad9f37fa65f52a8f3d",1,1,,1,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,6,4,1
"H3880301",18,"03f862af923942ad9f37fa65f52a8f3d",2,1,,1,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,6,4,1
"H2540901",18,"04077875a3894775bb24f2f42e7adc67",1,1,8,1,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H2540901",19,"04077875a3894775bb24f2f42e7adc67",4,1,,8,,2,0,,,0,,,3,1,0,0,0,0,0,0,,0,,0,1,,1
"H2540901",21,"04077875a3894775bb24f2f42e7adc67",2,1,8,1,8,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,3,1
"H2601001",19,"042c4cc37a904f18a05671d5323d78d3",,,,,,,,,,,,,,,,,,,,,,,,,,,
"H3510201",22,"0436a29148344151a89c6a941e52e1d0",2,,,,,2,0,,,0,,,0,0,0,0,0,0,0,2,45000,0,,0,1,5,2
"H1880501",18,"044525d42e7547cb844fa01062ed908c",0,,,,,,0,,,0,,,1,0,0,0,0,0,0,0,,1,50000,0,1,4,1
"H1880501",19,"044525d42e7547cb844fa01062ed908c",6,1,2,1,2,2,0,,,0,,,4,4,0,0,0,0,2,0,,0,,0,1,,1
"H3440201",19,"04beb1f67d72438a95bbd2da5ae9bc56",2,1,2,2,3,2,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,6,2
"H3350301",18,"04e3098df42742428550ed1754b3cce9",4,2,,2,,2,0,,,0,,,2,2,0,0,0,0,0,0,,0,,0,1,,1
"H3350301",19,"04e3098df42742428550ed1754b3cce9",2,2,,2,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,1
"H1510902",19,"04e34e77abfc4a14a6ddb3f8604a51ee",2,2,3,2,3,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,2
"H1821002",22,"053050b9f02d468dabfb5515b9f97be6",1,1,,1,,2,0,,,0,,,0,0,0,0,0,0,0,1,70000,0,,0,1,,1
"H1821002",19,"053050b9f02d468dabfb5515b9f97be6",4,1,,1,,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,1,4,1
"H4180301",20,"057535df5a63411bb13f906e251b9130",1,1,,1,4,2,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,,1
"H4180301",18,"057535df5a63411bb13f906e251b9130",1,1,,1,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H4180301",19,"057535df5a63411bb13f906e251b9130",4,1,,1,4,2,0,,,0,,,2,2,0,0,0,0,0,0,,0,,0,1,,1
"H4180301",21,"057535df5a63411bb13f906e251b9130",1,1,,1,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H1301001",19,"057fc24f426f48fca061898d6efa4f49",0,,,,,,1,6,,0,,,0,0,0,0,0,0,0,0,,0,,0,1,,1
"H1510901",18,"058bd214d86846f5949c782fb2f1bfbb",1,1,2,1,2,2,0,,,0,,,0,0,0,0,0,0,0,1,55000,0,,0,3,1,1
"H1900601",19,"05d8c19cfc8f47d4b66bd70bbad5407f",2,1,2,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,4,1,1
"H2080702",19,"05dca1a459fe4754bd19d0d175b4da74",1,1,2,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,5,1
"H2080702",18,"05dca1a459fe4754bd19d0d175b4da74",2,1,,1,2,2,0,,,0,,,0,1,0,0,0,0,0,1,70000,0,,0,1,5,1
"H2480401",19,"05ec278a95624c74957734e0ab70ff5b",7,1,,1,,2,0,,,0,,,8,2,0,0,0,0,3,0,,0,,0,6,1,1
"H1810404",19,"0634372d290947fc92bad833679f4f23",4,3,,3,,2,0,,,0,,,0,0,0,0,0,0,0,4,20000,0,,0,1,5,1
"H1270901",18,"069ce1000ec94312a038a19b8efdd983",2,1,,3,,2,0,,,0,,,4,0,0,0,0,0,1,0,,1,80000,0,1,,2
"H1270901",19,"069ce1000ec94312a038a19b8efdd983",3,2,,3,,2,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,1,,2
"H2230902",21,"06a3c5174fea45419046bfa97ea3c29b",1,1,2,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,4,1
"H2230902",20,"06a3c5174fea45419046bfa97ea3c29b",2,1,2,1,2,2,0,,,0,,,0,2,0,0,0,0,0,0,,0,,0,1,4,1
"H2941001",19,"06afa3273f6a49a38b98ba52ba888ed8",12,2,,2,,1,0,,,1,3,60000,6,6,0,0,0,0,0,0,,0,,0,1,,2
"H2941001",18,"06afa3273f6a49a38b98ba52ba888ed8",,,,,,,,,,,,,,,,,,,,,,,,,,,
"H3740301",18,"06ba04343a6e4f678e01eec018cac7db",1,1,2,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,1,60000,0,1,,2
"H1441001",22,"06c85056727c434f90b8215d4b1df0a2",2,1,2,1,2,2,0,,,0,,,1,2,0,0,0,1,0,0,,0,,0,1,5,1
"H1441001",21,"06c85056727c434f90b8215d4b1df0a2",4,1,2,1,2,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,1,6,1
"H1441001",15,"06c85056727c434f90b8215d4b1df0a2",,,,,,,,,,,,,,,,,,,,,,,,,,,
"H1441001",16,"06c85056727c434f90b8215d4b1df0a2",,,,,,,,,,,,,,,,,,,,,,,,,,,
"H2231001",18,"06d940520a174c5c843dd683f49c2f95",1,6,,7,8,2,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,4,,1
"H2231001",19,"06d940520a174c5c843dd683f49c2f95",3,6,,6,7,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,4,,1
"H1890201",19,"0700ac37276743c3a73536d56c21b04e",6,1,2,4,5,2,0,,,0,,,3,3,0,0,0,0,0,0,,0,,0,4,5,1
"H1890201",18,"0700ac37276743c3a73536d56c21b04e",1,1,2,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,4,5,1
"H1890201",22,"0700ac37276743c3a73536d56c21b04e",1,2,,2,,2,0,,,0,,,0,0,0,0,0,0,0,1,60000,0,,0,1,,2
"74",19,"07919f0a80fb43dc9dbbc762b869adbf",3,1,2,1,2,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,1,3,2
"74",21,"07919f0a80fb43dc9dbbc762b869adbf",2,1,2,3,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,3,2
"H1970205",19,"0795321942c34174a89d745e644df105",7,1,3,1,3,2,0,,,0,,,8,1,0,0,0,0,2,0,,0,,0,5,6,1
"H1970205",18,"0795321942c34174a89d745e644df105",5,1,3,1,3,2,0,,,0,,,4,1,0,0,0,0,0,0,,0,,0,5,6,1
"H2740201",20,"08a2071726b54dae84b17e7b8017588d",1,1,,1,9,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,6,1
"H2740201",19,"08a2071726b54dae84b17e7b8017588d",3,1,,1,9,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,1,6,1
"H2740201",18,"08a2071726b54dae84b17e7b8017588d",2,1,2,1,2,2,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,6,1
"H2740201",21,"08a2071726b54dae84b17e7b8017588d",4,1,,1,9,2,0,,,0,,,2,2,0,0,0,0,0,0,,0,,0,1,6,1
"H2740201",22,"08a2071726b54dae84b17e7b8017588d",5,1,,1,9,2,0,,,0,,,5,8,0,0,0,3,0,0,,5,50000,0,1,6,1
"H4100701",19,"08a228d06e764dc49fbbf00d813880b8",1,1,2,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,1,80000,0,1,,1
"H1710801",18,"08a88de2ed7b46648366085ed5bef13b",1,6,,6,,2,0,,,0,,,0,0,0,0,0,0,0,1,55000,0,,0,3,,1
"H1710801",19,"08a88de2ed7b46648366085ed5bef13b",1,6,,6,,2,0,,,0,,,0,0,0,0,0,0,0,1,55000,0,,0,3,,1
"H0850701",18,"09296489a3b04339968d856b0b9e44d9",1,1,,1,,2,0,,,0,,,0,0,0,0,0,0,0,1,40000,0,,0,1,,2
"H4050501",19,"099f3b6855dc42158237614c25bfb571",2,1,,1,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,1
"H4050501",18,"099f3b6855dc42158237614c25bfb571",1,1,,1,,2,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,,1
"H1070602",18,"09eb11716b004f3db526ff17444387ae",3,1,2,1,2,2,0,,,0,,,0,4,0,0,0,0,1,0,,0,,0,1,5,1
"H1070602",19,"09eb11716b004f3db526ff17444387ae",1,1,2,1,2,2,0,,,0,,,2,0,0,0,0,0,1,0,,0,,0,1,5,1
"H4200601",18,"0a396d4827b24ea099971029d14bd817",,,,,,,,,,,,,,,,,,,,,,,,,,,
"H4200601",19,"0a396d4827b24ea099971029d14bd817",3,1,2,1,2,1,0,,,0,,,3,2,0,0,0,0,0,0,,2,25000,0,1,,1
"H1080302",17,"0ab5e0705d5b40beb0a2e79f49183356",1,1,2,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H2310501",19,"0ac58cb4e81e452daa6d87169534e762",0,,,,,,0,,,0,,,3,0,0,0,3,0,0,0,,0,,0,1,4,1
"H2310501",18,"0ac58cb4e81e452daa6d87169534e762",1,1,,1,3,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,4,1
"H3971001",19,"0ad4b37a214a455aa6080a4f197e50ca",2,9,,1,9,2,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,5,3,1
"H2610201",22,"0b195170755f4768ac89c0dc1d08645a",1,1,,1,10,2,0,,,0,,,1,0,0,0,0,0,0,1,50000,1,80000,0,1,5,1
"##N/A##",19,"0b7f6c75dec34a6bb3c0990283c92be6",2,1,,1,,2,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,5,1
"58",18,"0be0f54fc2f44d4d8328e2b8878a06d0",8,1,2,1,5,2,0,,,0,,,5,3,0,0,0,0,0,0,,0,,0,2,6,1
"58",19,"0be0f54fc2f44d4d8328e2b8878a06d0",10,1,5,1,5,2,0,,,0,,,6,4,0,0,0,0,0,0,,0,,0,2,6,1
"H4080401",22,"0cf284629d3f460eb8d1ac4e90b0639b",1,1,2,1,2,2,0,,,0,,,0,0,0,0,0,0,0,1,50000,0,,0,1,,1
"H1251201",19,"0d1503da1c134a0e912f2b7115137d57",0,,,,,,0,,,0,,,3,0,0,3,0,0,0,0,,0,,0,5,1,1
"H1251201",18,"0d1503da1c134a0e912f2b7115137d57",0,,,,,,0,,,0,,,1,0,0,1,0,0,0,0,,0,,0,6,5,1
"H2020101",19,"0d3fe7c0dc864f1eb4c9c7559a351a39",7,1,,1,5,2,0,,,0,,,7,0,0,0,0,0,0,0,,0,,0,4,6,1
"H2020101",20,"0d3fe7c0dc864f1eb4c9c7559a351a39",2,1,2,2,8,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,4,6,1
"H2020101",18,"0d3fe7c0dc864f1eb4c9c7559a351a39",2,1,,5,6,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,6,,1
"H2020101",21,"0d3fe7c0dc864f1eb4c9c7559a351a39",13,1,2,2,8,2,0,,,0,,,13,0,0,0,0,0,0,0,,0,,0,4,6,1
"H3410801",22,"0dc5a325d5dd4987b0255e6dc261c7c9",1,2,,2,,2,0,,,0,,,0,0,0,0,0,0,0,1,30000,0,,0,1,,1
"H3770202",18,"0e03e253c35d4333a1ffad2df9d38850",1,1,3,1,3,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,6,5,1
"H3770202",19,"0e03e253c35d4333a1ffad2df9d38850",2,1,3,1,3,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,5,6,1
"H2540902",22,"0e22abe9b0524c3f81a1babba4b3a651",1,1,,1,,2,0,,,0,,,0,0,0,0,0,0,0,1,90000,0,,0,1,,1
"H1510501",19,"0e25633f83884662b852b82b7c7724cd",4,1,2,2,6,2,0,,,0,,,2,2,0,0,0,0,0,0,,0,,0,1,3,2
"H0491303",22,"0e3bcf22a773456eb3475d233a7dc880",2,1,,1,,2,0,,,0,,,0,0,0,0,0,0,0,2,80000,0,,0,1,,2
"H4050901",19,"0e587b69c8364b7ea11ac6ad8155d944",16,1,2,5,15,2,0,,,0,,,11,6,0,0,0,0,0,0,,1,40000,0,1,5,1
"H4050901",18,"0e587b69c8364b7ea11ac6ad8155d944",5,1,2,5,15,2,0,,,0,,,3,2,0,0,0,0,0,0,,0,,0,1,5,1
"H0840604",19,"0e6bbfd7a7ff407ba8c19c68b4614a43",2,1,2,1,2,2,0,,,0,,,4,0,0,0,2,0,0,0,,0,,0,1,,2
"H0840604",18,"0e6bbfd7a7ff407ba8c19c68b4614a43",1,1,2,1,2,2,0,,,0,,,2,0,0,0,1,0,0,0,,0,,0,1,,1
"H1400901",19,"0eacd048e8244b7bb60a9ef372d37bd4",2,3,,3,4,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,2
"H1400901",18,"0eacd048e8244b7bb60a9ef372d37bd4",1,3,,3,4,2,0,,,0,,,0,1,0,0,0,0,0,0,,0,,0,1,,2
"H0750903",22,"0f0210463290453bb298ac2094d5322e",5,1,3,3,,2,1,3,,0,,,3,1,1,0,0,0,0,0,,0,,0,1,,2
"H0540702",19,"0f1fae5e3c164a0689a528daa0977068",3,1,,1,,2,0,,,0,,,3,2,0,1,0,0,0,0,,1,110000,0,1,,2
"H0510201",22,"0f667b218c504918a233aac6e8ee5bda",7,1,2,1,2,2,0,,,0,,,5,2,0,0,0,0,0,0,,0,,0,2,,1
"H3040501",19,"0f6771f84c3a4bbb850133c3e9b7e498",7,1,2,1,2,2,0,,,0,,,5,2,0,0,0,0,0,0,,0,,0,1,,2
"H3040501",18,"0f6771f84c3a4bbb850133c3e9b7e498",2,1,2,1,2,2,0,,,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,2
"H0021101",19,"0f89c593c872418cbe8ce314e2d06348",3,1,,1,,2,0,,,0,,,1,2,0,0,0,0,0,0,,0,,0,1,4,1
"H0021101",18,"0f89c593c872418cbe8ce314e2d06348",1,1,,1,,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H3510601",18,"0f9890d1fd734a5cace8f29bedc49979",1,1,4,1,4,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,5,2
"H3510601",19,"0f9890d1fd734a5cace8f29bedc49979",1,1,4,1,4,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,4,2
"H4270101",19,"104c763be4a348c7858dd66cc2fbc597",5,1,2,1,2,2,0,,,0,,,6,0,0,0,0,0,1,0,,0,,0,1,6,1
"H4270101",18,"104c763be4a348c7858dd66cc2fbc597",1,1,,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,6,1
"H4270101",22,"104c763be4a348c7858dd66cc2fbc597",1,1,2,1,2,2,0,,,0,,,1,6,0,0,0,0,0,0,,6,30000,0,1,6,1
"H1620302",22,"108160782ccd45a9b7a3b97da91f5483",1,1,,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,5,1,1
"H1620302",19,"108160782ccd45a9b7a3b97da91f5483",5,1,2,1,2,2,0,,,0,,,8,0,0,0,0,0,0,0,,3,85000,0,5,1,1
"H2170501",21,"108ebe553d994ae8bee890ebd2447fbf",4,2,3,7,8,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,6,1,1
"H2170501",19,"108ebe553d994ae8bee890ebd2447fbf",7,2,,7,8,2,0,,,0,,,5,2,0,0,0,0,0,0,,0,,0,6,5,1
"H1260101",19,"10c39a24e0784c66897740bdbc426cc8",2,1,,1,2,2,0,,,0,,,4,0,0,0,0,0,0,0,,2,70000,0,1,5,2
"H1260101",18,"10c39a24e0784c66897740bdbc426cc8",0,,,,,,0,,,0,,,1,0,0,0,0,0,0,0,,1,50000,0,1,5,2
"H3960901",18,"110f81c0d9254505838dcaf2497d130a",0,,,,,,0,,,0,,,1,0,0,0,0,0,0,0,,1,100000,0,1,,2
"H3960901",19,"110f81c0d9254505838dcaf2497d130a",5,1,,1,,2,0,,,0,,,5,2,0,0,0,2,0,0,,0,,0,1,,2
"H1880802",18,"118e5671a1e0437baebdd563bf3e43df",3,1,,1,,2,0,,,0,,,2,1,0,0,0,0,0,0,,0,,0,1,3,1
"H1880802",19,"118e5671a1e0437baebdd563bf3e43df",4,1,,1,,2,0,,,0,,,4,0,0,0,0,0,0,0,,0,,0,1,4,1
"H2440102",19,"119f2e2e03f143fc879b9f0ed133f62e",4,6,,4,6,2,0,,,0,,,3,1,0,0,0,0,0,0,,0,,0,6,,1
"H2440102",18,"119f2e2e03f143fc879b9f0ed133f62e",2,6,,4,6,2,0,,,0,,,0,2,0,0,0,0,0,0,,0,,0,6,,1
"51",18,"11c06407f2894aa696b02bd42e1ad325",3,1,,2,,2,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,6,,1
"51",19,"11c06407f2894aa696b02bd42e1ad325",9,1,,2,,2,0,,,0,,,7,2,0,0,0,0,0,0,,0,,0,6,,1
"H3940501",19,"11fe2002e4b64d6a9f6f9dc246c6b5cb",5,1,,1,2,1,0,,,0,,,8,0,0,0,1,0,2,0,,0,,0,5,1,1
"H3930801",19,"12326283f3b543f7a0204eeb08c3a7cd",2,1,,1,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,4,1
"H3930801",18,"12326283f3b543f7a0204eeb08c3a7cd",1,1,,1,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,1,1,4,1
"59",19,"1254e7d5420845449d4b2d63d8f8b555",1,1,3,1,,1,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"59",21,"1254e7d5420845449d4b2d63d8f8b555",1,1,,1,,1,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"59",20,"1254e7d5420845449d4b2d63d8f8b555",1,1,,1,,1,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"H3800701",19,"1281f3064b5548e58be32cadc2a9904e",2,2,,2,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,3,1
"H3800701",18,"1281f3064b5548e58be32cadc2a9904e",2,2,,2,,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,3,1
"H0750902",22,"12a8632b753f40c6959744f160ade8ff",1,1,,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"H1680201",19,"137fab734a03455f98d0124f4847fc13",1,1,2,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"H4300701",22,"1390e21908ee4f50811be182bc761552",1,1,2,1,2,2,0,,,0,,,1,0,0,0,0,0,0,1,40000,1,80000,0,1,5,1
"H2140902",19,"13e1b70c74264df2b3ce9571a64d04b7",3,1,2,1,2,2,0,,,0,,,3,0,0,0,0,0,0,0,,0,,0,1,6,1
"H2140902",21,"13e1b70c74264df2b3ce9571a64d04b7",3,1,2,1,2,2,0,,,0,,,4,0,0,0,0,1,0,0,,0,,0,1,6,1
"H2140902",20,"13e1b70c74264df2b3ce9571a64d04b7",2,1,2,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,6,1
"H2140902",18,"13e1b70c74264df2b3ce9571a64d04b7",1,1,2,1,2,2,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,6,1
"H1310503",18,"1444adc6326d439eaeaba1546d02d59d",1,2,,1,2,2,0,,,0,,,2,0,0,0,0,0,0,0,,1,40000,0,1,5,1
