hhid,h10q1,h10q2,h10q3,h10q4,h10q5a,h10q5b,h10q6,h10q7a,h10q7b,h10q7c,h10q7d,h10q9,h10q10,h10q11,h10q12,hh
H0070701,Yes,23.0,Bill from power company,125.0,60000.0,30.0,No,,,,,Charcoal,No,7.0,In a separate kitchen,H00707-05-01
H0071001,Yes,24.0,Bill from power company,35.0,20000.0,30.0,No,,,,,Charcoal,No,10.0,In a separate kitchen,H00710-05-01
H0071201,Yes,24.0,Pay fee to neighbor,,20000.0,30.0,No,,,,,Charcoal,No,7.0, In a room in the dwelling not just devoted to cooking,H00712-05-01
H0080101,Yes,12.0,Bill from power company,30.0,20000.0,30.0,No,,,,,Charcoal,No,4.0, In a room in the dwelling not just devoted to cooking,H00801-05-01
H0080201,No,,,,,,No,,,,,Charcoal,Yes,5.0,In a separate kitchen,H00802-05-01
H0080901,No,,,,,,No,,,,,Charcoal,No,7.0,In an outdoor space,H00809-05-01
H0081001,Yes,20.0,Bill from power company,60.0,100000.0,30.0,No,,,,,Charcoal,No,7.0,In a separate kitchen,H00810-05-01
H0081101,Yes,20.0,Other (specify),,30000.0,30.0,No,,,,,Charcoal,No,6.0,In a separate kitchen,H00811-05-01
H0120901,Yes,24.0,Bill from power company,70.0,50000.0,30.0,No,,,,,Charcoal,No,6.0, In a room in the dwelling not just devoted to cooking,H01209-05-01
H0120902,Yes,24.0,Provide in rent,,,,No,,,,,Charcoal,No,3.0, In a room in the dwelling not just devoted to cooking,H01209-05-02
H0120903,Yes,24.0,Bill from power company,33.0,20000.0,30.0,No,,,,,Charcoal,Yes,10.0, In a room in the dwelling not just devoted to cooking,H01209-05-03
H0120904,Yes,24.0,Pay fee to neighbor,,6000.0,30.0,No,,,,,Charcoal,No,2.0,In a separate kitchen,H01209-05-04
H0120905,No,,,,,,No,,,,,Charcoal,No,2.0, In a room in the dwelling not just devoted to cooking,H01209-05-05
H0121001,No,,,,,,No,,,,,Charcoal,No,0.0,In an outdoor space,H01210-05-01
H0140101,Yes,12.0,Bill from power company,30.0,15000.0,30.0,No,,,,,Charcoal,No,4.0,In a separate kitchen,H01401-05-01
H0140201,Yes,24.0,Bill from power company,60.0,20000.0,30.0,No,,,,,Charcoal,No,6.0,In an outdoor space,H01402-05-01
H0140601,Yes,5.0,Bill from power company,32.0,20000.0,30.0,No,,,,,Charcoal,No,5.0,In a separate kitchen,H01406-05-01
H0140901,No,,,,,,No,,,,,Charcoal,No,2.0,In an outdoor space,H01409-05-01
H0160401,Yes,15.0,Bill from power company,90.0,60000.0,30.0,No,,,,,lpg,,2.0,In a separate kitchen,H01604-05-01
H0160501,Yes,1.0,Bill from power company,550.0,60000.0,30.0,No,,,,,Charcoal,No,3.0,In an outdoor space,H01605-05-01
H0161201,Yes,12.0,Provide in rent,,,,No,,,,,Charcoal,No,2.0,In an outdoor space,H01612-05-01
H0180101,Yes,12.0,Other (specify),,10000.0,30.0,No,,,,,Charcoal,No,5.0,In an outdoor space,H01801-05-01
H0180601,No,,,,,,No,,,,,Charcoal,Yes,3.0,In an outdoor space,H01806-05-01
H0180602,Yes,24.0,Bill from power company,28.0,10000.0,30.0,No,,,,,Open fire,No,4.0,In an outdoor space,H01806-05-02
H0180901,No,,,,,,No,,,,,Charcoal,No,4.0,In an outdoor space,H01809-05-01
H0181301,Yes,9.0,Bill from power company,30.0,30000.0,30.0,No,,,,,Charcoal,No,4.0,In a separate kitchen,H01813-05-01
H0210801,Yes,24.0,Provide in rent,,,,No,,,,,Charcoal,No,4.0,In an outdoor space,H02108-05-01
H0211001,Yes,24.0,Bill from power company,41.0,25000.0,30.0,No,,,,,Charcoal,Yes,5.0, In a room in the dwelling not just devoted to cooking,H02110-05-01
H0211101,Yes,20.0,Bill from power company,21.0,20000.0,30.0,No,,,,,Open fire,No,6.0, In a room in the dwelling not just devoted to cooking,H02111-05-01
H0220301,Yes,10.0,Other (specify),,10000.0,30.0,No,,,,,Charcoal,No,5.0,In an outdoor space,H02203-05-01
H0220501,Yes,24.0,Other (specify),,20000.0,7.0,No,,,,,Charcoal,No,6.0,In a separate kitchen,H02205-05-01
H0220601,Yes,12.0,Other (specify),,10000.0,30.0,No,,,,,Charcoal,No,6.0,In a separate kitchen,H02206-05-01
H0220701,Yes,10.0,Other (specify),,25000.0,30.0,No,,,,,Charcoal,No,5.0,In a separate kitchen,H02207-05-01
H0230401,No,,,,,,No,,,,,Charcoal,No,7.0, In a room in the dwelling not just devoted to cooking,H02304-05-01
H0230501,Yes,18.0,Bill from power company,60.0,30000.0,30.0,No,,,,,Charcoal,No,6.0, In a room in the dwelling not just devoted to cooking,H02305-05-01
H0230801,Yes,24.0,Provide in rent,,,,No,,,,,Charcoal,No,8.0,In an outdoor space,H02308-05-01
H0231001,Yes,24.0,Bill from power company,0.0,15000.0,30.0,No,,,,,Charcoal,Yes,3.0,In a separate kitchen,H02310-05-01
H0240101,No,,,,,,No,,,,,Charcoal,No,4.0,In a separate kitchen,H02401-05-01
H0240701,No,,,,,,No,,,,,Charcoal,No,2.0, In a room in the dwelling not just devoted to cooking,H02407-05-01
H0240901,Yes,12.0,Pay fee to neighbor,,15000.0,30.0,No,,,,,Charcoal,No,2.0,In an outdoor space,H02409-05-01
H0250701,Yes,24.0,Bill from power company,134.5,70000.0,30.0,No,,,,,Charcoal,No,5.0,In a separate kitchen,H02507-05-01
H0260201,Yes,24.0,Bill from power company,309.0,50000.0,30.0,No,,,,,Charcoal,No,10.0,In a separate kitchen,H02602-05-01
H0260801,Yes,12.0,Bill from power company,63.9,50000.0,25.0,No,,,,,Charcoal,No,4.0,In an outdoor space,H02608-05-01
H0260901,No,,,,,,No,,,,,Charcoal,No,3.0, In a room in the dwelling not just devoted to cooking,H02609-05-01
H0270301,Yes,24.0,Other (specify),,50000.0,30.0,No,,,,,Charcoal,No,6.0, In a room in the dwelling not just devoted to cooking,H02703-05-01
H0270501,Yes,24.0,Pay fee to neighbor,,10000.0,30.0,No,,,,,Charcoal,No,11.0,In an outdoor space,H02705-05-01
H0270601,Yes,10.0,Provide in rent,,,,No,,,,,Charcoal,No,6.0,In an outdoor space,H02706-05-01
H0270602,Yes,13.0,Bill from power company,20.0,20000.0,30.0,No,,,,,Charcoal,No,5.0,In a separate kitchen,H02706-05-02
H0271001,Yes,16.0,Free use/illegal connections,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H02710-05-01
H0271101,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H02711-05-01
H0271102,Yes,24.0,Provide in rent,,,,No,,,,,lpg,,1.0,In a separate kitchen,H02711-05-02
H0280201,Yes,24.0,Bill from power company,20.0,10000.0,30.0,No,,,,,Charcoal,No,3.0,In a separate kitchen,H02802-05-01
H0280301,Yes,12.0,Bill from power company,21.0,15000.0,30.0,No,,,,,Charcoal,No,4.0,In a separate kitchen,H02803-05-01
H0280302,Yes,24.0,Provide in rent,,,,No,,,,,Charcoal,No,3.0,In an outdoor space,H02803-05-02
H0281101,Yes,7.0,Other (specify),,30000.0,30.0,No,,,,,Charcoal,No,3.0, In a room in the dwelling not just devoted to cooking,H02811-05-01
H0300301,Yes,12.0,Bill from power company,40.0,30000.0,30.0,No,,,,,Charcoal,No,5.0,In a separate kitchen,H03003-05-01
H0300501,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H03005-05-01
H0300601,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H03006-05-01
H0301001,Yes,24.0,Pay fee to neighbor,,18000.0,30.0,No,,,,,Charcoal,No,6.0,In a separate kitchen,H03010-05-01
H0340801,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H03408-05-01
H0340901,Yes,10.0,Bill from power company,350.0,20000.0,30.0,No,,,,,Charcoal,No,12.0,In a separate kitchen,H03409-05-01
H0341001,Yes,18.0,Bill from power company,30.8,20000.0,30.0,No,,,,,Charcoal,No,3.0,In a separate kitchen,H03410-05-01
H0341002,Yes,12.0,Provide in rent,,,,No,,,,,Charcoal,No,0.0,In an outdoor space,H03410-05-02
H0350301,No,,,,,,No,,,,,Charcoal,No,5.0,In an outdoor space,H03503-05-01
H0351101,No,,,,,,No,,,,,Charcoal,No,4.0, In a room in the dwelling not just devoted to cooking,H03511-05-01
H0351501,No,,,,,,No,,,,,Charcoal,No,3.0, In a room in the dwelling not just devoted to cooking,H03515-05-01
H0360101,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H03601-05-01
H0360201,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H03602-05-01
H0360301,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H03603-05-01
H0360401,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H03604-05-01
H0360402,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H03604-05-02
H0360403,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H03604-05-03
H0360501,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H03605-05-01
H0360502,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H03605-05-02
H0360701,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H03607-05-01
H0360801,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H03608-05-01
H0361001,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H03610-05-01
H0370401,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H03704-05-01
H0370501,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H03705-05-01
H0370601,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H03706-05-01
H0370701,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H03707-05-01
H0370702,No,,,,,,No,,,,,Charcoal,No,4.0, In a room in the dwelling not just devoted to cooking,H03707-05-02
H0370703,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H03707-05-03
H0370901,No,,,,,,No,,,,,Open fire,Yes,5.0,In a separate kitchen,H03709-05-01
H0371101,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H03711-05-01
H0371102,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H03711-05-02
H0371103,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H03711-05-03
H0380401,Yes,24.0,Pay fee to neighbor,,15000.0,30.0,No,,,,,,,,,H03804-05-01
H0380701,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H03807-05-01
H0380901,Yes,24.0,Pay fee to neighbor,,50000.0,30.0,No,,,,,Charcoal,No,6.0, In a room in the dwelling not just devoted to cooking,H03809-05-01
H0381001,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H03810-05-01
H0381101,Yes,24.0,Pay fee to neighbor,,8000.0,30.0,No,,,,,Charcoal,No,5.0, In a room in the dwelling not just devoted to cooking,H03811-05-01
H0390101,No,,,,,,No,,,,,Charcoal,No,1.0,In an outdoor space,H03901-05-01
H0390201,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H03902-05-01
H0390301,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H03903-05-01
H0390701,Yes,24.0,Bill from power company,32.0,30000.0,30.0,No,,,,,Open fire,No,6.0,In a separate kitchen,H03907-05-01
H0390801,Yes,21.0,Bill from power company,28.0,18000.0,30.0,No,,,,,Charcoal,No,3.0,In an outdoor space,H03908-05-01
H0390901,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H03909-05-01
H0390902,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H03909-05-02
H0390903,Yes,12.0,Free use/illegal connections,,,,No,,,,,Charcoal,No,3.0,In a separate kitchen,H03909-05-03
H0391001,Yes,24.0,Bill from power company,96.0,50000.0,30.0,No,,,,,Open fire,No,3.0,In a separate kitchen,H03910-05-01
H0400101,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H04001-05-01
H0400201,Yes,24.0,Free use/illegal connections,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H04002-05-01
H0400301,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H04003-05-01
H0400302,Yes,20.0,Bill from power company,30.0,20000.0,30.0,No,,,,,Charcoal,No,5.0,In an outdoor space,H04003-05-02
H0400303,Yes,12.0,Provide in rent,,,,No,,,,,Kerosene,No,1.0,In an outdoor space,H04003-05-03
H0400304,Yes,24.0,Bill from power company,50.0,40000.0,30.0,No,,,,,Charcoal,No,5.0,In a separate kitchen,H04003-05-04
H0400401,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H04004-05-01
H0400601,No,,,,,,No,,,,,Open fire,No,3.0, In a room in the dwelling not just devoted to cooking,H04006-05-01
H0400701,No,,,,,,No,,,,,,,,,H04007-05-01
H0401001,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H04010-05-01
H0401002,Yes,24.0,Bill from power company,11.0,7000.0,30.0,No,,,,,Charcoal,No,3.0,In an outdoor space,H04010-05-02
H0401101,No,,,,,,No,,,,,Charcoal,No,5.0,In a separate kitchen,H04011-05-01
H0401102,Yes,20.0,Pay fee to neighbor,,10000.0,30.0,No,,,,,Charcoal,No,3.0,In an outdoor space,H04011-05-02
H0420101,No,,,,,,No,,,,,Open fire,No,10.0,In a separate kitchen,H04201-05-01
H0420201,Yes,24.0,Pay fee to neighbor,,20000.0,30.0,No,,,,,Charcoal,No,8.0, In a room in the dwelling not just devoted to cooking,H04202-05-01
H0420301,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H04203-05-01
H0420401,No,,,,,,No,,,,,Open fire,Yes,7.0,In a separate kitchen,H04204-05-01
H0420501,Yes,24.0,Bill from power company,50.0,30000.0,30.0,No,,,,,Open fire,Yes,6.0,In a separate kitchen,H04205-05-01
H0420601,No,,,,,,No,,,,,Open fire,No,2.0,In an outdoor space,H04206-05-01
H0420701,No,,,,,,No,,,,,Charcoal,No,4.0,In a separate kitchen,H04207-05-01
H0420702,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H04207-05-02
H0420801,No,,,,,,No,,,,,Charcoal,No,2.0,In an outdoor space,H04208-05-01
H0420802,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H04208-05-02
H0420901,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H04209-05-01
H0420902,Yes,24.0,Provide in rent,,,,No,,,,,Charcoal,No,2.0,In an outdoor space,H04209-05-02
H0421001,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H04210-05-01
H0450101,No,,,,,,No,,,,,Charcoal,No,4.0,In an outdoor space,H04501-05-01
H0450501,Yes,24.0,Bill from power company,120.0,32000.0,30.0,Yes,0.0,0.0,3600.0,1.0,Charcoal,No,8.0,In a separate kitchen,H04505-05-01
H0450802,Yes,24.0,Pay fee to neighbor,,15000.0,30.0,No,,,,,Charcoal,No,4.0,In an outdoor space,H04508-05-02
H0450803,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H04508-05-03
H0450804,Yes,24.0,Bill from power company,16.0,10000.0,30.0,No,,,,,Charcoal,No,5.0,In a separate kitchen,H04508-05-04
H0450901,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H04509-05-01
H0460201,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H04602-05-01
H0460301,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H04603-05-01
H0460401,No,,,,,,No,,,,,Charcoal,No,5.0, In a room in the dwelling not just devoted to cooking,H04604-05-01
H0460601,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H04606-05-01
H0460602,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H04606-05-02
H0460701,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H04607-05-01
H0460702,Yes,24.0,Provide in rent,,,,No,,,,,Charcoal,No,2.0,In an outdoor space,H04607-05-02
H0460801,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H04608-05-01
H0460901,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H04609-05-01
H0461001,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H04610-05-01
H0461003,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H04610-05-03
H0461004,No,,,,,,No,,,,,Open fire,No,7.0,In an outdoor space,H04610-05-04
H0480101,No,,,,,,No,,,,,Charcoal,No,4.0,In an outdoor space,H04801-05-01
H0480201,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H04802-05-01
H0480202,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H04802-05-02
H0480401,No,,,,,,No,,,,,Open fire,Yes,5.0,In a separate kitchen,H04804-05-01
H0480501,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H04805-05-01
H0480601,Yes,24.0,Free use/illegal connections,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H04806-05-01
H0480701,No,,,,,,No,,,,,Charcoal,No,4.0,In a separate kitchen,H04807-05-01
H0480801,Yes,24.0,Bill from power company,33.0,20000.0,30.0,No,,,,,Open fire,No,7.0,In a separate kitchen,H04808-05-01
H0480802,Yes,24.0,Provide in rent,,,,No,,,,,Other (specify),Yes,3.0, In a room in the dwelling not just devoted to cooking,H04808-05-02
H0481001,No,,,,,,No,,,,,Charcoal,No,3.0,In a separate kitchen,H04810-05-01
H0490301,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H04903-05-01
H0490501,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H04905-05-01
H0490701,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H04907-05-01
H0490801,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H04908-05-01
H0490802,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H04908-05-02
H0490901,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H04909-05-01
H0491001,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H04910-05-01
H0491002,Yes,24.0,Provide in rent,,,,No,,,,,Charcoal,No,3.0,In a separate kitchen,H04910-05-02
H0491201,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H04912-05-01
H0491301,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H04913-05-01
H0491302,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H04913-05-02
H0491303,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H04913-05-03
H0491304,No,,,,,,No,,,,,Charcoal,No,1.0,In an outdoor space,H04913-05-04
H0491305,No,,,,,,No,,,,,Open fire,No,0.0,In a separate kitchen,H04913-05-05
H0491306,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H04913-05-06
H0491307,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H04913-05-07
H0500201,No,,,,,,No,,,,,Open fire,No,8.0,In a separate kitchen,H05002-05-01
H0500301,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H05003-05-01
H0500302,Yes,24.0,Provide in rent,,,,No,,,,,,,,,H05003-05-02
H0500401,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H05004-05-01
H0500501,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H05005-05-01
H0500601,No,,,,,,No,,,,,Open fire,No,6.0,In an outdoor space,H05006-05-01
H0500602,No,,,,,,No,,,,,Open fire,Yes,2.0,In an outdoor space,H05006-05-02
H0500701,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H05007-05-01
H0500702,Yes,10.0,Provide in rent,,,,No,,,,,Charcoal,No,3.0,In an outdoor space,H05007-05-02
H0500801,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H05008-05-01
H0500802,No,,,,,,No,,,,,Open fire,Yes,9.0,In a separate kitchen,H05008-05-02
H0500901,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H05009-05-01
H0501001,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H05010-05-01
H0510101,No,,,,,,No,,,,,Open fire,Yes,5.0,In a separate kitchen,H05101-05-01
H0510102,Yes,24.0,Provide in rent,,,,No,,,,,Kerosene,No,0.0, In a room in the dwelling not just devoted to cooking,H05101-05-02
H0510201,No,,,,,,No,,,,,Open fire,No,2.0,In a separate kitchen,H05102-05-01
H0510301,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H05103-05-01
H0510401,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H05104-05-01
H0510501,No,,,,,,No,,,,,Open fire,No,2.0,In an outdoor space,H05105-05-01
H0510601,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H05106-05-01
H0510701,No,,,,,,No,,,,,Open fire,Yes,2.0,In a separate kitchen,H05107-05-01
H0510801,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H05108-05-01
H0510901,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H05109-05-01
H0511001,No,,,,,,No,,,,,Open fire,No,2.0,In an outdoor space,H05110-05-01
H0530101,Yes,18.0,Other (specify),,20000.0,30.0,No,,,,,Charcoal,No,2.0,In a separate kitchen,H05301-05-01
H0530201,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H05302-05-01
H0530301,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H05303-05-01
H0530401,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H05304-05-01
H0530402,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H05304-05-02
H0530501,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H05305-05-01
H0530502,Yes,18.0,Pay fee to neighbor,,7000.0,30.0,No,,,,,Charcoal,No,4.0,In an outdoor space,H05305-05-02
H0530503,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H05305-05-03
H0530505,Yes,16.0,Bill from power company,20.0,12000.0,30.0,No,,,,,Open fire,No,6.0,In a separate kitchen,H05305-05-05
H0530506,Yes,24.0,Pay fee to neighbor,,6000.0,30.0,No,,,,,Charcoal,Yes,7.0,In a separate kitchen,H05305-05-06
H0530601,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H05306-05-01
H0530901,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H05309-05-01
H0531001,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H05310-05-01
H0531002,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H05310-05-02
H0540301,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H05403-05-01
H0540401,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H05404-05-01
H0540501,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H05405-05-01
H0540601,No,,,,,,No,,,,,Open fire,No,3.0,In an outdoor space,H05406-05-01
H0540701,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H05407-05-01
H0540702,No,,,,,,No,,,,,Charcoal,No,4.0,In an outdoor space,H05407-05-02
H0540901,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H05409-05-01
H0541001,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H05410-05-01
H0541201,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H05412-05-01
H0541202,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H05412-05-02
H0541203,No,,,,,,No,,,,,Charcoal,No,2.0,In an outdoor space,H05412-05-03
H0541204,No,,,,,,No,,,,,,,,,H05412-05-04
H0570101,No,,,,,,No,,,,,Open fire,No,4.0,In an outdoor space,H05701-05-01
H0570201,No,,,,,,No,,,,,Charcoal,No,1.0,In an outdoor space,H05702-05-01
H0570202,No,,,,,,No,,,,,Open fire,No,5.0,In an outdoor space,H05702-05-02
H0570301,No,,,,,,No,,,,,Open fire,No,7.0,In a separate kitchen,H05703-05-01
H0570302,No,,,,,,No,,,,,Open fire,No,0.0, In a room in the dwelling not just devoted to cooking,H05703-05-02
H0570401,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H05704-05-01
H0570402,Yes,24.0,Provide in rent,,,,No,,,,,Kerosene,No,0.0, In a room in the dwelling not just devoted to cooking,H05704-05-02
H0570501,No,,,,,,No,,,,,Open fire,No,3.0,In a separate kitchen,H05705-05-01
H0570601,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H05706-05-01
H0570602,No,,,,,,No,,,,,Open fire,No,6.0,In a separate kitchen,H05706-05-02
H0570701,No,,,,,,No,,,,,Open fire,Yes,3.0,In a separate kitchen,H05707-05-01
H0570901,No,,,,,,No,,,,,Open fire,Yes,3.0,In a separate kitchen,H05709-05-01
H0571001,No,,,,,,No,,,,,Open fire,No,4.0,In a separate kitchen,H05710-05-01
H0571101,No,,,,,,No,,,,,Open fire,No,5.0,In a separate kitchen,H05711-05-01
H0571102,Yes,24.0,Bill from power company,10.0,10000.0,30.0,No,,,,,Charcoal,No,5.0, In a room in the dwelling not just devoted to cooking,H05711-05-02
H0590101,No,,,,,,No,,,,,Charcoal,No,2.0, In a room in the dwelling not just devoted to cooking,H05901-05-01
H0590301,Yes,24.0,Bill from power company,36.0,20000.0,28.0,No,,,,,Charcoal,Yes,4.0,In a separate kitchen,H05903-05-01
